Cuisine,Item Number,Food Item,Food Type
Japanese,6,Omurice,Main Dish
Korean,1,Jokbal,Main Dish
Korean,2,Bossam,Main Dish
Mexican,1,Tacos al Pastor,Main Dish
Mexican,2,Enchiladas,Main Dish
Mexican,3,Quesadillas,Main Dish
Mexican,4,Tamales,Main Dish
Mexican,5,Chiles Rellenos,Main Dish
Mexican,6,Carnitas,Main Dish
Mexican,7,Flautas,Main Dish
Mexican,8,Barbacoa,Main Dish
Mexican,9,Cochinita Pibil,Main Dish
Mexican,10,Gorditas,Main Dish
Mexican,11,Tlayudas,Main Dish
Mexican,12,Sincronizadas,Main Dish
Mexican,13,Burritos,Main Dish
Mexican,14,Fajitas,Main Dish
Mexican,15,Chimichangas,Main Dish
Mexican,16,Camarones a la Diabla,Main Dish
Mexican,17,Pescado Zarandeado,Main Dish
Mexican,18,Papadzules,Main Dish
Mexican,19,Poc Chuc,Main Dish
Mexican,20,Machaca,Main Dish
Mexican,21,Discada,Main Dish
Mexican,22,Cabrito,Main Dish
Mexican,23,Carne Asada,Main Dish
Mexican,24,Arrachera,Main Dish
Mexican,25,Alambre,Main Dish
Mexican,26,Tacos de Lengua,Main Dish
Mexican,27,Tacos de Cabeza,Main Dish
Mexican,28,Tacos de Suadero,Main Dish
Mexican,29,Tacos Dorados,Main Dish
Mexican,30,Mulitas,Main Dish
Peruvian,1,Lomo Saltado,Main Dish
Peruvian,2,Aji de Gallina,Main Dish
Peruvian,3,Pollo a la Brasa,Main Dish
Peruvian,4,Arroz con Pollo,Main Dish
Peruvian,5,Rocoto Relleno,Main Dish
Peruvian,6,Cuy Chactado,Main Dish
Peruvian,7,Pachamanca,Main Dish
Peruvian,8,Escabeche de Pescado,Main Dish
Peruvian,9,Arroz con Mariscos,Main Dish
Peruvian,10,Jalea,Main Dish
Peruvian,11,Chicharrón de Pescado,Main Dish
Peruvian,12,Chicharrón de Pollo,Main Dish
Peruvian,13,Chicharrón de Cerdo,Main Dish
Peruvian,14,Tamales Peruanos,Main Dish
Peruvian,15,Humitas,Main Dish
Peruvian,16,Juane,Main Dish
Peruvian,17,Tacacho con Cecina,Main Dish
Peruvian,18,Patarashca,Main Dish
Peruvian,19,Adobo Arequipeño,Main Dish
Peruvian,20,Malaya,Main Dish
Peruvian,21,Arroz Chaufa,Main Dish
Peruvian,22,Tallarin Saltado,Main Dish
Peruvian,23,Aeropuerto,Main Dish
Peruvian,24,Enrollado de Pollo,Main Dish
Peruvian,25,Pollo al Horno,Main Dish
Peruvian,26,Milanesa,Main Dish
Peruvian,27,Apanado,Main Dish
Peruvian,28,Chuleta de Cerdo,Main Dish
Peruvian,29,Costillas de Cerdo,Main Dish
Peruvian,30,Adobo de Chancho,Main Dish
Polish,1,Kotlet Schabowy,Main Dish
Polish,2,Gołąbki,Main Dish
Polish,3,Zrazy,Main Dish
Polish,4,Schab,Main Dish
Polish,5,Golonka,Main Dish
Polish,6,Karkówka,Main Dish
Polish,7,Żeberka,Main Dish
Polish,8,Pieczeń,Main Dish
Polish,9,Pieczona Kaczka,Main Dish
Polish,10,Pieczona Gęś,Main Dish
Polish,11,Karp,Main Dish
Polish,12,Makaron z Serem,Main Dish
Portuguese,1,Bacalhau à Brás,Main Dish
Portuguese,2,Bacalhau à Gomes de Sá,Main Dish
Portuguese,3,Arroz de Marisco,Main Dish
Portuguese,4,Piri Piri Chicken,Main Dish
Portuguese,5,Polvo à Lagareiro,Main Dish
Portuguese,6,Arroz de Pato,Main Dish
Portuguese,7,Rojões,Main Dish
Portuguese,8,Porco à Alentejana,Main Dish
Portuguese,9,Lulas Recheadas,Main Dish
Portuguese,10,Arroz de Cabidela,Main Dish
Portuguese,11,Bife à Café,Main Dish
Portuguese,12,Bitoque,Main Dish
Portuguese,13,Picanha,Main Dish
Portuguese,14,Carne de Porco à Alentejana,Main Dish
Spanish,1,Pulpo a la Gallega,Main Dish
Spanish,2,Albóndigas,Main Dish
Spanish,3,Rabo de Toro,Main Dish
Spanish,4,Lechazo Asado,Main Dish
Spanish,5,Cochinillo Asado,Main Dish
Spanish,6,Pollo al Ajillo,Main Dish
Spanish,7,Migas,Main Dish
Spanish,8,Lacón con Grelos,Main Dish
Spanish,9,Almejas a la Marinera,Main Dish
Spanish,10,Chipirones en su Tinta,Main Dish
Spanish,11,Bacalao al Pil Pil,Main Dish
Spanish,12,Bacalao a la Vizcaína,Main Dish
Spanish,13,Txangurro,Main Dish
Spanish,14,Huevos Rotos,Main Dish
Spanish,15,Revuelto de Setas,Main Dish
Spanish,16,Revuelto de Ajetes,Main Dish
Spanish,17,Calabacín Relleno,Main Dish
Spanish,18,Pimientos Rellenos,Main Dish
Spanish,19,Tomates Rellenos,Main Dish
Spanish,20,Carne en Salsa,Main Dish
Spanish,21,Carrilleras al Vino Tinto,Main Dish
Spanish,22,Solomillo al Whisky,Main Dish
Spanish,23,Entrecot,Main Dish
Spanish,24,Chuletas de Cordero,Main Dish
Spanish,25,Secreto Ibérico,Main Dish
Spanish,26,Pluma Ibérica,Main Dish
Spanish,27,Magro con Tomate,Main Dish
Spanish,28,Flamenquín,Main Dish
Spanish,29,Salmorejo de Carne,Main Dish
Spanish,30,Pringá,Main Dish
Thai,1,Pla Rad Prik,Main Dish
Turkish,1,İskender Kebab,Main Dish
Turkish,2,İmam Bayıldı,Main Dish
Turkish,3,Karnıyarık,Main Dish
Turkish,4,Hünkar Beğendi,Main Dish
Turkish,5,Kuzu Tandır,Main Dish
Turkish,6,Etli Yaprak Sarma,Main Dish
Turkish,7,Kavurma,Main Dish
Vietnamese,1,Cha Ca La Vong,Main Dish
Vietnamese,2,Ca Kho To,Main Dish
Vietnamese,3,Thit Kho Tau,Main Dish
Vietnamese,4,Ga Kho Gung,Main Dish
Chinese,13,Crispy Duck,Main Dish
Chinese,14,Salt Baked Chicken,Main Dish
Chinese,15,Soy Sauce Chicken,Main Dish
Chinese,16,Steamed Pork Ribs,Main Dish
Chinese,17,Braised Pork Belly,Main Dish
Chinese,18,Lion's Head Meatballs,Main Dish
Chinese,19,Kung Pao Shrimp,Main Dish
Chinese,20,Steamed Bass,Main Dish
Chinese,21,Claypot Rice,Main Dish
Chinese,22,Stir-Fried Chicken,Main Dish
Chinese,23,Ma Po Eggplant,Main Dish
Chinese,24,Garlic Beef,Main Dish
Chinese,25,Chicken with Cashews,Main Dish
Chinese,26,Sweet and Sour Fish,Main Dish
Chinese,27,Black Bean Beef,Main Dish
Chinese,28,Ginger Chicken,Main Dish
Chinese,29,Cumin Lamb,Main Dish
Chinese,30,Tea Smoked Duck,Main Dish
Ethiopian,12,Yebeg Wat,Main Dish
Ethiopian,13,Sega Wat,Main Dish
Ethiopian,14,Doro Alicha Fitfit,Main Dish
Ethiopian,15,Yedoro Alicha,Main Dish
Ethiopian,16,Kikil,Main Dish
Ethiopian,17,Dulet Special,Main Dish
Ethiopian,18,Kitfo Special,Main Dish
Ethiopian,19,Yebere Sega,Main Dish
Ethiopian,20,Asa Dullet,Main Dish
Ethiopian,21,Fish Kitfo,Main Dish
Ethiopian,22,Lamb Tibs Special,Main Dish
Ethiopian,23,Beef Goulash,Main Dish
Ethiopian,24,Chicken Goulash,Main Dish
Ethiopian,25,Yasa Tibs Special,Main Dish
Ethiopian,26,Fasting Kitfo,Main Dish
Ethiopian,27,Special Tibs,Main Dish
Ethiopian,28,Combination Tibs,Main Dish
Ethiopian,29,Zilzil Special,Main Dish
Ethiopian,30,Yebeg Tibs Special,Main Dish
French,19,Duck à l'Orange,Main Dish
French,20,Veal Chop,Main Dish
French,21,Lamb Chops,Main Dish
French,22,Beef Entrecôte,Main Dish
French,23,Pork Tenderloin,Main Dish
French,24,Rabbit Stew,Main Dish
French,25,Venison,Main Dish
French,26,Quail,Main Dish
French,27,Guinea Fowl,Main Dish
French,28,Sea Bass,Main Dish
French,29,Turbot,Main Dish
French,30,Lobster Thermidor,Main Dish
Georgian,4,Kharcho with Meat,Main Dish
Georgian,5,Beef Mtsvadi,Main Dish
Georgian,6,Pork Mtsvadi,Main Dish
Georgian,7,Lamb Mtsvadi,Main Dish
Georgian,8,Mixed Grill,Main Dish
Georgian,9,Grilled Trout,Main Dish
Georgian,10,Chicken Tabaka,Main Dish
Georgian,11,Lamb Chops,Main Dish
Georgian,12,Beef Kebab,Main Dish
Georgian,13,Pork Ribs,Main Dish
Georgian,14,Roasted Lamb,Main Dish
Georgian,15,Beef Steak,Main Dish
Georgian,16,Chicken Skewers,Main Dish
Georgian,17,Fish Kebab,Main Dish
Georgian,18,Lamb Stew,Main Dish
Georgian,19,Beef Goulash,Main Dish
Georgian,20,Pork Stew,Main Dish
Georgian,21,Chicken Cutlet,Main Dish
Georgian,22,Fish Fillet,Main Dish
Georgian,23,Grilled Chicken,Main Dish
Georgian,24,Beef Shashlyk,Main Dish
Georgian,25,Pork Shashlyk,Main Dish
Georgian,26,Lamb Shashlyk,Main Dish
Georgian,27,Mixed Meat Plate,Main Dish
Georgian,28,Grilled Salmon,Main Dish
Georgian,29,Pan-Fried Trout,Main Dish
Georgian,30,Roasted Chicken,Main Dish
German,24,Schweinekotelett,Main Dish
German,25,Rinderbraten,Main Dish
German,26,Lammkeule,Main Dish
German,27,Hähnchenbrust,Main Dish
German,28,Entenbrust,Main Dish
German,29,Wildschweingulasch,Main Dish
German,30,Rehbraten,Main Dish
Greek,15,Lamb Kleftiko,Main Dish
Greek,16,Beef Stifado,Main Dish
Greek,17,Pork Chops,Main Dish
Greek,18,Chicken Souvlaki,Main Dish
Greek,19,Lamb Chops Grilled,Main Dish
Greek,20,Beef Kebab,Main Dish
Greek,21,Pork Souvlaki,Main Dish
Greek,22,Chicken Gyros Platter,Main Dish
Greek,23,Mixed Grill,Main Dish
Greek,24,Grilled Sea Bream,Main Dish
Greek,25,Grilled Sea Bass,Main Dish
Greek,26,Stuffed Squid,Main Dish
Greek,27,Grilled Swordfish,Main Dish
Greek,28,Fish Plaki,Main Dish
Greek,29,Shrimp Saganaki,Main Dish
Greek,30,Beef Youvetsi,Main Dish
Hungarian,18,Beef Pörkölt,Main Dish
Hungarian,19,Chicken Pörkölt,Main Dish
Hungarian,20,Pork Pörkölt,Main Dish
Hungarian,21,Beef Tokány,Main Dish
Hungarian,22,Roasted Duck Leg,Main Dish
Hungarian,23,Goose Leg,Main Dish
Hungarian,24,Rabbit Stew,Main Dish
Hungarian,25,Venison Goulash,Main Dish
Hungarian,26,Mangalica Pork,Main Dish
Hungarian,27,Beef Steak Hungarian,Main Dish
Hungarian,28,Roasted Pork Knuckle,Main Dish
Hungarian,29,Chicken Leg,Main Dish
Hungarian,30,Turkey Breast,Main Dish
Indian,14,Lamb Rogan Josh,Main Dish
Indian,15,Chicken Korma,Main Dish
Indian,16,Beef Curry,Main Dish
Indian,17,Goat Curry,Main Dish
Indian,18,Fish Tikka,Main Dish
Indian,19,Lamb Vindaloo,Main Dish
Indian,20,Chicken Chettinad,Main Dish
Indian,21,Pork Vindaloo,Main Dish
Indian,22,Lamb Korma,Main Dish
Indian,23,Chicken Saag,Main Dish
Indian,24,Lamb Biryani,Main Dish
Indian,25,Chicken Biryani,Main Dish
Indian,26,Goat Biryani,Main Dish
Indian,27,Hyderabadi Biryani,Main Dish
Indian,28,Lucknowi Biryani,Main Dish
Indian,29,Dum Biryani,Main Dish
Indian,30,Fish Biryani,Main Dish
Indonesian,5,Ayam Penyet,Main Dish
Indonesian,6,Bebek Goreng,Main Dish
Indonesian,7,Nasi Campur,Main Dish
Indonesian,8,Rawon Daging,Main Dish
Indonesian,9,Sop Konro,Main Dish
Indonesian,10,Empal Gentong,Main Dish
Indonesian,11,Ayam Taliwang,Main Dish
Indonesian,12,Bebek Betutu,Main Dish
Indonesian,13,Ikan Woku,Main Dish
Indonesian,14,Ikan Kuah Kuning,Main Dish
Indonesian,15,Gulai Ikan,Main Dish
Indonesian,16,Ikan Acar Kuning,Main Dish
Indonesian,17,Ayam Geprek,Main Dish
Indonesian,18,Ayam Rica-Rica,Main Dish
Indonesian,19,Bebek Panggang,Main Dish
Indonesian,20,Sate Padang,Main Dish
Indonesian,21,Sate Madura,Main Dish
Indonesian,22,Sate Lilit,Main Dish
Indonesian,23,Iga Bakar,Main Dish
Indonesian,24,Kambing Guling,Main Dish
Indonesian,25,Sop Buntut Bakar,Main Dish
Indonesian,26,Nasi Goreng Kambing,Main Dish
Indonesian,27,Gulai Kambing,Main Dish
Indonesian,28,Tongseng Kambing,Main Dish
Indonesian,29,Sate Kambing,Main Dish
Indonesian,30,Bebek Madura,Main Dish
Iranian,1,Joojeh Kebab,Main Dish
Iranian,2,Barg Kebab,Main Dish
Iranian,3,Shishlik,Main Dish
Iranian,4,Chenjeh Kebab,Main Dish
Iranian,5,Lamb Kebab,Main Dish
Iranian,6,Chicken Kebab,Main Dish
Iranian,7,Fish Kebab,Main Dish
Iranian,8,Mixed Grill,Main Dish
Iranian,9,Lamb Chops,Main Dish
Iranian,10,Grilled Chicken,Main Dish
Iranian,11,Chicken Thigh Kebab,Main Dish
Iranian,12,Beef Kebab,Main Dish
Iranian,13,Ground Meat Kebab,Main Dish
Iranian,14,Soltani,Main Dish
Iranian,15,Vaziri,Main Dish
Iranian,16,Bakhtiari,Main Dish
Iranian,17,Chicken Soltani,Main Dish
Iranian,18,Grilled Fish,Main Dish
Iranian,19,Stuffed Chicken,Main Dish
Iranian,20,Roasted Lamb,Main Dish
Iranian,21,Braised Lamb Shank,Main Dish
Iranian,22,Lamb Stew,Main Dish
Iranian,23,Beef Stew,Main Dish
Iranian,24,Chicken Stew,Main Dish
Iranian,25,Fish Stew,Main Dish
Iranian,26,Mahi Shekam Por,Main Dish
Iranian,27,Morgh Shekam Por,Main Dish
Iranian,28,Khoresht-e Bademjan,Main Dish
Iranian,29,Khoresht-e Bamieh,Main Dish
Iranian,30,Khoresht-e Karafs,Main Dish
Italian,15,Ossobuco alla Milanese,Main Dish
Italian,16,Saltimbocca alla Romana,Main Dish
Italian,17,Chicken Parmigiana,Main Dish
Italian,18,Veal Marsala,Main Dish
Italian,19,Chicken Marsala,Main Dish
Italian,20,Veal Piccata,Main Dish
Italian,21,Chicken Piccata,Main Dish
Italian,22,Lamb Chops,Main Dish
Italian,23,Grilled Steak,Main Dish
Italian,24,Roasted Chicken,Main Dish
Italian,25,Duck Breast,Main Dish
Italian,26,Rabbit Cacciatore,Main Dish
Italian,27,Veal Chop,Main Dish
Italian,28,Pork Chop Milanese,Main Dish
Italian,29,Beef Braciole,Main Dish
Italian,30,Sausage and Peppers,Main Dish
Japanese,7,Chicken Teriyaki,Main Dish
Japanese,8,Salmon Teriyaki,Main Dish
Japanese,9,Pork Ginger,Main Dish
Japanese,10,Hamburg Steak,Main Dish
Japanese,11,Chicken Katsu,Main Dish
Japanese,12,Pork Katsu,Main Dish
Japanese,13,Beef Katsu,Main Dish
Japanese,14,Fish Katsu,Main Dish
Japanese,15,Grilled Mackerel,Main Dish
Japanese,16,Grilled Salmon,Main Dish
Japanese,17,Buri Teriyaki,Main Dish
Japanese,18,Chicken Nanban,Main Dish
Japanese,19,Oyakodon,Main Dish
Japanese,20,Katsudon,Main Dish
Japanese,21,Gyudon,Main Dish
Japanese,22,Butadon,Main Dish
Japanese,23,Oyster Fry,Main Dish
Japanese,24,Pork Cutlet Curry,Main Dish
Japanese,25,Chicken Cutlet Curry,Main Dish
Japanese,26,Beef Curry,Main Dish
Japanese,27,Seafood Curry,Main Dish
Japanese,28,Curry Udon,Main Dish
Japanese,29,Grilled Chicken,Main Dish
Japanese,30,Grilled Beef,Main Dish
Korean,3,Galbi Jjim,Main Dish
Korean,4,Andong Jjimdak,Main Dish
Korean,5,Dak Galbi,Main Dish
Korean,6,Braised Chicken,Main Dish
Korean,7,Braised Beef,Main Dish
Korean,8,Braised Pork,Main Dish
Korean,9,Pork Cutlet,Main Dish
Korean,10,Chicken Cutlet,Main Dish
Korean,11,Beef Cutlet,Main Dish
Korean,12,Fish Cutlet,Main Dish
Korean,13,LA Galbi,Main Dish
Korean,14,Beef Short Ribs,Main Dish
Korean,15,Pork Ribs,Main Dish
Korean,16,Spicy Pork,Main Dish
Korean,17,Spicy Chicken,Main Dish
Korean,18,Grilled Mackerel,Main Dish
Korean,19,Grilled Yellow Corvina,Main Dish
Korean,20,Braised Mackerel,Main Dish
Korean,21,Braised Hairtail,Main Dish
Korean,22,Steamed Chicken,Main Dish
Korean,23,Steamed Fish,Main Dish
Korean,24,Pan-Fried Fish,Main Dish
Korean,25,Beef Stew,Main Dish
Korean,26,Chicken Stew,Main Dish
Korean,27,Pork Stew,Main Dish
Korean,28,Seafood Stew,Main Dish
Korean,29,Kimchi Stew with Pork,Main Dish
Korean,30,Spicy Beef Soup,Main Dish
Polish,13,Kotlet Mielony,Main Dish
Polish,14,Schab Pieczony,Main Dish
Polish,15,Karkówka Pieczona,Main Dish
Polish,16,Udka z Kurczaka,Main Dish
Polish,17,Pierś z Kurczaka,Main Dish
Polish,18,Polędwiczki Wieprzowe,Main Dish
Polish,19,Wątróbka,Main Dish
Polish,20,Gulasz Wołowy,Main Dish
Polish,21,Gulasz Wieprzowy,Main Dish
Polish,22,Kotlet z Indyka,Main Dish
Polish,23,Kaczka Pieczona,Main Dish
Polish,24,Gęś Pieczona,Main Dish
Polish,25,Schab w Sosie,Main Dish
Polish,26,Gulasz z Kurczaka,Main Dish
Polish,27,Rolada Schabowa,Main Dish
Polish,28,Pieczeń Rzymska,Main Dish
Polish,29,Befsztyk,Main Dish
Polish,30,Stek Wieprzowy,Main Dish
Portuguese,15,Frango Assado,Main Dish
Portuguese,16,Costeletas de Porco,Main Dish
Portuguese,17,Febras,Main Dish
Portuguese,18,Iscas,Main Dish
Portuguese,19,Fígado,Main Dish
Portuguese,20,Coelho Assado,Main Dish
Portuguese,21,Pato Assado,Main Dish
Portuguese,22,Peru Assado,Main Dish
Portuguese,23,Vitela Assada,Main Dish
Portuguese,24,Borrego Assado,Main Dish
Portuguese,25,Costeletas de Borrego,Main Dish
Portuguese,26,Entrecosto,Main Dish
Portuguese,27,Secretos de Porco,Main Dish
Portuguese,28,Pluma de Porco,Main Dish
Portuguese,29,Bife à Portuguesa,Main Dish
Portuguese,30,Frango Grelhado,Main Dish
Thai,2,Pad Krapow,Main Dish
Thai,3,Pad Prik Gang,Main Dish
Thai,4,Pad Phong Karee,Main Dish
Thai,5,Pad Med Mamuang,Main Dish
Thai,6,Gai Pad Khing,Main Dish
Thai,7,Moo Pad Khing,Main Dish
Thai,8,Neua Pad Nam Man Hoi,Main Dish
Thai,9,Pla Rad Prik,Main Dish
Thai,10,Pla Sam Rod,Main Dish
Thai,11,Pla Rad Khing,Main Dish
Thai,12,Pla Manao,Main Dish
Thai,13,Pla Kapong Neung Manao,Main Dish
Thai,14,Goong Pad Kratiem,Main Dish
Thai,15,Pla Muek Pad Khai Khem,Main Dish
Thai,16,Hor Mok Pla,Main Dish
Thai,17,Kaeng Phed Ped Yang,Main Dish
Thai,18,Kaeng Kiew Wan Gai,Main Dish
Thai,19,Kaeng Phed Gai,Main Dish
Thai,20,Kaeng Panang Neua,Main Dish
Thai,21,Kaeng Matsaman Gai,Main Dish
Thai,22,Gai Ob Phuket,Main Dish
Thai,23,Moo Hong,Main Dish
Thai,24,Neua Toon,Main Dish
Thai,25,Kai Palo,Main Dish
Thai,26,Moo Palo,Main Dish
Thai,27,Kaeng Hang Leh,Main Dish
Thai,28,Gaeng Tai Pla,Main Dish
Thai,29,Kaeng Som Pla,Main Dish
Thai,30,Pla Kapong Tod Nam Pla,Main Dish
Turkish,8,Kuzu Pirzola,Main Dish
Turkish,9,Dana Pirzola,Main Dish
Turkish,10,Tavuk Pirzola,Main Dish
Turkish,11,Köfte Izgara,Main Dish
Turkish,12,Piliç Izgara,Main Dish
Turkish,13,Kuzu Şiş,Main Dish
Turkish,14,Dana Şiş,Main Dish
Turkish,15,Tavuk Şiş,Main Dish
Turkish,16,Karışık Izgara,Main Dish
Turkish,17,Kuzu Tandir Special,Main Dish
Turkish,18,Dana Kapama,Main Dish
Turkish,19,Etli Güveç,Main Dish
Turkish,20,Kuzu Incik,Main Dish
Turkish,21,Orman Kebabı,Main Dish
Turkish,22,Fırın Kebabı,Main Dish
Turkish,23,Çökertme Kebabı,Main Dish
Turkish,24,Patlıcanlı Kebap,Main Dish
Turkish,25,Manisa Kebabı,Main Dish
Turkish,26,Urfa Kebabı,Main Dish
Turkish,27,Beyti Kebap,Main Dish
Turkish,28,Ali Nazik Kebap,Main Dish
Turkish,29,Tavuk Sote,Main Dish
Turkish,30,Dana Sote,Main Dish
Vietnamese,5,Com Ga Nuong,Main Dish
Vietnamese,6,Com Bo Nuong,Main Dish
Vietnamese,7,Com Suon Nuong,Main Dish
Vietnamese,8,Com Thit Nuong,Main Dish
Vietnamese,9,Com Chien Duong Chau,Main Dish
Vietnamese,10,Bo Xao,Main Dish
Vietnamese,11,Ga Xao,Main Dish
Vietnamese,12,Heo Xao,Main Dish
Vietnamese,13,Tom Xao,Main Dish
Vietnamese,14,Muc Xao,Main Dish
Vietnamese,15,Ca Chien,Main Dish
Vietnamese,16,Ca Hap,Main Dish
Vietnamese,17,Ca Rim,Main Dish
Vietnamese,18,Ga Kho To,Main Dish
Vietnamese,19,Vit Kho,Main Dish
Vietnamese,20,Vit Quay,Main Dish
Vietnamese,21,Ga Quay,Main Dish
Vietnamese,22,Heo Quay,Main Dish
Vietnamese,23,Suon Ram,Main Dish
Vietnamese,24,Suon Kho,Main Dish
Vietnamese,25,Thit Heo Kho,Main Dish
Vietnamese,26,Bo Kho To,Main Dish
Vietnamese,27,Ga Hap Hanh,Main Dish
Vietnamese,28,Vit Tiem,Main Dish
Vietnamese,29,Bo Bit Tet,Main Dish
Vietnamese,30,Bo Ne,Main Dish
