id	name	date	coordinates	belligerents	outcome	casualties_estimate	significance	associated_language_changes	war_name
battle-talas	Battle of Talas	751	[42.5167,71.2333]	[{"name":"Abbasid Caliphate","civilization_id":"abbasid-caliphate"},{"name":"Tang Dynasty","civilization_id":"tang-dynasty"}]	Decisive Abbasid victory	~30000	Ended Chinese westward expansion, spread Islam in Central Asia	Turkic languages adopted Arabic script; Chinese influence in Central Asia diminished	Tang-Abbasid Conflict
battle-hastings	Battle of Hastings	1066	[50.9144,-0.4856]	[{"name":"Norman Duchy","civilization_id":null},{"name":"Anglo-Saxon England","civilization_id":null}]	Decisive Norman victory	~10000	Norman conquest of England	Norman French became language of English court and law; massive French/Latin loanwords into English	Norman Conquest
battle-manzikert	Battle of Manzikert	1071	[39.1436,43.4889]	[{"name":"Seljuk Turks","civilization_id":"ottoman-empire"},{"name":"Byzantine Empire","civilization_id":"byzantine-empire"}]	Decisive Seljuk victory	~30000	Opened Anatolia to Turkish settlement, beginning of Turkification	Turkish gradually replaced Greek in Anatolia over following centuries	Byzantine-Seljuk Wars
battle-hattin	Battle of Hattin	1187	[32.8047,35.4464]	[{"name":"Ayyubid Sultanate","civilization_id":null},{"name":"Crusader States","civilization_id":null}]	Decisive Ayyubid victory	~30000	Recapture of Jerusalem, end of Crusader dominance in Levant	Reinforced Arabic dominance; Old French Crusader dialects disappeared from region	Crusades
battle-ain-jalut	Battle of Ain Jalut	1260	[32.5564,35.3256]	[{"name":"Mamluk Sultanate","civilization_id":null},{"name":"Mongol Empire","civilization_id":"mongol-empire"}]	Decisive Mamluk victory	~20000	First major Mongol defeat, halted Mongol expansion into Africa	Preserved Arabic in Egypt and North Africa from Mongol linguistic influence	Mongol Invasions
battle-kulikovo	Battle of Kulikovo	1380	[53.6667,38.6667]	[{"name":"Grand Duchy of Moscow","civilization_id":null},{"name":"Golden Horde","civilization_id":"mongol-empire"}]	Muscovite victory	~40000	Beginning of Russian independence from Mongol rule	Russian language began shedding Tatar loanwords; Church Slavonic influence strengthened	Russo-Mongol Wars
battle-constantinople-1453	Fall of Constantinople	1453	[41.0082,28.9784]	[{"name":"Ottoman Empire","civilization_id":"ottoman-empire"},{"name":"Byzantine Empire","civilization_id":"byzantine-empire"}]	Decisive Ottoman victory	~10000	End of Byzantine Empire, Ottoman control of strategic crossroads	Turkish replaced Greek as dominant language in Constantinople; Greek scholars fled west, sparking Renaissance	Ottoman Conquest
battle-tenochtitlan	Fall of Tenochtitlan	1521	[19.4326,-99.1332]	[{"name":"Spanish Conquistadors & allies","civilization_id":null},{"name":"Aztec Empire","civilization_id":"aztec-empire"}]	Decisive Spanish victory	~100000	End of Aztec Empire, beginning of Spanish colonial rule in Mexico	Spanish imposed over Nahuatl; many Nahuatl loanwords entered Spanish (chocolate, tomato, avocado)	Spanish Conquest of Mexico
battle-cajamarca	Battle of Cajamarca	1532	[-7.1617,-78.5128]	[{"name":"Spanish Conquistadors","civilization_id":null},{"name":"Inca Empire","civilization_id":"inca-empire"}]	Decisive Spanish victory	~7000	Capture of Atahualpa, beginning of end of Inca Empire	Spanish gradually replaced Quechua as administrative language; Quechua survived as spoken language	Spanish Conquest of Peru
battle-panipat-1	First Battle of Panipat	1526	[29.3919,76.9744]	[{"name":"Mughal forces","civilization_id":"mughal-empire"},{"name":"Delhi Sultanate","civilization_id":null}]	Decisive Mughal victory	~20000	Established Mughal Empire in India	Persian became court language; Urdu emerged as fusion of Hindi, Persian, Arabic, and Turkic	Mughal Conquest
battle-lepanto	Battle of Lepanto	1571	[38.2000,21.2833]	[{"name":"Holy League","civilization_id":null},{"name":"Ottoman Empire","civilization_id":"ottoman-empire"}]	Decisive Holy League victory	~50000	Halted Ottoman naval expansion in western Mediterranean	Preserved Romance languages in western Mediterranean from Ottoman/Turkish influence	Ottoman-Habsburg Wars
battle-sekigahara	Battle of Sekigahara	1600	[35.3653,136.4617]	[{"name":"Eastern Army (Tokugawa)","civilization_id":null},{"name":"Western Army","civilization_id":null}]	Decisive Tokugawa victory	~36000	Established Tokugawa Shogunate, unified Japan	Standardization of Japanese under Edo dialect; isolation policy limited foreign loanwords	Japanese Unification Wars
battle-vienna-1683	Battle of Vienna	1683	[48.2082,16.3738]	[{"name":"Holy Roman Empire & Polish-Lithuanian Commonwealth","civilization_id":"hre"},{"name":"Ottoman Empire","civilization_id":"ottoman-empire"}]	Decisive Christian victory	~30000	Halted Ottoman expansion into Central Europe	Preserved Germanic and Slavic languages in Central Europe from Turkification	Great Turkish War
battle-poltava	Battle of Poltava	1709	[49.5888,34.5514]	[{"name":"Russian Empire","civilization_id":null},{"name":"Swedish Empire","civilization_id":null}]	Decisive Russian victory	~15000	Established Russia as major European power, ended Swedish dominance in Baltic	Russian replaced Swedish as dominant language in Baltic territories	Great Northern War
battle-plassey	Battle of Plassey	1757	[23.8000,88.2667]	[{"name":"British East India Company","civilization_id":null},{"name":"Nawab of Bengal","civilization_id":"mughal-empire"}]	Decisive British victory	~1000	Established British control of Bengal, beginning of British Raj	English became administrative language; Bengali absorbed English loanwords	British Conquest of India
battle-quebec	Battle of Quebec	1759	[46.8139,-71.2080]	[{"name":"British forces","civilization_id":null},{"name":"French forces","civilization_id":null}]	Decisive British victory	~2000	British conquest of New France	English replaced French as dominant language in most of Canada; French preserved in Quebec	Seven Years War
battle-waterloo	Battle of Waterloo	1815	[50.6803,4.4121]	[{"name":"Seventh Coalition","civilization_id":null},{"name":"French Empire (Napoleon)","civilization_id":null}]	Decisive Coalition victory	~50000	End of Napoleonic Wars, restoration of European monarchies	French declined as sole diplomatic lingua franca; English and German gained diplomatic status	Napoleonic Wars
battle-isandlwana	Battle of Isandlwana	1879	[-28.3503,30.6528]	[{"name":"Zulu Kingdom","civilization_id":null},{"name":"British Empire","civilization_id":null}]	Decisive Zulu victory	~3500	Major Zulu victory, though Britain eventually won the war	Zulu language maintained regional prestige despite eventual British control	Anglo-Zulu War
battle-adwa	Battle of Adwa	1896	[14.1792,38.9017]	[{"name":"Ethiopian Empire","civilization_id":null},{"name":"Kingdom of Italy","civilization_id":null}]	Decisive Ethiopian victory	~17000	Only African nation to defeat European colonizer, preserved Ethiopian independence	Amharic preserved as state language; no Italian colonial language imposition	First Italo-Ethiopian War
battle-tsushima	Battle of Tsushima	1905	[34.0833,129.4667]	[{"name":"Imperial Japan","civilization_id":null},{"name":"Russian Empire","civilization_id":null}]	Decisive Japanese victory	~10000	Established Japan as world power, ended Russian expansion in East Asia	Japanese gained prestige as language of modernization in East Asia	Russo-Japanese War
battle-verdun	Battle of Verdun	1916	[49.1600,5.3867]	[{"name":"French Republic","civilization_id":null},{"name":"German Empire","civilization_id":"hre"}]	French strategic victory	~700000	Bloodiest battle of WWI, symbol of French determination	Alsatian German dialects further marginalized as French reasserted sovereignty	World War I
battle-stalingrad	Battle of Stalingrad	1943	[48.7080,44.5133]	[{"name":"Soviet Union","civilization_id":null},{"name":"Nazi Germany","civilization_id":null}]	Decisive Soviet victory	~2000000	Turning point of WWII in Europe	Russian reinforced as lingua franca of Eastern Europe and Central Asia	World War II
battle-midway	Battle of Midway	1942	[28.2072,-177.3735]	[{"name":"United States","civilization_id":null},{"name":"Imperial Japan","civilization_id":null}]	Decisive American victory	~6000	Turning point of Pacific War	English solidified as dominant language of Pacific commerce and diplomacy	World War II
battle-dien-bien-phu	Battle of Dien Bien Phu	1954	[21.3833,103.0167]	[{"name":"Viet Minh","civilization_id":null},{"name":"French Union","civilization_id":null}]	Decisive Viet Minh victory	~15000	End of French colonial rule in Indochina	Vietnamese replaced French as primary language of education and administration	First Indochina War
battle-marathon	Battle of Marathon	-490	[38.1133,23.9683]	[{"name":"Athenian city-state","civilization_id":"ancient-greece"},{"name":"Achaemenid Empire","civilization_id":"persian-empire"}]	Decisive Greek victory	~7000	First major Greek victory over Persians, preserved Athenian democracy	Greek preserved as language of democratic governance and philosophy	Greco-Persian Wars
battle-cannae	Battle of Cannae	-216	[41.3050,16.1325]	[{"name":"Carthaginian forces","civilization_id":"carthage"},{"name":"Roman Republic","civilization_id":"roman-empire"}]	Decisive Carthaginian victory	~70000	Greatest Roman military defeat, but Rome ultimately persevered	Latin persisted despite defeat; Punic never gained foothold in Italy	Second Punic War
battle-carrhae	Battle of Carrhae	-53	[36.8667,39.0333]	[{"name":"Roman Republic","civilization_id":"roman-empire"},{"name":"Parthian Empire","civilization_id":"sasanian-empire"}]	Decisive Parthian victory	~30000	Halted Roman eastward expansion, established Euphrates as linguistic boundary	Latin/Greek and Aramaic/Persian maintained separate spheres of influence	Roman-Parthian Wars
battle-kadesh	Battle of Kadesh	-1274	[34.5667,36.5167]	[{"name":"Ancient Egypt","civilization_id":"ancient-egypt"},{"name":"Hittite Empire","civilization_id":"hittite-empire"}]	Stalemate	~10000	First recorded peace treaty between empires	Egyptian and Hittite languages maintained their respective spheres; Akkadian used as diplomatic lingua franca	Egyptian-Hittite Wars
battle-tours	Battle of Tours	732	[46.5803,0.6842]	[{"name":"Frankish Kingdom","civilization_id":null},{"name":"Umayyad Caliphate","civilization_id":"umayyad-caliphate"}]	Decisive Frankish victory	~12000	Halted Muslim expansion into Western Europe	Preserved Romance and Germanic languages in Western Europe from Arabic influence	Umayyad Expansion
battle-lechfeld	Battle of Lechfeld	955	[48.3500,10.9000]	[{"name":"East Francia (HRE)","civilization_id":"hre"},{"name":"Magyar tribes","civilization_id":null}]	Decisive German victory	~8000	Ended Magyar raids into Western Europe, Magyars settled in Hungary	Hungarian became geographically isolated from other Uralic languages; absorbed German loanwords	Magyar Invasions
battle-kalka-river	Battle of the Kalka River	1223	[47.2500,37.2500]	[{"name":"Mongol Empire","civilization_id":"mongol-empire"},{"name":"Kievan Rus & Cumans","civilization_id":null}]	Decisive Mongol victory	~40000	First Mongol invasion of Europe, foreshadowed Mongol conquest of Russia	Tatar/Turkic loanwords entered Russian and other Slavic languages	Mongol Invasion of Europe
battle-mohacs	Battle of Mohacs	1526	[45.9950,18.6844]	[{"name":"Ottoman Empire","civilization_id":"ottoman-empire"},{"name":"Kingdom of Hungary","civilization_id":"hre"}]	Decisive Ottoman victory	~25000	Ottoman conquest of central Hungary, division of Hungary	Turkish loanwords entered Hungarian; Ottoman Turkish became administrative language in occupied territories	Ottoman-Hungarian Wars
battle-rocroi	Battle of Rocroi	1643	[49.9264,4.5244]	[{"name":"French Kingdom","civilization_id":null},{"name":"Spanish Empire","civilization_id":null}]	Decisive French victory	~10000	End of Spanish military dominance in Europe	French replaced Spanish as primary diplomatic language of Europe	Thirty Years War
battle-rorkes-drift	Battle of Rorke's Drift	1879	[-28.3489,30.5344]	[{"name":"British Empire","civilization_id":null},{"name":"Zulu Kingdom","civilization_id":null}]	British victory	~600	Famous British defensive stand in Anglo-Zulu War	English expanded as administrative language in Zululand	Anglo-Zulu War
battle-tannenberg-1410	Battle of Grunwald/Tannenberg	1410	[53.4833,20.1000]	[{"name":"Polish-Lithuanian Union","civilization_id":null},{"name":"Teutonic Knights","civilization_id":"hre"}]	Decisive Polish-Lithuanian victory	~17000	Halted Germanic eastward expansion (Drang nach Osten)	Preserved Polish, Lithuanian, and Baltic languages from Germanization	Polish-Lithuanian-Teutonic War
battle-constantinople-717	Siege of Constantinople	717	[41.0082,28.9784]	[{"name":"Byzantine Empire","civilization_id":"byzantine-empire"},{"name":"Umayyad Caliphate","civilization_id":"umayyad-caliphate"}]	Decisive Byzantine victory	~100000	Saved Byzantine Empire for 700 more years	Greek preserved as dominant language of Anatolia and Balkans for centuries	Arab-Byzantine Wars
battle-ankara	Battle of Ankara	1402	[39.9208,32.8541]	[{"name":"Timurid Empire","civilization_id":null},{"name":"Ottoman Empire","civilization_id":"ottoman-empire"}]	Decisive Timurid victory	~40000	Temporarily halted Ottoman expansion, delayed fall of Constantinople by 50 years	Chagatai Turkic prestige rose; Ottoman Turkish development paused temporarily	Ottoman-Timurid War
battle-nicopolis	Battle of Nicopolis	1396	[43.7000,24.9000]	[{"name":"Ottoman Empire","civilization_id":"ottoman-empire"},{"name":"Crusader alliance","civilization_id":null}]	Decisive Ottoman victory	~20000	Established Ottoman dominance in Balkans	Turkish began spreading as administrative language in southeastern Europe; Slavic languages persisted locally	Ottoman Conquest of Balkans
battle-puebla	Battle of Puebla	1862	[19.0414,-98.2063]	[{"name":"Mexican Republic","civilization_id":null},{"name":"French Empire","civilization_id":null}]	Mexican victory	~1500	Symbolic Mexican victory, though French eventually took Mexico City temporarily	Spanish maintained as sole official language; no French linguistic influence in Mexico	French Intervention in Mexico
battle-blood-river	Battle of Blood River	1838	[-28.3058,30.5347]	[{"name":"Voortrekkers (Boers)","civilization_id":null},{"name":"Zulu Kingdom","civilization_id":null}]	Decisive Boer victory	~3500	Established Boer presence in Natal	Afrikaans expanded into Zulu-speaking territories	Great Trek
battle-changping	Battle of Changping	-260	[35.7833,112.8833]	[{"name":"State of Qin","civilization_id":null},{"name":"State of Zhao","civilization_id":null}]	Decisive Qin victory	~450000	Key battle leading to Qin unification of China	Qin script standardization followed unification; unified Chinese writing system imposed	Warring States Period
