id	empire_id	empire_name	year	event_type	territory_change	capital	population_estimate	ruler	government_type	vassal_states	rival_empires	associated_language_ids	description
et-013	ottoman-empire	Ottoman Empire	1299	founding	expansion	Söğüt	500000	Osman I	Beylik	[]	["Byzantine Empire","Seljuks"]	["ota"]	Osman I establishes an independent principality in northwest Anatolia
et-014	ottoman-empire	Ottoman Empire	1453	major_conquest	expansion	Constantinople	12000000	Mehmed II	Empire	["Serbia","Bosnia","Wallachia"]	["Venice","Mamluks"]	["ota","ell"]	Conquest of Constantinople ends the Byzantine Empire
et-015	ottoman-empire	Ottoman Empire	1683	peak_extent	peak	Constantinople	30000000	Mehmed IV	Empire	["Egypt","Hungary","Crimea","Hejaz"]	["Habsburg Empire","Safavid Empire"]	["ota","ara","fas"]	Ottoman Empire at greatest territorial extent before the siege of Vienna
et-016	ottoman-empire	Ottoman Empire	1922	fall	collapse	Ankara	14000000	Mehmed VI	Empire	[]	["Entente Powers"]	["tur"]	Abolition of the Ottoman sultanate following World War I
et-017	persian-achaemenid	Achaemenid Empire	-550	founding	expansion	Pasargadae	10000000	Cyrus the Great	Empire	["Media","Lydia","Babylon"]	["Egypt","Scythians"]	["peo","arc","xel"]	Cyrus the Great overthrows the Median Empire and establishes Persian rule
et-018	persian-achaemenid	Achaemenid Empire	-500	peak_extent	peak	Persepolis	50000000	Darius I	Empire	["Egypt","Ionia","Thrace","Gandhara"]	["Greek city-states","Scythians"]	["peo","arc","xel"]	Largest empire the world had yet seen, spanning from Egypt to the Indus
et-019	persian-achaemenid	Achaemenid Empire	-330	fall	collapse	Persepolis	35000000	Darius III	Empire	[]	["Macedon"]	["peo","arc"]	Alexander the Great defeats Darius III, ending the Achaemenid dynasty
et-020	han-dynasty	Han Dynasty	-202	founding	expansion	Chang'an	50000000	Liu Bang	Empire	["Nanyue","Korean kingdoms"]	["Xiongnu"]	["och"]	Liu Bang defeats Xiang Yu and establishes the Han Dynasty
et-021	han-dynasty	Han Dynasty	100	peak_extent	peak	Luoyang	60000000	Emperor He	Empire	["Western Regions","Vietnam","Korea"]	["Xiongnu remnants"]	["och"]	Han Dynasty at greatest extent with control of the Silk Road
et-022	han-dynasty	Han Dynasty	220	fall	collapse	Xuchang	40000000	Emperor Xian	Empire	[]	["Wei","Shu","Wu"]	["och"]	End of the Han Dynasty leading to the Three Kingdoms period
et-023	byzantine-empire	Byzantine Empire	330	founding	expansion	Constantinople	20000000	Constantine I	Empire	["Balkans","Anatolia","Egypt"]	["Sassanid Empire"]	["grc","latin"]	Constantine moves capital to Constantinople, founding the Eastern Roman Empire
et-024	byzantine-empire	Byzantine Empire	565	peak_extent	peak	Constantinople	26000000	Justinian I	Empire	["Italy","North Africa","Hispania"]	["Sassanid Empire","Ostrogoths"]	["grc"]	Justinian reconquers former Western Roman territories
et-025	byzantine-empire	Byzantine Empire	1204	major_loss	contraction	Nicaea	10000000	Alexios V	Empire	[]	["Latin Empire","Seljuks"]	["grc"]	Fourth Crusade sacks Constantinople, fragmenting the empire
et-026	byzantine-empire	Byzantine Empire	1453	fall	collapse	Constantinople	4000000	Constantine XI	Empire	[]	["Ottoman Empire"]	["grc"]	Fall of Constantinople to the Ottomans ends the Byzantine Empire
