id	name	route_type	waypoints	start_date	end_date	peoples	associated_languages	description	consequences
european-atlantic	European Atlantic Colonization	colonization	{"type":"LineString","coordinates":[[-10,38],[-15,35],[-20,30],[-25,25],[-30,15],[-35,10],[-40,0],[-45,-5],[-50,-10],[-55,-15],[-60,-20],[-65,-25],[-70,-33]]}	1492	1800	["Spanish","Portuguese"]	["spa","por"]	Spanish and Portuguese colonization of the Americas following Columbus's 1492 voyage	Columbian Exchange; destruction of indigenous empires; introduction of European languages, diseases, and cultures; transatlantic slave trade; creation of mestizo societies
european-asia-colonization	European Asian Colonization	colonization	{"type":"LineString","coordinates":[[-5,50],[0,48],[20,40],[30,35],[45,25],[55,20],[65,15],[75,10],[80,15],[90,20],[100,15],[105,10],[110,5]]}	1498	1900	["Portuguese","Dutch","British","French"]	["por","nld","eng","fra"]	European maritime colonization of coastal Asia from Goa to the Spice Islands, India, and Southeast Asia	Establishment of colonial trade empires; spread of European languages; transformation of Asian economies; cultural exchange and conflict; rise of English as global lingua franca
atlantic-slave-trade	Atlantic Slave Trade Routes	diaspora	{"type":"LineString","coordinates":[[-15,10],[-20,8],[-25,5],[-30,2],[-35,0],[-40,-5],[-45,-10],[-50,-15],[-55,-20],[-60,-10],[-65,5],[-70,10],[-75,15],[-80,20],[-85,25],[-80,30],[-75,35]]}	1526	1867	["West Africans","Enslaved Peoples"]	["yor","ibo","hau","eng","fra","spa","por"]	Forced transportation of millions of Africans across the Atlantic to the Americas	Creation of African diaspora cultures; development of creole languages; African cultural influence on Americas; demographic transformation of the Americas and Africa
jewish-diaspora	Jewish Diaspora	diaspora	{"type":"LineString","coordinates":[[35,32],[30,35],[25,38],[20,40],[15,42],[10,45],[5,48],[0,50],[-5,40],[0,38],[10,42],[15,50],[20,52],[25,53]]}	70	1900	["Jews","Sephardim","Ashkenazim","Mizrachim"]	["heb","arb","spa","deu","pol","rus"]	The dispersion of Jewish people from the Land of Israel following the Roman destruction of the Temple, spreading throughout the Mediterranean, Europe, and beyond	Development of distinct Jewish communities (Ashkenazi, Sephardi, Mizrahi); creation of Yiddish and Ladino; preservation of Hebrew as liturgical language; cultural contributions across host societies
romani-migration	Romani Migration	migration	{"type":"LineString","coordinates":[[75,28],[70,30],[65,33],[60,35],[55,37],[50,38],[45,40],[40,42],[35,41],[30,42],[25,44],[20,46],[15,48],[10,47],[5,48],[0,50],[-5,40],[-10,38]]}	500	1500	["Romani people","Roma","Sinti"]	["hin","ell","ron","spa","deu"]	Migration of the Romani people from northern India through Persia, the Byzantine Empire, and into Europe	Development of Romani language with layers of borrowings from Persian, Greek, and European languages; cultural distinctiveness maintained across centuries; marginalization in European societies
great-migration-us	Great Migration (US)	migration	{"type":"LineString","coordinates":[[-90,32],[-88,34],[-87,36],[-86,38],[-85,40],[-84,42],[-83,42],[-82,41],[-80,40],[-78,39],[-76,40],[-74,41]]}	1910	1970	["African Americans"]	["eng"]	Mass movement of approximately 6 million African Americans from the rural Southern United States to cities in the North, Midwest, and West	Transformation of American cities; development of jazz, blues, and other cultural forms; civil rights movement; demographic reshaping of American politics and culture
indo-aryan-migration	Indo-Aryan Migration	migration	{"type":"LineString","coordinates":[[45,48],[50,45],[55,40],[60,38],[65,35],[70,30],[75,28],[78,25],[80,22],[82,20]]}	-2000	-1000	["Indo-Aryans","Vedic peoples"]	["san","hin","ben"]	Migration of Indo-Aryan peoples from the Central Asian steppes through Afghanistan into the Indian subcontinent	Spread of Vedic culture and Sanskrit; development of Hindu religion; displacement of Dravidian languages to southern India; caste system development
turkic-migrations	Turkic Migrations	migration	{"type":"LineString","coordinates":[[90,48],[85,45],[80,42],[75,40],[70,38],[65,37],[60,38],[55,40],[50,42],[45,40],[40,38],[35,38],[30,40],[28,39]]}	500	1400	["Seljuks","Oghuz","Kipchaks","Ottomans"]	["tur","aze","uzb","kaz","kir","tuk"]	Westward migration of Turkic peoples from Central Asia through Persia into Anatolia and beyond	Turkification of Anatolia; establishment of Ottoman Empire; displacement of Greek and Armenian populations; spread of Turkic languages across Central and Western Asia
crusades	Crusades	conquest	{"type":"LineString","coordinates":[[2,49],[5,46],[8,44],[12,42],[15,40],[18,38],[22,36],[25,35],[28,34],[30,33],[32,32],[35,32]]}	1096	1291	["Franks","Normans","Germans","Italians"]	["fra","lat","deu","ita","arb"]	Military campaigns by Western European Christians to capture and hold the Holy Land	Cultural exchange between Europe and the Islamic world; introduction of Eastern goods to Europe; establishment of military orders; increased maritime trade; deterioration of Christian-Muslim relations
portuguese-maritime	Portuguese Maritime Route to India	trade	{"type":"LineString","coordinates":[[-9,39],[-15,33],[-18,25],[-17,15],[-10,5],[0,0],[5,-5],[10,-15],[15,-25],[20,-33],[25,-34],[30,-30],[35,-25],[40,-15],[42,-10],[44,-5],[48,0],[52,5],[58,10],[65,15],[70,18],[73,15]]}	1498	1600	["Portuguese"]	["por"]	Vasco da Gama's sea route around the Cape of Good Hope to India, establishing direct European maritime trade with Asia	Bypass of overland trade routes and Muslim intermediaries; Portuguese trading empire in Indian Ocean; introduction of European naval power to Asian waters; global maritime trade network
spice-trade	Spice Trade Maritime Routes	trade	{"type":"LineString","coordinates":[[73,15],[78,10],[82,8],[88,15],[92,20],[96,15],[100,5],[104,2],[108,0],[112,-5],[115,-7],[120,-8],[125,-5],[130,0]]}	-300	1700	["Indians","Arabs","Malays","Chinese","Portuguese","Dutch"]	["arb","ind","msa","cmn","por","nld"]	Maritime trade routes connecting South Asia, Southeast Asia, and the Spice Islands, carrying cloves, nutmeg, pepper, and cinnamon	Economic driver of maritime empires; motivation for European age of exploration; cultural exchange across Indian and Pacific Oceans; spread of Islam to Southeast Asia
trail-of-tears	Trail of Tears	diaspora	{"type":"LineString","coordinates":[[-84,35],[-86,35],[-88,35],[-90,35],[-92,35],[-94,35],[-96,36]]}	1830	1850	["Cherokee","Chickasaw","Choctaw","Creek","Seminole"]	["eng"]	Forced relocation of Native American nations from southeastern United States to Indian Territory (Oklahoma)	Devastating loss of life; destruction of indigenous communities; cultural disruption; legal precedents regarding indigenous rights; intergenerational trauma
phoenician-trade	Phoenician Trade Network	trade	{"type":"LineString","coordinates":[[35,34],[33,35],[30,36],[25,37],[20,38],[15,37],[10,38],[5,37],[0,36],[-5,36],[-8,35],[-10,35]]}	-1200	-300	["Phoenicians","Carthaginians"]	["heb","grc","lat"]	Phoenician maritime trading network spanning the entire Mediterranean, establishing colonies including Carthage	Spread of the Phoenician alphabet (ancestor of Greek, Latin, Arabic scripts); establishment of Carthage; cultural exchange across Mediterranean; development of maritime commerce
han-dynasty-expansion	Han Dynasty Expansion	conquest	{"type":"LineString","coordinates":[[115,35],[110,38],[105,40],[100,42],[95,40],[90,38],[85,40],[80,42],[75,40]]}	-206	220	["Han Chinese"]	["cmn"]	Military expansion of the Han Dynasty westward into Central Asia, establishing control over Silk Road routes	Opening of Silk Road; Chinese influence in Central Asia; cultural exchange with Rome; spread of Chinese goods and technology westward; establishment of tributary system
irish-diaspora	Irish Diaspora	diaspora	{"type":"LineString","coordinates":[[-8,53],[-10,53],[-15,52],[-20,50],[-30,48],[-40,47],[-50,45],[-60,43],[-70,42],[-74,41]]}	1845	1920	["Irish"]	["gle","eng"]	Mass emigration from Ireland, primarily during and after the Great Famine, to North America, Britain, and Australia	Irish cultural influence in diaspora countries; political movements (Fenian, Home Rule); transformation of American cities; maintenance of Irish identity abroad
malay-archipelago-trade	Malay Archipelago Trade	trade	{"type":"LineString","coordinates":[[100,3],[103,1],[105,0],[107,-2],[110,-5],[112,-7],[115,-8],[118,-5],[120,0],[122,5],[125,8]]}	100	1500	["Malays","Javanese","Bugis","Chinese","Indians"]	["msa","jav","ind","cmn"]	Maritime trade networks throughout the Malay Archipelago connecting India, China, and the Spice Islands	Spread of Hinduism and Buddhism, then Islam to Southeast Asia; development of maritime Malay as lingua franca; growth of trading sultanates; cultural synthesis of Indian, Chinese, and local traditions
african-great-migration	Early Human Migration to Europe	migration	{"type":"LineString","coordinates":[[36,32],[34,34],[32,36],[30,38],[28,40],[25,42],[22,44],[18,46],[15,48],[10,48],[5,49],[0,50],[-5,48],[-8,43]]}	-45000	-30000	["Early Modern Humans"]	[]	Migration of modern humans from the Levant into Europe, eventually replacing Neanderthal populations	Replacement of Neanderthals; cave art traditions; development of European hunter-gatherer cultures; genetic admixture with Neanderthals
land-bridge-americas	Beringia Land Bridge Migration	migration	{"type":"LineString","coordinates":[[170,65],[175,66],[-175,66],[-168,65],[-160,63],[-155,62],[-150,60],[-145,58],[-140,55],[-135,52],[-130,48],[-125,45],[-120,40],[-115,35],[-110,30],[-105,25],[-100,20],[-95,15],[-90,10],[-85,5],[-80,0],[-75,-5],[-70,-10],[-65,-20],[-60,-30],[-55,-40]]}	-20000	-10000	["Paleo-Indians","First Peoples"]	[]	Migration of humans from Siberia across the Bering land bridge into the Americas during the last Ice Age	Colonization of the Americas; development of diverse indigenous cultures and languages; extinction of Pleistocene megafauna; independent invention of agriculture
arab-indian-ocean	Arab Indian Ocean Trade	trade	{"type":"LineString","coordinates":[[45,22],[48,20],[50,18],[52,15],[54,12],[55,8],[52,5],[50,0],[48,-5],[45,-8],[42,-10],[40,-12]]}	700	1500	["Arabs","Swahili","Persians"]	["arb","swa"]	Arab maritime trade in the Indian Ocean connecting the Arabian Peninsula with the East African coast	Spread of Islam to East Africa; development of Swahili language and culture; establishment of trading city-states (Kilwa, Zanzibar, Mombasa); cultural fusion of Arab and Bantu traditions
gothic-migrations	Gothic Migrations	migration	{"type":"LineString","coordinates":[[18,56],[20,53],[22,50],[24,48],[26,46],[28,44],[30,42],[28,40],[25,38],[20,38],[15,38],[10,40],[5,42],[0,40],[-5,38],[-8,37]]}	200	500	["Visigoths","Ostrogoths"]	["got","lat","spa"]	Migration of Gothic peoples from Scandinavia and the Baltic through Eastern Europe and into the Roman Empire	Sack of Rome; establishment of Visigothic kingdom in Iberia and Ostrogothic kingdom in Italy; contribution to fall of Western Roman Empire; Gothic influence on Romance languages
hungarian-migration	Hungarian Migration	migration	{"type":"LineString","coordinates":[[55,52],[50,50],[45,48],[40,47],[35,48],[30,48],[25,47],[20,47]]}	895	907	["Magyars"]	["hun"]	Migration of the Magyar people from the Ural-Volga region across the Pontic steppe into the Carpathian Basin	Establishment of the Kingdom of Hungary; introduction of a Uralic language into Central Europe surrounded by Indo-European speakers; Hungarian raids across Europe before settling
