id	source_word	source_language	target_word	target_language	relation_type
er0196	boc	ang	buoh	goh	cognate
er0197	blod	ang	bloþ	got	cognate
er0198	blod	ang	blóð	non	cognate
er0199	blod	ang	bluot	goh	cognate
er0200	ban	ang	*bain	got	cognate
er0201	ban	ang	bein	non	cognate
er0202	ban	ang	bein	goh	cognate
er0203	adventura	lat	aventure	fra	etymology
er0204	aventure	fra	adventure	eng	derived_from
er0205	animal	lat	animal	fra	etymology
er0206	animal	fra	animal	eng	derived_from
er0207	armata	lat	armee	fra	etymology
er0208	armee	fra	army	eng	derived_from
er0209	bandum	lat	baniere	fra	etymology
er0210	baniere	fra	banner	eng	derived_from
er0211	battuere	lat	batre	fra	etymology
er0212	batre	fra	battle	eng	derived_from
er0213	bellus	lat	bel	fra	etymology
er0214	bel	fra	beauty	eng	derived_from
er0215	camera	lat	chambre	fra	etymology
er0216	chambre	fra	chamber	eng	derived_from
er0217	capitaneus	lat	capitaine	fra	etymology
er0218	capitaine	fra	captain	eng	derived_from
er0219	castellum	lat	castel	fra	etymology
er0220	castel	fra	castle	eng	derived_from
er0221	causa	lat	cause	fra	etymology
er0222	cause	fra	cause	eng	derived_from
er0223	certus	lat	certain	fra	etymology
er0224	certain	fra	certain	eng	derived_from
er0225	colorem	lat	colour	fra	etymology
er0226	colour	fra	color	eng	derived_from
er0227	companionem	lat	compaignon	fra	etymology
er0228	compaignon	fra	companion	eng	derived_from
er0229	computare	lat	conter	fra	etymology
er0230	conter	fra	count	eng	derived_from
er0231	conventus	lat	covent	fra	etymology
er0232	covent	fra	convent	eng	derived_from
er0233	corona	lat	corone	fra	etymology
er0234	corone	fra	crown	eng	derived_from
er0235	crucem	lat	croiz	fra	etymology
er0236	croiz	fra	cross	eng	derived_from
er0237	culpam	lat	colpe	fra	etymology
er0238	colpe	fra	culprit	eng	derived_from
er0239	damnare	lat	damner	fra	etymology
er0240	damner	fra	damn	eng	derived_from
er0241	debere	lat	devoir	fra	etymology
er0242	devoir	fra	debt	eng	derived_from
er0243	defensare	lat	defendre	fra	etymology
er0244	defendre	fra	defend	eng	derived_from
er0245	desiderare	lat	desirer	fra	etymology
er0246	desirer	fra	desire	eng	derived_from
er0247	ducem	lat	duc	fra	etymology
er0248	duc	fra	duke	eng	derived_from
er0249	educere	lat	eduquer	fra	etymology
er0250	eduquer	fra	educate	eng	derived_from
er0251	exercitum	lat	exercite	fra	etymology
er0252	exercite	fra	exercise	eng	derived_from
er0253	experientia	lat	experience	fra	etymology
er0254	experience	fra	experience	eng	derived_from
er0255	fabrica	lat	forge	fra	etymology
er0256	forge	fra	forge	eng	derived_from
er0257	factum	lat	fait	fra	etymology
er0258	fait	fra	fact	eng	derived_from
er0259	familiam	lat	famille	fra	etymology
er0260	famille	fra	family	eng	derived_from
er0261	festivum	lat	feste	fra	etymology
er0262	feste	fra	feast	eng	derived_from
er0263	finem	lat	fin	fra	etymology
er0264	fin	fra	fine	eng	derived_from
er0265	florem	lat	flour	fra	etymology
er0266	flour	fra	flower	eng	derived_from
er0267	fortunam	lat	fortune	fra	etymology
er0268	fortune	fra	fortune	eng	derived_from
er0269	gentem	lat	gent	fra	etymology
er0270	gent	fra	gentle	eng	derived_from
er0271	gloriam	lat	gloire	fra	etymology
er0272	gloire	fra	glory	eng	derived_from
er0273	gratiam	lat	grace	fra	etymology
er0274	grace	fra	grace	eng	derived_from
er0275	honorem	lat	honour	fra	etymology
er0276	honour	fra	honor	eng	derived_from
er0277	hospitale	lat	hospital	fra	etymology
er0278	hospital	fra	hospital	eng	derived_from
er0279	imaginare	lat	imaginer	fra	etymology
er0280	imaginer	fra	imagine	eng	derived_from
er0281	imperium	lat	empire	fra	etymology
er0282	empire	fra	empire	eng	derived_from
er0283	judicare	lat	juger	fra	etymology
er0284	juger	fra	judge	eng	derived_from
er0285	justitiam	lat	justice	fra	etymology
er0286	justice	fra	justice	eng	derived_from
er0287	laborare	lat	labourer	fra	etymology
er0288	labourer	fra	labor	eng	derived_from
er0289	legem	lat	lei	fra	etymology
er0290	lei	fra	law	eng	derived_from
er0291	libertatem	lat	liberte	fra	etymology
er0292	liberte	fra	liberty	eng	derived_from
er0293	linguam	lat	langue	fra	etymology
er0294	langue	fra	language	eng	derived_from
er0295	litteram	lat	lettre	fra	etymology
er0296	lettre	fra	letter	eng	derived_from
er0297	luxuriam	lat	luxure	fra	etymology
er0298	luxure	fra	luxury	eng	derived_from
er0299	magistrum	lat	maistre	fra	etymology
er0300	maistre	fra	master	eng	derived_from
er0301	mansionem	lat	maison	fra	etymology
er0302	maison	fra	mansion	eng	derived_from
er0303	materiam	lat	matiere	fra	etymology
er0304	matiere	fra	matter	eng	derived_from
er0305	medicinam	lat	medicine	fra	etymology
er0306	medicine	fra	medicine	eng	derived_from
er0307	memoriam	lat	memoire	fra	etymology
er0308	memoire	fra	memory	eng	derived_from
er0309	miraculum	lat	miracle	fra	etymology
er0310	miracle	fra	miracle	eng	derived_from
er0311	missionem	lat	mission	fra	etymology
er0312	mission	fra	mission	eng	derived_from
er0313	monasterium	lat	moustier	fra	etymology
er0314	moustier	fra	monastery	eng	derived_from
er0315	naturam	lat	nature	fra	etymology
er0316	nature	fra	nature	eng	derived_from
er0317	nobilem	lat	noble	fra	etymology
er0318	noble	fra	noble	eng	derived_from
er0319	numerum	lat	nombre	fra	etymology
er0320	nombre	fra	number	eng	derived_from
er0321	objectum	lat	objet	fra	etymology
er0322	objet	fra	object	eng	derived_from
er0323	officium	lat	office	fra	etymology
er0324	office	fra	office	eng	derived_from
er0325	opinionem	lat	opinion	fra	etymology
er0326	opinion	fra	opinion	eng	derived_from
er0327	ordinem	lat	ordre	fra	etymology
er0328	ordre	fra	order	eng	derived_from
er0329	palatium	lat	palais	fra	etymology
er0330	palais	fra	palace	eng	derived_from
er0331	passionem	lat	passion	fra	etymology
er0332	passion	fra	passion	eng	derived_from
er0333	pacem	lat	paix	fra	etymology
er0334	paix	fra	peace	eng	derived_from
er0335	personam	lat	persone	fra	etymology
er0336	persone	fra	person	eng	derived_from
er0337	philosophiam	lat	philosophie	fra	etymology
er0338	philosophie	fra	philosophy	eng	derived_from
er0339	planetam	lat	planete	fra	etymology
er0340	planete	fra	planet	eng	derived_from
er0341	poenam	lat	peine	fra	etymology
er0342	peine	fra	pain	eng	derived_from
er0343	portam	lat	porte	fra	etymology
er0344	porte	fra	port	eng	derived_from
er0345	potionem	lat	poison	fra	etymology
er0346	poison	fra	poison	eng	derived_from
er0347	pretium	lat	pris	fra	etymology
er0348	pris	fra	price	eng	derived_from
er0349	principem	lat	prince	fra	etymology
er0350	prince	fra	prince	eng	derived_from
er0351	profectum	lat	profit	fra	etymology
er0352	profit	fra	profit	eng	derived_from
er0353	qualitatem	lat	qualite	fra	etymology
er0354	qualite	fra	quality	eng	derived_from
er0355	rationem	lat	raison	fra	etymology
er0356	raison	fra	reason	eng	derived_from
er0357	regem	lat	roi	fra	etymology
er0358	roi	fra	royal	eng	derived_from
er0359	religionem	lat	religion	fra	etymology
er0360	religion	fra	religion	eng	derived_from
er0361	reputationem	lat	reputation	fra	etymology
er0362	reputation	fra	reputation	eng	derived_from
er0363	responsam	lat	response	fra	etymology
er0364	response	fra	response	eng	derived_from
er0365	revolutionem	lat	revolution	fra	etymology
er0366	revolution	fra	revolution	eng	derived_from
er0367	sacrum	lat	sacre	fra	etymology
er0368	sacre	fra	sacred	eng	derived_from
er0369	scientiam	lat	science	fra	etymology
er0370	science	fra	science	eng	derived_from
er0371	servitium	lat	service	fra	etymology
er0372	service	fra	service	eng	derived_from
er0373	societatem	lat	societe	fra	etymology
er0374	societe	fra	society	eng	derived_from
er0375	solutionem	lat	solution	fra	etymology
er0376	solution	fra	solution	eng	derived_from
er0377	spiritum	lat	esprit	fra	etymology
er0378	esprit	fra	spirit	eng	derived_from
er0379	statum	lat	estat	fra	etymology
er0380	estat	fra	state	eng	derived_from
er0381	tempus	lat	temps	fra	etymology
er0382	temps	fra	time	eng	derived_from
er0383	terrorem	lat	terreur	fra	etymology
er0384	terreur	fra	terror	eng	derived_from
er0385	thesaurum	lat	tresor	fra	etymology
er0386	tresor	fra	treasure	eng	derived_from
er0387	traditionem	lat	tradition	fra	etymology
er0388	tradition	fra	tradition	eng	derived_from
er0389	unitatem	lat	unite	fra	etymology
er0390	unite	fra	unity	eng	derived_from
er0391	universalem	lat	universel	fra	etymology
er0392	universel	fra	universal	eng	derived_from
er0393	victoriam	lat	victoire	fra	etymology
er0394	victoire	fra	victory	eng	derived_from
er0395	villam	lat	ville	fra	etymology
er0396	ville	fra	village	eng	derived_from
er0397	virtutem	lat	vertu	fra	etymology
er0398	vertu	fra	virtue	eng	derived_from
er0399	visionem	lat	vision	fra	etymology
er0400	vision	fra	vision	eng	derived_from
er0401	vocem	lat	voiz	fra	etymology
er0402	voiz	fra	voice	eng	derived_from
er0403	voluntatem	lat	volonte	fra	etymology
er0404	volonte	fra	volunteer	eng	derived_from
er0405	aqua	lat	aqua	eng	borrowed_from
er0406	bonus	lat	bonus	eng	borrowed_from
er0407	campus	lat	campus	eng	borrowed_from
er0408	data	lat	data	eng	borrowed_from
er0409	ego	lat	ego	eng	borrowed_from
er0410	formula	lat	formula	eng	borrowed_from
er0411	genius	lat	genius	eng	borrowed_from
er0412	habitat	lat	habitat	eng	borrowed_from
er0413	index	lat	index	eng	borrowed_from
er0414	junior	lat	junior	eng	borrowed_from
er0415	labor	lat	labor	eng	borrowed_from
er0416	major	lat	major	eng	borrowed_from
er0417	minor	lat	minor	eng	borrowed_from
er0418	nucleus	lat	nucleus	eng	borrowed_from
er0419	opera	lat	opera	eng	borrowed_from
er0420	prior	lat	prior	eng	borrowed_from
er0421	quota	lat	quota	eng	borrowed_from
er0422	radius	lat	radius	eng	borrowed_from
er0423	senior	lat	senior	eng	borrowed_from
er0424	status	lat	status	eng	borrowed_from
er0425	terminus	lat	terminus	eng	borrowed_from
er0426	ultra	lat	ultra	eng	borrowed_from
er0427	versus	lat	versus	eng	borrowed_from
er0428	villa	lat	villa	eng	borrowed_from
er0429	axis	lat	axis	eng	borrowed_from
er0430	basis	lat	basis	eng	borrowed_from
er0431	census	lat	census	eng	borrowed_from
er0432	deficit	lat	deficit	eng	borrowed_from
er0433	exit	lat	exit	eng	borrowed_from
er0434	focus	lat	focus	eng	borrowed_from
er0435	genus	lat	genus	eng	borrowed_from
er0436	item	lat	item	eng	borrowed_from
er0437	matrix	lat	matrix	eng	borrowed_from
er0438	nexus	lat	nexus	eng	borrowed_from
er0439	opus	lat	opus	eng	borrowed_from
er0440	plus	lat	plus	eng	borrowed_from
er0441	series	lat	series	eng	borrowed_from
er0442	stimulus	lat	stimulus	eng	borrowed_from
er0443	tribunal	lat	tribunal	eng	borrowed_from
er0444	vacuum	lat	vacuum	eng	borrowed_from
er0445	veto	lat	veto	eng	borrowed_from
er0446	virus	lat	virus	eng	borrowed_from
er0447	alibi	lat	alibi	eng	borrowed_from
er0448	alumni	lat	alumni	eng	borrowed_from
er0449	antenna	lat	antenna	eng	borrowed_from
er0450	circa	lat	circa	eng	borrowed_from
er0451	curriculum	lat	curriculum	eng	borrowed_from
er0452	ergo	lat	ergo	eng	borrowed_from
er0453	extra	lat	extra	eng	borrowed_from
er0454	interim	lat	interim	eng	borrowed_from
er0455	maximum	lat	maximum	eng	borrowed_from
er0456	minimum	lat	minimum	eng	borrowed_from
er0457	referendum	lat	referendum	eng	borrowed_from
er0458	aquam	lat	agua	spa	etymology
er0459	aquam	lat	eau	fra	etymology
er0460	aquam	lat	acqua	ita	etymology
er0461	aquam	lat	água	por	etymology
er0462	aquam	lat	apă	ron	etymology
er0463	agua	spa	eau	fra	cognate
er0464	agua	spa	acqua	ita	cognate
er0465	água	por	agua	spa	cognate
er0466	focum	lat	fuego	spa	etymology
er0467	focum	lat	feu	fra	etymology
er0468	focum	lat	fuoco	ita	etymology
er0469	focum	lat	fogo	por	etymology
er0470	focum	lat	foc	ron	etymology
er0471	fuego	spa	feu	fra	cognate
er0472	fuego	spa	fuoco	ita	cognate
er0473	fogo	por	fuego	spa	cognate
er0474	terram	lat	tierra	spa	etymology
er0475	terram	lat	terre	fra	etymology
er0476	terram	lat	terra	ita	etymology
er0477	terram	lat	terra	por	etymology
er0478	terram	lat	țară	ron	etymology
er0479	tierra	spa	terre	fra	cognate
er0480	tierra	spa	terra	ita	cognate
er0481	terra	por	tierra	spa	cognate
er0482	caelum	lat	cielo	spa	etymology
er0483	caelum	lat	ciel	fra	etymology
er0484	caelum	lat	cielo	ita	etymology
er0485	caelum	lat	céu	por	etymology
er0486	caelum	lat	cer	ron	etymology
er0487	cielo	spa	ciel	fra	cognate
er0488	cielo	spa	cielo	ita	cognate
er0489	céu	por	cielo	spa	cognate
er0490	noctem	lat	noche	spa	etymology
er0491	noctem	lat	nuit	fra	etymology
er0492	noctem	lat	notte	ita	etymology
er0493	noctem	lat	noite	por	etymology
er0494	noctem	lat	noapte	ron	etymology
er0495	noche	spa	nuit	fra	cognate
er0496	noche	spa	notte	ita	cognate
er0497	noite	por	noche	spa	cognate
er0498	diem	lat	día	spa	etymology
er0499	diem	lat	jour	fra	etymology
er0500	diem	lat	giorno	ita	etymology
er0501	diem	lat	dia	por	etymology
er0502	diem	lat	zi	ron	etymology
er0503	día	spa	jour	fra	cognate
er0504	día	spa	giorno	ita	cognate
er0505	dia	por	día	spa	cognate
er0506	hominem	lat	hombre	spa	etymology
er0507	hominem	lat	homme	fra	etymology
er0508	hominem	lat	uomo	ita	etymology
er0509	hominem	lat	homem	por	etymology
er0510	hominem	lat	om	ron	etymology
er0511	hombre	spa	homme	fra	cognate
er0512	hombre	spa	uomo	ita	cognate
er0513	homem	por	hombre	spa	cognate
er0514	feminam	lat	hembra	spa	etymology
er0515	feminam	lat	femme	fra	etymology
er0516	feminam	lat	femmina	ita	etymology
er0517	feminam	lat	fêmea	por	etymology
er0518	feminam	lat	femeie	ron	etymology
er0519	hembra	spa	femme	fra	cognate
er0520	hembra	spa	femmina	ita	cognate
er0521	fêmea	por	hembra	spa	cognate
er0522	filium	lat	hijo	spa	etymology
er0523	filium	lat	fils	fra	etymology
er0524	filium	lat	figlio	ita	etymology
er0525	filium	lat	filho	por	etymology
er0526	filium	lat	fiu	ron	etymology
er0527	hijo	spa	fils	fra	cognate
er0528	hijo	spa	figlio	ita	cognate
er0529	filho	por	hijo	spa	cognate
er0530	filiam	lat	hija	spa	etymology
er0531	filiam	lat	fille	fra	etymology
er0532	filiam	lat	figlia	ita	etymology
er0533	filiam	lat	filha	por	etymology
er0534	filiam	lat	fiică	ron	etymology
er0535	hija	spa	fille	fra	cognate
er0536	hija	spa	figlia	ita	cognate
er0537	filha	por	hija	spa	cognate
er0538	matrem	lat	madre	spa	etymology
er0539	matrem	lat	mère	fra	etymology
er0540	matrem	lat	madre	ita	etymology
er0541	matrem	lat	mãe	por	etymology
er0542	matrem	lat	mamă	ron	etymology
er0543	madre	spa	mère	fra	cognate
er0544	madre	spa	madre	ita	cognate
er0545	mãe	por	madre	spa	cognate
er0546	patrem	lat	padre	spa	etymology
er0547	patrem	lat	père	fra	etymology
er0548	patrem	lat	padre	ita	etymology
er0549	patrem	lat	pai	por	etymology
er0550	patrem	lat	tată	ron	etymology
er0551	padre	spa	père	fra	cognate
er0552	padre	spa	padre	ita	cognate
er0553	pai	por	padre	spa	cognate
er0554	fratrem	lat	hermano	spa	etymology
er0555	fratrem	lat	frère	fra	etymology
er0556	fratrem	lat	fratello	ita	etymology
er0557	fratrem	lat	irmão	por	etymology
er0558	fratrem	lat	frate	ron	etymology
er0559	hermano	spa	frère	fra	cognate
er0560	hermano	spa	fratello	ita	cognate
er0561	irmão	por	hermano	spa	cognate
er0562	cor	lat	corazón	spa	etymology
er0563	cor	lat	cœur	fra	etymology
er0564	cor	lat	cuore	ita	etymology
er0565	cor	lat	coração	por	etymology
er0566	cor	lat	cord	ron	etymology
er0567	corazón	spa	cœur	fra	cognate
er0568	corazón	spa	cuore	ita	cognate
er0569	coração	por	corazón	spa	cognate
er0570	manum	lat	mano	spa	etymology
er0571	manum	lat	main	fra	etymology
er0572	manum	lat	mano	ita	etymology
er0573	manum	lat	mão	por	etymology
er0574	manum	lat	mână	ron	etymology
er0575	mano	spa	main	fra	cognate
er0576	mano	spa	mano	ita	cognate
er0577	mão	por	mano	spa	cognate
er0578	pedem	lat	pie	spa	etymology
er0579	pedem	lat	pied	fra	etymology
er0580	pedem	lat	piede	ita	etymology
er0581	pedem	lat	pé	por	etymology
er0582	pedem	lat	picior	ron	etymology
er0583	pie	spa	pied	fra	cognate
er0584	pie	spa	piede	ita	cognate
er0585	pé	por	pie	spa	cognate
er0586	oculum	lat	ojo	spa	etymology
er0587	oculum	lat	œil	fra	etymology
er0588	oculum	lat	occhio	ita	etymology
er0589	oculum	lat	olho	por	etymology
er0590	oculum	lat	ochi	ron	etymology
er0591	ojo	spa	œil	fra	cognate
er0592	ojo	spa	occhio	ita	cognate
er0593	olho	por	ojo	spa	cognate
er0594	aurem	lat	oreja	spa	etymology
er0595	aurem	lat	oreille	fra	etymology
er0596	aurem	lat	orecchio	ita	etymology
er0597	aurem	lat	orelha	por	etymology
er0598	aurem	lat	ureche	ron	etymology
er0599	oreja	spa	oreille	fra	cognate
er0600	oreja	spa	orecchio	ita	cognate
er0601	orelha	por	oreja	spa	cognate
er0602	linguam	lat	lengua	spa	etymology
er0603	linguam	lat	langue	fra	etymology
er0604	linguam	lat	lingua	ita	etymology
er0605	linguam	lat	língua	por	etymology
er0606	linguam	lat	limbă	ron	etymology
er0607	lengua	spa	langue	fra	cognate
er0608	lengua	spa	lingua	ita	cognate
er0609	língua	por	lengua	spa	cognate
er0610	caput	lat	cabeza	spa	etymology
er0611	caput	lat	chef	fra	etymology
er0612	caput	lat	capo	ita	etymology
er0613	caput	lat	cabeça	por	etymology
er0614	caput	lat	cap	ron	etymology
er0615	cabeza	spa	chef	fra	cognate
er0616	cabeza	spa	capo	ita	cognate
er0617	cabeça	por	cabeza	spa	cognate
er0618	vitam	lat	vida	spa	etymology
er0619	vitam	lat	vie	fra	etymology
er0620	vitam	lat	vita	ita	etymology
er0621	vitam	lat	vida	por	etymology
er0622	vitam	lat	viață	ron	etymology
er0623	vida	spa	vie	fra	cognate
er0624	vida	spa	vita	ita	cognate
er0625	vida	por	vida	spa	cognate
er0626	mortem	lat	muerte	spa	etymology
er0627	mortem	lat	mort	fra	etymology
er0628	mortem	lat	morte	ita	etymology
er0629	mortem	lat	morte	por	etymology
er0630	mortem	lat	moarte	ron	etymology
er0631	muerte	spa	mort	fra	cognate
er0632	muerte	spa	morte	ita	cognate
er0633	morte	por	muerte	spa	cognate
er0634	tempus	lat	tiempo	spa	etymology
er0635	tempus	lat	temps	fra	etymology
er0636	tempus	lat	tempo	ita	etymology
er0637	tempus	lat	tempo	por	etymology
er0638	tempus	lat	timp	ron	etymology
er0639	tiempo	spa	temps	fra	cognate
er0640	tiempo	spa	tempo	ita	cognate
er0641	tempo	por	tiempo	spa	cognate
er0642	annum	lat	año	spa	etymology
er0643	annum	lat	an	fra	etymology
er0644	annum	lat	anno	ita	etymology
er0645	annum	lat	ano	por	etymology
er0646	annum	lat	an	ron	etymology
er0647	año	spa	an	fra	cognate
er0648	año	spa	anno	ita	cognate
er0649	ano	por	año	spa	cognate
er0650	mensem	lat	mes	spa	etymology
er0651	mensem	lat	mois	fra	etymology
er0652	mensem	lat	mese	ita	etymology
er0653	mensem	lat	mês	por	etymology
