id	name	native_name	time_period_start	time_period_end	time_period_label	associated_language_ids	writing_systems	political_structure	capital	population	haplogroup_ids	cuisine_id	sources	description	wikidata_qid	source_url	retrieved_at	confidence
inca-empire	Inca Empire	Tawantinsuyu	1438	1533	Inca Empire (1438-1533 CE)	["que"]	["Quipu"]	Empire	Cusco	12000000	["Q1"]	peruvian	["Spanish chronicles","Archaeological evidence"]	Largest empire in pre-Columbian America, renowned for its road system, terraced agriculture, and administrative sophistication				
maya-civilization	Maya Civilization		-2000	1697	Maya Civilization (2000 BCE - 1697 CE)	["nah"]	["Maya hieroglyphs"]	City-states	Tikal	10000000	["Q1"]	mexican	["Maya codices","Archaeological sites"]	Mesoamerican civilization known for its advanced writing system, astronomical knowledge, mathematical concepts, and monumental architecture				
khmer-empire	Khmer Empire	ចក្រភពខ្មែរ	802	1431	Khmer Empire (802-1431 CE)	["khm"]	["Khmer script"]	Empire	Angkor	2000000	["O2","O1"]	thai	["Inscriptions","Archaeological evidence at Angkor"]	Southeast Asian empire centered on Angkor, builders of the largest religious monument in the world, Angkor Wat				
mali-empire	Mali Empire		1235	1600	Mali Empire (1235-1600 CE)	["yor"]	["Arabic script"]	Empire	Niani	20000000	["E1b1a1"]		["Arabic traveler accounts","Oral traditions"]	Wealthy West African empire known for Mansa Musa's legendary pilgrimage and the great center of learning at Timbuktu				
songhai-empire	Songhai Empire		1430	1591	Songhai Empire (1430-1591 CE)	["yor"]	["Arabic script"]	Empire	Gao	15000000	["E1b1a1"]		["Arabic sources","Timbuktu manuscripts"]	Largest empire in African history, succeeding Mali, with Timbuktu as a major intellectual and trade center				
great-zimbabwe	Great Zimbabwe		1100	1450	Great Zimbabwe (1100-1450 CE)	["swh"]	["None"]	Kingdom	Great Zimbabwe	500000	["E1b1a1"]		["Archaeological evidence","Portuguese accounts"]	Medieval African kingdom known for its massive stone enclosures, long-distance trade networks, and cattle-based economy				
carthage	Carthage	Qart-hadašt	-814	-146	Carthage (814-146 BCE)	["arc"]	["Phoenician alphabet"]	Republic	Carthage	700000	["J2","E1b1b1a"]		["Roman historical records","Archaeological evidence"]	Powerful maritime civilization in North Africa, major rival of Rome in the Punic Wars				
phoenicia	Phoenicia	𐤊𐤍𐤏𐤍	-1500	-539	Phoenicia (1500-539 BCE)	["arc"]	["Phoenician alphabet"]	City-states	Tyre	1000000	["J2"]		["Ancient texts","Archaeological evidence"]	Maritime trading civilization that invented the alphabet, established colonies across the Mediterranean including Carthage				
indus-valley	Indus Valley Civilization		-3300	-1300	Indus Valley Civilization (3300-1300 BCE)	["hin"]	["Undeciphered"]	City-states	Mohenjo-daro	5000000	["H","L","R1a"]	indian	["Archaeological evidence","Seal inscriptions"]	One of the earliest urban civilizations, known for advanced city planning, drainage systems, and standardized weights and measures				
shang-dynasty	Shang Dynasty	商朝	-1600	-1046	Shang Dynasty (1600-1046 BCE)	["cmn"]	["Oracle bone script"]	Kingdom	Yin	10000000	["O3"]	chinese	["Oracle bone inscriptions","Bronze artifacts"]	Earliest archaeologically verified Chinese dynasty, known for bronze casting, oracle bone divination, and early Chinese writing				
hittite-empire	Hittite Empire	𒄩𒀜𒌅𒊭	-1600	-1178	Hittite Empire (1600-1178 BCE)	["hit"]	["Cuneiform","Anatolian hieroglyphs"]	Empire	Hattusa	3000000	["J2","G2a"]		["Cuneiform tablets","Archaeological evidence at Hattusa"]	Anatolian empire that rivaled Egypt, known for early iron use, diplomatic treaties, and one of the earliest known Indo-European languages				
umayyad-caliphate	Umayyad Caliphate	الخلافة الأموية	661	750	Umayyad Caliphate (661-750 CE)	["arb"]	["Arabic script"]	Caliphate	Damascus	62000000	["J1","E1b1b1a"]		["Islamic historical sources","Archaeological evidence"]	Second of the four major caliphates, expanding the Islamic world from Spain to Central Asia and establishing Arabic as the administrative language				
abbasid-caliphate	Abbasid Caliphate	الخلافة العباسية	750	1258	Abbasid Caliphate (750-1258 CE)	["arb"]	["Arabic script"]	Caliphate	Baghdad	50000000	["J1","J2"]		["Islamic Golden Age texts","Historical records"]	Islamic Golden Age caliphate centered on Baghdad, fostering major advances in science, medicine, mathematics, and philosophy				
viking-territories	Viking Territories	Vikingr	793	1066	Viking Age (793-1066 CE)	["non"]	["Runes"]	Chiefdoms	varies	2000000	["I1","R1b"]		["Sagas","Runic inscriptions","Archaeological finds"]	Norse seafaring peoples who explored, traded, and raided across Europe, the North Atlantic, and beyond				
celtic-territories	Celtic Territories		-800	43	Celtic Territories (800 BCE - 43 CE)	["gle","cym"]	["Ogham"]	Tribal confederations	varies	5000000	["R1b"]		["Roman accounts","Archaeological evidence"]	Diverse group of tribal societies across Europe known for distinctive art, metalwork, and oral traditions				
mughal-empire	Mughal Empire	مغلیہ سلطنت	1526	1857	Mughal Empire (1526-1857 CE)	["fas","hin"]	["Persian script","Arabic script"]	Empire	Delhi	150000000	["R1a","J2","L"]	indian	["Mughal chronicles","Architectural evidence"]	Islamic empire in the Indian subcontinent known for cultural synthesis, architectural masterpieces like the Taj Mahal, and administrative reforms				
sasanian-empire	Sasanian Empire	شاهنشاهی ساسانیان	224	651	Sasanian Empire (224-651 CE)	["fas"]	["Pahlavi script"]	Empire	Ctesiphon	20000000	["J2","R1a"]	iranian	["Sasanian inscriptions","Historical records"]	Last pre-Islamic Persian empire, known for its cultural and artistic achievements, Zoroastrian state religion, and rivalry with Rome and Byzantium				
zhou-dynasty	Zhou Dynasty	周朝	-1046	-256	Zhou Dynasty (1046-256 BCE)	["cmn"]	["Bronze inscriptions","Seal script"]	Kingdom	Hao/Luoyang	30000000	["O3","O2"]	chinese	["Chinese historical texts","Bronze inscriptions"]	Longest-lasting Chinese dynasty, establishing the Mandate of Heaven concept and the foundation of Chinese philosophy				
qin-dynasty	Qin Dynasty	秦朝	-221	-206	Qin Dynasty (221-206 BCE)	["cmn"]	["Small seal script"]	Empire	Xianyang	40000000	["O3","O2"]	chinese	["Historical Records","Archaeological evidence"]	First unified Chinese empire under Qin Shi Huang, known for the Great Wall, terracotta army, and standardizing weights, measures, and writing				
song-dynasty	Song Dynasty	宋朝	960	1279	Song Dynasty (960-1279 CE)	["cmn"]	["Chinese characters"]	Empire	Kaifeng/Hangzhou	100000000	["O3","O2"]	chinese	["Song historical texts","Archaeological evidence"]	Chinese dynasty known for economic revolution, invention of gunpowder, movable type printing, and the compass				
ming-dynasty	Ming Dynasty	明朝	1368	1644	Ming Dynasty (1368-1644 CE)	["cmn"]	["Chinese characters"]	Empire	Nanjing/Beijing	200000000	["O3","O2"]	chinese	["Ming historical texts","Archaeological evidence"]	Chinese dynasty known for the Forbidden City, Zheng He's voyages, and cultural flourishing				
qing-dynasty	Qing Dynasty	清朝	1636	1912	Qing Dynasty (1636-1912 CE)	["cmn"]	["Chinese characters","Manchu script"]	Empire	Beijing	400000000	["C2","O3"]	chinese	["Qing historical texts","European accounts"]	Last imperial dynasty of China, ruling the largest Chinese empire and presiding over both prosperity and decline				
srivijaya	Srivijaya	ꦯꦿꦶꦮꦶꦗꦪ	650	1377	Srivijaya (650-1377 CE)	["msa"]	["Pallava script"]	Thalassocracy	Palembang	2000000	["O2","O1"]		["Chinese records","Inscriptions","Archaeological evidence"]	Maritime empire controlling trade through the Strait of Malacca and spreading Buddhism across Southeast Asia				
majapahit	Majapahit	ꦩꦗꦥꦲꦶꦠ꧀	1293	1527	Majapahit (1293-1527 CE)	["jav"]	["Kawi script"]	Empire	Trowulan	10000000	["O2","O1"]		["Nagarakretagama","Chinese records","Archaeological evidence"]	Last major Hindu-Buddhist empire in Southeast Asia, controlling much of the Indonesian archipelago				
ayutthaya	Ayutthaya Kingdom	อยุธยา	1351	1767	Ayutthaya Kingdom (1351-1767 CE)	["tha"]	["Thai script"]	Kingdom	Ayutthaya	3000000	["O2","O1"]	thai	["Royal chronicles","European accounts"]	Siamese kingdom and major trading power in Southeast Asia, known for diplomacy with European nations				
pagan-kingdom	Pagan Kingdom	ပုဂံ	849	1297	Pagan Kingdom (849-1297 CE)	["mya"]	["Mon script"]	Kingdom	Pagan	2000000	["O2","O1"]		["Inscriptions","Chinese records","Archaeological evidence"]	First unified Burmese kingdom, builder of thousands of Buddhist temples on the plains of Bagan				
dai-viet	Dai Viet	大越	968	1802	Dai Viet (968-1802 CE)	["vie"]	["Chinese characters","Chu Nom"]	Kingdom	Thang Long	8000000	["O2","O1"]		["Vietnamese chronicles","Chinese records"]	Vietnamese kingdom that resisted Chinese domination and expanded southward over centuries				
chola-dynasty	Chola Dynasty	சோழ நாடு	-300	1279	Chola Dynasty (300 BCE - 1279 CE)	["tam"]	["Tamil script"]	Empire	Thanjavur	15000000	["H","L"]	indian	["Tamil inscriptions","Chinese records"]	South Indian dynasty with powerful navy that projected power across Southeast Asia				
vijayanagara	Vijayanagara Empire		1336	1646	Vijayanagara Empire (1336-1646 CE)	["kan","tel"]	["Kannada script","Telugu script"]	Empire	Hampi	25000000	["H","L","R1a"]	indian	["Inscriptions","Portuguese accounts"]	Last great Hindu empire of South India, renowned for its capital city of Hampi and patronage of arts				
delhi-sultanate	Delhi Sultanate		1206	1526	Delhi Sultanate (1206-1526 CE)	["fas","hin"]	["Persian script"]	Sultanate	Delhi	25000000	["R1a","J2"]	indian	["Persian chronicles","Archaeological evidence"]	First major Islamic polity in India, comprising five successive dynasties ruling from Delhi				
tibetan-empire	Tibetan Empire	བོད་ཆེན་པོ	618	842	Tibetan Empire (618-842 CE)	["bod"]	["Tibetan script"]	Empire	Lhasa	3000000	["D1","O3"]		["Tibetan chronicles","Chinese records","Dunhuang manuscripts"]	Powerful Central Asian empire that rivaled Tang China and controlled the Silk Road routes				
kingdom-of-kush	Kingdom of Kush		-1070	350	Kingdom of Kush (1070 BCE - 350 CE)	["egy"]	["Meroitic script"]	Kingdom	Meroe	1000000	["E1b1a1","E1b1b1a"]		["Egyptian texts","Archaeological evidence"]	Nubian kingdom that once conquered Egypt and developed its own writing system and pyramid-building tradition				
axum	Kingdom of Axum	መንግስተ አክሱም	100	940	Kingdom of Axum (100-940 CE)	["gez"]	["Ge'ez script"]	Kingdom	Axum	1500000	["E1b1b1a","J1"]		["Ge'ez inscriptions","Greek and Roman texts"]	East African trading power and one of the first states to adopt Christianity, known for its towering stelae				
ghana-empire	Ghana Empire		300	1200	Ghana Empire (300-1200 CE)	["yor"]	["None"]	Empire	Koumbi Saleh	3000000	["E1b1a1"]		["Arabic sources","Oral traditions"]	First major West African empire, controlling trans-Saharan gold and salt trade routes				
kanem-bornu	Kanem-Bornu Empire		700	1900	Kanem-Bornu Empire (700-1900 CE)	["arb"]	["Arabic script"]	Empire	Njimi/Birni Ngazargamu	5000000	["E1b1a1","R1b"]		["Arabic sources","Oral traditions"]	One of the longest-lasting empires in African history, dominating the Lake Chad basin for over a millennium				
swahili-city-states	Swahili City-States		800	1500	Swahili City-States (800-1500 CE)	["swh"]	["Arabic script"]	City-states	Kilwa	3000000	["E1b1a1","J1"]		["Arabic sources","Archaeological evidence","Portuguese accounts"]	Network of prosperous trading cities along the East African coast connecting Africa to the Indian Ocean world				
zulu-kingdom	Zulu Kingdom	KwaZulu	1816	1897	Zulu Kingdom (1816-1897 CE)	["zul"]	["None"]	Kingdom	Ulundi	500000	["E1b1a1"]		["Oral traditions","British colonial records"]	Powerful Southern African kingdom under Shaka Zulu known for military innovation and the Mfecane period				
benin-kingdom	Kingdom of Benin	Edo	1180	1897	Kingdom of Benin (1180-1897 CE)	["yor"]	["None"]	Kingdom	Benin City	1000000	["E1b1a1"]		["Portuguese accounts","Oral traditions","Archaeological evidence"]	West African kingdom renowned for its sophisticated bronze casting, urban planning, and diplomatic relations with Europeans				
ethiopian-empire	Ethiopian Empire	ንጉሠ ነገሥት ዘኢትዮጵያ	1270	1974	Ethiopian Empire (1270-1974 CE)	["amh"]	["Ge'ez script"]	Empire	Gondar/Addis Ababa	10000000	["E1b1b1a","J1","A"]		["Ge'ez manuscripts","European accounts"]	One of the oldest continuous states, tracing its lineage to the Solomonic dynasty and never colonized by European powers				
toltec	Toltec Civilization		900	1168	Toltec Civilization (900-1168 CE)	["nah"]	["Toltec pictographs"]	Empire	Tula	500000	["Q1"]	mexican	["Aztec accounts","Archaeological evidence"]	Mesoamerican civilization that preceded and deeply influenced the Aztec, centered at the city of Tula				
olmec	Olmec Civilization		-1500	-400	Olmec Civilization (1500-400 BCE)	["nah"]	["Olmec glyphs"]	Chiefdoms	San Lorenzo/La Venta	350000	["Q1"]	mexican	["Archaeological evidence"]	Mother culture of Mesoamerica known for colossal stone heads, the Long Count calendar, and early writing				
zapotec	Zapotec Civilization		-700	1521	Zapotec Civilization (700 BCE - 1521 CE)	["zap"]	["Zapotec script"]	City-states	Monte Alban	1500000	["Q1"]	mexican	["Archaeological evidence","Spanish colonial records"]	Mesoamerican civilization in Oaxaca known for Monte Alban and one of the earliest writing systems in the Americas				
muisca	Muisca Confederation		600	1537	Muisca Confederation (600-1537 CE)	["cbc"]	["None"]	Confederation	Bacata	1000000	["Q1"]		["Spanish colonial records","Archaeological evidence"]	South American confederation in the Colombian highlands, source of the El Dorado legend				
tiwanaku	Tiwanaku		550	1000	Tiwanaku (550-1000 CE)	["aym"]	["None"]	Kingdom	Tiwanaku	500000	["Q1"]		["Archaeological evidence"]	Andean civilization near Lake Titicaca known for monumental architecture and influence across the south-central Andes				
mississippian	Mississippian Culture		800	1600	Mississippian Culture (800-1600 CE)	["mus"]	["None"]	Chiefdoms	Cahokia	200000	["Q1"]		["Archaeological evidence"]	North American mound-building culture centered at Cahokia, the largest pre-Columbian settlement north of Mexico				
haudenosaunee	Haudenosaunee Confederacy		1142	null	Haudenosaunee Confederacy (1142 CE - present)	["moh"]	["Wampum"]	Confederation	Onondaga	100000	["Q1"]		["Oral traditions","Colonial records"]	Iroquois confederacy of six nations with one of the oldest participatory democracies in the world				
safavid-empire	Safavid Empire	دولت صفویه	1501	1736	Safavid Empire (1501-1736 CE)	["fas"]	["Persian script"]	Empire	Isfahan	10000000	["J2","R1a"]	iranian	["Persian chronicles","European accounts"]	Iranian empire that established Shia Islam as the state religion and presided over a golden age of Persian culture				
timurid-empire	Timurid Empire	تیموریان	1370	1507	Timurid Empire (1370-1507 CE)	["chg"]	["Persian script","Chagatai script"]	Empire	Samarkand	20000000	["C2","J2","R1a"]		["Persian histories","Archaeological evidence"]	Central Asian empire founded by Timur, known for architectural splendor in Samarkand and the Timurid Renaissance				
khwarazmian-empire	Khwarazmian Empire	خوارزمشاهیان	1077	1231	Khwarazmian Empire (1077-1231 CE)	["fas"]	["Persian script"]	Empire	Gurganj	5000000	["J2","R1a"]		["Persian sources","Archaeological evidence"]	Central Asian empire controlling the Silk Road before its destruction by Genghis Khan				
seljuk-empire	Seljuk Empire	دولت سلجوقیان	1037	1194	Seljuk Empire (1037-1194 CE)	["tur"]	["Persian script"]	Empire	Isfahan	20000000	["J2","R1a","R1b"]	turkish	["Persian chronicles","Arabic sources"]	Turkic empire that dominated the Middle East and triggered the Crusades by conquering Anatolia				
goryeo-dynasty	Goryeo Dynasty	고려	918	1392	Goryeo Dynasty (918-1392 CE)	["kor"]	["Chinese characters"]	Kingdom	Kaesong	5000000	["O2","C2"]	korean	["Korean chronicles","Chinese records"]	Korean dynasty that unified the peninsula and gave Korea its English name, known for celadon ceramics and the Tripitaka Koreana				
joseon-dynasty	Joseon Dynasty	조선	1392	1897	Joseon Dynasty (1392-1897 CE)	["kor"]	["Hangul","Chinese characters"]	Kingdom	Hanyang	15000000	["O2","C2"]	korean	["Joseon Annals","Chinese records"]	Korean dynasty that created the Hangul alphabet and established Neo-Confucianism as state ideology				
tokugawa-japan	Tokugawa Shogunate	徳川幕府	1603	1868	Tokugawa Shogunate (1603-1868 CE)	["jpn"]	["Kanji","Hiragana","Katakana"]	Shogunate	Edo	30000000	["D1","O2"]	japanese	["Tokugawa records","European accounts"]	Japanese feudal military government that unified Japan and maintained 250 years of peace during sakoku isolation				
heian-japan	Heian Period	平安時代	794	1185	Heian Period (794-1185 CE)	["jpn"]	["Kanji","Hiragana","Katakana"]	Imperial court	Heian-kyo	5000000	["D1","O2"]	japanese	["Japanese literary works","Court records"]	Golden age of Japanese classical culture producing The Tale of Genji, refined court aesthetics, and distinctive Japanese artistic traditions				
nara-japan	Nara Period	奈良時代	710	794	Nara Period (710-794 CE)	["jpn"]	["Kanji","Man'yogana"]	Imperial court	Nara	5000000	["D1","O2"]	japanese	["Historical records","Buddhist texts"]	Period of Japan's first permanent capital with strong Chinese and Buddhist cultural influence				
parthian-empire	Parthian Empire	شاهنشاهی اشکانی	-247	224	Parthian Empire (247 BCE - 224 CE)	["xpr"]	["Parthian script"]	Empire	Ctesiphon	20000000	["J2","R1a"]	iranian	["Greek and Roman texts","Coins and inscriptions"]	Iranian empire that rivaled Rome for centuries, known for mounted archery and the Silk Road trade				
kushan-empire	Kushan Empire		30	375	Kushan Empire (30-375 CE)	["san"]	["Kharosthi","Greek alphabet"]	Empire	Peshawar	25000000	["R1a","H","C2"]	indian	["Kushan inscriptions","Chinese records"]	Central-South Asian empire bridging Hellenistic, Persian, Indian, and Chinese cultures along the Silk Road				
xiongnu	Xiongnu Confederacy	匈奴	-209	93	Xiongnu Confederacy (209 BCE - 93 CE)	["tur"]	["None"]	Confederacy	varies	2000000	["C2","Q1"]		["Chinese historical texts","Archaeological evidence"]	Nomadic confederacy that rivaled Han China and prompted the construction of the Great Wall				
sogdian	Sogdian Civilization		-500	1000	Sogdian Civilization (500 BCE - 1000 CE)	["sog"]	["Sogdian script"]	City-states	Samarkand	2000000	["R1a","J2"]		["Chinese records","Sogdian letters","Archaeological evidence"]	Central Asian merchant civilization that dominated Silk Road trade and spread Manichaean and Buddhist religions				
nabataean	Nabataean Kingdom	ממלכת נבט	-312	106	Nabataean Kingdom (312 BCE - 106 CE)	["arb"]	["Nabataean script"]	Kingdom	Petra	1000000	["J1","J2"]		["Greek and Roman texts","Inscriptions","Archaeological evidence at Petra"]	Arab kingdom famous for the rock-carved city of Petra and sophisticated water management in the desert				
kingdom-of-punt	Land of Punt		-2500	-980	Land of Punt (2500-980 BCE)	["egy"]	["None"]	Kingdom	unknown	500000	["E1b1a1","E1b1b1a"]		["Egyptian texts","Temple reliefs at Deir el-Bahari"]	Ancient trading partner of Egypt located in the Horn of Africa, source of incense, gold, and exotic goods				
lydian-kingdom	Kingdom of Lydia		-1200	-546	Kingdom of Lydia (1200-546 BCE)	["xld"]	["Lydian alphabet"]	Kingdom	Sardis	1000000	["J2","R1b"]		["Greek texts","Archaeological evidence","Lydian inscriptions"]	Anatolian kingdom credited with inventing coined money and known for the wealth of King Croesus				
urartu	Urartu	Biainili	-860	-590	Urartu (860-590 BCE)	["xur"]	["Cuneiform"]	Kingdom	Tushpa	2000000	["J2","G2a"]		["Assyrian records","Urartian inscriptions","Archaeological evidence"]	Iron Age kingdom in the Armenian Highlands rivaling Assyria, known for advanced irrigation and metalwork				
elamite	Elamite Civilization		-2700	-539	Elamite Civilization (2700-539 BCE)	["elx"]	["Proto-Elamite","Elamite cuneiform"]	Kingdom	Susa	1500000	["J2","R1a"]		["Cuneiform tablets","Archaeological evidence"]	One of the oldest civilizations in present-day Iran, rival of Mesopotamian states for two millennia				
minoan	Minoan Civilization		-2700	-1450	Minoan Civilization (2700-1450 BCE)	["grc"]	["Linear A"]	Thalassocracy	Knossos	1000000	["J2","R1b"]	greek	["Archaeological evidence at Knossos","Linear B tablets"]	Europe's first advanced civilization on Crete, known for palace complexes, bull-leaping, and maritime trade				
mycenaean	Mycenaean Civilization		-1600	-1100	Mycenaean Civilization (1600-1100 BCE)	["grc"]	["Linear B"]	Kingdom	Mycenae	1500000	["J2","R1b","E1b1b"]	greek	["Linear B tablets","Archaeological evidence","Homeric epics"]	Bronze Age Greek civilization that inspired the legends of the Trojan War and formed the basis of Greek culture				
carolingian-empire	Carolingian Empire		751	888	Carolingian Empire (751-888 CE)	["fra"]	["Latin alphabet"]	Empire	Aachen	15000000	["R1b","I1"]		["Carolingian documents","Einhard's Life of Charlemagne"]	Frankish empire under Charlemagne unifying much of Western Europe and sparking the Carolingian Renaissance				
kievan-rus	Kievan Rus	Роусь	882	1240	Kievan Rus (882-1240 CE)	["orv"]	["Cyrillic"]	Federation	Kiev	7000000	["R1a","I1","N1"]		["Primary Chronicle","Byzantine records","Archaeological evidence"]	Medieval East Slavic state that laid the foundation for modern Russia, Ukraine, and Belarus				
golden-horde	Golden Horde	Алтын Орда	1227	1502	Golden Horde (1227-1502 CE)	["tur"]	["Uyghur script","Arabic script"]	Khanate	Sarai	30000000	["C2","R1a","N1"]		["Persian and Russian chronicles","Archaeological evidence"]	Western successor state of the Mongol Empire dominating the Eurasian steppe and exacting tribute from Russian principalities				
spanish-empire	Spanish Empire	Imperio Español	1492	1898	Spanish Empire (1492-1898 CE)	["spa"]	["Latin alphabet"]	Empire	Madrid	60000000	["R1b","J2","E1b1b"]	mexican	["Spanish colonial archives","Historical records"]	Global empire that controlled much of the Americas, Philippines, and parts of Europe and Africa				
portuguese-empire	Portuguese Empire	Império Português	1415	1999	Portuguese Empire (1415-1999 CE)	["por"]	["Latin alphabet"]	Empire	Lisbon	10000000	["R1b","J2","E1b1b"]		["Portuguese colonial archives","Historical records"]	First global maritime empire establishing trade posts across Africa, Asia, and colonizing Brazil				
british-empire	British Empire		1583	1997	British Empire (1583-1997 CE)	["eng"]	["Latin alphabet"]	Empire	London	500000000	["R1b","I1"]		["Colonial archives","Historical records"]	Largest empire in history at its peak, spanning every continent and establishing English as a global language				
ancient-crete	Ancient Crete												["Wikidata"]		Q4752820	http://www.wikidata.org/entity/Q4752820	2026-07-08T04:56:01.068765+00:00	1.0
ancient-india	Ancient India												["Wikidata"]		Q3149991	http://www.wikidata.org/entity/Q3149991	2026-07-08T04:56:01.068765+00:00	1.0
ancient-israel-and-judah	ancient Israel and Judah												["Wikidata"]		Q193748	http://www.wikidata.org/entity/Q193748	2026-07-08T04:56:01.068765+00:00	1.0
ancient-shu-civilization	Ancient Shu civilization												["Wikidata"]		Q10913560	http://www.wikidata.org/entity/Q10913560	2026-07-08T04:56:01.068765+00:00	1.0
babylonia	Babylonia												["Wikidata"]		Q47690	http://www.wikidata.org/entity/Q47690	2026-07-08T04:56:01.068765+00:00	1.0
china	China												["Wikidata"]		Q29520	http://www.wikidata.org/entity/Q29520	2026-07-08T04:56:01.068765+00:00	1.0
