id	name	type	direction	parent_system_id	language_ids	origin_date	origin_region	character_count	sample_characters	unicode_block	is_active	wikidata_qid	source_url	retrieved_at	confidence	sources
ws_028	Phoenician	abjad	RTL	ws_054	[]	-1050	Lebanon	22	𐤀 𐤁 𐤂 𐤃 𐤄 𐤅 𐤆 𐤇 𐤈 𐤉	Phoenician	false					
ws_029	Brahmi	abugida	LTR	ws_045	[]	-300	India	64		Brahmi	false	Q185083	https://www.wikidata.org/entity/Q185083	2026-07-13	0.9	Wikidata Q185083 (exact-label reconciliation, US-003)
ws_030	Coptic	alphabet	LTR	ws_003	["cop"]	200	Egypt	32	Ⲁ Ⲃ Ⲅ Ⲇ Ⲉ Ⲍ Ⲏ Ⲑ Ⲓ Ⲕ Ⲗ Ⲙ	Coptic	false					
ws_031	Kannada	abugida	LTR	ws_042	["kan"]	450	South India	49	ಅ ಆ ಇ ಈ ಉ ಊ ಎ ಏ ಐ ಒ ಓ ಔ	Kannada	true					
ws_032	Malayalam	abugida	LTR	ws_042	["mal"]	830	South India	52	അ ആ ഇ ഈ ഉ ഊ എ ഏ ഐ ഒ ഓ ഔ	Malayalam	true					
ws_033	Bengali	abugida	LTR	ws_042	["ben"]	1000	Bengal	50	অ আ ই ঈ উ ঊ এ ঐ ও ঔ ক খ	Bengali and Assamese	true					
ws_034	Lao	abugida	LTR	ws_049	["lao"]	1400	Laos	65	ກ ຂ ຄ ງ ຈ ສ ຊ ຍ ດ ຕ ຖ ທ	Lao	true	Q1815229	https://www.wikidata.org/entity/Q1815229	2026-07-13	0.9	Wikidata Q1815229 (exact-label reconciliation, US-003)
ws_035	Syriac	abjad	RTL	ws_045	[]	-100	Mesopotamia	22	ܐ ܒ ܓ ܕ ܗ ܘ ܙ ܚ ܛ ܝ ܟ ܠ	Syriac	false					
ws_036	Gothic	alphabet	LTR	ws_003	["got"]	350	Eastern Europe	27		Gothic	false					
ws_037	Avestan	alphabet	RTL	null	["ave"]	500	Persia	53		Avestan	false	Q790681	https://www.wikidata.org/entity/Q790681	2026-07-13	0.9	Wikidata Q790681 (exact-label reconciliation, US-003)
ws_038	Old Persian Cuneiform	syllabary	LTR	null	["peo"]	-525	Persia	36		Old Persian	false					
ws_039	Javanese	abugida	LTR	ws_042	["jav"]	900	Java	53	ꦲ ꦤ ꦕ ꦫ ꦏ ꦢ ꦠ ꦱ ꦮ ꦭ	Javanese	true					
ws_040	Balinese	abugida	LTR	ws_042	[]	1000	Bali	47	ᬅ ᬆ ᬇ ᬈ ᬉ ᬊ ᬋ ᬌ ᬍ ᬎ	Balinese	true	Q804984	https://www.wikidata.org/entity/Q804984	2026-07-13	0.9	Wikidata Q804984 (exact-label reconciliation, US-003)
ws_041	Inuktitut Syllabics	abugida	LTR	null	["ikt"]	1876	Canada	157	ᐃ ᐄ ᐅ ᐆ ᐊ ᐋ ᐱ ᐲ ᐳ ᐴ	Unified Canadian Aboriginal Syllabics	true					
ws_042	Brahmi-derived (South Asian)	abugida	LTR	ws_029	[]	-300	India	64		Brahmi	false					
ws_043	Carian	alphabet	LTR	ws_003	[]	-650	Anatolia	45		Carian	false					
ws_044	Phoenician-derived (Western)	abjad	RTL	ws_028	[]	-1000	Eastern Mediterranean	22		Phoenician	false					
ws_045	Aramaic	abjad	RTL	ws_028	[]	-800	Syria	22	𐡀 𐡁 𐡂 𐡃 𐡄 𐡅 𐡆 𐡇 𐡈 𐡉	Imperial Aramaic	false					
ws_046	Etruscan	alphabet	RTL	ws_003	[]	-700	Italy	26		Old Italic	false					
ws_047	Old Italic	alphabet	LTR	ws_003	[]	-700	Italy	27		Old Italic	false	Q4891256	https://www.wikidata.org/entity/Q4891256	2026-07-13	0.9	Wikidata Q4891256 (exact-label reconciliation, US-003)
ws_048	Nabataean	abjad	RTL	ws_045	[]	-200	Jordan	22		Nabataean	false					
ws_049	Pallava/Khmer-derived	abugida	LTR	ws_042	[]	600	Southeast Asia	0		Khmer	false					
ws_050	South Arabian	abjad	RTL	ws_054	[]	-800	Yemen	29		Old South Arabian	false					
ws_051	Sogdian	alphabet	RTL	ws_045	[]	100	Central Asia	23		Sogdian	false	Q578359	https://www.wikidata.org/entity/Q578359	2026-07-13	0.9	Wikidata Q578359 (exact-label reconciliation, US-003)
ws_052	Oracle Bone Script	logographic	TTB	null	["cmn"]	-1200	China	4500		CJK Unified Ideographs	false					
ws_053	Proto-Sinaitic	abjad	LTR	ws_027	[]	-1800	Sinai	22		null	false	Q1065250	https://www.wikidata.org/entity/Q1065250	2026-07-13	0.9	Wikidata Q1065250 (exact-label reconciliation, US-003)
ws_054	Proto-Canaanite	abjad	LTR	ws_053	[]	-1400	Canaan	22		null	false					
ws_055	N'Ko	alphabet	RTL	null	[]	1949	Guinea	27	ߊ ߋ ߌ ߍ ߎ ߏ ߐ ߑ ߒ ߓ	NKo	true					
ws_056	Vai	syllabary	LTR	null	[]	1833	Liberia	300	ꔀ ꔁ ꔂ ꔃ ꔄ ꔅ ꔆ ꔇ ꔈ ꔉ	Vai	true					
ws_057	Tifinagh	abjad	LTR	ws_028	[]	-200	North Africa	55	ⴰ ⴱ ⴲ ⴳ ⴴ ⴵ ⴶ ⴷ ⴸ ⴹ	Tifinagh	true	Q208503	https://www.wikidata.org/entity/Q208503	2026-07-13	0.9	Wikidata Q208503 (exact-label reconciliation, US-003)
ws_058	Canadian Syllabics (Cree)	abugida	LTR	null	[]	1840	Canada	160	ᐁ ᐃ ᐅ ᐊ ᐯ ᐱ ᐳ ᐸ ᑌ ᑎ	Unified Canadian Aboriginal Syllabics	true					
ws_059	Welsh	alphabet	LTR	ws_001	["cym"]	600	Wales	29	A B C Ch D Dd E F Ff G Ng H	Basic Latin	true					
ws_060	Irish (Gaelic)	alphabet	LTR	ws_001	["gle"]	400	Ireland	18	A B C D E F G H I L M N O	Basic Latin	true					
ancient-egyptian-writing-systems	Ancient Egyptian writing systems											Q387875	http://www.wikidata.org/entity/Q387875	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
anga-lipi	Aṅga-lipi					800						Q3530287	http://www.wikidata.org/entity/Q3530287	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
arebica	Arebica											Q3393238	http://www.wikidata.org/entity/Q3393238	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
batak	Batak					1300						Q51592	http://www.wikidata.org/entity/Q51592	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
beria-erfe	Beria Erfe					1950	Chad					Q140323	http://www.wikidata.org/entity/Q140323	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
celtiberian	Celtiberian					-200						Q779471	http://www.wikidata.org/entity/Q779471	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
chinese-bronze-inscriptions	Chinese bronze inscriptions											Q917520	http://www.wikidata.org/entity/Q917520	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
chinese-characters	Chinese characters					-1250	China					Q8201	http://www.wikidata.org/entity/Q8201	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
cjk	CJK											Q1198450	http://www.wikidata.org/entity/Q1198450	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
cuneiform	cuneiform					-2999						Q401	http://www.wikidata.org/entity/Q401	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
cursive-hieroglyphs	Cursive hieroglyphs											Q3138753	http://www.wikidata.org/entity/Q3138753	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
egyptian-hieratic	Egyptian hieratic					-2999						Q208111	http://www.wikidata.org/entity/Q208111	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
elbasan	Elbasan					1750						Q1036714	http://www.wikidata.org/entity/Q1036714	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
english-orthography	English orthography											Q3491268	http://www.wikidata.org/entity/Q3491268	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
garshuni	Garshuni											Q1494558	http://www.wikidata.org/entity/Q1494558	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
glagolitic	Glagolitic					862						Q145625	http://www.wikidata.org/entity/Q145625	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
hanja	Hanja					-400	Korea					Q485619	http://www.wikidata.org/entity/Q485619	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
iberian-scripts	Iberian scripts											Q16481835	http://www.wikidata.org/entity/Q16481835	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
idu	Idu											Q706344	http://www.wikidata.org/entity/Q706344	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
incung	Incung											Q108662512	http://www.wikidata.org/entity/Q108662512	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
international-alphabet-of-sanskrit-transliteration	International Alphabet of Sanskrit Transliteration											Q194486	http://www.wikidata.org/entity/Q194486	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
japanese-script	Japanese					400	Japan					Q190502	http://www.wikidata.org/entity/Q190502	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
jawi	Jawi											Q83942	http://www.wikidata.org/entity/Q83942	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
jurchen	Jurchen					1119						Q912240	http://www.wikidata.org/entity/Q912240	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
kawi	Kawi					800						Q975802	http://www.wikidata.org/entity/Q975802	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
kazakh-script	Kazakh											Q913703	http://www.wikidata.org/entity/Q913703	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
kyujitai	kyūjitai						Japan					Q1147857	http://www.wikidata.org/entity/Q1147857	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
libyc	Libyc					-300	Kingdom of Numidia					Q1823174	http://www.wikidata.org/entity/Q1823174	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
linear-elamite	Linear Elamite					-2999						Q2475275	http://www.wikidata.org/entity/Q2475275	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
naxi-dongba	Naxi Dongba					700						Q1190953	http://www.wikidata.org/entity/Q1190953	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
nushu	Nüshu					800						Q56436	http://www.wikidata.org/entity/Q56436	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
oduduwa	Oduduwa											Q119856835	http://www.wikidata.org/entity/Q119856835	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
ol-chiki	Ol Chiki					1925						Q201688	http://www.wikidata.org/entity/Q201688	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
old-mon	Old Mon					600						Q4301931	http://www.wikidata.org/entity/Q4301931	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
oracle-bone	oracle bone					-1499						Q7476695	http://www.wikidata.org/entity/Q7476695	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
pahawh-hmong	Pahawh Hmong					1959						Q365954	http://www.wikidata.org/entity/Q365954	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
pahlavi-scripts	Pahlavi scripts											Q1771716	http://www.wikidata.org/entity/Q1771716	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
paleohispanic-scripts	Paleohispanic scripts											Q1816166	http://www.wikidata.org/entity/Q1816166	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
pegon	Pegon											Q116451	http://www.wikidata.org/entity/Q116451	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
peh-oe-ji	Pe̍h-ōe-jī					1830						Q559173	http://www.wikidata.org/entity/Q559173	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
rasm	Rasm											Q1260436	http://www.wikidata.org/entity/Q1260436	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
russian-orthography-before-1918	Russian orthography before 1918											Q2442696	http://www.wikidata.org/entity/Q2442696	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
second-round-of-simplified-chinese-characters	second round of simplified Chinese characters											Q906650	http://www.wikidata.org/entity/Q906650	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
shahmukhi	Shahmukhi											Q133800	http://www.wikidata.org/entity/Q133800	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
shan	Shan											Q4520090	http://www.wikidata.org/entity/Q4520090	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
shinjitai	shinjitai					1949	Japan					Q1055887	http://www.wikidata.org/entity/Q1055887	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
simplified-chinese	Simplified Chinese					1956	People's Republic of China					Q13414913	http://www.wikidata.org/entity/Q13414913	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
standard-form-of-national-characters	standard form of national characters					1982	Taiwan					Q906019	http://www.wikidata.org/entity/Q906019	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
tai-viet	Tai Viet					1600						Q11818517	http://www.wikidata.org/entity/Q11818517	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
taiwanese-taigi-romanization-system	Taiwanese Taigi Romanization System					2006						Q56929	http://www.wikidata.org/entity/Q56929	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
tajik-cyrillic	Tajik Cyrillic											Q2311554	http://www.wikidata.org/entity/Q2311554	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
turkmen-script	Turkmen											Q543617	http://www.wikidata.org/entity/Q543617	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
ukrainian-latin	Ukrainian Latin											Q2322215	http://www.wikidata.org/entity/Q2322215	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
wylie-transliteration	Wylie transliteration											Q844833	http://www.wikidata.org/entity/Q844833	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
zapotec-writing	Zapotec writing					-499						Q11681575	http://www.wikidata.org/entity/Q11681575	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
