id	name	category	culture_profile_ids	year_invented	region_of_origin	description	diffusion_path	related_innovations	associated_languages	sources
inn-011	Stirrup	military	["cp-han","cp-tang"]	300	Northern China / Steppe	Foot support allowing riders to stand and strike from horseback. Transformed cavalry warfare from China to Europe.	["cp-tang","cp-byzantine","cp-sasanian","cp-medieval-european"]	["inn-002"]	["cmn"]	["White 1962","Dien 1986"]
inn-012	Gunpowder	military	["cp-tang","cp-song"]	800	Tang China	Black powder (saltpeter, sulfur, charcoal), first used in fireworks and fire arrows, later in firearms and cannon. Reshaped global warfare.	["cp-song","cp-mongol","cp-abbasid","cp-medieval-european"]	[]	["cmn"]	["Needham 1986"]
inn-013	Astrolabe	astronomy	["cp-ancient-greek","cp-abbasid"]	-150	Hellenistic World	Astronomical instrument measuring the altitude of celestial bodies; perfected by Islamic scholars. Essential to navigation and timekeeping.	["cp-ancient-greek","cp-abbasid","cp-al-andalus","cp-byzantine"]	[]	["grc","arb"]	["King 2005"]
inn-014	Terrace Farming	agriculture	["cp-inca"]	1200	Andes Mountains	Stepped fields cut into mountainsides with retaining walls, allowing intensive agriculture on steep slopes while preventing erosion.	["cp-inca"]	[]	["que"]	["Denevan 2001"]
inn-015	Chinampa Agriculture	agriculture	["cp-aztec"]	1100	Valley of Mexico	Artificial floating islands of mud and vegetation on lake surfaces, yielding multiple harvests per year of maize, beans, and squash.	["cp-aztec"]	[]	["nah"]	["Parsons 1976","Ebel 2020"]
inn-016	Maya Long Count Calendar	astronomy	["cp-maya"]	-400	Mesoamerica	Precise astronomical calendar tracking cycles of days across thousands of years, based on sophisticated observation of Venus and eclipses.	["cp-maya","cp-aztec"]	[]	["myn"]	["Aveni 2001"]
inn-017	Movable Type Printing	writing	["cp-song"]	1040	Song China	Clay and later metal movable type for printing, developed by Bi Sheng. Precursor to Gutenberg's press by four centuries.	["cp-song","cp-joseon","cp-medieval-european"]	["inn-010"]	["cmn","kor"]	["Needham 1985"]
inn-018	Archimedes Screw	water_management	["cp-ancient-greek","cp-roman"]	-250	Hellenistic Egypt	Helical pump for lifting water, used in irrigation and mine drainage. Credited to Archimedes of Syracuse.	["cp-roman","cp-byzantine"]	[]	["grc","lat"]	["Rorres 2000"]
inn-019	Humoral Medicine	medicine	["cp-ancient-greek","cp-roman","cp-byzantine"]	-400	Classical Greece	Medical system based on four humors (blood, phlegm, yellow bile, black bile), codified by Hippocrates and Galen. Dominated Western medicine for 2000 years.	["cp-ancient-greek","cp-roman","cp-byzantine","cp-abbasid","cp-medieval-european"]	[]	["grc","lat","arb"]	["Nutton 2013"]
inn-020	Aqueducts	water_management	["cp-roman"]	-300	Roman Republic	Gravity-fed stone channels carrying water across long distances to cities, using precise gradients and arched bridges.	["cp-roman","cp-byzantine"]	["inn-008"]	["lat"]	["Hodge 2002"]
