id	name	parent_id	haplogroup_type	description	associated_language_family_ids	associated_civilization_ids	geographic_origin	time_origin	sources
n	N	no	Y-chromosome	Associated with: Uralic, Turkic, Tungusic, Mongolic, Yukaghir, Chukotko-Kamchatkan	["uralic","turkic","tungusic","mongolic","yukaghir","chukotko-kamchatkan"]	[]	East Asia	-36000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
n3	N3	n	Y-chromosome	Associated with: Finnic, Chukotko-Kamchatkan, Yukaghir	["finnic","chukotko-kamchatkan","yukaghir"]	[]	Siberia/Finland	-10000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
o	O	no	Y-chromosome	Associated with: Sino-Tibetan, Manchu, Austroasiatic, Hmong-Mien, Austronesian, Korean, Japanese	["sino-tibetan","manchu","austroasiatic","hmong-mien","austronesian","korean","japanese"]	[]	East Asia	-35000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
o1	O1	o	Y-chromosome	Associated with: Tai-Kadai	["tai-kadai"]	[]	Southeast Asia	-20000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
o2	O2	o	Y-chromosome	Associated with: Austro-Asiatic, Korean	["austro-asiatic","korean"]	[]	Southeast Asia	-18000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
o3	O3	o	Y-chromosome	Associated with: Sino-Tibetan, Hmong-Mien, Yayoi-Japanese	["sino-tibetan","hmong-mien"]	[]	East Asia	-15000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
p	P	k	Y-chromosome	Associated with: Negrito, Aeta, Turkic, Tuvan, Altai, Nivkh	["turkic","tuvan","altai","nivkh"]	[]	Central Asia	-35000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
q	Q	p	Y-chromosome	Associated with: Yeniseian, Turkic, Samoyedic, Nivkh, Yukaghir, Na-Dené, Selkup	["yeniseian","turkic","samoyedic","nivkh","yukaghir","na-dené","selkup"]	[]	Central Asia	-30000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
q1	Q1	q	Y-chromosome	Associated with: Eskimo-Aleut	["eskimo-aleut"]	[]	Beringia	-15000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
q2	Q2	q	Y-chromosome	Associated with: Turkmen	["turkmen"]	[]		-10000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
q3	Q3	q	Y-chromosome	Associated with: Yupik, Amerindian	["yupik","amerindian"]	[]	Americas	-12000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
r	R	p	Y-chromosome	Y-chromosome haplogroup R	[]	[]	Central Asia	-28000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
r1a	R1a	r	Y-chromosome	Associated with: Eastern Hunter Gatherer, Yamnaya, West Slav, East Slav, Baltic	["west-slav","east-slav","baltic"]	[]	Pontic-Caspian Steppe	-22000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
r1b	R1b	r	Y-chromosome	Associated with: Western Hunter Gatherer, Yamnaya, Bell Beaker, Italo-Celtic, Germanic, Bashkir, Armenian, Hausa	["italo-celtic","germanic","bashkir","armenian","hausa"]	[]	Western Europe	-18000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
r2	R2	r	Y-chromosome	Associated with: Indian	["indian"]	[]	South Asia	-25000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
s	S	k	Y-chromosome	Associated with: Papuan, Aboriginal Australian	["papuan","aboriginal-australian"]	[]	Melanesia	-40000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
de	DE	ct	Y-chromosome	Y-chromosome haplogroup DE	[]	[]	Africa/Southwest Asia	-65000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
d	D	de	Y-chromosome	Associated with: Tibeto-Burman, Hmong-Mien, Japanese, Andamanese	["tibeto-burman","hmong-mien","japanese","andamanese"]	[]	East Asia	-60000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
d1	D1	d	Y-chromosome	Associated with: Tibeto-Burman	["tibeto-burman"]	[]		-40000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
d2	D2	d	Y-chromosome	Associated with: Paleo-Siberian, Ainu, Jomon-Japanese	["paleo-siberian","ainu"]	[]		-35000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
e	E	de	Y-chromosome	Associated with: Dogon, Niger-Congo, Omotic, Southern Egyptian, Oromo, Somali, Albanian, Samaritan Levite, Maghreb Arab, Berber, Guanche	["dogon","niger-congo","omotic","southern-egyptian","oromo","somali","albanian","samaritan-levite","maghreb-arab","berber","guanche"]	[]	East Africa	-55000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
e1	E1	e	Y-chromosome	Associated with: Niger-Congo	["niger-congo"]	[]		-45000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
e1a	E1a	e1	Y-chromosome	Associated with: Dogon	["dogon"]	[]		-40000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
e1b1a1	E1b1a1	e1	Y-chromosome	Associated with: Niger-Congo	["niger-congo"]	[]	West Africa	-35000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
e1b1a2	E1b1a2	e1	Y-chromosome	Associated with: Omotic	["omotic"]	[]		-30000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
e1b1b1a	E1b1b1a	e1	Y-chromosome	Y-chromosome haplogroup E1b1b1a	[]	[]		-25000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
e-v12	E-V12	e	Y-chromosome	Associated with: Southern Egyptian	["southern-egyptian"]	[]	East Africa	-20000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
e-v32	E-V32	e	Y-chromosome	Associated with: Oromo, Somali	["oromo","somali"]	[]	East Africa	-15000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
e-v13	E-V13	e	Y-chromosome	Associated with: Albanian	["albanian"]	[]	Balkans	-10000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
e-v22	E-V22	e	Y-chromosome	Associated with: Samaritan Levite	["samaritan-levite"]	[]	East Africa	-8000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
e-v65	E-V65	e	Y-chromosome	Associated with: Maghreb Arab	["maghreb-arab"]	[]	East Africa	-10000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
e1b1b1b	E1b1b1b	e	Y-chromosome	Y-chromosome haplogroup E1b1b1b	[]	[]		-20000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
e-m81	E-M81	e	Y-chromosome	Associated with: Berber, Guanche	["berber","guanche"]	[]	North Africa	-5000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
e2	E2	e	Y-chromosome	Associated with: Nilotic	["nilotic"]	[]		-30000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
e3	E3	e	Y-chromosome	Associated with: Cushitic, Berber, Niger-Congo	["cushitic","berber","niger-congo"]	[]		-25000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
