id	name	native_name	region	coordinates	time_origin	time_end	associated_language_ids	dance_type	associated_music_tradition_ids	costumes	key_movements	cultural_significance	description	sources	wikidata_qid	source_url	retrieved_at	confidence
irish-step	Irish Step Dance	Rince Gaelach	Western Europe	{"lat":53.35,"lng":-6.26}	1750	null	["irish"]	folk	["celtic"]	["embroidered dress","ghillies or hard shoes"]	["treble jig","reel steps","rigid upper body","rapid footwork"]	Celtic percussive dance tradition with rigid torso and rapid leg movements	Irish dance emphasizing intricate footwork while keeping the upper body still	["Historical records","Oral tradition"]				
odissi	Odissi	ଓଡ଼ିଶୀ	South Asia	{"lat":20.26,"lng":85.84}	-200	null	["odia","sanskrit"]	classical	["indian-classical"]	["silk saree","silver jewelry","temple headdress"]	["tribhangi","chauka","bhumi pranam","abhinaya"]	Ancient Odishan temple dance tradition	One of the oldest Indian classical dances, characterized by tribhangi (three-body-bend) posture	["Natya Shastra","Temple sculptures"]				
japanese-bon	Bon Odori	盆踊り	East Asia	{"lat":35.01,"lng":135.77}	1400	null	["japanese"]	folk	["japanese-gagaku"]	["yukata","tenugui towel"]	["circular group movement","synchronized gestures","hand clapping"]	Buddhist festival dance honoring ancestral spirits during Obon	Japanese folk dance performed during Obon festival to welcome ancestral spirits	["Buddhist texts","Historical records"]				
chinese-lion	Lion Dance	舞獅	East Asia	{"lat":23.13,"lng":113.26}	220	null	["mandarin","cantonese"]	ceremonial	["chinese-classical"]	["lion costume","large head mask","fur body"]	["lion movements","acrobatic leaps","pillar climbing"]	Chinese New Year tradition believed to bring good fortune and ward off evil	Traditional Chinese dance performed during festivals with two dancers in a lion costume	["Historical records"]				
georgian-dance	Georgian Dance	ქართული ცეკვა	Caucasus	{"lat":41.72,"lng":44.79}	-500	null	["georgian"]	folk	["polyphony-georgian"]	["chokha coat","soft leather boots"]	["toe dancing (men)","gliding (women)","sword work","acrobatics"]	Expresses Georgian martial spirit and grace, central to national identity	Georgian folk dance featuring men's acrobatic and martial movements contrasted with women's graceful gliding	["UNESCO","Historical records"]				
balinese-legong	Legong	Legong	Southeast Asia	{"lat":-8.34,"lng":115.09}	1800	null	["balinese"]	classical	["gamelan"]	["gold brocade","elaborate headdress","fan"]	["intricate finger movements","eye movements","swift changes of direction"]	Sacred Balinese court dance performed by young girls	Refined Balinese classical dance accompanied by gamelan with intricate finger and eye movements	["Historical records","Ethnographic research"]				
sufi-whirling	Sama Dance	رقص سماع	Middle East	{"lat":35.69,"lng":51.39}	1100	null	["persian","arabic"]	spiritual	["sufi"]	["white robe","prayer cap"]	["rhythmic swaying","group spinning","ecstatic movement"]	Persian Sufi devotional dance distinct from Mevlevi tradition	Persian Sufi ecstatic dance involving rhythmic movement and group participation	["Historical records"]				
cumbia	Cumbia	Cumbia	South America	{"lat":10.39,"lng":-75.51}	1600	null	["spanish"]	folk	[]	["pollera skirt","candles","turbans"]	["shuffling feet","hip sway","candle courtship"]	Colombian folk dance blending Indigenous, African, and Spanish elements	Afro-Colombian courtship dance with shuffling steps and candle gestures	["Historical records","Ethnomusicological research"]				
thai-classical	Thai Classical Dance	นาฏศิลป์ไทย	Southeast Asia	{"lat":13.75,"lng":100.50}	1200	null	["thai"]	classical	[]	["jeweled crown","gold costume","curved fingertip extensions"]	["slow curved movements","hyperextended fingers","angular poses"]	Royal court dance depicting Ramakien (Thai Ramayana) stories	Thai court dance characterized by slow, graceful movements and elaborate costumes	["Royal court records","UNESCO"]				
african-gumboot	Gumboot Dance	Isicathulo	Southern Africa	{"lat":-26.20,"lng":28.04}	1890	null	["zulu","xhosa"]	folk	[]	["wellington boots","work clothes"]	["boot slapping","stomping","rhythmic clapping"]	South African mine workers' dance created as coded communication	South African dance originating in gold mines, using boot slaps as percussive communication	["Historical records","Oral tradition"]				
polynesian-hula	Hula	Hula	Oceania	{"lat":19.90,"lng":-155.58}	300	null	["hawaiian"]	ceremonial	[]	["grass skirt","lei","tapa cloth"]	["hip sway","hand storytelling","footwork"]	Hawaiian dance preserving oral history and honoring gods through movement	Hawaiian dance using hand gestures and hip movements to narrate stories and honor deities	["Hawaiian oral tradition"]				
dragon-dance	Dragon Dance	舞龍	East Asia	{"lat":39.90,"lng":116.40}	200	null	["mandarin","chinese"]	ceremonial	["chinese-classical"]	["dragon costume on poles","colorful scales"]	["undulating body movement","pearl chasing","coordinated team movement"]	Chinese festival dance symbolizing power, dignity, and prosperity	Chinese ceremonial dance with a long dragon puppet manipulated by a team of dancers	["Historical records"]				
kecak	Kecak	Kecak	Southeast Asia	{"lat":-8.82,"lng":115.09}	1930	null	["balinese"]	ceremonial	["gamelan"]	["checkered cloth","bare torso"]	["rhythmic chanting","arm waving","trance movements"]	Balinese ritual trance dance depicting the Ramayana epic	Balinese dance-drama with large circle of men chanting "cak" while enacting the Ramayana	["Walter Spies documentation","Ethnographic research"]				
morris-dance	Morris Dance	Morris Dance	Western Europe	{"lat":51.75,"lng":-1.26}	1448	null	["english"]	folk	["celtic"]	["white clothing","bells","ribbons","straw hats"]	["stick clashing","handkerchief waving","stepping patterns"]	English ritual folk dance associated with seasonal festivals	English folk dance with rhythmic stepping, sticks, and handkerchiefs performed at festivals	["Historical records"]				
belly-dance	Belly Dance	رقص شرقي	Middle East	{"lat":30.04,"lng":31.24}	-5000	null	["arabic"]	social	["arabic-maqam"]	["bedlah costume","hip scarf","finger cymbals"]	["hip drops","shimmies","figure eights","undulations"]	Ancient Middle Eastern women's dance celebrating femininity and fertility	Middle Eastern dance emphasizing isolated torso and hip movements	["Ancient art depictions","Historical records"]				
cossack-dance	Cossack Dance	Гопак	Eastern Europe	{"lat":50.45,"lng":30.52}	1500	null	["ukrainian"]	folk	[]	["sharovary trousers","embroidered shirt","papakha hat"]	["prisyadka","razножка","saber spinning","acrobatic leaps"]	Ukrainian Cossack martial dance showcasing strength and agility	Ukrainian folk dance featuring acrobatic squatting kicks and leaps	["Historical records","Oral tradition"]				
javanese-bedhaya	Bedhaya	Bedhaya	Southeast Asia	{"lat":-7.79,"lng":110.36}	1600	null	["javanese"]	classical	["gamelan"]	["batik cloth","gold accessories","jasmine garland"]	["slow synchronized movement","refined hand gestures","floor patterns"]	Sacred Javanese court dance performed by nine women representing cosmic harmony	Javanese royal court dance of extreme refinement performed by nine female dancers	["Court records","Ethnographic research"]				
bharatanatyam-fusion	Kuchipudi	కూచిపూడి	South Asia	{"lat":16.27,"lng":80.35}	-300	null	["telugu","sanskrit"]	classical	["indian-classical"]	["silk saree","elaborate jewelry","ankle bells"]	["mandala movements","brass plate dance","water pot balance"]	Telugu classical dance-drama tradition	South Indian classical dance from Andhra Pradesh combining dance, music, and acting	["Natya Shastra","Historical records"]				
eskista	Eskista	እስክስታ	East Africa	{"lat":9.02,"lng":38.75}	-500	null	["amharic"]	folk	[]	["traditional white shamma cloth"]	["shoulder shaking","chest popping","neck movement","shoulder blade rolling"]	Ethiopian traditional dance showcasing extraordinary upper body control	Ethiopian folk dance characterized by intense shoulder and chest movements	["Ethnographic research","Oral tradition"]				
dabke	Dabke	دبكة	Middle East	{"lat":33.89,"lng":35.50}	-3000	null	["arabic"]	folk	["arabic-maqam"]	["traditional thawb","keffiyeh"]	["stamping","line formation","leader improvisation","linked arms"]	Levantine communal line dance performed at celebrations	Levantine folk line dance with stamping feet and linked arms led by a lawweeh	["Historical records","Oral tradition"]				
maypole-dance	Maypole Dance	Majstångsdans	Northern Europe	{"lat":59.33,"lng":18.07}	1300	null	["swedish","german"]	folk	[]	["folk dress","flower wreaths"]	["weaving ribbons","circular movement","skipping"]	Northern European midsummer fertility celebration	Scandinavian and Germanic folk dance around a decorated pole during midsummer	["Historical records"]				
alunelul	Alunelul							folk					type of dance	["Wikidata"]	Q2840545	http://www.wikidata.org/entity/Q2840545	2026-07-08T11:21:54.802Z	0.8
angloise	Angloise							folk					English country dance	["Wikidata"]	Q4763716	http://www.wikidata.org/entity/Q4763716	2026-07-08T11:21:54.802Z	0.8
awa-dance-festival	Awa Dance Festival		Japan	{"lat":35,"lng":136}				folk					type of dance	["Wikidata"]	Q1185363	http://www.wikidata.org/entity/Q1185363	2026-07-08T11:21:54.802Z	0.8
bacha-nagma	Bacha Nagma							folk					type of dance	["Wikidata"]	Q85744741	http://www.wikidata.org/entity/Q85744741	2026-07-08T11:21:54.802Z	0.8
borborbor	Borborbor							folk					Ghanaian and Togolese traditional dance	["Wikidata"]	Q4944382	http://www.wikidata.org/entity/Q4944382	2026-07-08T11:21:54.802Z	0.8
chaap	Chaap							folk					baloch folk dance	["Wikidata"]	Q111317655	http://www.wikidata.org/entity/Q111317655	2026-07-08T11:21:54.802Z	0.8
chapelloise	Chapelloise							folk					dance	["Wikidata"]	Q1062722	http://www.wikidata.org/entity/Q1062722	2026-07-08T11:21:54.802Z	0.8
chumak	chumak							folk					type of dance	["Wikidata"]	Q5116137	http://www.wikidata.org/entity/Q5116137	2026-07-08T11:21:54.802Z	0.8
circassian-circle	Circassian circle							folk					type of dance	["Wikidata"]	Q2533237	http://www.wikidata.org/entity/Q2533237	2026-07-08T11:21:54.802Z	0.8
clogging	clogging		United States	{"lat":39.828175,"lng":-98.5795}				folk					North American fast-footwork folk dance	["Wikidata"]	Q488656	http://www.wikidata.org/entity/Q488656	2026-07-08T11:21:54.802Z	0.8
cocolo	cocolo		Dominican Republic	{"lat":18.8,"lng":-70.2}				folk					folk dance from the Dominican Republic	["Wikidata"]	Q22092272	http://www.wikidata.org/entity/Q22092272	2026-07-08T11:21:54.802Z	0.8
combat-hopak	combat hopak		Ukraine	{"lat":49,"lng":32}				folk					type of dance	["Wikidata"]	Q4090105	http://www.wikidata.org/entity/Q4090105	2026-07-08T11:21:54.802Z	0.8
contra-dance	contra dance		France	{"lat":47,"lng":2}				folk					folk dance with mixed European origins, featuring long lines of couples	["Wikidata"]	Q747339	http://www.wikidata.org/entity/Q747339	2026-07-08T11:21:54.802Z	0.8
dances-of-sticks-and-ribbons	dances of sticks and ribbons							folk					European ancestral dances derived from ancient war dances that use sticks and ribbons	["Wikidata"]	Q8353858	http://www.wikidata.org/entity/Q8353858	2026-07-08T11:21:54.802Z	0.8
dansants-de-peniscola	Dansants de Peníscola							folk					folk dance from Peníscola	["Wikidata"]	Q104296047	http://www.wikidata.org/entity/Q104296047	2026-07-08T11:21:54.802Z	0.8
danza-de-tijeras	Danza de tijeras		Peru	{"lat":-9.4,"lng":-76}				folk					dance from the Andes, Peru	["Wikidata"]	Q5221455	http://www.wikidata.org/entity/Q5221455	2026-07-08T11:21:54.802Z	0.8
dhan-nach	Dhan Nach		Nepal	{"lat":28,"lng":84}				folk					Nepali folk dance	["Wikidata"]	Q13182447	http://www.wikidata.org/entity/Q13182447	2026-07-08T11:21:54.802Z	0.8
egg-dance	egg dance							folk					traditional Easter game to manipulate eggs with the feet without breaking them	["Wikidata"]	Q5347839	http://www.wikidata.org/entity/Q5347839	2026-07-08T11:21:54.802Z	0.8
ewoya-dance	Ewoya Dance		Uganda	{"lat":1.28,"lng":32.39}				folk					traditional folk dance of the Jie people found in North-Eastern Uganda	["Wikidata"]	Q124412659	http://www.wikidata.org/entity/Q124412659	2026-07-08T11:21:54.802Z	0.8
faroese-dance	Faroese dance							folk					style of dance	["Wikidata"]	Q615031	http://www.wikidata.org/entity/Q615031	2026-07-08T11:21:54.802Z	0.8
furlana	furlana							folk					Italian folk dance	["Wikidata"]	Q1475008	http://www.wikidata.org/entity/Q1475008	2026-07-08T11:21:54.802Z	0.8
ghatu-dance	Ghatu dance		Nepal	{"lat":28,"lng":84}				folk					Nepalese dance form of Gurung people	["Wikidata"]	Q113541813	http://www.wikidata.org/entity/Q113541813	2026-07-08T11:21:54.802Z	0.8
grossvater-tanz	Grossvater Tanz							folk					type of dance	["Wikidata"]	Q5610623	http://www.wikidata.org/entity/Q5610623	2026-07-08T11:21:54.802Z	0.8
hokey-pokey	Hokey Pokey							folk					participation song and dance	["Wikidata"]	Q3643110	http://www.wikidata.org/entity/Q3643110	2026-07-08T11:21:54.802Z	0.8
huaconada	Huaconada		Peru	{"lat":-9.4,"lng":-76}				folk					Peruvian dance	["Wikidata"]	Q604820	http://www.wikidata.org/entity/Q604820	2026-07-08T11:21:54.802Z	0.8
hunguhungu	Hunguhungu							folk					type of dance	["Wikidata"]	Q5943571	http://www.wikidata.org/entity/Q5943571	2026-07-08T11:21:54.802Z	0.8
international-folk-dance	international folk dance							folk					Variety of ethnic dance traditions	["Wikidata"]	Q6054681	http://www.wikidata.org/entity/Q6054681	2026-07-08T11:21:54.802Z	0.8
jera	Jera		Ghana	{"lat":7.9465,"lng":-1.0232}				folk					Ghanaian traditional dance	["Wikidata"]	Q94688020	http://www.wikidata.org/entity/Q94688020	2026-07-08T11:21:54.802Z	0.8
kaerajaan	kaerajaan							folk					type of dance	["Wikidata"]	Q12366001	http://www.wikidata.org/entity/Q12366001	2026-07-08T11:21:54.802Z	0.8
kamsale	Kamsale		India	{"lat":22.8,"lng":83}				folk					Folk art	["Wikidata"]	Q6359708	http://www.wikidata.org/entity/Q6359708	2026-07-08T11:21:54.802Z	0.8
kara-jorgo	Kara Jorgo							folk					Traditional Kazakh dance.	["Wikidata"]	Q19656079	http://www.wikidata.org/entity/Q19656079	2026-07-08T11:21:54.802Z	0.8
karsilamas	Karsilamas		Turkey	{"lat":39,"lng":36}				folk					type of dance	["Wikidata"]	Q3556333	http://www.wikidata.org/entity/Q3556333	2026-07-08T11:21:54.802Z	0.8
kartuli	Kartuli							folk					Georgian folk pair dance	["Wikidata"]	Q4216273	http://www.wikidata.org/entity/Q4216273	2026-07-08T11:21:54.802Z	0.8
kazagi	Kazagi							folk					type of dance	["Wikidata"]	Q5691460	http://www.wikidata.org/entity/Q5691460	2026-07-08T11:21:54.802Z	0.8
khamba-thoibi-jagoi	Khamba Thoibi Jagoi		Manipur State	{"lat":24.8167,"lng":93.95}				folk					traditional ancient classical dance form originated from Ancient Moirang province of Manipur (Kangleipak) realm	["Wikidata"]	Q107612872	http://www.wikidata.org/entity/Q107612872	2026-07-08T11:21:54.802Z	0.8
kummi	Kummi							folk					folk dance from Tamil Nadu and Kerala in India, danced by women in a circle	["Wikidata"]	Q3534322	http://www.wikidata.org/entity/Q3534322	2026-07-08T11:21:54.802Z	0.8
la-raspa	La Raspa							folk					type of dance	["Wikidata"]	Q6464763	http://www.wikidata.org/entity/Q6464763	2026-07-08T11:21:54.802Z	0.8
los-negritos-dance	Los Negritos dance							folk					type of dance	["Wikidata"]	Q5799207	http://www.wikidata.org/entity/Q5799207	2026-07-08T11:21:54.802Z	0.8
maach	Maach							folk					folk theatre	["Wikidata"]	Q13560108	http://www.wikidata.org/entity/Q13560108	2026-07-08T11:21:54.802Z	0.8
magunatip	magunatip							folk					Murut dance	["Wikidata"]	Q7447200	http://www.wikidata.org/entity/Q7447200	2026-07-08T11:21:54.802Z	0.8
mizmar	Mizmar		Egypt	{"lat":27,"lng":29}				folk					folkloric dance	["Wikidata"]	Q12242512	http://www.wikidata.org/entity/Q12242512	2026-07-08T11:21:54.802Z	0.8
monferrina	monferrina							folk					Italian folk dance	["Wikidata"]	Q3320628	http://www.wikidata.org/entity/Q3320628	2026-07-08T11:21:54.802Z	0.8
moribayassa	Moribayassa							folk					traditional dance in Guinea	["Wikidata"]	Q3324074	http://www.wikidata.org/entity/Q3324074	2026-07-08T11:21:54.802Z	0.8
paraguayan-bottle-dance	Paraguayan bottle dance							folk					Folk dance tradition recorded in Wikidata.	["Wikidata"]	Q96398402	http://www.wikidata.org/entity/Q96398402	2026-07-08T11:21:54.802Z	0.8
passepied	Passepied							folk					French court dance	["Wikidata"]	Q902965	http://www.wikidata.org/entity/Q902965	2026-07-08T11:21:54.802Z	0.8
qhapaq-negro	Qhapaq negro							folk					type of dance	["Wikidata"]	Q17086598	http://www.wikidata.org/entity/Q17086598	2026-07-08T11:21:54.802Z	0.8
rheinlander	Rheinlander							folk					type of dance	["Wikidata"]	Q690523	http://www.wikidata.org/entity/Q690523	2026-07-08T11:21:54.802Z	0.8
rigaudon	rigaudon							folk					cheerful Baroque dance movement in duple meter	["Wikidata"]	Q383845	http://www.wikidata.org/entity/Q383845	2026-07-08T11:21:54.802Z	0.8
saidi	Saidi							folk					Egyptian folk dance	["Wikidata"]	Q546517	http://www.wikidata.org/entity/Q546517	2026-07-08T11:21:54.802Z	0.8
seises	Seises							folk					type of dance	["Wikidata"]	Q6123993	http://www.wikidata.org/entity/Q6123993	2026-07-08T11:21:54.802Z	0.8
sevillanas	sevillanas		Spain	{"lat":40.2,"lng":-3.5}				folk					musical genre, folk song and dance	["Wikidata"]	Q976634	http://www.wikidata.org/entity/Q976634	2026-07-08T11:21:54.802Z	0.8
siddavesa	Siddavesa							folk					folk dance	["Wikidata"]	Q31830689	http://www.wikidata.org/entity/Q31830689	2026-07-08T11:21:54.802Z	0.8
soran-bushi	Sōran Bushi		Japan	{"lat":35,"lng":136}				folk					traditional Japanese dance	["Wikidata"]	Q7667610	http://www.wikidata.org/entity/Q7667610	2026-07-08T11:21:54.802Z	0.8
square-dance	square dance							folk					dance for four couples (eight dancers) arranged in a square	["Wikidata"]	Q1156994	http://www.wikidata.org/entity/Q1156994	2026-07-08T11:21:54.802Z	0.8
syabru-dance	Syabru dance		Nepal	{"lat":28,"lng":84}				folk					Himalayan traditional folk dance from Nepal	["Wikidata"]	Q114552797	http://www.wikidata.org/entity/Q114552797	2026-07-08T11:21:54.802Z	0.8
tahtib	tahtib		Egypt	{"lat":27,"lng":29}				folk					Egyptian martial art and folk dance	["Wikidata"]	Q254093	http://www.wikidata.org/entity/Q254093	2026-07-08T11:21:54.802Z	0.8
torch-dance	torch dance							folk					type of dance	["Wikidata"]	Q1391675	http://www.wikidata.org/entity/Q1391675	2026-07-08T11:21:54.802Z	0.8
two-rhythm-dance	Two-Rhythm Dance							folk					Zwiefache is a typical Bavarian-Bohemian musical genre that is played, danced and sung	["Wikidata"]	Q244630	http://www.wikidata.org/entity/Q244630	2026-07-08T11:21:54.802Z	0.8
volkspele	Volkspele							folk					South African folk dance tradition	["Wikidata"]	Q7940288	http://www.wikidata.org/entity/Q7940288	2026-07-08T11:21:54.802Z	0.8
zambra	Zambra		Spain	{"lat":40.2,"lng":-3.5}				folk					style of flamenco dance	["Wikidata"]	Q2572946	http://www.wikidata.org/entity/Q2572946	2026-07-08T11:21:54.802Z	0.8
