id	name	category	style_period	origin_date	end_date	origin_coordinates	description	associated_civilizations	associated_languages	key_features	notable_examples
art-011	Japanese Ukiyo-e	painting	Edo Period	1615	1868	{"lat":35.68,"lng":139.69}	Woodblock print and painting tradition depicting the floating world of pleasure, landscapes, and kabuki actors	Japanese	["jpn"]	["woodblock printing","flat color areas","bold outlines","asymmetric composition","everyday subject matter"]	["The Great Wave off Kanagawa","Thirty-six Views of Mount Fuji","Fifty-three Stations of the Tokaido","ukiyo-e beauties by Utamaro"]
art-012	Mayan Art	sculpture	Classic Maya	250	900	{"lat":17.22,"lng":-89.62}	Elaborate sculptural and architectural tradition featuring detailed reliefs, jade work, and painted ceramics with mythological narratives	Maya	["yua","kek","quc"]	["hieroglyphic inscriptions","jade carving","polychrome ceramics","stucco modeling","narrative relief sculpture"]	["Palenque reliefs","Bonampak murals","Copan stelae","jade death masks"]
art-013	Aztec Art	sculpture	Late Postclassic	1325	1521	{"lat":19.43,"lng":-99.13}	Powerful sculptural tradition combining religious symbolism with naturalistic observation, primarily in stone and featherwork	Aztec	["nah"]	["monumental stone sculpture","skull motifs","featherwork","turquoise mosaic","calendar stone imagery"]	["Sun Stone","Coyolxauhqui Stone","Coatlicue statue","feathered serpent sculptures"]
art-014	African Mask Traditions	sculpture	Traditional	-500	null	{"lat":6.52,"lng":-1.72}	Diverse sculptural traditions across West and Central Africa creating masks and figures for ritual, spiritual, and social purposes	West African, Central African	["aka","bam","yor","ibo","lin"]	["abstract stylization","ritual function","wood carving","polychrome painting","composite materials"]	["Dan masks","Baule spirit figures","Benin bronze plaques","Dogon kanaga masks"]
art-015	Aboriginal Dot Painting	painting	Contemporary Indigenous	1971	null	{"lat":-23.70,"lng":133.87}	Modern expression of ancient Aboriginal Dreaming narratives using acrylic dot technique on canvas, originating at Papunya	Aboriginal Australian	["wbp","arr","aer"]	["dot application technique","Dreaming narrative","earth-tone palette","aerial perspective","concentric circles"]	["Papunya Tula paintings","Emily Kame Kngwarreye works","Clifford Possum Tjapaltjarri paintings","Rover Thomas works"]
art-016	Mughal Miniature Painting	painting	Mughal	1526	1857	{"lat":27.18,"lng":78.02}	Refined manuscript painting tradition blending Persian, Indian, and European influences with detailed naturalism and vibrant color	Mughal	["fas","urd","hin"]	["fine brushwork","naturalistic detail","vibrant pigments","manuscript illumination","portrait tradition"]	["Akbarnama illustrations","Padshahnama","Hamzanama folios","Jahangir's nature studies"]
art-017	Persian Miniature Painting	painting	Timurid-Safavid	1370	1700	{"lat":32.65,"lng":51.68}	Exquisite manuscript illustration tradition known for jewel-like color, fluid compositions, and literary narrative scenes	Persian	["fas"]	["jewel-like colors","gold leaf accents","elevated viewpoint","garden settings","literary illustration"]	["Shahnameh illustrations","Khamsa of Nizami","Herat school works","Tabriz school paintings"]
art-018	Indian Temple Architecture	architecture	Hindu-Buddhist	-300	1700	{"lat":13.00,"lng":80.20}	Monumental religious architecture featuring elaborately carved stone temples with towering superstructures and sculptural programs	Indian	["san","tam","tel","hin","kan"]	["shikhara tower","mandapa hall","gopuram gateway","erotic sculpture","cosmic symbolism"]	["Khajuraho temples","Brihadeeswarar Temple","Konark Sun Temple","Angkor Wat"]
art-019	Rococo	painting	Rococo	1720	1780	{"lat":48.86,"lng":2.35}	Lighthearted decorative style featuring pastel colors, asymmetric curves, and playful subject matter in painting and interior design	French	["fra"]	["pastel palette","asymmetric ornament","shell motifs","fete galante scenes","delicate brushwork"]	["The Swing by Fragonard","Pilgrimage to Cythera","Madame de Pompadour portraits","Rococo interiors at Versailles"]
art-020	Impressionism	painting	Modern	1860	1886	{"lat":48.86,"lng":2.35}	Revolutionary painting movement capturing fleeting effects of light and color through visible brushstrokes and open-air painting	French	["fra"]	["visible brushstrokes","en plein air painting","light effects","everyday subjects","broken color technique"]	["Impression Sunrise","Water Lilies","Bal du moulin de la Galette","Dance Class by Degas"]
art-021	Art Nouveau	architecture	Modern	1890	1910	{"lat":50.85,"lng":4.35}	Decorative art movement inspired by natural forms, featuring sinuous curves, organic motifs, and integration of art with architecture	European	["fra","deu","cat","nld"]	["organic flowing lines","floral motifs","whiplash curves","stained glass","integration of structure and ornament"]	["Casa Batllo","Paris Metro entrances","Tiffany lamps","Vienna Secession building"]
art-022	Cubism	painting	Modern	1907	1925	{"lat":48.86,"lng":2.35}	Radical painting movement fragmenting form into geometric planes and showing multiple viewpoints simultaneously	French	["fra","spa"]	["geometric fragmentation","multiple viewpoints","collage technique","monochromatic palette","flattened space"]	["Les Demoiselles d'Avignon","Guernica","Violin and Candlestick","Three Musicians"]
art-023	Japanese Zen Gardens	architecture	Muromachi	1336	null	{"lat":35.03,"lng":135.73}	Contemplative landscape design using rocks, gravel, moss, and pruned trees to create spaces for meditation and spiritual reflection	Japanese	["jpn"]	["dry landscape (karesansui)","raked gravel patterns","asymmetric composition","borrowed scenery","minimalist aesthetic"]	["Ryoan-ji rock garden","Daisen-in","Ginkaku-ji garden","Saihoji moss garden"]
art-024	Benin Bronze Casting	sculpture	Benin Kingdom	1200	1897	{"lat":6.34,"lng":5.63}	Sophisticated lost-wax bronze casting tradition producing commemorative plaques, heads, and figures for the Oba royal court	Benin Kingdom	["edo"]	["lost-wax casting","commemorative portraiture","hierarchical composition","detailed regalia","narrative plaques"]	["Queen Idia head","Benin bronze plaques","Oba memorial heads","leopard aquamaniles"]
art-025	Tibetan Thangka Painting	painting	Tibetan Buddhist	800	null	{"lat":29.65,"lng":91.10}	Devotional scroll painting tradition depicting Buddhist deities, mandalas, and narratives on cotton or silk with mineral pigments	Tibetan	["bod"]	["mineral pigments","gold detailing","mandala composition","iconographic precision","scroll format"]	["Wheel of Life thangkas","Green Tara paintings","Kalachakra mandalas","Medicine Buddha thangkas"]
art-026	Pre-Raphaelite	painting	Victorian	1848	1900	{"lat":51.51,"lng":-0.13}	British art movement rejecting industrialization and academic conventions, seeking medieval sincerity through vivid color and detail	British	["eng"]	["vivid saturated colors","literary subjects","meticulous natural detail","medieval themes","elongated figures"]	["Ophelia by Millais","The Lady of Shalott","Proserpine by Rossetti","The Awakening Conscience"]
art-027	Surrealism	painting	Modern	1924	1966	{"lat":48.86,"lng":2.35}	Art movement exploring the unconscious mind through dreamlike imagery, unexpected juxtapositions, and automatic techniques	European	["fra","spa","deu"]	["dreamlike imagery","unexpected juxtaposition","automatic drawing","symbolic objects","illogical scenes"]	["The Persistence of Memory","The Treachery of Images","The Elephants","Europe After the Rain"]
art-028	Chinese Calligraphy	painting	Ancient Chinese	-1200	null	{"lat":34.26,"lng":108.94}	Ancient writing art form elevating brushwork to aesthetic expression, with distinct scripts from seal to cursive styles	Chinese	["cmn","lzh"]	["brush and ink medium","multiple script styles","expressive line quality","compositional balance","integration with painting"]	["Wang Xizhi Preface to Orchid Pavilion","Yan Zhenqing calligraphy","Huai Su cursive script","Emperor Huizong slender gold style"]
art-029	Mesoamerican Mural Painting	painting	Classic Mesoamerican	-100	1521	{"lat":19.68,"lng":-98.84}	Vivid wall painting traditions from Teotihuacan through Aztec periods depicting mythology, ritual, and daily life	Mesoamerican	["nah","yua"]	["vivid mineral pigments","flat perspective","narrative scenes","mythological subjects","architectural integration"]	["Teotihuacan murals","Bonampak murals","Cacaxtla battle murals","Mitla geometric friezes"]
art-030	Central Asian Silk Road Art	painting	Silk Road	100	1200	{"lat":39.47,"lng":75.99}	Syncretic Buddhist art tradition blending Greco-Roman, Indian, and Chinese influences along the trade routes of Central Asia	Central Asian	["xto","txb","sog","uig"]	["Greco-Buddhist fusion","cave temple painting","stucco sculpture","narrative wall paintings","votive figures"]	["Dunhuang cave murals","Bamiyan Buddhas","Kizil cave paintings","Gandhara sculpture"]
art-031	Norse Viking Art	metalwork	Viking Age	793	1066	{"lat":59.33,"lng":18.07}	Distinctive decorative tradition featuring interlace patterns, animal motifs, and sophisticated metalwork across Scandinavia	Norse	["non","isl","nob","swe","dan"]	["animal interlace","gripping beast motif","runestone carving","silver and gold metalwork","wood carving"]	["Oseberg ship carvings","Jelling stones","Urnes stave church carvings","Broa mounts"]
art-032	Khmer Temple Architecture	architecture	Angkorian	802	1431	{"lat":13.41,"lng":103.87}	Monumental Hindu-Buddhist temple architecture featuring ascending towers, elaborate bas-reliefs, and cosmic mountain symbolism	Khmer	["khm","san"]	["temple mountain form","extensive bas-reliefs","apsara carvings","moat and causeway","quincunx tower arrangement"]	["Angkor Wat","Bayon temple","Banteay Srei","Ta Prohm"]
art-033	Ottoman Architecture	architecture	Ottoman	1453	1922	{"lat":41.01,"lng":28.98}	Imperial architectural tradition creating vast domed mosques, palaces, and public works blending Byzantine, Islamic, and local traditions	Ottoman	["ota","tur"]	["central dome design","pencil minarets","Iznik tile decoration","courtyard layout","calligraphic inscription"]	["Suleymaniye Mosque","Blue Mosque","Topkapi Palace","Selimiye Mosque"]
art-034	Ethiopian Church Painting	painting	Aksumite-Medieval	400	null	{"lat":12.36,"lng":37.33}	Distinctive Christian painting tradition featuring large almond-shaped eyes, frontal poses, and vivid colors on church walls and manuscripts	Ethiopian	["amh","gez","tir"]	["large almond eyes","frontal poses","vivid flat colors","manuscript illumination","narrative icon panels"]	["Lalibela church murals","Garima Gospels illumination","Gondar castle paintings","processional crosses"]
art-035	Polynesian Tattooing	textile	Traditional Polynesian	-1000	null	{"lat":-17.73,"lng":-149.57}	Sacred body art tradition using geometric patterns to encode genealogy, status, and spiritual protection across Polynesian cultures	Polynesian	["smo","ton","mri","haw","tah"]	["geometric patterning","identity encoding","tapping technique","full body coverage","genealogical symbolism"]	["Samoan pe'a","Maori ta moko","Marquesan full body tattoo","Hawaiian kakau"]
