id	name	style_period	origin_date	end_date	origin_coordinates	region	description	associated_civilizations	associated_languages	key_features	notable_examples	building_types	wikidata_qid	source_url	retrieved_at	confidence	sources
arch-011	Mesoamerican	Classic Maya	-1500	1521	{"lat":17.22,"lng":-89.62}	Central America	Monumental stone pyramid-temples with elaborate sculptural programs and astronomical alignments	Maya, Aztec	["yua","kek","nah"]	["stepped pyramids","astronomical alignment","stucco facades","ball courts","hieroglyphic inscriptions"]	["Chichen Itza","Tikal Temple I","Teotihuacan Pyramids","Monte Alban"]	["pyramid-temple","ball-court","palace","observatory"]					
arch-012	Renaissance	Renaissance	1420	1600	{"lat":43.77,"lng":11.26}	Southern Europe	Revival of Classical forms emphasizing symmetry, proportion, and mathematical harmony	Italian	["ita","lat"]	["classical orders revival","symmetrical facades","dome construction","mathematical proportion","rusticated masonry"]	["Florence Cathedral dome","St. Peter's Basilica","Palazzo Rucellai","Villa Rotonda"]	["church","palace","villa","civic-building"]					
arch-013	Baroque	Baroque	1600	1750	{"lat":41.90,"lng":12.50}	Southern Europe	Dramatic, theatrical architecture featuring curved forms, elaborate decoration, and spatial grandeur	European	["ita","spa","fra","deu"]	["curved facades","dramatic lighting","trompe-l'oeil ceilings","ornate decoration","grand staircases"]	["St. Peter's Square","Palace of Versailles","Karlskirche Vienna","Church of the Gesu"]	["church","palace","theater","garden"]	Q37853	https://www.wikidata.org/entity/Q37853	2026-07-13	0.9	Wikidata Q37853 (exact-label reconciliation, US-003)
arch-014	Mughal	Mughal	1526	1857	{"lat":27.18,"lng":78.02}	South Asia	Synthesis of Islamic, Persian, and Indian architectural traditions with emphasis on symmetry and gardens	Mughal	["fas","urd","hin"]	["onion domes","pietra dura inlay","char bagh gardens","red sandstone and white marble","jali screens"]	["Taj Mahal","Red Fort","Fatehpur Sikri","Humayun's Tomb"]	["mausoleum","fort","palace","mosque","garden"]					
arch-015	Art Nouveau	Art Nouveau	1890	1910	{"lat":48.86,"lng":2.35}	Western Europe	Organic, nature-inspired architecture with sinuous curves and innovative use of iron and glass	European	["fra","deu","spa","cat"]	["organic curves","iron and glass","nature motifs","asymmetric facades","whiplash lines"]	["Casa Batllo","Hotel Tassel","Paris Metro entrances","Casa Mila"]	["house","apartment","metro-station","department-store"]	Q34636	https://www.wikidata.org/entity/Q34636	2026-07-13	0.9	Wikidata Q34636 (exact-label reconciliation, US-003)
arch-016	Art Deco	Art Deco	1920	1940	{"lat":40.75,"lng":-73.99}	North America	Geometric, streamlined architecture combining modernism with lavish ornamentation	American, European	["eng","fra"]	["geometric ornamentation","stepped massing","metallic finishes","zigzag patterns","stylized motifs"]	["Chrysler Building","Empire State Building","Hoover Building","Eastern Columbia Building"]	["skyscraper","theater","hotel","government-building"]					
arch-017	Modernist	Modernist	1920	1970	{"lat":48.86,"lng":2.35}	Western Europe	Architecture emphasizing function, minimal ornament, and new materials like steel, concrete, and glass	International	["fra","deu","eng"]	["form follows function","open floor plans","curtain walls","pilotis","flat roofs"]	["Villa Savoye","Farnsworth House","Unite d'Habitation","Seagram Building"]	["house","office-tower","museum","housing-block"]					
arch-018	Khmer	Khmer Empire	802	1431	{"lat":13.41,"lng":103.87}	Southeast Asia	Monumental temple-mountain architecture symbolizing Mount Meru with elaborate bas-relief narratives	Khmer	["khm","san"]	["temple-mountain form","bas-relief galleries","lotus-bud towers","moat enclosures","sandstone construction"]	["Angkor Wat","Bayon","Banteay Srei","Preah Vihear"]	["temple","reservoir","causeway","city"]					
arch-019	Sub-Saharan African	Traditional African	-500	1900	{"lat":12.00,"lng":-1.52}	West Africa	Diverse building traditions using earth, thatch, and timber with sophisticated environmental adaptation	West African, East African	["bam","hau","swa","yor"]	["adobe/rammed earth","thatched roofs","compound plans","climate-responsive design","community layout"]	["Great Mosque of Djenne","Great Zimbabwe","Lalibela rock churches","Timbuktu mosques"]	["mosque","palace","granary","compound"]					
arch-020	Andean	Inca	-1000	1533	{"lat":-13.52,"lng":-71.97}	South America	Masterful stone architecture featuring precise ashlar masonry without mortar and earthquake-resistant design	Inca	["que","aym"]	["dry-stone ashlar masonry","trapezoidal openings","earthquake-resistant walls","terraced agriculture","integration with landscape"]	["Machu Picchu","Sacsayhuaman","Ollantaytambo","Coricancha"]	["fortress","temple","agricultural-terrace","road-system"]					
academic-art	academic art						style of painting and sculpture produced under the influence of European academies of art						Q189458	http://www.wikidata.org/entity/Q189458	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
ancient-egyptian-style	ancient Egyptian						aspect of architecture						Q842352	http://www.wikidata.org/entity/Q842352	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
ancient-greek	ancient Greek						era of architecture						Q331273	http://www.wikidata.org/entity/Q331273	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
ancient-roman-style	ancient Roman						architecture of the ancient Romans						Q223750	http://www.wikidata.org/entity/Q223750	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
arts-and-crafts-movement	Arts and Crafts movement						international design movement						Q330369	http://www.wikidata.org/entity/Q330369	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
baroque-revival	baroque revival						architectural movement						Q911397	http://www.wikidata.org/entity/Q911397	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
bauhaus	Bauhaus		1919				school in Germany that combined crafts and the fine arts						Q124354	http://www.wikidata.org/entity/Q124354	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
beaux-arts	Beaux-Arts						19th century architectural style						Q1268134	http://www.wikidata.org/entity/Q1268134	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
biedermeier	Biedermeier						Era in Central Europe between 1815 and 1848						Q154432	http://www.wikidata.org/entity/Q154432	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
brick-gothic	Brick Gothic						architectural style of Northern Europe						Q695863	http://www.wikidata.org/entity/Q695863	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
brutalist	brutalist						20th century style of architecture						Q994776	http://www.wikidata.org/entity/Q994776	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
bungalow	bungalow						house that is either single-storey or has a second storey built into a sloping roof, popular in North America						Q850107	http://www.wikidata.org/entity/Q850107	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
byzantine-revival	Byzantine Revival						architectural revival movement						Q966571	http://www.wikidata.org/entity/Q966571	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
chicago-school	Chicago School				{"lat":39.828175,"lng":-98.5795}	United States	American architectural style						Q1072060	http://www.wikidata.org/entity/Q1072060	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
chinese-style	Chinese						style of architecture						Q957904	http://www.wikidata.org/entity/Q957904	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
classicism	Classicism						art movement; architectural style						Q170292	http://www.wikidata.org/entity/Q170292	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
constructivism	Constructivism						artistic and architectural philosophy						Q207103	http://www.wikidata.org/entity/Q207103	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
corinthian-order	Corinthian order						latest of the three principal classical orders of ancient Greek and Roman architecture						Q54124	http://www.wikidata.org/entity/Q54124	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
de-stijl	De Stijl		1917				Dutch artistic movement						Q207445	http://www.wikidata.org/entity/Q207445	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
deconstructivism	deconstructivism						architectural movement						Q238255	http://www.wikidata.org/entity/Q238255	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
doric-order	Doric order						ancient Greek architectural order						Q192664	http://www.wikidata.org/entity/Q192664	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
eclectic	eclectic						architectural style						Q2479493	http://www.wikidata.org/entity/Q2479493	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
empire-style	Empire style						19th-century art movement and style of architecture and interior design						Q191105	http://www.wikidata.org/entity/Q191105	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
expressionist	expressionist						architectural style						Q1148060	http://www.wikidata.org/entity/Q1148060	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
flamboyant	Flamboyant						florid style of late Gothic architecture						Q1351624	http://www.wikidata.org/entity/Q1351624	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
functionalism	functionalism						20th-Century architectural style						Q47942	http://www.wikidata.org/entity/Q47942	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
georgian-style	Georgian						set of architectural styles current between 1720 and 1840						Q1125300	http://www.wikidata.org/entity/Q1125300	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
gothic-revival	Gothic Revival						architectural movement						Q186363	http://www.wikidata.org/entity/Q186363	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
greco-buddhist-art	Greco-Buddhist art						artistic manifestation of Greco-Buddhism, a cultural syncretism between Ancient Greek art and Buddhism, which had mainly evolved in the ancient region of Gandhara, located in the northwestern fringe of the Indian subcontinent						Q1008014	http://www.wikidata.org/entity/Q1008014	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
hall-church	hall church						type of church building						Q728266	http://www.wikidata.org/entity/Q728266	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
high-renaissance	High Renaissance						short period of the most exceptional artistic production during the Italian Renaissance						Q1474884	http://www.wikidata.org/entity/Q1474884	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
high-tech	high-tech						architectural style that emerged in the 1970s						Q845318	http://www.wikidata.org/entity/Q845318	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
hip-roof	hip roof						type of roof where all sides slope downwards to the walls						Q162034	http://www.wikidata.org/entity/Q162034	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
historicism	historicism						philosophy						Q460501	http://www.wikidata.org/entity/Q460501	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
international-gothic	International Gothic				{"lat":47.321944444,"lng":5.041111111}	Duchy of Burgundy	art style						Q867769	http://www.wikidata.org/entity/Q867769	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
international-style	International Style						type of modernist architecture						Q162324	http://www.wikidata.org/entity/Q162324	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
ionic-order	Ionic order						one of the 3 orders of classical architecture (along with Doric and Corinthian), characterized by the use of volutes; columns stand on a base which separates the shaft of the column from the stylobate; the cap is usually enriched with egg-and-dart						Q189548	http://www.wikidata.org/entity/Q189548	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
japanese-style	Japanese						Japanese process of planning, designing and constructing buildings and other structures						Q1422874	http://www.wikidata.org/entity/Q1422874	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
mannerism	Mannerism						style of European art						Q131808	http://www.wikidata.org/entity/Q131808	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
manueline	Manueline						architectural style						Q751878	http://www.wikidata.org/entity/Q751878	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
minimalism	Minimalism						movements in various forms of art and design						Q173436	http://www.wikidata.org/entity/Q173436	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
modern	modern						type of architecture						Q245188	http://www.wikidata.org/entity/Q245188	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
moorish	Moorish						architectural style historically developed in the western Islamic world						Q247492	http://www.wikidata.org/entity/Q247492	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
nazi	Nazi						architecture style promoted by the Nazis						Q287025	http://www.wikidata.org/entity/Q287025	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
neoclassical	Neoclassical						18th–19th-century European classical revivalist architectural style						Q54111	http://www.wikidata.org/entity/Q54111	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
new-urbanism	New Urbanism		1980		{"lat":39.828175,"lng":-98.5795}	United States	urban design movement promoting walkable neighborhoods with a wide range of housing and job types						Q735901	http://www.wikidata.org/entity/Q735901	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
norman	Norman						sub-type of Romanesque architecture						Q136693	http://www.wikidata.org/entity/Q136693	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
northern-renaissance	Northern Renaissance						Renaissance that occurred in the European countries north of the Alps						Q610877	http://www.wikidata.org/entity/Q610877	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
organic	organic						philosophy of architectural design						Q36118	http://www.wikidata.org/entity/Q36118	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
ottoman	Ottoman						architecture of the Ottoman Empire						Q527449	http://www.wikidata.org/entity/Q527449	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
palladian	Palladian						architectural style derived from the work of Andrea Palladio						Q264649	http://www.wikidata.org/entity/Q264649	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
panopticon	Panopticon						type of prison architecture imagined by the Bentham brothers						Q828310	http://www.wikidata.org/entity/Q828310	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
peripteral	peripteral						of a Greek temple, with columns along all four sides						Q60138	http://www.wikidata.org/entity/Q60138	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
pop-art	pop art		1950				art movement						Q134147	http://www.wikidata.org/entity/Q134147	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
postmodern	postmodern						architectural style that emerged in the 1960s						Q595448	http://www.wikidata.org/entity/Q595448	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
purism	purism		1918				French art movement						Q478774	http://www.wikidata.org/entity/Q478774	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
realism	realism						artistic style of representing subjects realistically						Q10857409	http://www.wikidata.org/entity/Q10857409	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
renaissance-revival	Renaissance Revival						branch of 19th-century architectural revival style						Q502163	http://www.wikidata.org/entity/Q502163	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
romanesque-revival	Romanesque Revival						style of building employed beginning in the mid-19th century						Q744373	http://www.wikidata.org/entity/Q744373	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
romanticism	Romanticism						artistic, literary, musical, and intellectual movement						Q37068	http://www.wikidata.org/entity/Q37068	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
sacred	sacred						architectural practices used in places of worship						Q47848	http://www.wikidata.org/entity/Q47848	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
stalinist	Stalinist						architectural style						Q1134824	http://www.wikidata.org/entity/Q1134824	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
star-fort	star fort						type of fortification based on bastions with a star shape						Q12797	http://www.wikidata.org/entity/Q12797	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
stilt-house	stilt house						houses raised on piles over the surface of the soil or a body of water						Q33565	http://www.wikidata.org/entity/Q33565	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
timber-framing	timber framing						building technique, construction method using heavy squared-off and carefully fitted and joined timbers						Q629000	http://www.wikidata.org/entity/Q629000	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
tudor	Tudor						architectural style						Q509364	http://www.wikidata.org/entity/Q509364	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
tuscan-order	Tuscan order						Architectural order						Q654057	http://www.wikidata.org/entity/Q654057	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
vernacular	vernacular						category of architecture based on local needs, construction materials and reflecting local traditions						Q930314	http://www.wikidata.org/entity/Q930314	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
victorian	Victorian						series of architectural revival styles						Q565165	http://www.wikidata.org/entity/Q565165	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
vienna-secession	Vienna Secession		1897				group of Austrian artists and architects						Q208208	http://www.wikidata.org/entity/Q208208	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
