id	name	alternate_names	civilization_id	archaeological_culture_id	time_period_start	time_period_end	region	summary_description	social_organization	subsistence_type	urbanism_level	population_estimate	technology_level	associated_language_ids	associated_religion_ids	associated_writing_system_ids	associated_art_tradition_ids	associated_music_tradition_ids	associated_cuisine_id	associated_architectural_style_ids	associated_literary_tradition_ids	notable_settlements	image_gallery_tags	sources
cp-persian-achaemenid	Achaemenid Persian Culture	["Parsa","Hakhamaneshian"]	persian-empire		-550	-330	Central Asia	The first great Persian empire, known for its tolerance of diverse cultures, the Royal Road postal system, and magnificent ceremonial capital at Persepolis. Achaemenid administration became a model for later empires.	empire	agricultural	metropolis	35000000	iron	["old-persian"]	["zoroastrianism"]	["ws_026"]	[]	[]	iranian	[]	[]	["persepolis","pasargadae","ecbatana","susa"]	["persian","persepolis","zoroastrian","royal-road"]	["Briant 2002","Kuhrt 2007"]
cp-sasanian	Sasanian Culture	["Eranshahr"]	sasanian-empire		224	651	Central Asia	The last pre-Islamic Persian empire, known for its state religion of Zoroastrianism, elaborate rock reliefs, sophisticated metalwork, and influence on Islamic art and architecture. Sasanian culture represented the zenith of ancient Iranian civilization.	empire	agricultural	metropolis	20000000	iron	["middle-persian"]	["zoroastrianism"]	[]	["art-017"]	["persian-classical"]	iranian	[]	["lit-trad-008"]	["ctesiphon"]	["sasanian","zoroastrian","metalwork","rock-relief"]	["Daryaee 2009","Compareti 2009"]
cp-parthian	Parthian Culture	["Arsacid"]	parthian-empire		-247	224	Central Asia	An Iranian empire known for its skilled cavalry archers, decentralized feudal governance, and synthesis of Greek and Iranian cultural elements. Parthians controlled the Silk Road trade between Rome and China.	empire	mixed	city-state	10000000	iron	["parthian"]	["zoroastrianism"]	[]	[]	[]	iranian	[]	[]	["ctesiphon"]	["parthian","cavalry","silk-road"]	["Daryaee 2012","Bivar 1983"]
cp-hittite	Hittite Culture	["Hatti"]	hittite-empire		-1600	-1178	Anatolia	An Anatolian empire that rivaled Egypt, known for pioneering iron smelting, chariot warfare, and elaborate treaty diplomacy. The Hittites left extensive cuneiform archives at their capital Hattusa.	empire	agricultural	city-state	2000000	iron	["hittite"]	[]	["ws_026"]	[]	[]		[]	[]	["hattusa","kanesh"]	["hittite","chariot","iron","anatolia"]	["Bryce 2005","Collins 2007"]
cp-minoan	Minoan Culture	["Keftiu"]	minoan		-2700	-1450	Mediterranean	A Bronze Age civilization on Crete known for elaborate palace complexes, vibrant frescoes, and advanced plumbing. Minoan culture featured a prominent role for women and extensive maritime trade networks.	state	maritime	city-state	250000	bronze	["minoan"]	[]	["ws_024"]	[]	[]	greek	[]	[]	["knossos-settlement"]	["minoan","palace","fresco","bull-leaping"]	["Castleden 1993","Dickinson 1994"]
cp-mycenaean	Mycenaean Culture	["Achaean"]	mycenaean		-1600	-1100	Mediterranean	A warrior culture of Bronze Age Greece known for fortified palace-citadels, elaborate shaft graves, and the events immortalized in Homer's epics. Mycenaean civilization served as a bridge between Bronze Age and Classical Greece.	state	mixed	city-state	1000000	bronze	["greek-ancient"]	["ancient-greek-religion"]	["ws_025"]	[]	[]	greek	[]	[]	["mycenae-settlement","troy"]	["mycenaean","lion-gate","shaft-grave","troy"]	["Cline 2010","Shelmerdine 2008"]
cp-lydian	Lydian Culture	["Sfard"]	lydian-kingdom		-1200	-546	Anatolia	An Anatolian kingdom credited with inventing coined money. Lydian culture blended Greek and Anatolian elements, and its legendary King Croesus became a symbol of great wealth.	state	mixed	city-state	500000	iron	["lydian"]	[]	[]	[]	[]		[]	[]	["sardis"]	["lydian","coinage","croesus","anatolia"]	["Roosevelt 2009","Hanfmann 1983"]
cp-nabataean	Nabataean Culture	["Anbat"]	nabataean		-400	106	Middle East	An Arab kingdom centered on the rock-cut city of Petra, controlling lucrative incense trade routes. Nabataean water management in the desert and their distinctive architecture demonstrate remarkable adaptation to arid environments.	state	mixed	city-state	200000	iron	["nabataean"]	[]	[]	[]	[]		[]	[]	["petra"]	["nabataean","petra","incense","desert"]	["Taylor 2001","Graf 2019"]
cp-urartu	Urartian Culture	["Biainili"]	urartu		-860	-590	Anatolia	A kingdom in the Armenian highlands known for sophisticated irrigation systems, metalworking, and fortress architecture. Urartian culture drew on Assyrian influences while developing a distinctive identity.	state	agricultural	city-state	500000	iron	["urartian"]	[]	["ws_026"]	[]	[]		[]	[]	["ahlat"]	["urartu","fortress","irrigation","caucasus"]	["Zimansky 1998","Wartke 1993"]
cp-elamite	Elamite Culture	["Haltamti"]	elamite		-2700	-539	Middle East	One of the oldest civilizations, based in southwestern Iran. Elamites developed their own script and built the massive ziggurat at Chogha Zanbil. Their culture influenced and was influenced by neighboring Mesopotamian civilizations.	state	agricultural	city-state	500000	bronze	["elamite"]	[]	["ws_026"]	[]	[]	iranian	[]	[]	["susa"]	["elamite","ziggurat","iran","susa"]	["Potts 1999","Carter 1998"]
cp-indus-valley	Indus Valley Culture	["Harappan","Sindhu"]	indus-valley		-3300	-1300	South Asia	A sophisticated urban civilization with planned cities featuring grid layouts, advanced drainage systems, and standardized weights and measures. Despite their remarkable achievements, their script remains undeciphered.	state	agricultural	city-state	5000000	bronze	["dravidian-proto"]	[]	[]	[]	[]	indian	[]	[]	["mohenjo-daro","harappa","lothal","dholavira"]	["indus","harappan","drainage","seal"]	["Kenoyer 1998","Possehl 2002"]
cp-maurya	Mauryan Culture	["Maurya Samrajya"]	maurya-empire		-322	-185	South Asia	The first empire to unify most of the Indian subcontinent under Chandragupta Maurya and his grandson Ashoka. Known for Ashoka's edicts promoting dharma, Mauryan pillars, and the Arthashastra treatise on statecraft.	empire	agricultural	metropolis	50000000	iron	["sanskrit","prakrit"]	["buddhism","hinduism","jainism"]	["ws_029"]	["art-018"]	["indian-classical"]	indian	["arch-008"]	["lit-trad-001"]	["pataliputra","taxila"]	["maurya","ashoka","pillar","dharma"]	["Thapar 2002","Mookerji 2016"]
cp-gupta	Gupta Culture	["Gupta Samrajya"]	gupta-empire		320	550	South Asia	Often called the Golden Age of India, the Gupta period saw flourishing of Sanskrit literature, advances in mathematics including the concept of zero, and the peak of classical Indian art and architecture.	empire	agricultural	metropolis	26000000	iron	["sanskrit"]	["hinduism","buddhism"]	["ws_006"]	["art-018"]	["indian-classical"]	indian	["arch-008"]	["lit-trad-001"]	["pataliputra","ujjain","nalanda"]	["gupta","golden-age","mathematics","sanskrit"]	["Sharma 2001","Mookerji 1997"]
cp-chola	Chola Culture	["Chozha"]	chola-dynasty		300	1279	South Asia	A Tamil dynasty known for their naval power, monumental Dravidian temple architecture, and bronze sculpture including the iconic Nataraja. The Chola maritime empire extended to Southeast Asia.	empire	mixed	metropolis	10000000	iron	["tamil"]	["hinduism"]	["ws_017"]	["art-018"]	["indian-classical"]	indian	["arch-008"]	["lit-trad-010"]	["thanjavur","kanchipuram"]	["chola","nataraja","temple","bronze","naval"]	["Kulke 2004","Nilakanta Sastri 1955"]
cp-vijayanagara	Vijayanagara Culture	["Vijayanagar"]	vijayanagara		1336	1646	South Asia	A Hindu empire in southern India known for its magnificent capital at Hampi, patronage of literature and arts in multiple Dravidian languages, and resistance to Muslim sultanates.	empire	agricultural	metropolis	25000000	iron	["kannada","telugu","tamil"]	["hinduism"]	["ws_006"]	["art-018"]	["indian-classical"]	indian	["arch-008"]	[]	["vijayanagara","hampi-settlement"]	["vijayanagara","hampi","temple","dravidian"]	["Stein 1989","Fritz 2016"]
cp-delhi-sultanate	Delhi Sultanate Culture	["Sultanat-e-Dilli"]	delhi-sultanate		1206	1526	South Asia	A series of Muslim dynasties that ruled northern India, introducing Persian and Central Asian cultural elements. The Delhi Sultanate produced distinctive Indo-Islamic architecture and facilitated cultural synthesis.	empire	agricultural	metropolis	25000000	iron	["persian","urdu"]	["islam"]	["ws_004"]	[]	[]	indian	["arch-007"]	[]	["delhi","lahore"]	["delhi-sultanate","indo-islamic","mosque","minaret"]	["Jackson 2003","Kumar 2007"]
cp-mughal	Mughal Culture	["Gurkani"]	mughal-empire		1526	1857	South Asia	The Mughal Empire created a brilliant synthesis of Persian, Turkic, and Indian cultures. Known for the Taj Mahal, Mughal miniature painting, formal gardens, and a sophisticated court culture.	empire	agricultural	metropolis	150000000	iron	["persian","urdu","hindi"]	["islam"]	["ws_004"]	["art-016"]	["indian-classical"]	indian	["arch-014"]	[]	["agra","delhi","fatehpur-sikri","lahore"]	["mughal","taj-mahal","miniature","garden"]	["Richards 1993","Asher 2006"]
cp-tibetan	Tibetan Culture	["Bod"]	tibetan-empire		600	842	Central Asia	A highland empire that controlled strategic routes between China and India. Tibetan culture developed a unique form of Buddhism, distinctive architecture, and a rich tradition of thangka painting and sand mandalas.	empire	pastoral	town	3000000	iron	["tibetan"]	["buddhism"]	["ws_015"]	["art-025"]	[]		[]	[]	["lhasa"]	["tibet","buddhist","thangka","mandala","monastery"]	["Beckwith 1987","Kapstein 2006"]
cp-shang	Shang Culture	["Yin"]	shang-dynasty		-1600	-1046	East Asia	The first historically verifiable Chinese dynasty, known for oracle bone divination, elaborate bronze ritual vessels, and the development of Chinese writing. Shang culture established many enduring Chinese cultural patterns.	state	agricultural	city-state	5000000	bronze	["chinese-old"]	[]	["ws_007"]	["art-010"]	["chinese-classical"]	chinese	["arch-009"]	["lit-trad-004"]	["anyang"]	["shang","oracle-bone","bronze-vessel","divination"]	["Keightley 2000","Chang 1980"]
cp-zhou	Zhou Culture	["Chou"]	zhou-dynasty		-1046	-256	East Asia	The longest Chinese dynasty, during which Confucianism, Taoism, and Legalism emerged. The Zhou period saw the transition from bronze to iron and the flourishing of the Hundred Schools of Thought.	state	agricultural	city-state	25000000	iron	["chinese-old"]	["confucianism","taoism"]	["ws_007"]	["art-010"]	["chinese-classical"]	chinese	["arch-009"]	["lit-trad-004"]	["luoyang","changan"]	["zhou","confucius","bronze","philosophy"]	["Li 2013","Shaughnessy 1999"]
cp-qin	Qin Culture	["Ch'in"]	qin-dynasty		-221	-206	East Asia	The dynasty that first unified China under a centralized bureaucratic state. Despite its brevity, Qin innovations including standardized writing, measurements, road systems, and the Terracotta Army had lasting impact.	empire	agricultural	metropolis	20000000	iron	["chinese-old"]	["confucianism","taoism"]	["ws_007"]	[]	[]	chinese	["arch-009"]	[]	["xianyang","changan"]	["qin","terracotta-army","great-wall","unification"]	["Lewis 2007","Kern 2000"]
cp-han	Han Culture	["Han Chao"]	han-dynasty		-206	220	East Asia	One of China's golden ages, the Han dynasty established Confucianism as state ideology, opened the Silk Road, invented paper, and created a civil service examination system that lasted millennia.	empire	agricultural	metropolis	60000000	iron	["chinese-classical"]	["confucianism","taoism","buddhism"]	["ws_007"]	["art-010","art-028"]	["chinese-classical"]	chinese	["arch-009"]	["lit-trad-004"]	["changan","luoyang"]	["han","silk-road","paper","confucian"]	["Loewe 2006","Twitchett 1986"]
cp-tang	Tang Culture	["Tang Chao"]	tang-dynasty		618	907	East Asia	Considered China's most cosmopolitan dynasty, Tang culture welcomed foreign influences along the Silk Road. Known for poetry (Li Bai, Du Fu), porcelain, and Chang'an as the world's largest city.	empire	agricultural	metropolis	80000000	iron	["chinese-classical"]	["buddhism","taoism","confucianism"]	["ws_007"]	["art-010","art-028"]	["chinese-classical"]	chinese	["arch-009"]	["lit-trad-004"]	["changan","luoyang","guangzhou"]	["tang","poetry","porcelain","silk-road","cosmopolitan"]	["Lewis 2009","Benn 2002"]
cp-song	Song Culture	["Sung"]	song-dynasty		960	1279	East Asia	A period of remarkable technological innovation including movable type printing, gunpowder weapons, and the magnetic compass. Song culture is noted for landscape painting, Neo-Confucianism, and an expanding market economy.	empire	agricultural	metropolis	100000000	steel	["chinese-classical"]	["confucianism","buddhism","taoism"]	["ws_007"]	["art-010","art-028"]	["chinese-classical"]	chinese	["arch-009"]	["lit-trad-004"]	["kaifeng","hangzhou"]	["song","porcelain","painting","printing","gunpowder"]	["Kuhn 2009","Ebrey 2014"]
cp-ming	Ming Culture	["Da Ming"]	ming-dynasty		1368	1644	East Asia	Known for the Forbidden City, blue-and-white porcelain, Zheng He's maritime expeditions, and the completion of the Great Wall. Ming culture represented a reassertion of Han Chinese identity after Mongol rule.	empire	agricultural	metropolis	160000000	steel	["chinese-mandarin"]	["confucianism","buddhism","taoism"]	["ws_007"]	["art-010","art-028"]	["chinese-classical"]	chinese	["arch-009"]	["lit-trad-004"]	["beijing","nanjing"]	["ming","forbidden-city","porcelain","great-wall","zheng-he"]	["Brook 2010","Mote 1999"]
cp-qing	Qing Culture	["Da Qing","Manchu"]	qing-dynasty		1644	1912	East Asia	The last Chinese imperial dynasty, the Qing expanded China's territory to its greatest extent. Qing culture combined Manchu and Han traditions, producing the great novels of Chinese literature.	empire	agricultural	metropolis	400000000	steel	["chinese-mandarin","manchu"]	["confucianism","buddhism","taoism"]	["ws_007"]	["art-010","art-028"]	["chinese-classical"]	chinese	["arch-009"]	["lit-trad-004"]	["beijing","nanjing","guangzhou"]	["qing","manchu","queue","opium","porcelain"]	["Rowe 2009","Crossley 1999"]
cp-mongol	Mongol Culture	["Ih Mongol Uls"]	mongol-empire		1206	1368	Central Asia	The largest contiguous land empire in history, the Mongols connected East and West through the Pax Mongolica. Known for mobile warfare, religious tolerance, and facilitating unprecedented cultural exchange across Eurasia.	empire	pastoral	nomadic	100000000	iron	["mongolian"]	["tengrism","buddhism"]	["ws_020"]	[]	[]		[]	[]	["karakorum"]	["mongol","genghis-khan","steppe","yurt","cavalry"]	["Weatherford 2004","May 2012"]
cp-xiongnu	Xiongnu Culture	["Hunnu"]	xiongnu		-209	93	Central Asia	A powerful nomadic confederation of the Eurasian steppe that was the primary adversary of Han Dynasty China. Xiongnu culture featured sophisticated animal-style metalwork and a complex tribal political organization.	state	pastoral	nomadic	1500000	iron	["xiongnu"]	["tengrism"]	[]	[]	[]		[]	[]	[]	["xiongnu","steppe","nomadic","animal-style"]	["Di Cosmo 2002","Brosseder 2011"]
cp-sogdian	Sogdian Culture	["Sughd"]	sogdian		-500	1000	Central Asia	Master merchants of the Silk Road, Sogdians created a vast trade network from China to Byzantium. Their language served as the lingua franca of Central Asian commerce, and their art synthesized Iranian, Indian, and Chinese elements.	state	mixed	city-state	2000000	iron	["sogdian"]	["zoroastrianism","buddhism"]	[]	["art-030"]	[]	iranian	[]	[]	["samarkand","bukhara","pendjikent"]	["sogdian","silk-road","merchant","fresco"]	["de la Vaissiere 2005","Marshak 2002"]
cp-kushan	Kushan Culture	["Kushana"]	kushan-empire		30	375	Central Asia	An empire spanning from Central Asia to northern India that played a crucial role in spreading Buddhism along the Silk Road. Kushan art, particularly Gandharan sculpture, created the first anthropomorphic images of the Buddha.	empire	mixed	city-state	10000000	iron	["bactrian","prakrit","sanskrit"]	["buddhism","zoroastrianism"]	["ws_003"]	[]	[]	indian	[]	[]	["taxila","mathura","balkh"]	["kushan","gandhara","buddha","silk-road"]	["Rosenfield 1967","Cribb 2018"]
cp-khmer	Khmer Culture	["Kambuja"]	khmer-empire		802	1431	Southeast Asia	The builders of Angkor Wat and the extensive Angkor temple complex, the Khmer Empire was one of the most powerful states in Southeast Asian history. Known for sophisticated water management and Hindu-Buddhist temple architecture.	empire	agricultural	metropolis	2000000	iron	["khmer"]	["hinduism","buddhism"]	["ws_019"]	["art-032"]	[]	thai	["arch-018"]	[]	["angkor"]	["khmer","angkor-wat","temple","apsara","bayon"]	["Higham 2001","Chandler 2008"]
cp-srivijaya	Srivijaya Culture	["Sriwijaya"]	srivijaya		650	1377	Southeast Asia	A maritime empire based in Sumatra that controlled the Strait of Malacca trade. Srivijaya was a major center of Buddhist learning and facilitated cultural exchange between India, China, and Southeast Asia.	empire	maritime	city-state	2000000	iron	["malay-old"]	["buddhism"]	[]	[]	[]	indonesian	[]	[]	["palembang"]	["srivijaya","maritime","buddhist","sumatra"]	["Coedes 1968","Wolters 1967"]
cp-majapahit	Majapahit Culture	["Wilwatikta"]	majapahit		1293	1527	Southeast Asia	The last major Hindu-Buddhist empire of Southeast Asia, centered in Java. Majapahit culture produced the literary masterpiece Nagarakretagama and reached a pinnacle of Javanese art, architecture, and statecraft.	empire	agricultural	metropolis	10000000	iron	["javanese-old"]	["hinduism","buddhism"]	[]	[]	[]	indonesian	[]	[]	["trowulan-majapahit"]	["majapahit","java","hindu","gajah-mada"]	["Muljana 2006","Pigeaud 1960"]
cp-ayutthaya	Ayutthaya Culture	["Krung Si Ayutthaya"]	ayutthaya		1351	1767	Southeast Asia	A Siamese kingdom that was one of the largest and most cosmopolitan cities in the world by the 17th century. Ayutthaya culture blended Khmer, Chinese, and Indian influences into a distinctive Thai civilization.	state	agricultural	metropolis	1000000	iron	["thai"]	["buddhism"]	["ws_011"]	[]	[]	thai	[]	[]	["ayutthaya"]	["ayutthaya","thai","buddhist","temple","trade"]	["Baker 2014","Wyatt 2003"]
cp-pagan	Pagan Culture	["Bagan"]	pagan-kingdom		849	1297	Southeast Asia	The first kingdom to unify the regions that would become Burma, famous for building over 10,000 Buddhist temples and monasteries on the plains of Bagan. Pagan culture synthesized Mon, Pyu, and Burmese traditions.	state	agricultural	city-state	2000000	iron	["burmese"]	["buddhism"]	["ws_016"]	[]	[]		[]	[]	["pagan"]	["pagan","bagan","temple","buddhist","burma"]	["Aung-Thwin 2005","Stadtner 2005"]
cp-dai-viet	Dai Viet Culture	["Đại Việt"]	dai-viet		968	1802	Southeast Asia	A Vietnamese kingdom that maintained independence from China while absorbing and adapting Chinese cultural elements. Dai Viet developed a unique civil examination system, distinctive water puppet theater, and wet-rice agricultural expertise.	state	agricultural	city-state	5000000	iron	["vietnamese"]	["buddhism","confucianism","taoism"]	["ws_001"]	[]	[]	vietnamese	[]	[]	["thang-long"]	["dai-viet","vietnam","confucian","water-puppet"]	["Taylor 2013","Lieberman 2003"]
cp-heian-japan	Heian Japanese Culture	["Heian-kyo"]	heian-japan		794	1185	East Asia	A golden age of Japanese culture that produced the world's first novel (Tale of Genji), refined court aesthetics, and distinctive Japanese artistic forms. Heian culture emphasized beauty, poetry, and elaborate court ritual.	state	agricultural	metropolis	5000000	iron	["japanese-classical"]	["buddhism","shinto"]	["ws_008","ws_009"]	["art-023"]	["japanese-gagaku"]	japanese	["arch-010"]	["lit-trad-006"]	["heian-kyo","kyoto"]	["heian","genji","court","calligraphy","kimono"]	["Shively 1999","Morris 1964"]
cp-nara-japan	Nara Japanese Culture	["Nara-kyo"]	nara-japan		710	794	East Asia	An early period of Japanese statehood that saw the introduction of Buddhism, Chinese-style governance, and the compilation of Japan's earliest histories (Kojiki and Nihon Shoki).	state	agricultural	city-state	5000000	iron	["japanese-classical"]	["buddhism","shinto"]	["ws_008","ws_009"]	[]	["japanese-gagaku"]	japanese	["arch-010"]	["lit-trad-006"]	["nara"]	["nara","buddhist","temple","todaiji"]	["Piggott 1997","Totman 2000"]
cp-tokugawa-japan	Tokugawa Japanese Culture	["Edo Period"]	tokugawa-japan		1603	1868	East Asia	A period of peace and isolation that produced distinctive Japanese cultural forms: kabuki theater, ukiyo-e woodblock prints, haiku poetry, and the tea ceremony. Edo became one of the world's largest cities.	state	agricultural	metropolis	30000000	steel	["japanese"]	["buddhism","shinto","confucianism"]	["ws_008","ws_009"]	["art-011"]	["japanese-gagaku"]	japanese	["arch-010"]	["lit-trad-006"]	["edo","kyoto","osaka"]	["tokugawa","ukiyo-e","kabuki","tea-ceremony","samurai"]	["Totman 2000","Jansen 2000"]
cp-goryeo	Goryeo Korean Culture	["Koryŏ"]	goryeo-dynasty		918	1392	East Asia	A Korean dynasty that gave Korea its Western name. Goryeo culture is renowned for celadon ceramics, the Tripitaka Koreana (Buddhist woodblock canon), and innovations in printing including the world's oldest known metal movable type.	state	agricultural	city-state	5000000	iron	["korean-middle"]	["buddhism","confucianism"]	["ws_007"]	[]	["korean-classical"]	korean	[]	[]	["kaesong"]	["goryeo","celadon","tripitaka","printing"]	["Vermeersch 2008","Seth 2010"]
cp-joseon	Joseon Korean Culture	["Chosŏn"]	joseon-dynasty		1392	1897	East Asia	A dynasty that made Neo-Confucianism the state ideology and created Hangul, one of the world's most scientific writing systems. Joseon culture produced distinctive white porcelain, pansori singing, and scholarly painting.	state	agricultural	metropolis	10000000	steel	["korean"]	["confucianism","buddhism"]	["ws_010"]	[]	["korean-classical"]	korean	[]	[]	["seoul","gyeongju"]	["joseon","hangul","confucian","porcelain","yangban"]	["Deuchler 1992","Palais 1975"]
cp-olmec	Olmec Culture	["Rubber People"]	olmec		-1500	-400	Mesoamerica	The mother culture of Mesoamerica, the Olmec developed the first writing system and calendar in the Americas, created colossal stone head sculptures, and established cultural patterns that influenced all subsequent Mesoamerican civilizations.	chiefdom	agricultural	town	350000	stone	["mixe-zoque"]	["maya-religion"]	[]	["art-029"]	[]		["arch-011"]	[]	["la-venta","san-lorenzo","tres-zapotes"]	["olmec","colossal-head","jade","mesoamerica"]	["Pool 2007","Diehl 2004"]
cp-maya	Maya Culture	["Mayab"]	maya-civilization		-2000	1697	Mesoamerica	A civilization known for its hieroglyphic script, sophisticated calendar and astronomical systems, monumental pyramid architecture, and advanced mathematics including the concept of zero. Maya city-states flourished in the tropical lowlands.	state	agricultural	city-state	2000000	stone	["mayan"]	["maya-religion"]	[]	["art-012","art-029"]	[]	mexican	["arch-011"]	[]	["tikal","palenque","chichen-itza","copan","calakmul"]	["maya","pyramid","hieroglyph","calendar","jade"]	["Sharer 2006","Martin 2000"]
cp-zapotec	Zapotec Culture	["Be'ena'a"]	zapotec		-700	1521	Mesoamerica	An Oaxacan civilization centered on Monte Alban, one of the earliest cities in Mesoamerica. Zapotec culture developed its own writing system and calendar, and produced elaborate funerary urns and architectural complexes.	state	agricultural	city-state	500000	stone	["zapotec"]	["maya-religion"]	[]	["art-029"]	[]	mexican	["arch-011"]	[]	["monte-alban","mitla"]	["zapotec","monte-alban","urn","oaxaca"]	["Marcus 1983","Flannery 2015"]
cp-toltec	Toltec Culture	["Tollan"]	toltec		900	1168	Mesoamerica	A post-classic Mesoamerican civilization revered by the Aztecs as master artisans and cultural predecessors. Toltec culture at Tula featured monumental Atlantean warrior columns and influenced sites across Mesoamerica.	state	agricultural	city-state	500000	stone	["nahuatl"]	["maya-religion"]	[]	["art-029"]	[]	mexican	["arch-011"]	[]	["tula"]	["toltec","tula","warrior","quetzalcoatl"]	["Davies 1977","Healan 1989"]
