id	culture_profile_id	category	title	description	social_class	gender_context	age_group	season	time_period_start	time_period_end	sources
dl-024	cp-egyptian	recreation	Senet Board Game	Senet was the most popular board game in ancient Egypt, played by all classes, with religious significance as a journey through the afterlife.	all	all	all	all	-3000	-30	["Piccione, Peter. In Search of the Meaning of Senet"]
dl-025	cp-egyptian	commerce	Barter and Deben Weights	Egyptians conducted commerce through barter using the deben weight standard as a unit of account, with copper deben used for everyday transactions.	merchant	all	adult	all	-3000	-30	["Janssen, Jac. Commodity Prices from the Ramessid Period"]
dl-026	cp-egyptian	transportation	Nile Boat Travel	The Nile served as Egypt's highway, with feluccas sailing south using prevailing winds and floating north with the current for daily transport.	all	all	adult	all	-3000	-30	["Vinson, Steve. Egyptian Boats and Ships"]
dl-027	cp-egyptian	law	Ma'at and Local Courts	Village disputes were adjudicated by local councils (kenbet) applying principles of ma'at (cosmic order), with testimony given under oath to the gods.	all	all	adult	all	-3000	-30	["McDowell, Andrea. Jurisdiction in the Workmen's Community of Deir el-Medina"]
dl-028	cp-egyptian	timekeeping	Water Clocks	Egyptians used water clocks (clepsydrae) to measure time at night and in temples, with graduated marks on the interior tracking the passing hours.	priestly	all	adult	all	-1500	-30	["Clagett, Marshall. Ancient Egyptian Science"]
dl-029	cp-egyptian	housing	Workers Village at Deir el-Medina	Royal tomb workers at Deir el-Medina lived in standardized row houses with four rooms each, supplied with rations by the state.	common	all	all	all	-1500	-1070	["Meskell, Lynn. Private Life in New Kingdom Egypt"]
dl-030	cp-egyptian	clothing	Kohl Eye Cosmetics	Both men and women applied kohl (galena-based) around their eyes daily, which served both cosmetic and practical purposes by reducing sun glare.	all	all	all	all	-3000	-30	["Manniche, Lise. An Ancient Egyptian Herbal"]
dl-031	cp-egyptian	diet	Elite Banquet Foods	Elite Egyptians enjoyed roasted goose, figs, pomegranates, honey cakes, and wine at lavish banquets where guests wore perfumed wax cones on their heads.	elite	all	adult	all	-2000	-30	["Darby, William. Food: The Gift of Osiris"]
dl-032	cp-egyptian	occupation	Stone Quarrying	Thousands of laborers quarried limestone and granite blocks for royal construction projects, organized in work gangs with names and rotating schedules.	common	male	adult	winter	-2700	-30	["Arnold, Dieter. Building in Egypt"]
dl-033	cp-roman	housing	Insulae Apartment Blocks	Most urban Romans lived in multi-story insulae apartment blocks of three to seven floors, with ground-floor shops and upper-floor cramped rental units.	common	all	all	all	-200	476	["Storey, Glenn. The Population of Ancient Rome"]
dl-034	cp-roman	diet	Puls Grain Porridge	The staple food of ordinary Romans was puls, a thick porridge of emmer wheat or spelt boiled with water and flavored with salt or cheese.	common	all	all	all	-750	-200	["Dalby, Andrew. Food in the Ancient World"]
dl-035	cp-roman	clothing	Toga as Civic Dress	Roman male citizens were required to wear the toga for public business and ceremonies, a heavy woolen garment draped in prescribed folds.	all	male	adult	all	-500	300	["Sebesta, Judith. The World of Roman Costume"]
dl-036	cp-roman	hygiene	Public Bathhouse Culture	Romans visited public bathhouses (thermae) daily, following a sequence of cold, warm, and hot rooms, combining bathing with exercise and socializing.	all	all	adult	all	-200	476	["Fagan, Garrett. Bathing in Public in the Roman World"]
dl-037	cp-roman	recreation	Gladiatorial Games	Roman citizens of all classes attended gladiatorial games at amphitheaters, where combats, animal hunts, and public executions provided entertainment.	all	all	adult	all	-264	404	["Futrell, Alison. The Roman Games"]
dl-038	cp-roman	education	Grammaticus Schools	Roman boys from wealthy families attended grammaticus schools from age twelve, studying Greek and Latin literature through close reading and recitation.	elite	male	child	all	-200	476	["Bonner, Stanley. Education in Ancient Rome"]
dl-039	cp-roman	commerce	Forum Marketplace	The forum served as the commercial heart of Roman towns, where merchants sold goods from permanent shops (tabernae) and temporary market stalls.	merchant	all	adult	all	-500	476	["Holleran, Claire. Shopping in Ancient Rome"]
dl-040	cp-roman	transportation	Roman Road Network	Romans traveled on an extensive paved road network spanning over 80,000 kilometers, using horse-drawn carriages, wagons, or walking on raised footpaths.	all	all	adult	all	-300	476	["Laurence, Ray. The Roads of Roman Italy"]
dl-041	cp-roman	law	Twelve Tables Legal Code	Roman civil law originated from the Twelve Tables, publicly displayed bronze tablets establishing rights and procedures accessible to all citizens.	all	all	adult	all	-450	476	["Watson, Alan. The Law of the Ancient Romans"]
dl-042	cp-roman	social_customs	Patron-Client System	Roman social life centered on the patron-client relationship, with clients visiting their patron each morning for the salutatio and receiving the sportula food basket.	all	male	adult	all	-300	476	["Wallace-Hadrill, Andrew. Patronage in Ancient Society"]
dl-043	cp-roman	occupation	Fulling Textile Workshops	Roman fullers cleaned and finished woolen cloth using human urine as an ammonia source and fuller's earth clay, working in specialized workshops.	common	male	adult	all	-200	476	["Flohr, Miko. The World of the Fullo"]
dl-044	cp-roman	timekeeping	Sundial Timekeeping	Romans divided daylight into twelve equal hours using sundials (horologium), meaning hour length varied by season throughout the year.	all	all	all	all	-300	476	["Hannah, Robert. Greek and Roman Calendars"]
dl-045	cp-roman	housing	Domus Elite Townhouse	Wealthy Romans lived in the domus, a single-family townhouse organized around an atrium with an impluvium pool for collecting rainwater.	elite	all	all	all	-500	476	["Wallace-Hadrill, Andrew. Houses and Society in Pompeii and Herculaneum"]
dl-046	cp-roman	diet	Garum Fish Sauce	Garum, a fermented fish sauce, was the most important condiment in Roman cooking, produced commercially along Mediterranean coasts and traded across the empire.	all	all	all	all	-300	476	["Curtis, Robert. Garum and Salsamenta"]
dl-047	cp-roman	clothing	Stola for Women	Roman matrons wore the stola, a long draped garment over a tunic, signifying married status and respectable womanhood in public.	all	female	adult	all	-300	300	["Sebesta, Judith. The World of Roman Costume"]
dl-048	cp-roman	social_customs	Saturnalia Festival	During December's Saturnalia, normal social conventions were suspended as masters served slaves, gifts were exchanged, and gambling was temporarily permitted.	all	all	all	winter	-200	400	["Dolansky, Fanny. Celebrating the Saturnalia"]
dl-049	cp-han-chinese	housing	Siheyuan Courtyard Houses	Han dynasty families lived in siheyuan courtyard houses with rooms arranged around a central courtyard, reflecting hierarchical family organization.	common	all	all	all	-206	220	["Wang, Zhongshu. Han Civilization"]
dl-050	cp-han-chinese	diet	Millet and Rice Staples	Northern Han Chinese ate millet porridge and steamed cakes while southern populations consumed rice, with both regions supplementing with vegetables and soy.	common	all	all	all	-206	220	["Huang, H.T. Science and Civilisation in China, Vol. 6"]
dl-051	cp-han-chinese	clothing	Hanfu Silk Robes	Han Chinese wore layered silk robes (hanfu) with cross-collar wrapping to the right, with color and length indicating social rank and occasion.	all	all	adult	all	-206	220	["Benn, Charles. China's Golden Age"]
dl-052	cp-han-chinese	education	Confucian Academy System	Boys from gentry families studied the Five Classics at local academies, preparing for government service through memorization and moral cultivation.	elite	male	child	all	-206	220	["Lee, Thomas. Education in Traditional China"]
dl-053	cp-han-chinese	commerce	Silk Road Trade	Han merchants traded silk, lacquerware, and iron tools along the Silk Road, receiving jade, horses, and exotic goods from Central Asia.	merchant	all	adult	all	-130	220	["Liu, Xinru. The Silk Road in World History"]
dl-054	cp-han-chinese	occupation	Sericulture and Silk Production	Women of all classes raised silkworms and reeled silk thread, a labor-intensive domestic occupation essential to the Han economy.	all	female	adult	spring	-206	220	["Bray, Francesca. Technology and Gender"]
dl-055	cp-han-chinese	social_customs	Ancestor Veneration Rituals	Han families maintained ancestral shrines in their homes and performed regular offerings of food and incense to honor deceased family members.	all	all	all	all	-206	220	["Loewe, Michael. Chinese Ideas of Life and Death"]
dl-056	cp-han-chinese	law	Legalist Administrative Code	Han law combined Legalist severity with Confucian morality, with a detailed penal code prescribing punishments from fines to hard labor and execution.	all	all	adult	all	-206	220	["Hulsewé, A.F.P. Remnants of Han Law"]
dl-057	cp-han-chinese	hygiene	Hot Water Bathing	Han Chinese valued cleanliness and bathed regularly in heated water, with officials receiving a mandatory rest day every five days specifically for bathing.	all	all	all	all	-206	220	["Wang, Zhongshu. Han Civilization"]
dl-058	cp-han-chinese	recreation	Cuju Ball Game	Cuju, a ball-kicking game similar to football, was widely popular during the Han dynasty, played by both military personnel and civilians for exercise.	all	male	adult	all	-206	220	["Guttmann, Allen. Sports: The First Five Millennia"]
dl-059	cp-han-chinese	transportation	Horse-Drawn Chariots and Carts	Han elites traveled by horse-drawn chariots while commoners used ox carts, all moving along an extensive network of imperial roads and postal stations.	all	all	adult	all	-206	220	["Needham, Joseph. Science and Civilisation in China, Vol. 4"]
dl-060	cp-han-chinese	timekeeping	Water Clock Timekeeping	Han Chinese used bronze clepsydrae (water clocks) to measure time, with official timekeepers in government offices announcing hours by drum.	all	all	all	all	-206	220	["Needham, Joseph. Science and Civilisation in China, Vol. 3"]
dl-061	cp-han-chinese	housing	Underground Pit Dwellings	Poor rural Han Chinese in northern regions lived in partially underground pit dwellings (banxueshi) with earthen walls and thatched roofs for insulation.	common	all	all	winter	-206	220	["Wang, Zhongshu. Han Civilization"]
dl-062	cp-han-chinese	diet	Fermented Soy Products	Han Chinese consumed fermented soy products including jiang (soy paste) and doufu (tofu), which provided essential protein in largely grain-based diets.	common	all	all	all	-206	220	["Huang, H.T. Science and Civilisation in China, Vol. 6"]
dl-063	cp-han-chinese	social_customs	Coming of Age Capping Ceremony	At age twenty, young Han men underwent the guan li capping ceremony, receiving an adult name and cap signifying their passage to manhood.	all	male	child	all	-206	220	["Ebrey, Patricia. Confucianism and Family Rituals in Imperial China"]
dl-064	cp-han-chinese	occupation	Iron Foundry Workers	Han state iron foundries employed thousands of workers who cast agricultural tools, weapons, and cooking vessels using blast furnace technology.	common	male	adult	all	-206	220	["Wagner, Donald. The State and the Iron Industry in Han China"]
dl-065	cp-viking	housing	Viking Longhouses	Viking families lived in longhouses up to 30 meters long with a central hearth, sod or turf walls, and a single large room shared with livestock in winter.	common	all	all	all	793	1066	["Graham-Campbell, James. The Viking World"]
dl-066	cp-viking	diet	Skyr and Dried Fish	Vikings consumed skyr (a thick fermented dairy product), dried and salted fish, flatbread, and stews of meat and root vegetables preserved through harsh winters.	common	all	all	winter	793	1066	["Short, William. Icelanders in the Viking Age"]
dl-067	cp-viking	clothing	Wool and Linen Layers	Viking men wore wool tunics and trousers with a cloak fastened by a brooch, while women wore a linen underdress with a wool apron dress pinned at the shoulders.	all	all	adult	all	793	1066	["Owen-Crocker, Gale. Dress in Anglo-Saxon England"]
dl-068	cp-viking	occupation	Seasonal Raiding and Farming	Most Vikings were farmers who tended livestock and grew barley and oats, with summer voyages for trade or raiding supplementing the household economy.	common	male	adult	summer	793	1066	["Brink, Stefan. The Viking World"]
dl-069	cp-viking	social_customs	The Thing Assembly	Free Viking men gathered at the Thing, an open-air assembly, to settle disputes, make laws, and conduct community business through public debate.	common	male	adult	all	793	1066	["Byock, Jesse. Viking Age Iceland"]
dl-070	cp-viking	commerce	Silver Weight Economy	Vikings used a bullion economy based on silver by weight, cutting hack-silver from jewelry and ingots and weighing it on portable balance scales.	merchant	all	adult	all	793	1066	["Graham-Campbell, James. Viking Artefacts"]
dl-071	cp-viking	recreation	Hnefatafl Board Game	Vikings played hnefatafl, a strategy board game where a king piece must escape from surrounding attackers, during long winter evenings by the hearth.	all	all	all	winter	793	1066	["Murray, H.J.R. A History of Board-Games Other than Chess"]
dl-072	cp-viking	hygiene	Weekly Bathing and Grooming	Vikings bathed at least weekly on Saturdays (laugardagur means bathing day), using combs, tweezers, and ear spoons found commonly in grave goods.	all	all	all	all	793	1066	["Price, Neil. The Viking Way"]
dl-073	cp-viking	law	Outlawry and Wergild	Viking law employed outlawry (full or lesser banishment) as a primary punishment and wergild (man-price) as compensation for killing or injuring another.	all	all	adult	all	793	1066	["Byock, Jesse. Viking Age Iceland"]
dl-074	cp-viking	transportation	Longship Coastal Travel	Viking longships with shallow drafts could navigate both open seas and rivers, serving as the primary means of long-distance travel and warfare.	all	male	adult	summer	793	1066	["Bill, Jan. Viking Ships and the Sea"]
dl-075	cp-viking	education	Oral Saga Tradition	Viking education was primarily oral, with children learning history, law, and mythology through the recitation of sagas and skaldic poetry by elders.	all	all	child	winter	793	1066	["Clunies Ross, Margaret. Old Icelandic Literature and Society"]
dl-076	cp-viking	timekeeping	Seasonal Calendar	Vikings reckoned time by a seasonal calendar dividing the year into summer and winter halves, with months named for farming and weather events.	all	all	adult	all	793	1066	["Hastrup, Kirsten. Culture and History in Medieval Iceland"]
dl-077	cp-viking	housing	Pit Houses for Workshops	Viking settlements included sunken-featured buildings (pit houses) used as weaving sheds and craft workshops separate from the main longhouse.	common	female	adult	all	793	1066	["Graham-Campbell, James. The Viking World"]
dl-078	cp-viking	diet	Mead and Ale Brewing	Viking women brewed ale from barley and occasionally mead from honey, served at feasts in decorated drinking horns in a ritualized order of precedence.	all	female	adult	all	793	1066	["Short, William. Icelanders in the Viking Age"]
dl-079	cp-viking	social_customs	Blót Sacrificial Feasts	Vikings held blót ceremonies at seasonal transitions, sacrificing horses and cattle to the gods and sharing the meat in communal feasts.	all	all	all	autumn	793	1066	["Sundqvist, Olof. An Arena for Higher Powers"]
dl-080	cp-viking	occupation	Blacksmithing	Viking blacksmiths were highly respected craftsmen who forged tools, weapons, and nails essential for shipbuilding and farming from bog iron.	common	male	adult	all	793	1066	["Pleiner, Radomír. Iron in Archaeology"]
dl-081	cp-aztec	housing	Calpulli Neighborhood Compounds	Aztec commoners lived in family compounds within calpulli neighborhoods, with simple one-room adobe houses surrounding a shared courtyard.	common	all	all	all	1325	1521	["Smith, Michael. The Aztecs"]
dl-082	cp-aztec	diet	Maize Tortilla Staple	Aztec women spent hours daily grinding maize on a metate and forming tortillas, the dietary cornerstone consumed at every meal alongside beans and chili.	common	female	adult	all	1325	1521	["Coe, Sophie. America's First Cuisines"]
dl-083	cp-aztec	clothing	Maguey Fiber Garments	Aztec commoners wore garments woven from maguey fiber, with cotton reserved by sumptuary laws exclusively for the nobility.	common	all	adult	all	1325	1521	["Anawalt, Patricia. Indian Clothing Before Cortés"]
dl-084	cp-aztec	education	Telpochcalli Youth Schools	All Aztec boys attended the telpochcalli (house of youth) from age fifteen, learning warfare, history, and civic duties through rigorous physical training.	common	male	child	all	1325	1521	["León-Portilla, Miguel. Aztec Thought and Culture"]
dl-085	cp-aztec	social_customs	Ritual Bloodletting	Aztecs practiced auto-sacrifice through bloodletting with maguey spines, offering blood from ears, tongue, or limbs to sustain the gods.	all	all	adult	all	1325	1521	["Carrasco, David. City of Sacrifice"]
dl-086	cp-aztec	commerce	Tlatelolco Marketplace	The great marketplace of Tlatelolco served over 60,000 people daily, with goods arranged by type and transactions supervised by market judges.	merchant	all	adult	all	1325	1521	["Berdan, Frances. The Aztecs of Central Mexico"]
dl-087	cp-aztec	occupation	Chinampas Agriculture	Aztec farmers cultivated chinampas (floating gardens) on Lake Texcoco, growing maize, squash, and flowers on artificial islands of incredible productivity.	common	male	adult	all	1325	1521	["Clendinnen, Inga. Aztecs: An Interpretation"]
dl-088	cp-aztec	hygiene	Temazcal Steam Baths	Aztecs used the temazcal (steam bath) for daily hygiene, healing, and ritual purification, with heated stones and water creating steam in a small enclosed structure.	all	all	all	all	1325	1521	["Ortiz de Montellano, Bernard. Aztec Medicine, Health, and Nutrition"]
dl-089	cp-aztec	recreation	Ullamaliztli Ball Game	The Aztec rubber ball game ullamaliztli was played on I-shaped courts, with players striking a heavy ball using hips and buttocks in a ritually charged contest.	all	male	adult	all	1325	1521	["Whittington, E. Michael. The Sport of Life and Death"]
dl-090	cp-aztec	law	Aztec Legal Courts	Aztec courts operated on a four-tier system from local to imperial, with judges appointed by the tlatoani who heard cases and rendered verdicts within eighty days.	all	all	adult	all	1325	1521	["Offner, Jerome. Law and Politics in Aztec Texcoco"]
dl-091	cp-aztec	transportation	Tlameme Porters	Without draft animals, Aztec goods were transported by tlameme (human porters) carrying loads of up to 23 kilograms in woven backpacks along footpaths.	common	male	adult	all	1325	1521	["Hassig, Ross. Trade, Tribute, and Transportation"]
dl-092	cp-aztec	timekeeping	Tonalpohualli Sacred Calendar	Aztecs used the 260-day tonalpohualli ritual calendar to determine auspicious days for activities including naming children, planting, and warfare.	priestly	all	all	all	1325	1521	["Aveni, Anthony. Empires of Time"]
dl-093	cp-aztec	diet	Chocolate Drink	Elite Aztecs consumed xocolatl, a frothy chocolate drink made from ground cacao beans mixed with chili, vanilla, and water, served in decorated gourd cups.	elite	all	adult	all	1325	1521	["Coe, Sophie. The True History of Chocolate"]
dl-094	cp-aztec	housing	Noble Palace Compounds	Aztec nobility lived in large stone palace compounds with multiple rooms, gardens, private baths, and separate quarters for servants.	elite	all	all	all	1325	1521	["Smith, Michael. The Aztecs"]
dl-095	cp-aztec	clothing	Quetzal Feather Regalia	Aztec nobility wore elaborate featherwork cloaks incorporating quetzal, cotinga, and other tropical bird feathers crafted by specialized amanteca artisans.	elite	all	adult	all	1325	1521	["Anawalt, Patricia. Indian Clothing Before Cortés"]
dl-096	cp-aztec	social_customs	Naming Ceremony	Aztec newborns received their names four days after birth in a ceremony where a midwife bathed the infant and made offerings, with the name chosen by a tonalpouhqui priest.	all	all	child	all	1325	1521	["León-Portilla, Miguel. Aztec Thought and Culture"]
dl-097	cp-medieval-european	housing	Peasant Wattle-and-Daub Cottages	Medieval European peasants lived in wattle-and-daub cottages with thatched roofs, typically one or two rooms with an earthen floor shared with livestock.	common	all	all	all	500	1500	["Dyer, Christopher. Standards of Living in the Later Middle Ages"]
dl-098	cp-medieval-european	diet	Pottage as Daily Meal	The most common meal for medieval peasants was pottage, a thick vegetable stew of cabbage, onions, peas, and beans cooked over a hearth.	common	all	all	all	500	1500	["Woolgar, C.M. The Culture of Food in England"]
dl-099	cp-medieval-european	clothing	Tunic and Hose	Medieval European men wore a wool tunic belted at the waist with hose on the legs, while women wore long gowns with a head covering as a sign of modesty.	common	all	adult	all	500	1500	["Piponnier, Françoise. Dress in the Middle Ages"]
dl-100	cp-medieval-european	education	Monastic Schools	Before universities, education was conducted in monastic schools where boys learned reading, writing, Latin, and religious texts from monks.	priestly	male	child	all	500	1200	["Riché, Pierre. Education and Culture in the Barbarian West"]
dl-101	cp-medieval-european	social_customs	Feudal Oath of Fealty	Vassals knelt before their lords in a formal ceremony of homage, placing hands between the lord's and swearing an oath of fealty in exchange for a fief.	elite	male	adult	all	800	1500	["Bloch, Marc. Feudal Society"]
dl-102	cp-medieval-european	commerce	Weekly Market Days	Medieval towns held weekly markets where peasants sold surplus produce and purchased necessities, regulated by royal charter with tolls collected at gates.	all	all	adult	all	900	1500	["Britnell, Richard. The Commercialisation of English Society"]
dl-103	cp-medieval-european	occupation	Three-Field Crop Rotation	Medieval farmers practiced three-field crop rotation, planting winter wheat, spring crops, and leaving one field fallow each year to maintain soil fertility.	common	male	adult	all	800	1500	["Duby, Georges. Rural Economy and Country Life in the Medieval West"]
dl-104	cp-medieval-european	hygiene	Communal Bathhouses	Medieval European towns had public bathhouses (stews) where townspeople bathed in heated water, often combining bathing with social gathering and eating.	common	all	adult	all	1100	1500	["Vigarello, Georges. Concepts of Cleanliness"]
dl-105	cp-medieval-european	law	Manor Court Justice	Peasant disputes were settled at the manor court, presided over by the lord or his steward, handling land transfers, debt, and petty offenses.	common	all	adult	all	900	1500	["Schofield, Phillipp. Peasant and Community in Medieval England"]
dl-106	cp-medieval-european	recreation	Festivals and Mystery Plays	Medieval townspeople enjoyed religious feast days with mystery plays performed on wagons, along with games, dancing, and temporary suspension of work obligations.	all	all	all	all	1200	1500	["Muir, Edward. Ritual in Early Modern Europe"]
dl-107	cp-medieval-european	transportation	Ox Cart Travel	Most medieval overland transport relied on ox-drawn carts moving at walking pace along unpaved roads that became impassable mud in wet weather.	common	all	adult	all	500	1500	["Langdon, John. Horses, Oxen and Technological Innovation"]
dl-108	cp-medieval-european	timekeeping	Church Bell Hours	Medieval daily life was structured around canonical hours rung by church bells, dividing the day into periods of prayer from matins to compline.	all	all	all	all	500	1500	["Dohrn-van Rossum, Gerhard. History of the Hour"]
dl-109	cp-medieval-european	diet	Ale as Daily Beverage	Medieval Europeans drank ale daily instead of water, with each person consuming several liters per day including a weaker small beer safe for children.	common	all	all	all	500	1500	["Unger, Richard. Beer in the Middle Ages and the Renaissance"]
dl-110	cp-medieval-european	housing	Great Hall of the Manor	The great hall was the center of medieval manor life, serving as dining room, meeting place, and sleeping quarters for household members and retainers.	elite	all	all	all	900	1500	["Girouard, Mark. Life in the English Country House"]
dl-111	cp-medieval-european	social_customs	Tithing to the Church	All medieval Christians were expected to tithe one-tenth of their produce to the local parish church, collected in kind as grain stored in tithe barns.	all	all	adult	all	500	1500	["Constable, Giles. Monastic Tithes"]
dl-112	cp-medieval-european	occupation	Guild Apprenticeship	Boys as young as twelve entered craft guilds as apprentices for seven years, learning a trade while living in the master's household.	common	male	child	all	1100	1500	["Epstein, Steven. Wage Labor and Guilds in Medieval Europe"]
dl-113	cp-edo-japanese	housing	Machiya Townhouses	Edo-period townspeople lived in machiya, narrow wooden townhouses with a shop front on the street and living quarters in the rear extending deep into the lot.	merchant	all	all	all	1603	1868	["Coaldrake, William. Architecture and Authority in Japan"]
dl-114	cp-edo-japanese	diet	Rice and Miso Meals	Edo Japanese daily meals consisted of rice, miso soup, pickled vegetables, and a small dish of fish or tofu, following a principle of ichiju sansai (one soup, three sides).	common	all	all	all	1603	1868	["Rath, Eric. Food and Fantasy in Early Modern Japan"]
dl-115	cp-edo-japanese	clothing	Kimono Daily Wear	Edo Japanese wore kimono as daily dress, with fabric, pattern, and color regulated by sumptuary laws according to social class, age, and season.	all	all	all	all	1603	1868	["Dalby, Liza. Kimono: Fashioning Culture"]
dl-116	cp-edo-japanese	education	Terakoya Temple Schools	Common children attended terakoya (temple schools) where monks and retired samurai taught reading, writing, and arithmetic using practical texts.	common	all	child	all	1603	1868	["Rubinger, Richard. Popular Literacy in Early Modern Japan"]
dl-117	cp-edo-japanese	social_customs	Sankin-Kotai Processions	Daimyo lords were required to maintain residences in Edo and travel there every other year in elaborate processions, stimulating commerce along the highways.	elite	male	adult	all	1635	1868	["Vaporis, Constantine. Tour of Duty"]
dl-118	cp-edo-japanese	commerce	Osaka Rice Exchange	The Dojima Rice Exchange in Osaka functioned as the world's first futures market, where rice certificates were traded and prices set for the national economy.	merchant	male	adult	all	1697	1868	["Crawcour, E.S. Changes in Japanese Commerce in the Tokugawa Period"]
