id	language_id	title	text	transliteration	translation_en	source	date_composed	genre	script
st011	deu	Goethe - Erlkönig	Wer reitet so spät durch Nacht und Wind? Es ist der Vater mit seinem Kind; er hat den Knaben wohl in dem Arm, er fasst ihn sicher, er hält ihn warm.	 	Who rides so late through night and wind? It is the father with his child; he holds the boy well in his arm, he clasps him securely, he keeps him warm.	Johann Wolfgang von Goethe, Erlkönig	1782	poetry	Latin
st012	deu	German Proverbs	Übung macht den Meister. Morgenstund hat Gold im Mund. Wer zuletzt lacht, lacht am besten. Aller Anfang ist schwer.	 	Practice makes perfect. The morning hour has gold in its mouth. He who laughs last, laughs best. Every beginning is hard.	Traditional German Proverbs		conversational	Latin
st013	ita	Opening of The Divine Comedy	Nel mezzo del cammin di nostra vita / mi ritrovai per una selva oscura, / ché la diritta via era smarrita.	 	In the middle of the journey of our life, I found myself within a dark forest, for the straight way was lost.	Dante Alighieri, Divina Commedia	1320	poetry	Latin
st014	ita	Opening of The Name of the Rose	Naturalmente, un manoscritto. Il 16 agosto 1968 mi fu messo fra le mani un libro dovuto alla penna di tale abate Vallet.	 	Naturally, a manuscript. On August 16, 1968, I was handed a book written by a certain Abbot Vallet.	Umberto Eco, Il nome della rosa	1980	prose	Latin
st015	ita	Italian Proverbs	Chi dorme non piglia pesci. Tra il dire e il fare c'è di mezzo il mare. A caval donato non si guarda in bocca. Ogni lasciata è persa.	 	He who sleeps catches no fish. Between saying and doing lies the sea. Don't look a gift horse in the mouth. Every opportunity left is lost.	Traditional Italian Proverbs		conversational	Latin
st016	por	Opening of The Lusiads	As armas e os Barões assinalados / Que da Ocidental praia Lusitana / Por mares nunca de antes navegados / Passaram ainda além da Taprobana.	 	The arms and the heroes renowned, who from the Western Lusitanian shore, through seas never sailed before, passed even beyond Taprobana.	Luís de Camões, Os Lusíadas	1572	poetry	Latin
st017	por	Opening of The Posthumous Memoirs of Brás Cubas	Algum tempo hesitei se devia abrir estas memórias pelo princípio ou pelo fim, isto é, se poria em primeiro lugar o meu nascimento ou a minha morte.	 	For some time I hesitated whether to open these memoirs at the beginning or at the end, that is, whether to put my birth or my death first.	Machado de Assis, Memórias Póstumas de Brás Cubas	1881	prose	Latin
st018	por	Portuguese Proverbs	Água mole em pedra dura, tanto bate até que fura. Quem não tem cão, caça com gato. De grão em grão, a galinha enche o papo.	 	Soft water on hard stone, strikes until it bores through. He who has no dog, hunts with a cat. Grain by grain, the hen fills her crop.	Traditional Portuguese Proverbs		conversational	Latin
st019	rus	Opening of Anna Karenina	Все счастливые семьи похожи друг на друга, каждая несчастливая семья несчастлива по-своему.	Vse schastlivye sem'i pokhozhi drug na druga, kazhdaya neschastlivaya sem'ya neschastliva po-svoyemu.	All happy families are alike; each unhappy family is unhappy in its own way.	Leo Tolstoy, Anna Karenina	1877	prose	Cyrillic
st020	rus	Pushkin - I Loved You	Я вас любил: любовь ещё, быть может, / В душе моей угасла не совсем; / Но пусть она вас больше не тревожит; / Я не хочу печалить вас ничем.	Ya vas lyubil: lyubov' yeshchyo, byt' mozhet, / V dushe moyey ugasla ne sovsem; / No pust' ona vas bol'she ne trevozhit; / Ya ne khochu pechalit' vas nichem.	I loved you: love yet, perhaps, in my soul has not quite died away; but let it trouble you no longer; I do not wish to sadden you in any way.	Alexander Pushkin, I Loved You	1829	poetry	Cyrillic
st021	rus	Russian Proverbs	Тише едешь — дальше будешь. Без труда не выловишь и рыбку из пруда. Век живи — век учись.	Tishe yedesh' — dal'she budesh'. Bez truda ne vylovish' i rybku iz pruda. Vek zhivi — vek uchis'.	The quieter you go, the further you'll get. Without labor you won't pull a fish from a pond. Live a century — learn a century.	Traditional Russian Proverbs		conversational	Cyrillic
st022	arb	Opening of the Quran - Al-Fatiha	بِسْمِ اللَّهِ الرَّحْمَنِ الرَّحِيمِ ﴿١﴾ الْحَمْدُ لِلَّهِ رَبِّ الْعَالَمِينَ ﴿٢﴾ الرَّحْمَنِ الرَّحِيمِ ﴿٣﴾ مَالِكِ يَوْمِ الدِّينِ ﴿٤﴾	Bismi-llāhi r-raḥmāni r-raḥīm. Al-ḥamdu li-llāhi rabbi l-ʿālamīn. Ar-raḥmāni r-raḥīm. Māliki yawmi d-dīn.	In the name of God, the Most Gracious, the Most Merciful. Praise be to God, Lord of all the worlds. The Most Gracious, the Most Merciful. Master of the Day of Judgment.	The Quran, Surah Al-Fatiha	609	religious	Arabic
st023	arb	The Mu'allaqat - Imru' al-Qais	قِفا نَبكِ مِن ذِكرى حَبيبٍ وَمَنزِلِ / بِسِقطِ اللِّوى بَينَ الدَّخولِ فَحَومَلِ	Qifā nabki min dhikrā ḥabībin wa-manzili / bi-siqṭi l-liwā bayna d-dakhūli fa-ḥawmali	Stop, let us weep at the remembrance of a beloved and a dwelling place / at the edge of the sand dune between al-Dakhūl and Ḥawmal.	Imru' al-Qais, Mu'allaqat	540	poetry	Arabic
st024	arb	Arabic Proverbs	اللي ما يعرف الصقر يشويه. الصبر مفتاح الفرج. من جدّ وجد ومن زرع حصد.	Illi mā yaʿrif aṣ-ṣaqr yishwīh. Aṣ-ṣabr miftāḥ al-faraj. Man jadda wajada wa-man zaraʿa ḥaṣad.	He who doesn't know the falcon grills it. Patience is the key to relief. He who strives finds, and he who sows reaps.	Traditional Arabic Proverbs		conversational	Arabic
st025	cmn	Opening of"Dream of the Red Chamber	满纸荒唐言，一把辛酸泪。都云作者痴，谁解其中味？	Mǎn zhǐ huāngtáng yán, yī bǎ xīnsuān lèi. Dōu yún zuòzhě chī, shuí jiě qí zhōng wèi?	Full of absurd words on every page, a handful of bitter tears. All say the author is mad, who can understand its flavor?	Cao Xueqin, Dream of the Red Chamber	1791	poetry	Hanzi
st026	cmn	Opening of"A Madman's Diary	今天晚上，很好的月光。我不見他，已是三十多年；今天見了，精神分外爽快。	Jīntiān wǎnshang, hěn hǎo de yuèguāng. Wǒ bù jiàn tā, yǐ shì sānshí duō nián; jīntiān jiàn le, jīngshén fènwài shuǎngkuài.	Tonight, very good moonlight. I haven't seen him for over thirty years; today when I saw him, my spirits felt especially refreshed.	Lu Xun, A Madman's Diary	1918	prose	Hanzi
st027	cmn	Chinese Proverbs	学而不思则罔，思而不学则殆。三人行必有我师焉。千里之行始于足下。	Xué ér bù sī zé wǎng, sī ér bù xué zé dài. Sān rén xíng bì yǒu wǒ shī yān. Qiān lǐ zhī xíng shǐ yú zú xià.	To study without thinking is futile; to think without studying is dangerous. Among three people walking, there must be one who can teach me. A journey of a thousand miles begins with a single step.	Traditional Chinese Proverbs		conversational	Hanzi
st028	hin	Opening of Godan	होरी ने दोनों बैलों को, जो पहले से द्वार पर खड़े पागुर कर रहे थे, गाड़ी में जोता और एक घड़ा पानी लेकर खेत की ओर चला।	Horī ne donõ bailõ ko, jo pahle se dvār par khaṛe pāgur kar rahe the, gāṛī mẽ jotā aur ek ghaṛā pānī lekar khet kī or calā.	Hori yoked both bullocks, which had been standing at the door chewing cud, to the cart, and carrying a pitcher of water, headed toward the field.	Premchand, Godan	1936	prose	Devanagari
st029	hin	Kabir Doha	बुरा जो देखन मैं चला, बुरा न मिलिया कोय। जो मन खोजा आपना, मुझसे बुरा न कोय।	Burā jo dekhan main calā, burā na miliyā koy. Jo man khojā āpnā, mujhse burā na koy.	When I went out looking for evil, I found none. When I searched my own mind, I found none worse than myself.	Kabir, Doha	1500	poetry	Devanagari
st030	hin	Hindi Proverbs	जैसा देश वैसा भेष। जहाँ चाह वहाँ राह। बंदर क्या जाने अदरक का स्वाद।	Jaisā deś vaisā bheṣ. Jahā̃ cāh vahā̃ rāh. Bandar kyā jāne adrak kā svād.	When in Rome, do as the Romans do. Where there is a will, there is a way. What does a monkey know of the taste of ginger?	Traditional Hindi Proverbs		conversational	Devanagari
st031	jpn	Opening of The Tale of Genji	いづれの御時にか、女御、更衣あまたさぶらひたまひけるなかに、いとやむごとなき際にはあらぬが、すぐれて時めきたまふありけり。	Izure no ohon-toki ni ka, nyōgo, kōi amata saburaitamaikeru naka ni, ito yamgotonaki kiwa ni wa aranu ga, sugurete tokimekitamau arikeri.	In a certain reign there was a lady not of the first rank whom the emperor loved more than any of the others.	Murasaki Shikibu, The Tale of Genji	1010	prose	Kanji/Hiragana
st032	jpn	Matsuo Bashō - Haiku	古池や蛙飛び込む水の音。閑さや岩にしみ入る蝉の声。夏草や兵どもが夢の跡。	Furuike ya / kawazu tobikomu / mizu no oto. Shizukasa ya / iwa ni shimiiru / semi no koe. Natsukusa ya / tsuwamono-domo ga / yume no ato.	An old pond — a frog jumps in, sound of water. Silence — seeping into the rocks, the cicada's cry. Summer grass — where warriors once dreamed.	Matsuo Bashō, Collected Haiku	1686	poetry	Kanji/Hiragana
st033	jpn	Japanese Proverbs	七転び八起き。猿も木から落ちる。石の上にも三年。出る杭は打たれる。	Nana korobi ya oki. Saru mo ki kara ochiru. Ishi no ue ni mo san nen. Deru kui wa utareru.	Fall seven times, stand up eight. Even monkeys fall from trees. Three years on a stone (patience). The nail that sticks out gets hammered down.	Traditional Japanese Proverbs		conversational	Kanji/Hiragana
st034	kor	Opening of The Vegetarian	아내가 채식주의자가 되기 전까지만 해도, 나는 그녀가 특별한 사람이라고 생각한 적이 없었다.	Anaega chaesikjuuijaga doegi jeonkkajiman haedo, naneun geunyeoga teukbyeolhan sarami-rago saenggakhan jeogi eopseotda.	Before my wife turned vegetarian, I had always thought of her as completely unremarkable in every way.	Han Kang, The Vegetarian	2007	prose	Hangul
st035	kor	Yun Dong-ju - Counting the Stars	죽는 날까지 하늘을 우러러 한 점 부끄러움이 없기를, 잎새에 이는 바람에도 나는 괴로워했다.	Jungneun nalkkaji haneureul ureoreo han jeom bukkeureoumeul eopgireul, ipsaee ineun baramedo naneun goerowohaetda.	Until the day I die, let me gaze up at the sky with not a speck of shame. Even the wind in the leaves tormented me.	Yun Dong-ju, Counting the Stars at Night	1941	poetry	Hangul
st036	kor	Korean Proverbs	낮말은 새가 듣고 밤말은 쥐가 듣는다. 콩 심은 데 콩 나고, 팥 심은 데 팥 난다. 세 살 버릇 여든까지 간다.	Nanmareun saega deutgo bammareun jwiga deunneunda. Kong simeun de kong nago, pat simeun de pat nanda. Se sal beoreut yeodeunkkaji ganda.	Birds hear the words spoken in the day, mice hear the words spoken at night. Plant beans and you get beans, plant red beans and you get red beans. Habits formed at three last until eighty.	Traditional Korean Proverbs		conversational	Hangul
st037	tur	Opening of My Name is Red	Şimdi ben bir ölüyüm, bir ceset, bir kuyunun dibinde. Son nefesimi çoktan verdim, kalbim durdu.	 	I am nothing but a corpse now, a body at the bottom of a well. I took my last breath ages ago, my heart stopped.	Orhan Pamuk, My Name Is Red	1998	prose	Latin
st038	tur	Nazim Hikmet - On Living	Yaşamak şakaya gelmez, büyük bir ciddiyetle yaşayacaksın, bir sincap gibi mesela, yani, yaşamanın dışında ve ötesinde hiçbir şey beklemeden.	 	Living is no laughing matter: you must live with great seriousness, like a squirrel, for example — I mean without looking for something beyond and above living.	Nazim Hikmet, On Living	1948	poetry	Latin
st039	tur	Turkish Proverbs	Damlaya damlaya göl olur. Bir elin nesi var, iki elin sesi var. Sakla samanı gelir zamanı. Aç tavuk kendini buğday ambarında sanır.	 	Drop by drop, a lake forms. One hand has nothing, two hands have a voice. Save the straw, its time will come. A hungry chicken dreams it's in a wheat barn.	Traditional Turkish Proverbs		conversational	Latin
st040	swa	Swahili Proverb Collection	Haraka haraka haina baraka. Asiyefunzwa na mamaye hufunzwa na ulimwengu. Penye nia pana njia. Kidole kimoja hakivunji chawa.	 	Hurry hurry has no blessing. He who is not taught by his mother is taught by the world. Where there is a will, there is a way. A single finger cannot crush a louse.	Traditional Swahili Proverbs		conversational	Latin
st041	swa	Shaaban Robert - Poem	Titi la mama litamu, lijapoacha na utamu. Lisilo na mama lina, mwana hulia machozi.	 	The breast of one's mother is sweet; even when it dries, the sweetness remains. Without a mother, the child cries tears.	Shaaban Robert	1950	poetry	Latin
st042	swa	Opening of Siku Njema	Siku hiyo nilikuwa nimefurahi sana. Siku hiyo ilikuwa siku njema kwangu, siku ambayo sitaisahau kamwe.	 	That day I was very happy. That day was a good day for me, a day that I will never forget.	Ken Walibora, Siku Njema	1996	prose	Latin
st043	ell	Cavafy - Ithaca	Σα βγεις στον πηγαιμό για την Ιθάκη, / να εύχεσαι νάναι μακρύς ο δρόμος, / γεμάτος περιπέτειες, γεμάτος γνώσεις.	Sa vgeis ston pigaimó gia tin Itháki, na éfchesai nánai makrýs o drómos, gemátos peripéteies, gemátos gnóseis.	As you set out for Ithaca, hope the voyage is a long one, full of adventure, full of discovery.	Constantine Cavafy, Ithaca	1911	poetry	Greek
st044	ell	Opening of Zorba the Greek	Πρώτη φορά τον είδα στον Πειραιά. Είχα κατεβεί στο λιμάνι ν'αποχαιρετίσω μιαν φίλη που ταξίδευε για τη Κρήτη.	Próti forá ton eída ston Peiraiá. Eícha kateveí sto limáni n'apochairetíso mian fíli pou taxídeve gia ti Kríti.	I first met him at Piraeus. I had gone down to the port to say goodbye to a friend who was traveling to Crete.	Nikos Kazantzakis, Zorba the Greek	1946	prose	Greek
st045	ell	Greek Proverbs	Σιγά σιγά και το αυγό μαδάει. Όποιος βιάζεται σκοντάφτει. Τα πολλά λόγια είναι φτώχεια.	Sigá sigá kai to avgó madáei. Ópoios viázetai skontáftei. Ta pollá lógia eínai ftócheia.	Slowly, slowly, even the egg loses its feathers. He who hurries stumbles. Too many words are poverty.	Traditional Greek Proverbs		conversational	Greek
st046	lat	Opening of the Aeneid	Arma virumque cano, Troiae qui primus ab oris / Italiam, fato profugus, Laviniaque venit / litora, multum ille et terris iactatus et alto.	 	I sing of arms and the man, who first from the shores of Troy, exiled by fate, came to Italy and the Lavinian shores — much buffeted on land and on the deep.	Virgil, Aeneid	-19	poetry	Latin
st047	lat	Opening of the Vulgate Bible - Genesis	In principio creavit Deus caelum et terram. Terra autem erat inanis et vacua, et tenebrae erant super faciem abyssi, et spiritus Dei ferebatur super aquas.	 	In the beginning God created heaven and earth. And the earth was without form, and void, and darkness was upon the face of the deep, and the Spirit of God moved upon the waters.	Vulgate Bible, Genesis 1:1-2	405	religious	Latin
st048	grc	Opening of the Iliad	Μῆνιν ἄειδε, θεά, Πηληϊάδεω Ἀχιλῆος / οὐλομένην, ἣ μυρί' Ἀχαιοῖς ἄλγε' ἔθηκε.	Mēnin áeide, theá, Pēlēïádeō Achilēos / ouloménēn, hḕ murí' Achaioĩs álge' éthēke.	Sing, O goddess, the anger of Achilles, son of Peleus, that brought countless ills upon the Achaeans.	Homer, Iliad	-750	poetry	Greek
st049	san	Opening of the Rigveda	अग्निमीळे पुरोहितं यज्ञस्य देवमृत्विजम् । होतारं रत्नधातमम् ॥	Agnim īḷe purohitaṃ yajñasya devam ṛtvijam. Hotāraṃ ratnadhātamam.	I praise Agni, the chosen priest, god, minister of sacrifice, the hotar, lavisher of wealth.	Rigveda, Mandala 1, Hymn 1	-1500	religious	Devanagari
st050	ang	Opening of Beowulf	Hwæt! We Gardena in geardagum, / þeodcyninga, þrym gefrunon, / hu ða æþelingas ellen fremedon.	 	Lo! We have heard of the glory of the Spear-Danes, of the kings of the people, in the days of old, how the princes performed courageous deeds.	Beowulf	1000	poetry	Latin
st051	non	Hávamál - Words of the High One	Deyr fé, deyja frændr, deyr sjalfr it sama; en orðstírr deyr aldregi hveim er sér góðan getr.	 	Cattle die, kinsmen die, you yourself die likewise; but the fame of the one who has earned good repute will never die.	Poetic Edda, Hávamál	1270	poetry	Latin
st052	got	Lord's Prayer in Gothic	Atta unsar þu in himinam, weihnai namo þein. Qimai þiudinassus þeins. Wairþai wilja þeins, swe in himina jah ana airþai.	 	Our Father, who art in heaven, hallowed be thy name. Thy kingdom come. Thy will be done, on earth as it is in heaven.	Wulfila Bible	360	religious	Gothic
st053	sux	Hymn to Inanna	nin me šár-ra an ki-a diğir zi u₃-tud-da nú-me-a	 	Lady of all the divine powers, resplendent light, righteous woman clothed in radiance, beloved of Heaven and Earth.	Enheduanna, Hymn to Inanna	-2285	religious	Cuneiform
st054	akk	Code of Hammurabi - Prologue	inūma Anum ṣīrum šar Anunnakī Enlil bēl šamê u erṣetim šā'im šīmat māt nišī Mardukim māršu rēštiam ša Ea ellūtam ina teništim ušarši'ūšum	 	When the august god Anu, king of the Anunnaki, and the god Enlil, lord of heaven and earth, who determines the destinies of the land, allotted supreme power over all peoples to Marduk.	Code of Hammurabi	-1754	legal	Cuneiform
st055	gle	Pangur Bán	Messe ocus Pangur Bán, cechtar nathar fria shaindán: bíth a menma-sam fri seilgg, mu menma céin im shaíncheirdd.	 	Me and Pangur Bán, each of us at his special art: his mind is set on hunting, my mind on my special craft.	Pangur Bán, Reichenau Primer	800	poetry	Latin
st056	och	Opening of the Dao De Jing	道可道，非常道。名可名，非常名。無名天地之始。有名萬物之母。	Dào kě dào, fēi cháng dào. Míng kě míng, fēi cháng míng. Wú míng tiāndì zhī shǐ. Yǒu míng wànwù zhī mǔ.	The Dao that can be told is not the eternal Dao. The name that can be named is not the eternal name. The nameless is the beginning of heaven and earth. The named is the mother of the ten thousand things.	Laozi, Dao De Jing	-400	religious	Hanzi
st057	nld	Opening of Max Havelaar	Ik ben makelaar in koffie, en woon op de Lauriergracht No 37. Het is mijn gewoonte niet, romans te schrijven, of zulke dingen.	 	I am a coffee broker, and I live at No. 37 Lauriergracht. It is not my custom to write novels or such things.	Multatuli, Max Havelaar	1860	prose	Latin
st058	nld	Vondel - Gijsbrecht van Aemstel	Het hemelsche gerecht heeft zich ten langen leste erbarremt over het schreien en kerme der stadt.	 	The heavenly court has at long last taken pity on the crying and lamenting of the city.	Joost van den Vondel, Gijsbrecht van Aemstel	1637	poetry	Latin
st059	nld	Dutch Proverbs	Wie een kuil graaft voor een ander, valt er zelf in. Oost west, thuis best. De appel valt niet ver van de boom.	 	He who digs a pit for another falls in it himself. East west, home is best. The apple doesn't fall far from the tree.	Traditional Dutch Proverbs		conversational	Latin
st060	swe	Opening of Pippi Longstocking	I utkanten av en liten, liten stad lag en gammal forfallen tradgard, och i tradgarden lag ett gammalt hus, och i huset bodde Pippi Langstrump.	 	On the outskirts of a tiny little town lay an old overgrown garden, and in the garden stood an old house, and in the house lived Pippi Longstocking.	Astrid Lindgren, Pippi Langstrump	1945	prose	Latin
st061	swe	Tegner - Frithiofs Saga	Sol skiner over Hildings sal, och blommorna dofta derinom; men Frithiof sitter tyst i skuggan och Ingeborg sitter vid hans sida.	 	The sun shines over Hilding's hall, and flowers fragrance within; but Frithiof sits quietly in the shadow, and Ingeborg sits by his side.	Esaias Tegner, Frithiofs Saga	1825	poetry	Latin
st062	swe	Swedish Proverbs	Battre sent an aldrig. Den som gapar efter mycket mister ofta hela stycket. Ovning ger fardighet.	 	Better late than never. He who gapes after much often loses the whole piece. Practice makes perfect.	Traditional Swedish Proverbs		conversational	Latin
st063	nor	Opening of Hunger	Det var i den tid jeg gikk omkring og sultet i Kristiania, denne forunderlige by som ingen forlater for han har fatt merker av den.	 	It was in those days when I wandered about hungry in Kristiania, that strange city which no one leaves before it has set its mark upon him.	Knut Hamsun, Sult	1890	prose	Latin
st064	nor	Norwegian Proverbs	Ingen roser uten torner. Ovelse gjor mester. Borte bra, men hjemme best.	 	No roses without thorns. Practice makes perfect. Away is good, but home is best.	Traditional Norwegian Proverbs		conversational	Latin
st065	dan	Opening of Out of Africa	Jeg havde en farm i Afrika ved foden af Ngong-bjergene.	 	I had a farm in Africa, at the foot of the Ngong Hills.	Karen Blixen, Den afrikanske Farm	1937	prose	Latin
st066	dan	Danish Proverbs	Ovelse gor mester. Man skal ikke saelge skindet, for bjornen er skudt. Mange baekke sma gor en stor a.	 	Practice makes perfect. Don't sell the skin before the bear is shot. Many small streams make a big river.	Traditional Danish Proverbs		conversational	Latin
st067	pol	Opening of Pan Tadeusz	Litwo! Ojczyzno moja! ty jestes jak zdrowie; Ile cie trzeba cenic, ten tylko sie dowie, Kto cie stracil.	 	Lithuania! My fatherland! You are like health; how much you should be valued, only he who has lost you can know.	Adam Mickiewicz, Pan Tadeusz	1834	poetry	Latin
st068	pol	Opening of Quo Vadis	Petroniusz obudzil sie zaledwie kolo poludnia i jak zwykle byl mocno znuzony.	 	Petronius woke barely around noon and as usual was greatly fatigued.	Henryk Sienkiewicz, Quo Vadis	1896	prose	Latin
st069	pol	Polish Proverbs	Kto rano wstaje, temu Pan Bog daje. Nie ma rozy bez kolcow. Co sie odwlecze, to nie uciecze.	 	He who rises early, God provides for. There is no rose without thorns. What is postponed does not escape.	Traditional Polish Proverbs		conversational	Latin
st070	ces	Opening of The Good Soldier Svejk	Tak nam zabili Ferdinanda, rekla posluhovacka panu Svejkovi, ktery opustil pred lety vojenskou sluzbu.	 	So they've killed our Ferdinand, said the charwoman to Mr. Svejk, who had left military service years before.	Jaroslav Hasek, Osudy dobreho vojaka Svejka	1923	prose	Latin
st071	ces	Czech Proverbs	Bez prace nejsou kolace. Kdo jinemu jamu kopa, sam do ni pada. Rano moudrejsi vecera.	 	Without work there are no cakes. He who digs a pit for another falls into it himself. The morning is wiser than the evening.	Traditional Czech Proverbs		conversational	Latin
st072	ron	Eminescu - Luceafarul	A fost odata ca-n povesti, a fost ca niciodata. Din rude mari imparatesti, o prea frumoasa fata.	 	Once upon a time, as never before, from great imperial lineage, a most beautiful maiden.	Mihai Eminescu, Luceafarul	1883	poetry	Latin
st073	ron	Romanian Proverbs	Cine sapa groapa altuia cade singur in ea. Ce tie nu-ti place altuia nu-i face.	 	He who digs a pit for another falls in it himself. Do not do unto others what you would not have done to you.	Traditional Romanian Proverbs		conversational	Latin
st074	hun	Petofi - Nemzeti dal	Talpra magyar, hi a haza! Itt az ido, most vagy soha! Rabok legyunk vagy szabadok? Ez a kerdes, valasszatok!	 	Rise up, Hungarians, the homeland calls! Here is the time, now or never! Shall we be slaves or free? That is the question, choose!	Sandor Petofi, Nemzeti dal	1848	poetry	Latin
st075	hun	Hungarian Proverbs	Gyakorlat teszi a mestert. Lassan jarj, tovabb ersz. Ki koran kel, aranyat lel.	 	Practice makes the master. Go slowly, you'll get further. He who rises early finds gold.	Traditional Hungarian Proverbs		conversational	Latin
st076	fin	Opening of the Kalevala	Mieleni minun tekevi, aivoni ajattelevi, lahteani laulamahan, saa'ani sanelemahan.	 	I am driven by my longing, and my understanding urges, that I should commence my singing, and begin my recitation.	Elias Lonnrot, Kalevala	1835	poetry	Latin
st077	fin	Finnish Proverbs	Ei kukaan ole seppa syntyessaan. Hiljaa hyva tulee. Ken kuuseen kurkottaa, se katajaan kapsahtaa.	 	No one is born a blacksmith. Good things come slowly. He who reaches for the spruce falls into the juniper.	Traditional Finnish Proverbs		conversational	Latin
st078	ekk	Opening of Truth and Justice	Andres oli viie-aastane poiss, kui ta isa Pearu talust viimaks ara tuli ja oma kohta Vargamaele asus.	 	Andres was a five-year-old boy when his father finally left Pearu's farm and settled in his own place at Vargamae.	A. H. Tammsaare, Tode ja oigus	1926	prose	Latin
st079	ekk	Estonian Proverbs	Harjutamine teeb meistriks. Kes teisele auku kaevab, see ise sisse kukub. Hommik on ohtust targem.	 	Practice makes a master. He who digs a pit for another falls in himself. The morning is wiser than the evening.	Traditional Estonian Proverbs		conversational	Latin
st080	kat	Opening of The Knight in the Panther's Skin	რომელმან შექმნა სამყარო ძალითა მით ძლიერითა, ზეცით ბოძებულ ქვეყანას მისგან მართ ხორციერითა.	Romelm-an shek'mna samq'aro dzalita mit dzlierita, zetsit botsebul kveq'anas misgan mart k'ortsiierita.	He who created the universe by His mighty power, bestowed upon the world from heaven through His corporeal.	Shota Rustaveli, The Knight in the Panther's Skin	1200	poetry	Georgian
st081	kat	Georgian Proverbs	ბრძენი მტერი სჯობია უგუნურ მეგობარს. მოთმინება ვარდს მოიტანს.	Brdzeni mteri sjobia ugunur megobars. Motmineba vards moitans.	A wise enemy is better than a foolish friend. Patience brings roses.	Traditional Georgian Proverbs		conversational	Georgian
