id	name	category	origin_date	origin_coordinates	spread_data	description	associated_languages	significance
mc_011	Cuneiform writing	tools	-3400	[31.3,45.8]	[{"date":-3000,"coordinates":[32.0,44.0],"associated_civilization":"Akkadian Empire"},{"date":-2500,"coordinates":[32.5,52.0],"associated_civilization":"Elamite"},{"date":-2000,"coordinates":[40.0,32.0],"associated_civilization":"Hittite Empire"},{"date":-1500,"coordinates":[35.5,35.5],"associated_civilization":"Ugarit"}]	First writing system using wedge-shaped marks on clay tablets	Sumerian, Akkadian, Hittite, Elamite, Hurrian	Earliest writing system; enabled bureaucracy, literature, and historical records
mc_012	Chinese writing	tools	-1200	[34.8,114.3]	[{"date":-500,"coordinates":[30.0,120.0],"associated_civilization":"Warring States"},{"date":100,"coordinates":[37.5,127.0],"associated_civilization":"Han Commanderies Korea"},{"date":400,"coordinates":[35.0,136.0],"associated_civilization":"Yamato Japan"},{"date":1000,"coordinates":[21.0,106.0],"associated_civilization":"Dai Viet"}]	Logographic writing system originating from Shang dynasty oracle bones	Old Chinese, Classical Chinese, Japanese, Korean, Vietnamese	Only ancient writing system still in continuous use today
mc_013	Egyptian hieroglyphs	tools	-3200	[26.0,32.0]	[{"date":-2500,"coordinates":[15.5,32.5],"associated_civilization":"Kingdom of Kush"},{"date":-1500,"coordinates":[25.7,32.6],"associated_civilization":"New Kingdom Egypt"},{"date":200,"coordinates":[13.5,33.0],"associated_civilization":"Meroitic"}]	Pictographic and phonetic writing system used in ancient Egypt	Egyptian, Meroitic	Monumental writing system; Rosetta Stone key to decipherment
mc_014	Alphabet (Phoenician)	tools	-1050	[33.9,35.5]	[{"date":-800,"coordinates":[38.0,23.7],"associated_civilization":"Archaic Greece"},{"date":-600,"coordinates":[41.9,12.5],"associated_civilization":"Etruscan/Roman"},{"date":-300,"coordinates":[33.5,36.3],"associated_civilization":"Aramaic sphere"},{"date":400,"coordinates":[12.0,42.0],"associated_civilization":"Aksumite Empire"}]	First widely adopted purely alphabetic writing system	Phoenician, Greek, Latin, Aramaic, Arabic, Hebrew	Ancestor of most modern alphabets worldwide
mc_015	Agriculture - Fertile Crescent	agriculture	-9500	[37.0,39.0]	[{"date":-8000,"coordinates":[36.0,44.0],"associated_civilization":"Pre-Pottery Neolithic"},{"date":-7000,"coordinates":[39.0,32.0],"associated_civilization":"Anatolian Neolithic"},{"date":-6000,"coordinates":[38.0,22.0],"associated_civilization":"Greek Neolithic"},{"date":-5500,"coordinates":[47.0,19.0],"associated_civilization":"LBK culture"}]	Independent origin of wheat, barley, lentils, peas, flax cultivation and goat/sheep domestication	Proto-Afroasiatic, Proto-Indo-European substrate	Earliest agricultural revolution; transformed human civilization
mc_016	Agriculture - Yangtze River	agriculture	-8000	[30.0,112.0]	[{"date":-6000,"coordinates":[23.0,113.0],"associated_civilization":"Southern Chinese Neolithic"},{"date":-4000,"coordinates":[25.0,103.0],"associated_civilization":"Yunnan Neolithic"},{"date":-2000,"coordinates":[15.0,100.0],"associated_civilization":"Southeast Asian Bronze Age"},{"date":-1000,"coordinates":[7.0,80.0],"associated_civilization":"Sri Lankan Iron Age"}]	Independent origin of rice cultivation in the middle and lower Yangtze	Proto-Sino-Tibetan, Proto-Tai-Kadai, Proto-Austroasiatic	Rice agriculture spread across East and Southeast Asia
mc_017	Agriculture - Mesoamerica	agriculture	-7000	[17.0,-96.0]	[{"date":-5000,"coordinates":[19.4,-99.1],"associated_civilization":"Valley of Mexico"},{"date":-3000,"coordinates":[21.0,-90.0],"associated_civilization":"Pre-Maya"},{"date":-1500,"coordinates":[8.0,-80.0],"associated_civilization":"Panamanian cultures"},{"date":500,"coordinates":[35.0,-90.0],"associated_civilization":"Mississippian"}]	Independent origin of maize, squash, and bean cultivation	Proto-Oto-Manguean, Proto-Mayan, Nahuatl	Basis of the Mesoamerican food complex (Three Sisters)
mc_018	Agriculture - Papua New Guinea	agriculture	-7000	[-6.0,145.0]	[{"date":-5000,"coordinates":[-6.5,147.0],"associated_civilization":"Highland New Guinea"},{"date":-3000,"coordinates":[-5.0,150.0],"associated_civilization":"Bismarck Archipelago"}]	Independent origin of banana, taro, yam, and sugarcane cultivation	Trans-New Guinea languages	One of earliest independent agricultural origins; tropical root crops
mc_019	Wheat domestication	agriculture	-9000	[37.8,39.2]	[{"date":-7000,"coordinates":[36.0,44.0],"associated_civilization":"Mesopotamian Neolithic"},{"date":-6000,"coordinates":[30.0,31.0],"associated_civilization":"Egyptian Neolithic"},{"date":-5000,"coordinates":[40.0,22.0],"associated_civilization":"Balkans Neolithic"},{"date":-3000,"coordinates":[25.0,68.0],"associated_civilization":"Indus Valley"}]	Domestication of emmer and einkorn wheat from wild grasses	Proto-Afroasiatic, early Semitic	Staple grain of Western civilization; drove agricultural expansion
mc_020	Rice domestication	agriculture	-8000	[30.0,120.0]	[{"date":-5000,"coordinates":[23.0,113.0],"associated_civilization":"Southern Chinese Neolithic"},{"date":-3000,"coordinates":[25.0,85.0],"associated_civilization":"Gangetic Plain"},{"date":-1500,"coordinates":[14.0,100.0],"associated_civilization":"Southeast Asian Bronze Age"},{"date":-500,"coordinates":[35.0,137.0],"associated_civilization":"Yayoi Japan"}]	Domestication of Oryza sativa from wild rice	Proto-Sino-Tibetan, Proto-Austroasiatic, Proto-Tai-Kadai	Most important food crop globally by number of people fed
mc_021	Maize domestication	agriculture	-7000	[17.0,-96.7]	[{"date":-4000,"coordinates":[19.4,-99.1],"associated_civilization":"Valley of Mexico"},{"date":-2000,"coordinates":[15.0,-90.0],"associated_civilization":"Pre-Maya"},{"date":500,"coordinates":[35.0,-85.0],"associated_civilization":"Mississippian"},{"date":1000,"coordinates":[-13.5,-72.0],"associated_civilization":"Inca precursors"}]	Domestication of maize from teosinte grass	Proto-Oto-Manguean, Nahuatl, various Mesoamerican	Basis of New World agriculture; genetically most modified crop
mc_022	Potato domestication	agriculture	-5000	[-15.5,-70.0]	[{"date":-3000,"coordinates":[-13.5,-72.0],"associated_civilization":"Andean pre-Inca"},{"date":-1000,"coordinates":[-0.2,-78.5],"associated_civilization":"Ecuadorian highlands"},{"date":1550,"coordinates":[40.0,-3.7],"associated_civilization":"Spanish Empire"},{"date":1700,"coordinates":[53.0,-8.0],"associated_civilization":"Ireland"}]	Domestication of potato in the Andean highlands	Quechua, Aymara	Crucial food crop; transformed European demographics after Columbian Exchange
mc_023	Horse domestication	tools	-3500	[50.0,67.0]	[{"date":-3000,"coordinates":[48.0,55.0],"associated_civilization":"Botai culture"},{"date":-2500,"coordinates":[52.0,35.0],"associated_civilization":"Yamnaya"},{"date":-2000,"coordinates":[40.0,44.0],"associated_civilization":"Near Eastern Bronze Age"},{"date":-1500,"coordinates":[25.0,78.0],"associated_civilization":"Vedic India"}]	Domestication of the horse for riding, transport, and warfare	Proto-Indo-European, Turkic, Mongolic	Transformed warfare, transport, and pastoral economies across Eurasia
mc_024	Cattle domestication	tools	-8000	[33.0,44.0]	[{"date":-7000,"coordinates":[39.0,33.0],"associated_civilization":"Anatolian Neolithic"},{"date":-6000,"coordinates":[30.0,31.0],"associated_civilization":"Egyptian Neolithic"},{"date":-5000,"coordinates":[25.0,68.0],"associated_civilization":"Mehrgarh"},{"date":-4000,"coordinates":[10.0,8.0],"associated_civilization":"Saharan pastoralists"}]	Domestication of aurochs into cattle for meat, dairy, and draft power	Proto-Afroasiatic, Proto-Indo-European	Foundation of pastoral and mixed-farming economies
mc_025	Dog domestication	tools	-15000	[52.0,100.0]	[{"date":-12000,"coordinates":[33.0,36.0],"associated_civilization":"Natufian"},{"date":-10000,"coordinates":[50.0,10.0],"associated_civilization":"European Mesolithic"},{"date":-8000,"coordinates":[35.0,105.0],"associated_civilization":"Chinese Neolithic"},{"date":-5000,"coordinates":[20.0,-100.0],"associated_civilization":"Mesoamerican"}]	Earliest animal domestication from wolves; used for hunting, guarding, and companionship	Proto-human languages	Oldest domesticated animal; found in virtually all human societies
mc_026	Gunpowder	tools	850	[34.0,108.0]	[{"date":1000,"coordinates":[34.0,108.0],"associated_civilization":"Song Dynasty"},{"date":1200,"coordinates":[40.0,44.0],"associated_civilization":"Abbasid/Mongol"},{"date":1300,"coordinates":[41.0,29.0],"associated_civilization":"Ottoman Empire"},{"date":1350,"coordinates":[48.8,2.3],"associated_civilization":"Hundred Years War Europe"}]	Explosive mixture of saltpeter, sulfur, and charcoal; initially used for fireworks then warfare	Middle Chinese, Arabic, Latin	Revolutionized warfare; ended era of armored knights and castle fortifications
mc_027	Printing (movable type)	tools	1040	[34.8,114.3]	[{"date":1200,"coordinates":[37.5,127.0],"associated_civilization":"Goryeo Korea"},{"date":1450,"coordinates":[50.0,8.2],"associated_civilization":"Holy Roman Empire"},{"date":1500,"coordinates":[45.4,12.3],"associated_civilization":"Venetian Republic"},{"date":1520,"coordinates":[51.5,-0.1],"associated_civilization":"Tudor England"}]	Movable type printing invented by Bi Sheng in China, independently by Gutenberg in Europe	Middle Chinese, Korean, German, Latin	Democratized knowledge; catalyst for Reformation and Scientific Revolution
mc_028	Silk production	textiles	-3500	[30.0,120.0]	[{"date":-1000,"coordinates":[35.0,105.0],"associated_civilization":"Zhou Dynasty"},{"date":-200,"coordinates":[40.0,65.0],"associated_civilization":"Central Asian kingdoms"},{"date":300,"coordinates":[25.0,83.0],"associated_civilization":"Gupta Empire"},{"date":550,"coordinates":[41.0,29.0],"associated_civilization":"Byzantine Empire"}]	Sericulture - cultivation of silkworms and weaving of silk fabric	Old Chinese, Classical Chinese	Drove the Silk Road trade network; closely guarded Chinese state secret
mc_029	Cotton weaving	textiles	-5000	[27.0,68.0]	[{"date":-3000,"coordinates":[25.0,68.0],"associated_civilization":"Indus Valley"},{"date":-500,"coordinates":[30.0,31.0],"associated_civilization":"Ptolemaic Egypt"},{"date":700,"coordinates":[33.0,44.0],"associated_civilization":"Islamic Caliphate"},{"date":1200,"coordinates":[37.0,-3.0],"associated_civilization":"Moorish Iberia"}]	Cultivation of cotton and weaving into textiles for clothing	Proto-Dravidian, Sanskrit, Arabic	India was primary source for millennia; drove Industrial Revolution in Britain
mc_030	Wool weaving	textiles	-6000	[37.0,43.0]	[{"date":-4000,"coordinates":[39.0,33.0],"associated_civilization":"Anatolian cultures"},{"date":-3000,"coordinates":[38.0,22.0],"associated_civilization":"Aegean Bronze Age"},{"date":-2000,"coordinates":[51.5,-0.1],"associated_civilization":"British Bronze Age"},{"date":-1000,"coordinates":[50.0,30.0],"associated_civilization":"Scythian"}]	Processing and weaving of sheep wool into textiles	Proto-Indo-European, Sumerian	Essential for cold-climate clothing; wool trade drove medieval European economy
mc_031	Linen production	textiles	-8000	[33.0,36.0]	[{"date":-5000,"coordinates":[30.0,31.0],"associated_civilization":"Predynastic Egypt"},{"date":-3000,"coordinates":[39.0,22.0],"associated_civilization":"Minoan Crete"},{"date":-1000,"coordinates":[34.0,36.0],"associated_civilization":"Phoenicia"}]	Weaving of flax fibers into linen cloth; one of earliest textiles	Egyptian, Proto-Semitic	Egyptian mummies wrapped in linen; fundamental textile of ancient Mediterranean
mc_032	Arch and vault construction	architecture	-4000	[33.0,44.0]	[{"date":-2500,"coordinates":[30.0,31.0],"associated_civilization":"Old Kingdom Egypt"},{"date":-600,"coordinates":[32.5,44.5],"associated_civilization":"Neo-Babylonian"},{"date":-200,"coordinates":[41.9,12.5],"associated_civilization":"Roman Republic"},{"date":500,"coordinates":[41.0,29.0],"associated_civilization":"Byzantine Empire"}]	True arch and vault construction enabling large covered spaces	Sumerian, Akkadian, Latin	Romans perfected the form; enabled aqueducts, bridges, and monumental architecture
mc_033	Pyramid construction	architecture	-2700	[30.0,31.2]	[{"date":-2500,"coordinates":[29.9,31.1],"associated_civilization":"Old Kingdom Egypt"},{"date":-1500,"coordinates":[15.5,32.5],"associated_civilization":"Kingdom of Kush/Nubia"},{"date":-600,"coordinates":[19.4,-99.1],"associated_civilization":"Olmec"},{"date":200,"coordinates":[17.2,-89.6],"associated_civilization":"Classic Maya"}]	Monumental pyramid construction for tombs and temples	Egyptian, Meroitic, Nahuatl, Maya	Independent development in Old and New World; iconic architectural form
mc_034	Roman concrete	architecture	-300	[41.9,12.5]	[{"date":-100,"coordinates":[40.8,14.2],"associated_civilization":"Roman Republic"},{"date":100,"coordinates":[41.0,29.0],"associated_civilization":"Roman Empire East"},{"date":200,"coordinates":[36.8,10.2],"associated_civilization":"Roman North Africa"}]	Hydraulic concrete using volcanic ash (pozzolana) that sets underwater	Latin	Superior to modern Portland cement in longevity; recipe lost for centuries
mc_035	Compass (magnetic)	tools	1040	[34.0,108.0]	[{"date":1100,"coordinates":[25.0,120.0],"associated_civilization":"Song Dynasty maritime"},{"date":1190,"coordinates":[41.0,29.0],"associated_civilization":"Islamic/Byzantine"},{"date":1200,"coordinates":[41.9,12.5],"associated_civilization":"Italian maritime republics"},{"date":1300,"coordinates":[48.8,2.3],"associated_civilization":"Medieval Europe"}]	Magnetic compass for navigation using lodestone or magnetized needle	Middle Chinese, Arabic, Latin	Enabled deep-sea navigation; key to Age of Exploration
mc_036	Paper making	tools	-200	[34.0,108.0]	[{"date":600,"coordinates":[37.5,127.0],"associated_civilization":"Three Kingdoms Korea"},{"date":700,"coordinates":[35.0,136.0],"associated_civilization":"Nara Japan"},{"date":751,"coordinates":[42.5,70.0],"associated_civilization":"Abbasid Caliphate"},{"date":1100,"coordinates":[37.0,-3.0],"associated_civilization":"Moorish Iberia"}]	Manufacturing paper from plant fibers, replacing papyrus, bamboo, and parchment	Classical Chinese, Arabic, Latin	Prerequisite for widespread literacy and printing
mc_037	Glass making	tools	-3500	[33.0,36.0]	[{"date":-1500,"coordinates":[30.0,31.0],"associated_civilization":"New Kingdom Egypt"},{"date":-800,"coordinates":[33.9,35.5],"associated_civilization":"Phoenicia"},{"date":-100,"coordinates":[41.9,12.5],"associated_civilization":"Roman Empire"},{"date":1200,"coordinates":[45.4,12.3],"associated_civilization":"Venetian Republic"}]	Production of glass from silica sand for vessels, windows, and decorative objects	Proto-Semitic, Egyptian, Latin	Murano glass tradition; essential for scientific instruments (lenses, prisms)
mc_038	Irrigation systems	agriculture	-6000	[33.0,44.0]	[{"date":-5000,"coordinates":[30.0,31.0],"associated_civilization":"Predynastic Egypt"},{"date":-2500,"coordinates":[25.0,68.0],"associated_civilization":"Indus Valley"},{"date":-1000,"coordinates":[34.0,108.0],"associated_civilization":"Zhou Dynasty"},{"date":500,"coordinates":[-13.5,-72.0],"associated_civilization":"Pre-Inca Peru"}]	Canal and basin irrigation systems for large-scale agriculture	Sumerian, Egyptian, Sanskrit	Enabled surplus food production and rise of complex civilizations
mc_039	Terrace farming	agriculture	-5000	[-13.5,-72.0]	[{"date":-3000,"coordinates":[27.7,85.3],"associated_civilization":"Himalayan cultures"},{"date":-2000,"coordinates":[20.0,100.0],"associated_civilization":"Southeast Asian"},{"date":-1000,"coordinates":[5.0,120.0],"associated_civilization":"Philippine Cordillera"}]	Stepped agricultural terraces carved into hillsides for cultivation	Quechua, Nepali, Ifugao	Banaue Rice Terraces called eighth wonder of the world
mc_040	Catalhoyuk architecture	architecture	-7500	[37.7,32.8]	[{"date":-6500,"coordinates":[37.7,32.8],"associated_civilization":"Anatolian Neolithic"}]	Dense urban settlement with rooftop-entry mud-brick houses, wall paintings, and no streets	Pre-Indo-European Anatolian substrate	One of earliest proto-urban settlements; unique architectural layout
mc_041	Chariot	tools	-2000	[41.0,44.0]	[{"date":-1700,"coordinates":[40.0,32.0],"associated_civilization":"Hittite Empire"},{"date":-1500,"coordinates":[30.0,31.0],"associated_civilization":"New Kingdom Egypt"},{"date":-1200,"coordinates":[34.0,108.0],"associated_civilization":"Shang Dynasty"},{"date":-800,"coordinates":[25.0,78.0],"associated_civilization":"Vedic India"}]	Light horse-drawn two-wheeled vehicle for warfare and racing	Proto-Indo-Iranian, Hurrian, Egyptian	Dominated Bronze Age warfare; spread across Eurasia rapidly
mc_042	Longbow	tools	-3000	[51.0,-3.0]	[{"date":-1000,"coordinates":[51.5,-0.1],"associated_civilization":"Celtic Britain"},{"date":1300,"coordinates":[52.0,-1.5],"associated_civilization":"Medieval England"},{"date":1346,"coordinates":[50.3,1.9],"associated_civilization":"Hundred Years War"}]	Long wooden bow (typically yew) used as devastating ranged weapon	Old English, Middle English, Welsh	English longbow dominated medieval European battlefields; decisive at Crecy and Agincourt
mc_043	Mosaic art	architecture	-3000	[33.0,44.0]	[{"date":-500,"coordinates":[38.0,23.0],"associated_civilization":"Classical Greece"},{"date":-100,"coordinates":[41.9,12.5],"associated_civilization":"Roman Republic"},{"date":500,"coordinates":[41.0,29.0],"associated_civilization":"Byzantine Empire"},{"date":700,"coordinates":[31.8,35.2],"associated_civilization":"Umayyad Caliphate"}]	Decorative art using small pieces of stone, glass, or ceramic (tesserae)	Sumerian, Greek, Latin, Arabic	Byzantine mosaics at Ravenna and Constantinople are masterworks of world art
mc_044	Kayak	tools	-4000	[65.0,-55.0]	[{"date":-2000,"coordinates":[71.0,-157.0],"associated_civilization":"Thule culture"},{"date":-1000,"coordinates":[60.0,-45.0],"associated_civilization":"Dorset culture"},{"date":1700,"coordinates":[55.0,10.0],"associated_civilization":"European adoption"}]	Enclosed skin-on-frame watercraft designed for hunting in arctic waters	Inuktitut, Yupik, Aleut	Perfectly adapted Arctic maritime technology; adopted worldwide for recreation
mc_045	Boomerang	tools	-20000	[-33.0,151.0]	[{"date":-10000,"coordinates":[-25.0,135.0],"associated_civilization":"Aboriginal Australian"},{"date":-8000,"coordinates":[-20.0,130.0],"associated_civilization":"Central Australian"}]	Curved throwing stick designed to return to thrower; oldest known aerodynamic device	Dharuk, various Australian Aboriginal languages	Demonstrates sophisticated understanding of aerodynamics in deep prehistory
