id	cuisine_id	name	food_type	time_origin	time_end
ethiopian-injera	ethiopian	Injera	Bread	-500	null
ethiopian-doro-wat	ethiopian	Doro Wat	Stew	-500	null
ethiopian-kitfo	ethiopian	Kitfo	Main Dish	-500	null
ethiopian-tibs	ethiopian	Tibs	Stir-Fry	-500	null
ethiopian-shiro	ethiopian	Shiro	Stew	-500	null
ethiopian-gomen	ethiopian	Gomen	Side Dish	-500	null
ethiopian-misir-wat	ethiopian	Misir Wat	Stew	-500	null
ethiopian-alicha	ethiopian	Alicha	Stew	-500	null
ethiopian-fitfit	ethiopian	Fitfit	Main Dish	-500	null
ethiopian-firfir	ethiopian	Firfir	Breakfast Dish	-500	null
ethiopian-dulet	ethiopian	Dulet	Main Dish	-500	null
ethiopian-beyaynetu	ethiopian	Beyaynetu	Mixed Platter	-500	null
ethiopian-azifa	ethiopian	Azifa	Salad	-500	null
ethiopian-kik-alicha	ethiopian	Kik Alicha	Stew	-500	null
ethiopian-yetsom-beyaynetu	ethiopian	Yetsom Beyaynetu	Vegetarian Platter	-500	null
ethiopian-fasolia	ethiopian	Fasolia	Stew	-500	null
ethiopian-atkilt-wat	ethiopian	Atkilt Wat	Vegetable Stew	-500	null
ethiopian-yemisir-kik	ethiopian	Yemisir Kik	Stew	-500	null
ethiopian-kategna	ethiopian	Kategna	Bread	-500	null
ethiopian-chechebsa	ethiopian	Chechebsa	Breakfast Dish	-500	null
ethiopian-kinche	ethiopian	Kinche	Porridge	-500	null
ethiopian-genfo	ethiopian	Genfo	Porridge	-500	null
ethiopian-foul	ethiopian	Foul	Stew	-500	null
ethiopian-sambusa	ethiopian	Sambusa	Appetizer	-500	null
ethiopian-enkulal-firfir	ethiopian	Enkulal Firfir	Egg Dish	-500	null
ethiopian-chuko	ethiopian	Chuko	Sauce	-500	null
ethiopian-awaze	ethiopian	Awaze	Sauce	-500	null
ethiopian-mitmita	ethiopian	Mitmita	Spice Mix	-500	null
ethiopian-berbere	ethiopian	Berbere	Spice Mix	-500	null
ethiopian-siga-wat	ethiopian	Siga Wat	Stew	-500	null
ethiopian-bozena-shiro	ethiopian	Bozena Shiro	Stew	-500	null
ethiopian-yebeg-alicha	ethiopian	Yebeg Alicha	Stew	-500	null
ethiopian-yebeg-tibs	ethiopian	Yebeg Tibs	Stir-Fry	-500	null
ethiopian-zilzil-tibs	ethiopian	Zilzil Tibs	Stir-Fry	-500	null
ethiopian-derek-tibs	ethiopian	Derek Tibs	Stir-Fry	-500	null
ethiopian-quanta-firfir	ethiopian	Quanta Firfir	Main Dish	-500	null
ethiopian-gored-gored	ethiopian	Gored Gored	Main Dish	-500	null
ethiopian-tire-siga	ethiopian	Tire Siga	Main Dish	-500	null
ethiopian-kurt	ethiopian	Kurt	Main Dish	-500	null
ethiopian-ayibe	ethiopian	Ayibe	Cheese	-500	null
ethiopian-fosese	ethiopian	Fosese	Appetizer	-500	null
ethiopian-kocho	ethiopian	Kocho	Side Dish	-500	null
ethiopian-dabo-kolo	ethiopian	Dabo Kolo	Snack	-500	null
ethiopian-himbasha	ethiopian	Himbasha	Bread	-500	null
ethiopian-ambasha	ethiopian	Ambasha	Bread	-500	null
ethiopian-dabo	ethiopian	Dabo	Bread	-500	null
ethiopian-dabbo-firfir	ethiopian	Dabbo Firfir	Breakfast Dish	-500	null
ethiopian-timatim-salata	ethiopian	Timatim Salata	Salad	-500	null
ethiopian-sils	ethiopian	Sils	Salad	-500	null
ethiopian-dinich	ethiopian	Dinich	Side Dish	-500	null
ethiopian-key-sega	ethiopian	Key Sega	Stew	-500	null
ethiopian-tere-sega	ethiopian	Tere Sega	Main Dish	-500	null
ethiopian-yeshimbra-asa	ethiopian	Yeshimbra Asa	Stew	-500	null
ethiopian-buticha	ethiopian	Buticha	Side Dish	-500	null
ethiopian-gomen-kitfo	ethiopian	Gomen Kitfo	Main Dish	-500	null
ethiopian-tekil-gomen	ethiopian	Tekil Gomen	Side Dish	-500	null
ethiopian-yetakelt-wat	ethiopian	Yetakelt Wat	Stew	-500	null
ethiopian-inguday-tibs	ethiopian	Inguday Tibs	Stir-Fry	-500	null
ethiopian-fosolia	ethiopian	Fosolia	Stew	-500	null
ethiopian-telba-fitfit	ethiopian	Telba Fitfit	Appetizer	-500	null
ethiopian-cheka	ethiopian	Cheka	Stew	-500	null
ethiopian-tibs-wat	ethiopian	Tibs Wat	Stew	-500	null
ethiopian-yedoro-tibs	ethiopian	Yedoro Tibs	Stir-Fry	-500	null
ethiopian-asa-tibs	ethiopian	Asa Tibs	Stir-Fry	-500	null
ethiopian-siga-tibs	ethiopian	Siga Tibs	Stir-Fry	-500	null
ethiopian-quanta-wat	ethiopian	Quanta Wat	Stew	-500	null
ethiopian-yedoro-wot	ethiopian	Yedoro Wot	Stew	-500	null
ethiopian-doro-alicha	ethiopian	Doro Alicha	Stew	-500	null
ethiopian-key-wot	ethiopian	Key Wot	Stew	-500	null
ethiopian-siga-wot	ethiopian	Siga Wot	Stew	-500	null
ethiopian-asa-wot	ethiopian	Asa Wot	Stew	-500	null
ethiopian-yasa-wot	ethiopian	Yasa Wot	Stew	-500	null
ethiopian-birkuta	ethiopian	Birkuta	Side Dish	-500	null
ethiopian-kita	ethiopian	Kita	Bread	-500	null
ethiopian-firfir-dabo	ethiopian	Firfir Dabo	Bread Dish	-500	null
ethiopian-kollo	ethiopian	Kollo	Snack	-500	null
ethiopian-niter-kibbeh	ethiopian	Niter Kibbeh	Butter	-500	null
ethiopian-tej	ethiopian	Tej	Beverage	-500	null
ethiopian-tella	ethiopian	Tella	Beverage	-500	null
ethiopian-buna	ethiopian	Buna	Beverage	-500	null
ethiopian-atmet	ethiopian	Atmet	Beverage	-500	null
ethiopian-keribo	ethiopian	Keribo	Beverage	-500	null
ethiopian-fanta-ethiopian	ethiopian	Fanta (Ethiopian)	Beverage	-500	null
ethiopian-ambo	ethiopian	Ambo	Beverage	-500	null
ethiopian-spris	ethiopian	Spris	Beverage	-500	null
ethiopian-beso	ethiopian	Beso	Beverage	-500	null
ethiopian-siljo	ethiopian	Siljo	Beverage	-500	null
ethiopian-katikala	ethiopian	Katikala	Side Dish	-500	null
ethiopian-fosolia-with-rice	ethiopian	Fosolia with Rice	Main Dish	-500	null
ethiopian-shahan-ful	ethiopian	Shahan Ful	Stew	-500	null
ethiopian-ful-medames	ethiopian	Ful Medames	Stew	-500	null
ethiopian-asa-goulash	ethiopian	Asa Goulash	Stew	-500	null
ethiopian-tihlo	ethiopian	Tihlo	Dumpling	-500	null
ethiopian-enjera-firfir	ethiopian	Enjera Firfir	Breakfast Dish	-500	null
ethiopian-telba	ethiopian	Telba	Side Dish	-500	null
ethiopian-fafan	ethiopian	Fafan	Porridge	-500	null
ethiopian-pasta-bolognese-ethiopian	ethiopian	Pasta Bolognese Ethiopian	Main Dish	-500	null
ethiopian-maraq	ethiopian	Maraq	Soup	-500	null
ethiopian-shorba	ethiopian	Shorba	Soup	-500	null
ethiopian-suqaar	ethiopian	Suqaar	Stir-Fry	-500	null
french-croissant	french	Croissant	Bread/Pastry	1200	null
french-baguette	french	Baguette	Bread	1200	null
french-coq-au-vin	french	Coq au Vin	Main Dish	1200	null
french-beef-bourguignon	french	Beef Bourguignon	Stew	800	null
french-bouillabaisse	french	Bouillabaisse	Soup/Stew	1200	null
french-ratatouille	french	Ratatouille	Vegetable Dish	1200	null
french-quiche-lorraine	french	Quiche Lorraine	Savory Tart	1200	null
french-crpes	french	Crêpes	Pancake/Dessert	1200	null
french-souffl	french	Soufflé	Dessert/Side	1200	null
french-french-onion-soup	french	French Onion Soup	Soup	800	null
french-foie-gras	french	Foie Gras	Appetizer	1200	null
french-escargots	french	Escargots	Appetizer	1200	null
french-cassoulet	french	Cassoulet	Stew	800	null
french-confit-de-canard	french	Confit de Canard	Main Dish	1200	null
french-magret-de-canard	french	Magret de Canard	Main Dish	1200	null
french-steak-frites	french	Steak Frites	Main Dish	1200	null
french-steak-tartare	french	Steak Tartare	Main Dish	1200	null
french-pot-au-feu	french	Pot-au-Feu	Stew	800	null
french-blanquette-de-veau	french	Blanquette de Veau	Stew	800	null
french-navarin-dagneau	french	Navarin d'Agneau	Stew	800	null
french-gigot-dagneau	french	Gigot d'Agneau	Main Dish	1200	null
french-choucroute-garnie	french	Choucroute Garnie	Main Dish	1200	null
french-raclette	french	Raclette	Main Dish	1200	null
french-fondue-savoyarde	french	Fondue Savoyarde	Main Dish	1200	null
french-tartiflette	french	Tartiflette	Main Dish	1200	null
french-gratin-dauphinois	french	Gratin Dauphinois	Side Dish	1200	null
french-aligot	french	Aligot	Side Dish	1200	null
french-pote	french	Potée	Stew	800	null
french-hachis-parmentier	french	Hachis Parmentier	Main Dish	1200	null
french-brandade-de-morue	french	Brandade de Morue	Main Dish	1200	null
french-moules-marinires	french	Moules Marinières	Main Dish	1200	null
french-moules-frites	french	Moules Frites	Main Dish	1200	null
french-coquilles-saint-jacques	french	Coquilles Saint-Jacques	Main Dish	1200	null
french-sole-meunire	french	Sole Meunière	Main Dish	1200	null
french-truite-aux-amandes	french	Truite aux Amandes	Main Dish	1200	null
french-saumon-loseille	french	Saumon à l'Oseille	Main Dish	1200	null
french-terrine-de-campagne	french	Terrine de Campagne	Appetizer	1200	null
french-pt-en-crote	french	Pâté en Croûte	Appetizer	1200	null
french-rillettes	french	Rillettes	Appetizer	1200	null
french-tapenade	french	Tapenade	Spread/Dip	1200	null
french-anchoade	french	Anchoïade	Spread/Dip	1200	null
french-pistou	french	Pistou	Sauce	1200	null
french-bouillabaisse	french	Bouillabaisse	Soup/Stew	1200	null
french-soupe-de-poisson	french	Soupe de Poisson	Soup	800	null
french-vichyssoise	french	Vichyssoise	Soup	800	null
french-potage-saint-germain	french	Potage Saint-Germain	Soup	800	null
french-velout	french	Velouté	Soup	800	null
french-consomm	french	Consommé	Soup	800	null
french-bisque-de-homard	french	Bisque de Homard	Soup	800	null
french-salade-nioise	french	Salade Niçoise	Salad	1200	null
french-salade-lyonnaise	french	Salade Lyonnaise	Salad	1200	null
french-salade-landaise	french	Salade Landaise	Salad	1200	null
french-crudits	french	Crudités	Appetizer	1200	null
french-gougres	french	Gougères	Appetizer	1200	null
french-vol-au-vent	french	Vol-au-Vent	Appetizer	1200	null
french-bouche-la-reine	french	Bouchée à la Reine	Appetizer	1200	null
french-croque-monsieur	french	Croque Monsieur	Sandwich	1200	null
french-croque-madame	french	Croque Madame	Sandwich	1200	null
french-jambon-beurre	french	Jambon-Beurre	Sandwich	1200	null
french-pain-au-chocolat	french	Pain au Chocolat	Bread/Pastry	1200	null
french-brioche	french	Brioche	Bread	1200	null
french-pain-perdu	french	Pain Perdu	Dessert	1200	null
french-madeleines	french	Madeleines	Dessert	1200	null
french-financiers	french	Financiers	Dessert	1200	null
french-canel	french	Canelé	Dessert	1200	null
french-profiteroles	french	Profiteroles	Dessert	1200	null
french-clair	french	Éclair	Dessert	1200	null
french-religieuse	french	Religieuse	Dessert	1200	null
french-paris-brest	french	Paris-Brest	Dessert	1200	null
french-saint-honor	french	Saint-Honoré	Dessert	1200	null
french-mille-feuille	french	Mille-Feuille	Dessert	1200	null
french-opra-cake	french	Opéra Cake	Dessert	1200	null
french-tarte-tatin	french	Tarte Tatin	Dessert	1200	null
french-tarte-aux-pommes	french	Tarte aux Pommes	Dessert	1200	null
french-tarte-au-citron	french	Tarte au Citron	Dessert	1200	null
french-clafoutis	french	Clafoutis	Dessert	1200	null
french-far-breton	french	Far Breton	Dessert	1200	null
french-kouign-amann	french	Kouign-Amann	Dessert	1200	null
french-galette-des-rois	french	Galette des Rois	Dessert	1200	null
french-bche-de-nol	french	Bûche de Noël	Dessert	1200	null
french-crme-brle	french	Crème Brûlée	Dessert	1200	null
french-crme-caramel	french	Crème Caramel	Dessert	1200	null
french-le-flottante	french	Île Flottante	Dessert	1200	null
french-mousse-au-chocolat	french	Mousse au Chocolat	Dessert	1200	null
french-charlotte	french	Charlotte	Dessert	1200	null
french-bavarois	french	Bavarois	Dessert	1200	null
french-macarons	french	Macarons	Dessert	1200	null
french-calissons	french	Calissons	Candy	1200	null
french-nougat	french	Nougat	Candy	1200	null
french-pralines	french	Pralines	Candy	1200	null
french-drages	french	Dragées	Candy	1200	null
french-pte-de-fruits	french	Pâte de Fruits	Candy	1200	null
french-confiture	french	Confiture	Jam/Preserve	1200	null
french-chvre	french	Chèvre	Cheese	1200	null
french-camembert	french	Camembert	Cheese	1200	null
french-roquefort	french	Roquefort	Cheese	1200	null
french-comt	french	Comté	Cheese	1200	null
french-brie	french	Brie	Cheese	1200	null
french-burgundy-wine	french	Burgundy Wine	Beverage	1200	null
french-champagne	french	Champagne	Beverage	1200	null
georgian-khachapuri	georgian	Khachapuri	Bread	-300	null
georgian-khinkali	georgian	Khinkali	Dumpling	-300	null
georgian-lobio	georgian	Lobio	Stew	-300	null
georgian-badrijani	georgian	Badrijani	Appetizer	-300	null
georgian-pkhali	georgian	Pkhali	Appetizer	-300	null
georgian-chakapuli	georgian	Chakapuli	Stew	-300	null
georgian-chakhokhbili	georgian	Chakhokhbili	Stew	-300	null
georgian-kharcho	georgian	Kharcho	Soup	-300	null
georgian-chikhirtma	georgian	Chikhirtma	Soup	-300	null
georgian-satsivi	georgian	Satsivi	Sauce/Main	-300	null
georgian-chashushuli	georgian	Chashushuli	Stew	-300	null
georgian-mtsvadi	georgian	Mtsvadi	Grilled Meat	-300	null
georgian-kupati	georgian	Kupati	Sausage	-300	null
georgian-churchkhela	georgian	Churchkhela	Candy	-300	null
georgian-elarji	georgian	Elarji	Porridge	-300	null
georgian-sulguni	georgian	Sulguni	Cheese	-300	null
georgian-imeruli-khachapuri	georgian	Imeruli Khachapuri	Bread	-300	null
georgian-ajaruli-khachapuri	georgian	Ajaruli Khachapuri	Bread	-300	null
georgian-megruli-khachapuri	georgian	Megruli Khachapuri	Bread	-300	null
georgian-achma	georgian	Achma	Savory Pie	-300	null
georgian-gebzhalia	georgian	Gebzhalia	Cheese Dish	-300	null
georgian-nadughi	georgian	Nadughi	Cheese Spread	-300	null
georgian-kuchmachi	georgian	Kuchmachi	Appetizer	-300	null
georgian-shkmeruli	georgian	Shkmeruli	Main Dish	-300	null
georgian-ojakhuri	georgian	Ojakhuri	Stir-Fry	-300	null
georgian-khashi	georgian	Khashi	Soup	-300	null
georgian-borano	georgian	Borano	Main Dish	-300	null
georgian-chirbuli	georgian	Chirbuli	Egg Dish	-300	null
georgian-ajapsandali	georgian	Ajapsandali	Vegetable Stew	-300	null
georgian-jonjoli	georgian	Jonjoli	Pickle	-300	null
georgian-tkemali	georgian	Tkemali	Sauce	-300	null
georgian-ajika	georgian	Ajika	Sauce	-300	null
georgian-satsebeli	georgian	Satsebeli	Sauce	-300	null
georgian-bazhe	georgian	Bazhe	Sauce	-300	null
georgian-khmeli-suneli	georgian	Khmeli Suneli	Spice Mix	-300	null
georgian-mchadi	georgian	Mchadi	Cornbread	-300	null
georgian-shotis-puri	georgian	Shotis Puri	Bread	-300	null
georgian-tonis-puri	georgian	Tonis Puri	Bread	-300	null
georgian-lavashi	georgian	Lavashi	Bread	-300	null
georgian-nazuki	georgian	Nazuki	Sweet Bread	-300	null
georgian-kada	georgian	Kada	Sweet Bread	-300	null
georgian-gozinaki	georgian	Gozinaki	Dessert	-300	null
georgian-pelamushi	georgian	Pelamushi	Dessert	-300	null
georgian-tklapi	georgian	Tklapi	Fruit Leather	-300	null
georgian-murabba	georgian	Murabba	Preserve	-300	null
georgian-matsoni	georgian	Matsoni	Yogurt	-300	null
georgian-borjomi	georgian	Borjomi	Beverage	-300	null
georgian-tarragon-soda	georgian	Tarragon Soda	Beverage	-300	null
georgian-lagidze	georgian	Lagidze	Beverage	-300	null
georgian-georgian-wine	georgian	Georgian Wine	Beverage	-300	null
georgian-saperavi-wine	georgian	Saperavi Wine	Beverage	-300	null
georgian-rkatsiteli-wine	georgian	Rkatsiteli Wine	Beverage	-300	null
georgian-qvevri-wine	georgian	Qvevri Wine	Beverage	-300	null
georgian-chacha	georgian	Chacha	Beverage	-300	null
georgian-kindzmarauli	georgian	Kindzmarauli	Beverage	-300	null
georgian-khvanchkara	georgian	Khvanchkara	Beverage	-300	null
georgian-chiri	georgian	Chiri	Dried Fruit	-300	null
georgian-tapa	georgian	Tapa	Dried Beef	-300	null
georgian-bastourma	georgian	Bastourma	Cured Meat	-300	null
georgian-sudjuk	georgian	Sudjuk	Sausage	-300	null
georgian-kababi	georgian	Kababi	Grilled Meat	-300	null
georgian-lori	georgian	Lori	Cheese	-300	null
georgian-dambal-khacho	georgian	Dambal-Khacho	Cheese	-300	null
georgian-tenili	georgian	Tenili	Cheese	-300	null
georgian-kalti	georgian	Kalti	Cheese	-300	null
georgian-guda	georgian	Guda	Cheese	-300	null
georgian-meskhuri-guda	georgian	Meskhuri Guda	Cheese	-300	null
georgian-tushuri-guda	georgian	Tushuri Guda	Cheese	-300	null
georgian-kartuli-guda	georgian	Kartuli Guda	Cheese	-300	null
georgian-imeruli	georgian	Imeruli	Cheese	-300	null
georgian-kobi	georgian	Kobi	Cabbage Dish	-300	null
georgian-nigvziani-badrijani	georgian	Nigvziani Badrijani	Appetizer	-300	null
georgian-lobiani	georgian	Lobiani	Bread	-300	null
georgian-kubdari	georgian	Kubdari	Bread	-300	null
georgian-mkhlovani	georgian	Mkhlovani	Bread	-300	null
georgian-chvishtari	georgian	Chvishtari	Cornbread	-300	null
georgian-karalashvili	georgian	Karalashvili	Bread	-300	null
georgian-shishbarak	georgian	Shishbarak	Dumpling	-300	null
georgian-tolma	georgian	Tolma	Stuffed Vegetable	-300	null
georgian-kartvlebi	georgian	Kartvlebi	Dish	-300	null
georgian-kupati-sadzlari	georgian	Kupati Sadzlari	Sausage	-300	null
georgian-qababi	georgian	Qababi	Grilled Meat	-300	null
georgian-abkhazura	georgian	Abkhazura	Stew	-300	null
georgian-khorkhali	georgian	Khorkhali	Stew	-300	null
georgian-elarji-with-sulguni	georgian	Elarji with Sulguni	Main Dish	-300	null
georgian-mujuji	georgian	Mujuji	Dish	-300	null
georgian-soko-ketsze	georgian	Soko Ketsze	Appetizer	-300	null
georgian-lobio-nigvzit	georgian	Lobio Nigvzit	Stew	-300	null
georgian-spinach-pkhali	georgian	Spinach Pkhali	Appetizer	-300	null
georgian-beet-pkhali	georgian	Beet Pkhali	Appetizer	-300	null
georgian-eggplant-with-walnuts	georgian	Eggplant with Walnuts	Appetizer	-300	null
georgian-khachapuri-with-egg	georgian	Khachapuri with Egg	Bread	-300	null
georgian-adjaruli-with-butter	georgian	Adjaruli with Butter	Bread	-300	null
georgian-penovani-khachapuri	georgian	Penovani Khachapuri	Bread	-300	null
georgian-megruli-with-double-cheese	georgian	Megruli with Double Cheese	Bread	-300	null
georgian-kveri-bread	georgian	Kveri Bread	Bread	-300	null
georgian-acharuli-khachapuri	georgian	Acharuli Khachapuri	Bread	-300	null
georgian-imeretian-khachapuri	georgian	Imeretian Khachapuri	Bread	-300	null
georgian-tklapi-fruit-roll	georgian	Tklapi Fruit Roll	Snack	-300	null
georgian-churchkhela-walnut	georgian	Churchkhela Walnut	Candy	-300	null
german-bratwurst	german	Bratwurst	Sausage	1200	null
german-schnitzel	german	Schnitzel	Main Dish	1200	null
german-sauerkraut	german	Sauerkraut	Side Dish	1200	null
german-pretzels-brezeln	german	Pretzels (Brezeln)	Bread	1200	null
german-currywurst	german	Currywurst	Street Food	1200	null
german-sptzle	german	Spätzle	Side Dish	1200	null
german-sauerbraten	german	Sauerbraten	Main Dish	1200	null
german-rouladen	german	Rouladen	Main Dish	1200	null
german-kartoffelpuffer	german	Kartoffelpuffer	Side Dish	1200	null
german-schweinshaxe	german	Schweinshaxe	Main Dish	1200	null
german-weisswurst	german	Weisswurst	Sausage	1200	null
german-leberkse	german	Leberkäse	Meat Loaf	1200	null
german-kassler	german	Kassler	Main Dish	1200	null
german-eisbein	german	Eisbein	Main Dish	1200	null
german-maultaschen	german	Maultaschen	Dumpling	1200	null
german-knigsberger-klopse	german	Königsberger Klopse	Main Dish	1200	null
german-schwarzwlder-kirschtorte	german	Schwarzwälder Kirschtorte	Dessert	1200	null
german-stollen	german	Stollen	Dessert	1200	null
german-apple-strudel	german	Apple Strudel	Dessert	1200	null
german-dampfnudel	german	Dampfnudel	Dessert	1200	null
german-kndel	german	Knödel	Side Dish	1200	null
german-semmelkndel	german	Semmelknödel	Side Dish	1200	null
german-kartoffelkndel	german	Kartoffelknödel	Side Dish	1200	null
german-rotkohl	german	Rotkohl	Side Dish	1200	null
german-gulasch	german	Gulasch	Stew	800	null
german-goulash-soup	german	Goulash Soup	Soup	800	null
