id	name	motif_type	atu_index	description	examples	associated_religion_ids	associated_deity_ids	geographic_distribution	time_depth	sources	wikidata_qid	source_url	retrieved_at	confidence
theft-of-fire	Theft of Fire	culture-hero	A1410	Fire or a vital resource is stolen from the gods and given to humanity	[{"culture":"Greek","narrative":"Prometheus steals fire from Olympus"},{"culture":"Polynesian","narrative":"Maui captures fire from Mahuika"},{"culture":"Cherokee","narrative":"Grandmother Spider steals fire from the sun"},{"culture":"Norse","narrative":"Loki brings fire and cunning to humans"}]	["ancient-greek-religion","norse-religion"]	["loki","hermes"]	["Global"]	-10000	["Frazer Myths of the Origin of Fire","Stith Thompson A1410"]				
earth-diver	Earth Diver Creation	creation	A810	An animal dives beneath primordial waters to bring up earth for creation	[{"culture":"Finno-Ugric","narrative":"Bird dives for mud to create land"},{"culture":"Iroquois","narrative":"Animals dive for Sky Woman to create earth"},{"culture":"Siberian","narrative":"Duck brings mud from ocean floor"},{"culture":"Hindu","narrative":"Varaha (Vishnu's boar avatar) lifts earth from waters"}]	["hinduism","tengrism"]	["vishnu"]	["Northern Eurasia","North America"]	-15000	["Stith Thompson A810","Count 1952"]				
world-ages	Successive World Ages	cosmology	null	The world is destroyed and remade through multiple cycles or ages	[{"culture":"Hindu","narrative":"Four Yugas cycling from golden to dark age"},{"culture":"Aztec","narrative":"Five Suns - each world destroyed differently"},{"culture":"Greek","narrative":"Golden, Silver, Bronze, Heroic, Iron ages"},{"culture":"Maya","narrative":"Multiple creations and destructions in Popol Vuh"}]	["hinduism","ancient-greek-religion","maya-religion"]	["vishnu","shiva","quetzalcoatl"]	["Indo-European","Mesoamerican","South Asian"]	-3000	["Hesiod Works and Days","Popol Vuh"]				
divine-kingship	Sacred/Divine Kingship	cosmology	null	The ruler derives authority from divine descent or cosmic mandate	[{"culture":"Egyptian","narrative":"Pharaoh as living Horus, son of Ra"},{"culture":"Japanese","narrative":"Emperor descended from Amaterasu"},{"culture":"Inca","narrative":"Sapa Inca as son of Inti"},{"culture":"Norse","narrative":"Yngling dynasty from Freyr"}]	["ancient-egyptian","shinto","inca-religion","norse-religion"]	["ra","horus","amaterasu","inti","freya"]	["Global"]	-3000	["Frazer Golden Bough","Frankfort 1948"]				
shapeshifting	Shapeshifting / Transformation	archetype	D0	A being changes its physical form, often to deceive, escape, or test	[{"culture":"Norse","narrative":"Loki transforms into mare, salmon, fly"},{"culture":"Greek","narrative":"Zeus takes many forms to pursue lovers"},{"culture":"Hindu","narrative":"Vishnu's ten avatars across cosmic ages"},{"culture":"Yoruba","narrative":"Eshu changes form at will"},{"culture":"Celtic","narrative":"Morrigan shifts between crow, wolf, and woman"}]	["norse-religion","ancient-greek-religion","hinduism","animism-west-african","celtic-religion"]	["loki","zeus","vishnu","eshu","morrigan"]	["Global"]	-5000	["Stith Thompson D0","Bynum 1978"]				
mother-earth	Mother Earth / Earth Goddess	archetype	A400	The earth is personified as a nurturing mother goddess	[{"culture":"Greek","narrative":"Gaia - primordial earth mother"},{"culture":"Inca","narrative":"Pachamama - living earth goddess"},{"culture":"Hindu","narrative":"Prithvi - earth goddess in the Vedas"},{"culture":"Norse","narrative":"Jord - Thor's mother, personified earth"}]	["ancient-greek-religion","inca-religion","hinduism","norse-religion"]	["pachamama","demeter","durga","frigg"]	["Global"]	-10000	["Gimbutas 1989","Stith Thompson A400"]				
afterlife-judgment	Judgment of the Dead	death-rebirth	null	The dead face judgment determining their fate in the afterlife	[{"culture":"Egyptian","narrative":"Weighing of the heart against Ma'at's feather"},{"culture":"Greek","narrative":"Three judges of the underworld"},{"culture":"Hindu","narrative":"Yama judges souls by their karma"},{"culture":"Norse","narrative":"Warriors chosen for Valhalla or sent to Hel"}]	["ancient-egyptian","ancient-greek-religion","hinduism","norse-religion"]	["osiris","anubis","hades","yama","odin"]	["Global"]	-3000	["Book of the Dead","Stith Thompson"]				
primordial-chaos	Primordial Chaos / Void	creation	A600	The universe begins from a formless void, chaos, or darkness	[{"culture":"Greek","narrative":"Chaos as the first thing to exist"},{"culture":"Norse","narrative":"Ginnungagap - the yawning void"},{"culture":"Egyptian","narrative":"Nun - primordial waters of chaos"},{"culture":"Sumerian","narrative":"Nammu - primeval sea before creation"},{"culture":"Japanese","narrative":"Formless chaos before Izanagi and Izanami"}]	["ancient-greek-religion","norse-religion","ancient-egyptian","shinto"]	["odin","ra","enlil","amaterasu"]	["Global"]	-5000	["Stith Thompson A600","Eliade"]				
culture-hero	The Culture Hero	culture-hero	null	A figure teaches humanity essential skills - fire, agriculture, writing, law	[{"culture":"Greek","narrative":"Prometheus brings fire and civilization"},{"culture":"Aztec","narrative":"Quetzalcoatl gives maize, calendar, arts"},{"culture":"Egyptian","narrative":"Thoth invents writing and knowledge"},{"culture":"Chinese","narrative":"Fuxi teaches fishing, hunting, and writing"}]	["ancient-greek-religion","ancient-egyptian"]	["quetzalcoatl","thoth","lugh","enki"]	["Global"]	-5000	["Stith Thompson","Leeming 2005"]				
sacred-marriage	Sacred Marriage / Hieros Gamos	fertility	null	A divine or ritual marriage that ensures cosmic fertility and order	[{"culture":"Sumerian","narrative":"Inanna and Dumuzi's sacred union"},{"culture":"Hindu","narrative":"Shiva and Parvati's cosmic marriage"},{"culture":"Greek","narrative":"Zeus and Hera's divine marriage"},{"culture":"Egyptian","narrative":"Osiris and Isis's union restores order"}]	["hinduism","ancient-greek-religion","ancient-egyptian"]	["inanna","shiva","zeus","hera","osiris","isis"]	["Near East","Mediterranean","South Asia"]	-4000	["Frazer Golden Bough","Kramer 1969"]				
world-destruction	End of the World / Apocalypse	cataclysm	A1000	A prophesied or cyclical destruction of the world	[{"culture":"Norse","narrative":"Ragnarök - twilight of the gods"},{"culture":"Hindu","narrative":"Kalki destroys the world at end of Kali Yuga"},{"culture":"Aztec","narrative":"Each Sun age ends in catastrophe"},{"culture":"Zoroastrian","narrative":"Frashokereti - final renovation of the world"}]	["norse-religion","hinduism","zoroastrianism"]	["odin","thor","shiva","vishnu"]	["Indo-European","Mesoamerican"]	-3000	["Prose Edda","Bhagavata Purana"]				
animal-ancestor	Animal Ancestor / Totem	creation	A1200	Humans or clans descend from or are created by animals	[{"culture":"Aboriginal","narrative":"Dreamtime beings create humans in animal form"},{"culture":"Yoruba","narrative":"Sacred animals as manifestations of Orishas"},{"culture":"Native American","narrative":"Clan totems linking families to animal spirits"},{"culture":"Shinto","narrative":"Kami inhabiting foxes, deer, and other animals"}]	["dreamtime","animism-west-african","shinto"]	["inari","ogun","amaterasu"]	["Global"]	-40000	["Lévi-Strauss 1962","Stith Thompson A1200"]				
cosmic-battle	The Cosmic Battle	cataclysm	null	A great battle between forces of order and chaos determines the fate of the world	[{"culture":"Norse","narrative":"Aesir vs Giants at Ragnarök"},{"culture":"Hindu","narrative":"Devas vs Asuras for cosmic order"},{"culture":"Zoroastrian","narrative":"Ahura Mazda vs Angra Mainyu"},{"culture":"Egyptian","narrative":"Ra battles Apophis nightly"},{"culture":"Slavic","narrative":"Perun battles Veles cyclically"}]	["norse-religion","hinduism","zoroastrianism","ancient-egyptian"]	["odin","thor","indra","ra","perun","veles"]	["Indo-European","Near East"]	-3000	["Lincoln 1986","Stith Thompson"]				
wisdom-quest	The Quest for Wisdom	hero	null	A deity or hero sacrifices something precious to gain knowledge	[{"culture":"Norse","narrative":"Odin sacrifices his eye at Mimir's well"},{"culture":"Greek","narrative":"Odysseus chooses knowledge over comfort"},{"culture":"Hindu","narrative":"Churning of the Ocean for amrita"},{"culture":"Celtic","narrative":"Finn gains wisdom from Salmon of Knowledge"}]	["norse-religion","ancient-greek-religion","hinduism","celtic-religion"]	["odin","athena","ganesha","lugh"]	["Indo-European"]	-3000	["Prose Edda","Stith Thompson"]				
forbidden-knowledge	Forbidden Knowledge / Taboo	archetype	C300	Breaking a divine prohibition leads to punishment but also progress	[{"culture":"Greek","narrative":"Pandora opens the forbidden jar"},{"culture":"Hebrew","narrative":"Adam and Eve eat from Tree of Knowledge"},{"culture":"Sumerian","narrative":"Adapa breaks a divine taboo"},{"culture":"Japanese","narrative":"Izanagi looks back at Izanami in the underworld"}]	["ancient-greek-religion","judaism","christianity","shinto"]	["zeus","enki","amaterasu"]	["Global"]	-5000	["Stith Thompson C300","Eliade"]				
fertility-sacrifice	Sacrifice for Fertility	fertility	null	A ritual or divine sacrifice is needed to renew the earth's fertility	[{"culture":"Aztec","narrative":"Blood sacrifice to keep the Fifth Sun alive"},{"culture":"Norse","narrative":"Sacrifice at Uppsala for good harvests"},{"culture":"Greek","narrative":"Persephone's annual descent renews seasons"},{"culture":"Celtic","narrative":"Seasonal sacrifices at Samhain and Beltane"}]	["norse-religion","ancient-greek-religion","celtic-religion"]	["demeter","freya","tlaloc","quetzalcoatl"]	["Global"]	-5000	["Frazer Golden Bough","Stith Thompson"]				
sun-moon-origin	Origin of Sun and Moon	creation	A700	Myths explaining how the sun and moon came to exist in the sky	[{"culture":"Japanese","narrative":"Amaterasu (sun) and Tsukuyomi (moon) born from Izanagi"},{"culture":"Norse","narrative":"Sun and Moon chased across sky by wolves"},{"culture":"Inca","narrative":"Inti and Mama Quilla placed in sky by Viracocha"},{"culture":"Egyptian","narrative":"Ra sails across the sky as the sun"}]	["shinto","norse-religion","inca-religion","ancient-egyptian"]	["amaterasu","tsukuyomi","ra","inti","mama-quilla"]	["Global"]	-10000	["Stith Thompson A700","Eliade"]				
smith-god	The Divine Smith	culture-hero	null	A deity of the forge creates divine weapons, tools, or the world itself	[{"culture":"Greek","narrative":"Hephaestus forges weapons for the gods"},{"culture":"Yoruba","narrative":"Ogun as divine blacksmith and civilizer"},{"culture":"Celtic","narrative":"Goibniu the divine smith of the Tuatha Dé"},{"culture":"Hindu","narrative":"Vishvakarma - architect and smith of the gods"}]	["ancient-greek-religion","animism-west-african","celtic-religion","hinduism"]	["hephaestus","ogun","lugh"]	["Global"]	-5000	["Eliade The Forge and the Crucible","Stith Thompson"]				
world-serpent	The World Serpent / Cosmic Serpent	cosmology	null	A great serpent encircles or supports the world	[{"culture":"Norse","narrative":"Jormungandr encircles Midgard"},{"culture":"Hindu","narrative":"Shesha/Ananta holds up the world"},{"culture":"Egyptian","narrative":"Apophis threatens cosmic order nightly"},{"culture":"Aztec","narrative":"Coatlicue - serpent-skirted earth goddess"},{"culture":"Aboriginal","narrative":"Rainbow Serpent shapes the landscape"}]	["norse-religion","hinduism","ancient-egyptian","dreamtime"]	["thor","vishnu","ra"]	["Global"]	-10000	["Mundkur 1983","Stith Thompson"]				
soul-journey	Journey of the Soul After Death	death-rebirth	null	The soul travels through trials or realms after death before reaching its destination	[{"culture":"Egyptian","narrative":"Soul navigates twelve gates of the Duat"},{"culture":"Greek","narrative":"Charon ferries souls across the River Styx"},{"culture":"Hindu","narrative":"Soul transmigrates through reincarnation"},{"culture":"Norse","narrative":"Valkyries choose slain warriors for Valhalla"}]	["ancient-egyptian","ancient-greek-religion","hinduism","norse-religion"]	["osiris","anubis","hades","yama","odin"]	["Global"]	-5000	["Book of the Dead","Stith Thompson"]				
creation-from-body	Creation from Dismembered Body	creation	A600	The world is made from the body parts of a slain primordial being	[{"culture":"Norse","narrative":"World made from Ymir's body - skull as sky, blood as sea"},{"culture":"Hindu","narrative":"Purusha sacrificed - body becomes cosmos"},{"culture":"Babylonian","narrative":"Marduk splits Tiamat to form heaven and earth"},{"culture":"Chinese","narrative":"Pangu's body becomes mountains, rivers, sky"}]	["norse-religion","hinduism"]	["odin","brahma"]	["Indo-European","East Asian","Near East"]	-3000	["Lincoln 1986","Stith Thompson A600"]				
divine-punishment	Divine Punishment / Hubris	archetype	Q200	Gods punish mortals for overstepping boundaries or showing excessive pride	[{"culture":"Greek","narrative":"Prometheus chained for stealing fire; Icarus falls"},{"culture":"Hindu","narrative":"Ravana destroyed for his arrogance"},{"culture":"Norse","narrative":"Loki bound with serpent venom"},{"culture":"Hebrew","narrative":"Tower of Babel scattered for reaching heaven"}]	["ancient-greek-religion","hinduism","norse-religion","judaism"]	["zeus","vishnu","odin","loki"]	["Global"]	-3000	["Stith Thompson Q200","Aeschylus"]				
axis-mundi	Axis Mundi	cosmology		A world centre or cosmic axis — mountain, pillar, or tree — connecting sky, earth, and underworld and orienting sacred space.				["Global"]	-3000	["Wikidata","Stith Thompson Motif-Index"]	Q1421259	http://www.wikidata.org/entity/Q1421259	2026-07-08T00:00:00Z	0.8
basilisk	The Basilisk	creature		A legendary reptile called the king of serpents, whose lethal gaze and venom made it a lethal-glance motif of European mythology.				["Mediterranean","Europe"]	-100	["Wikidata","Stith Thompson Motif-Index"]	Q152519	http://www.wikidata.org/entity/Q152519	2026-07-08T00:00:00Z	0.8
changeling	The Changeling	creature		A fairy or spirit substituted for a human infant, explaining sudden change in a child and prompting rituals to recover the stolen original.				["Europe"]	800	["Wikidata","Stith Thompson Motif-Index"]	Q1127246	http://www.wikidata.org/entity/Q1127246	2026-07-08T00:00:00Z	0.8
cockatrice	The Cockatrice	creature		A serpentine beast said to kill with a glance or breath, hatched from a cock's egg — a lethal-gaze motif of European bestiaries.				["Europe"]	1200	["Wikidata","Stith Thompson Motif-Index"]	Q1371084	http://www.wikidata.org/entity/Q1371084	2026-07-08T00:00:00Z	0.8
cornucopia	The Cornucopia	object		The horn of plenty overflowing with produce, a classical symbol of inexhaustible abundance and nourishment.				["Mediterranean"]	-700	["Wikidata","Stith Thompson Motif-Index"]	Q332682	http://www.wikidata.org/entity/Q332682	2026-07-08T00:00:00Z	0.8
cosmic-ocean	The Cosmic Ocean	cosmology		A primeval sea of formless water from which the ordered world emerges, a widespread creation setting preceding the making of land and sky.				["Global"]	-2500	["Wikidata","Stith Thompson Motif-Index"]	Q5174141	http://www.wikidata.org/entity/Q5174141	2026-07-08T00:00:00Z	0.8
doppelganger	The Doppelgänger	double		A ghostly or supernatural double of a living person, whose appearance is often an omen of misfortune or death.				["Europe"]	1500	["Wikidata","Stith Thompson Motif-Index"]	Q461363	http://www.wikidata.org/entity/Q461363	2026-07-08T00:00:00Z	0.8
evil-eye	The Evil Eye	curse		A malevolent glare believed to cause misfortune, illness, or death, warded off by amulets and gestures across the Mediterranean and beyond.				["Mediterranean","Near East","South Asia"]	-2000	["Wikidata","Stith Thompson Motif-Index"]	Q1020115	http://www.wikidata.org/entity/Q1020115	2026-07-08T00:00:00Z	0.8
fountain-of-youth	Fountain of Youth	object		A magical spring or water that restores youth and health to those who drink from or bathe in it, sought by heroes and explorers across many traditions.				["Global"]	-500	["Wikidata","Stith Thompson Motif-Index"]	Q775332	http://www.wikidata.org/entity/Q775332	2026-07-08T00:00:00Z	0.8
golem	The Golem	creature		An animated anthropomorphic being formed from clay and brought to life by sacred words, protector and cautionary figure of Jewish folklore.				["Central Europe","Near East"]	1200	["Wikidata","Stith Thompson Motif-Index"]	Q215085	http://www.wikidata.org/entity/Q215085	2026-07-08T00:00:00Z	0.8
green-man	The Green Man	nature		A face formed of or surrounded by foliage, symbolising vegetative rebirth and the cycle of the seasons in art and folklore.				["Europe","Near East"]	100	["Wikidata","Stith Thompson Motif-Index"]	Q1460159	http://www.wikidata.org/entity/Q1460159	2026-07-08T00:00:00Z	0.8
griffin	The Griffin	creature		A composite guardian beast with a lion's body and an eagle's head and wings, protector of treasure across Near Eastern and classical art.				["Near East","Mediterranean"]	-3000	["Wikidata","Stith Thompson Motif-Index"]	Q130223	http://www.wikidata.org/entity/Q130223	2026-07-08T00:00:00Z	0.8
holy-grail	The Holy Grail	quest		A sacred vessel with miraculous powers whose pursuit structures the Arthurian quest, blending Christian relic and older cauldron-of-plenty motifs.				["Western Europe"]	1100	["Wikidata","Stith Thompson Motif-Index"]	Q162808	http://www.wikidata.org/entity/Q162808	2026-07-08T00:00:00Z	0.8
jinn	The Jinn	spirit		Supernatural spirits of smokeless fire inhabiting a parallel world, capable of aiding or harming humans, central to Arabian and Islamic lore.				["Near East","North Africa"]	-500	["Wikidata","Stith Thompson Motif-Index"]	Q3465	http://www.wikidata.org/entity/Q3465	2026-07-08T00:00:00Z	0.8
kraken	The Kraken	creature		A colossal sea monster of the northern seas capable of dragging ships beneath the waves, a maritime terror of Scandinavian folklore.				["Northern Europe"]	1200	["Wikidata","Stith Thompson Motif-Index"]	Q193165	http://www.wikidata.org/entity/Q193165	2026-07-08T00:00:00Z	0.8
land-of-cockaigne	Land of Cockaigne	place		A mythical land of ease and plenty where food is abundant and labour needless, an inverted-world motif of medieval and later folklore.				["Europe"]	1100	["Wikidata","Stith Thompson Motif-Index"]	Q6645	http://www.wikidata.org/entity/Q6645	2026-07-08T00:00:00Z	0.8
leviathan	Leviathan	creature		A vast primordial sea monster embodying chaos, subdued or slain by a deity — a Near Eastern chaoskampf motif echoed across cultures.				["Near East"]	-1200	["Wikidata","Stith Thompson Motif-Index"]	Q192677	http://www.wikidata.org/entity/Q192677	2026-07-08T00:00:00Z	0.8
magic-carpet	The Magic Carpet	object		An enchanted carpet that flies its rider to distant places instantly, a magical-transport motif prominent in Near Eastern tales.				["Near East"]	800	["Wikidata","Stith Thompson Motif-Index"]	Q740881	http://www.wikidata.org/entity/Q740881	2026-07-08T00:00:00Z	0.8
magic-cauldron	The Magic Cauldron	object		A vessel of endless plenty, rebirth, or wisdom — reviving the dead or never emptying — a Celtic and wider Indo-European motif.				["Western Europe"]	-500	["Wikidata","Stith Thompson Motif-Index"]	Q115833959	http://www.wikidata.org/entity/Q115833959	2026-07-08T00:00:00Z	0.8
mermaid-motif	The Mermaid	creature		A being with a woman's upper body and a fish's tail, luring or aiding sailors, found in coastal mythologies around the world.				["Global"]	-1000	["Wikidata","Stith Thompson Motif-Index"]	Q182559	http://www.wikidata.org/entity/Q182559	2026-07-08T00:00:00Z	0.8
ouroboros	Ouroboros	symbol		A serpent or dragon devouring its own tail, symbolising cyclic eternity, renewal, and the unity of beginning and end.				["Egypt","Eurasia"]	-1300	["Wikidata","Stith Thompson Motif-Index"]	Q237970	http://www.wikidata.org/entity/Q237970	2026-07-08T00:00:00Z	0.8
philosophers-stone	The Philosopher's Stone	alchemy		A legendary alchemical substance able to transmute base metals into gold and confer immortality, the central goal of alchemical mythology.				["Eurasia","North Africa"]	300	["Wikidata","Stith Thompson Motif-Index"]	Q182053	http://www.wikidata.org/entity/Q182053	2026-07-08T00:00:00Z	0.8
seven-league-boots	Seven-League Boots	object		Enchanted boots that allow the wearer to stride seven leagues at a step, a common magical-transport object in European fairy tales.				["Europe"]	1600	["Wikidata","Stith Thompson Motif-Index"]	Q2282444	http://www.wikidata.org/entity/Q2282444	2026-07-08T00:00:00Z	0.8
swan-maiden	The Swan Maiden	transformation		A shapeshifting woman who can take the form of a swan (or other bird) and is bound to a mortal husband when he hides her feather garment.				["Eurasia"]	-1000	["Wikidata","Stith Thompson Motif-Index"]	Q1326754	http://www.wikidata.org/entity/Q1326754	2026-07-08T00:00:00Z	0.8
therianthropy	Therianthropy	transformation		The mythological ability of humans to metamorphose into animals, encompassing werewolves and other were-creatures across world folklore.				["Global"]	-3000	["Wikidata","Stith Thompson Motif-Index"]	Q1149649	http://www.wikidata.org/entity/Q1149649	2026-07-08T00:00:00Z	0.8
tower-of-babel	Tower of Babel	origin		A unified humanity building a tower to heaven is scattered when a deity confounds their single language into many, explaining linguistic diversity and punishing hubris.				["Near East","Mediterranean"]	-600	["Wikidata","Stith Thompson Motif-Index"]	Q41213	http://www.wikidata.org/entity/Q41213	2026-07-08T00:00:00Z	0.8
unicorn	The Unicorn	creature		A horse-like beast with a single spiralling horn, emblem of purity whose horn was believed to neutralise poison.				["Eurasia"]	-400	["Wikidata","Stith Thompson Motif-Index"]	Q7246	http://www.wikidata.org/entity/Q7246	2026-07-08T00:00:00Z	0.8
vagina-dentata	Vagina Dentata	taboo		A motif of a toothed vagina posing danger to men, expressing anxieties about sexuality and requiring a hero to render it harmless.				["Global"]	-1000	["Wikidata","Stith Thompson Motif-Index"]	Q1123830	http://www.wikidata.org/entity/Q1123830	2026-07-08T00:00:00Z	0.8
wild-hunt	The Wild Hunt	spectral		A ghostly procession of huntsmen, hounds, and spirits sweeping across the night sky, an omen of catastrophe or death in northern European folklore.				["Northern Europe"]	500	["Wikidata","Stith Thompson Motif-Index"]	Q841437	http://www.wikidata.org/entity/Q841437	2026-07-08T00:00:00Z	0.8
