id	name	route_type	waypoints	start_date	end_date	traded_goods	key_cities	controlling_powers	associated_languages	description	economic_impact	wikidata_qid	source_url	retrieved_at	confidence	sources
tr-019	Tin Route	maritime	{"type":"LineString","coordinates":[[-5.05,50.27],[-5,48],[-4,47],[-3,46],[-2,45],[0,44],[2,43],[5,42],[8,40],[10,38],[12,37],[15,36]]}	-2000	-500	["tg-008","tg-009","tg-007"]	["Cornwall","Ictis","Tartessos","Massalia","Carthage"]	["Phoenicia","Greek colonies","Tartessos"]	["cor","grc","lat","phn"]	Maritime route carrying Cornish tin from Britain through the Bay of Biscay and along the Atlantic coast to Mediterranean bronze-producing centers	Tin was essential for bronze production; Cornwall's tin deposits drove long-distance maritime trade centuries before the Roman era; connected Atlantic Europe to Mediterranean civilizations					
tr-020	King's Highway	land	{"type":"LineString","coordinates":[[35.48,31.50],[35.5,31],[35.8,30.5],[35.9,30],[35.5,29.5],[35.4,29],[36,28],[37,27],[38,26],[39.5,24],[40,22]]}	-3000	700	["tg-011","tg-012","tg-025","tg-014"]	["Heliopolis","Damascus","Amman","Petra","Aqaba"]	["Egyptian Empire","Nabataean Kingdom","Roman Empire"]	["arb","heb","grc","lat","akk"]	Ancient highway running from Egypt through the Levant to Mesopotamia, one of the oldest continuously used trade roads in the world	Referenced in the Hebrew Bible; vital artery connecting Egyptian, Levantine, and Mesopotamian economies; intersected with the Incense Route at Petra					
tr-021	Dutch VOC Spice Network	maritime	{"type":"LineString","coordinates":[[4.90,52.37],[0,50],[-10,45],[-15,35],[0,0],[18,-34],[40,-15],[55,10],[73,15],[80,6],[100,3],[103,1],[106,-6],[112,-7],[127,-0.5]]}	1602	1799	["tg-004","tg-005","tg-002","tg-003","tg-016","tg-021","tg-029","tg-043"]	["Amsterdam","Cape Town","Batavia","Malacca","Banda Islands","Ternate","Colombo"]	["Dutch VOC"]	["nld","msa","jav","sin","tam"]	Dutch East India Company's global maritime network monopolizing spice trade from Southeast Asia to European markets via the Cape of Good Hope	VOC was world's first multinational corporation; peak market cap equivalent to $7.9 trillion; monopolized nutmeg and clove trade through military force; established colonial control across Southeast Asia					
tr-022	Salt Road (Via Salaria)	land	{"type":"LineString","coordinates":[[13.23,42.70],[13.5,42.6],[14,42.5],[14.5,42.4],[15,42.3],[15.5,42.2],[16,42.1]]}	-800	400	["tg-014","tg-036"]	["Rome","Reate","Asculum","Castrum Truentinum"]	["Roman Republic","Roman Empire"]	["lat"]	Roman road from Rome to the Adriatic coast, originally built for transporting salt (sal) from coastal salt pans to inland settlements	Roman soldiers were partially paid in salt (origin of "salary"); salt was essential for food preservation; Via Salaria was one of Rome's earliest roads and economic lifelines					
tr-023	Canton Trade System	maritime	{"type":"LineString","coordinates":[[113.26,23.13],[114,22],[115,20],[116,18],[117,15],[115,10],[110,5],[105,2],[100,0],[90,10],[80,10],[70,15],[55,12],[45,15],[35,32],[20,35],[5,45],[-5,50]]}	1757	1842	["tg-015","tg-021","tg-038","tg-001","tg-007"]	["Canton","Macau","Whampoa"]	["Qing Dynasty","British East India Company","Thirteen Factories"]	["yue","cmn","eng","por"]	Restricted Chinese trade system channeling all Western maritime commerce through the single port of Canton (Guangzhou)	Generated enormous customs revenue for Qing Dynasty; tea exports created massive British trade deficit leading to opium trade; trade imbalance triggered Opium Wars that reshaped East Asian geopolitics					
tr-024	Fur Trade Route (North America)	river	{"type":"LineString","coordinates":[[-73.55,45.51],[-75,45],[-79,44],[-83,42],[-87,42],[-90,45],[-92,47],[-95,49],[-100,52],[-105,54],[-110,53]]}	1600	1850	["tg-031"]	["Montreal","Quebec","Fort Detroit","Fort William","York Factory"]	["Hudson's Bay Company","North West Company","French traders"]	["fra","eng","oji","cre"]	River-based fur trade network across northern North America, using canoe routes through the Great Lakes and rivers to connect indigenous trappers with European markets	Drove European exploration and colonization of interior North America; created Metis culture; beaver pelts shaped European fashion; Hudson's Bay Company governed vast territories; indigenous peoples became integrated into global economy					
tr-025	Jade Road	land	{"type":"LineString","coordinates":[[96.48,25.37],[97,24],[98,23],[99,22],[100,22.5],[101,23],[102,24],[103,25],[104,26],[105,27],[108,30],[110,32],[113,34],[116,40]]}	-3000	1900	["tg-024","tg-020"]	["Mogok","Mandalay","Kunming","Chengdu","Luoyang","Beijing"]	["Pyu city-states","Burmese kingdoms","Chinese dynasties"]	["mya","cmn","nan"]	Trade route carrying jade from Myanmar (Burma) mines to China, where jade was valued above gold as the "stone of heaven"	Jade was the most valued material in Chinese civilization; Myanmar's jadeite deposits were world's primary source; trade shaped Sino-Burmese diplomatic relations for millennia					
tr-026	Persian Royal Road	land	{"type":"LineString","coordinates":[[52,37],[48,36],[44,38],[40,39],[35,39],[30,38],[27,38]]}	-500	-330	["royal dispatches","textiles","silver"]	["Susa","Arbela","Sardis"]	["Achaemenid Empire"]	["peo","arc"]	The Achaemenid highway from Susa to Sardis, with relay stations enabling rapid royal courier and caravan travel across the Persian Empire.	Integrated the Persian economy; model for later imperial road systems	Q220796	http://www.wikidata.org/entity/Q220796	2026-07-08T00:00:00Z	0.8	["Wikidata","Wikipedia"]
tr-027	Via Egnatia	land	{"type":"LineString","coordinates":[[19.5,41.3],[21,41],[22.9,40.6],[24.5,40.9],[28.9,41]]}	-146	1400	["grain","wine","slaves","textiles"]	["Dyrrachium","Thessalonica","Constantinople"]	["Roman Republic","Roman Empire","Byzantine Empire"]	["lat","grc"]	The Roman road across the southern Balkans linking the Adriatic to Byzantium, extending the Appian Way eastward.	Principal overland artery between Rome and the East; military and commercial spine of the Balkans	Q273783	http://www.wikidata.org/entity/Q273783	2026-07-08T00:00:00Z	0.8	["Wikidata","Wikipedia"]
tr-028	Via Maris	land	{"type":"LineString","coordinates":[[31,31],[34,31.3],[35,32.7],[36,34],[37,36]]}	-2000	1500	["spices","grain","metals","cedar"]	["Gaza","Megiddo","Damascus"]	["Egypt","Assyria","Rome"]	["egy","arc"]	The coastal 'way of the sea' linking Egypt with the Levant and Mesopotamia, one of the oldest trade and military roads of the Near East.	Connected the great Bronze Age economies; contested by every regional power	Q546068	http://www.wikidata.org/entity/Q546068	2026-07-08T00:00:00Z	0.8	["Wikidata","Wikipedia"]
tr-029	Appian Way	land	{"type":"LineString","coordinates":[[12.5,41.9],[13.2,41.3],[14.8,40.9],[16,40.6],[17.9,40.6]]}	-312	500	["marble","wine","oil","grain"]	["Rome","Capua","Brundisium"]	["Roman Republic","Roman Empire"]	["lat"]	The 'queen of roads' from Rome to Brundisium, Rome's principal southeastern land route to Greece and the East.	Backbone of Roman commercial and military movement in southern Italy	Q189417	http://www.wikidata.org/entity/Q189417	2026-07-08T00:00:00Z	0.8	["Wikidata","Wikipedia"]
tr-030	Steppe Route	land	{"type":"LineString","coordinates":[[35,48],[55,50],[75,50],[95,48],[110,45]]}	-1000	1300	["furs","horses","metalwork","gold"]	["Panticapaeum","Otrar","Karakorum"]	["Scythians","Xiongnu","Mongol Empire"]	[]	The ancient overland corridor across the Eurasian steppe, precursor to the Silk Road, carrying goods between the Black Sea and Mongolia.	Earliest trans-Eurasian exchange; diffusion of metallurgy and horse culture	Q30592581	http://www.wikidata.org/entity/Q30592581	2026-07-08T00:00:00Z	0.8	["Wikidata","Wikipedia"]
tr-031	Manila Galleon Route	maritime	{"type":"LineString","coordinates":[[120.9,14.6],[145,15],[180,25],[-160,30],[-125,35],[-99,19]]}	1565	1815	["silver","silk","porcelain","spices"]	["Manila","Acapulco"]	["Spanish Empire"]	["spa","cmn"]	The Spanish trans-Pacific trade linking Manila to Acapulco, exchanging American silver for Chinese silk and porcelain.	First sustained trans-Pacific trade; funnelled New World silver into the Chinese economy	Q683846	http://www.wikidata.org/entity/Q683846	2026-07-08T00:00:00Z	0.8	["Wikidata","Wikipedia"]
tr-032	El Camino Real de Tierra Adentro	land	{"type":"LineString","coordinates":[[-99.1,19.4],[-100.4,20.6],[-104.9,21.9],[-106.5,31.8],[-106,35.7]]}	1598	1882	["silver","livestock","textiles","hides"]	["Mexico City","Zacatecas","Santa Fe"]	["Spanish Empire","Mexico"]	["spa"]	The royal road of the interior linking Mexico City to the silver-mining north and the New Mexican frontier.	Lifeline of the northern silver economy and Spanish colonisation of the Southwest	Q911953	http://www.wikidata.org/entity/Q911953	2026-07-08T00:00:00Z	0.8	["Wikidata","Wikipedia"]
tr-033	Via Regia	land	{"type":"LineString","coordinates":[[8.7,50],[11,51],[13.7,51.1],[17,51.1],[24,50]]}	1000	1700	["cloth","salt","metal goods","wine"]	["Frankfurt","Leipzig","Wrocław","Kraków"]	["Holy Roman Empire","Poland"]	["deu","pol"]	The medieval 'royal highway' crossing Central Europe from the Rhineland to Silesia and beyond, a protected imperial road.	Principal east-west trade and pilgrimage axis of medieval Central Europe	Q836028	http://www.wikidata.org/entity/Q836028	2026-07-08T00:00:00Z	0.8	["Wikidata","Wikipedia"]
tr-034	Way of the Patriarchs	land	{"type":"LineString","coordinates":[[35.3,32.2],[35.2,31.9],[35.2,31.7],[35.1,31.5]]}	-1800	1500	["grain","wool","oil"]	["Shechem","Jerusalem","Hebron","Beersheba"]	["Judah","Rome"]	["hbo","arc"]	The central ridge route through the highlands of ancient Israel connecting the patriarchal towns from Shechem to Beersheba.	Internal spine of highland Judea's economy and pilgrimage	Q259222	http://www.wikidata.org/entity/Q259222	2026-07-08T00:00:00Z	0.8	["Wikidata","Wikipedia"]
tr-035	Uttarapatha (Northern Road)	land	{"type":"LineString","coordinates":[[91,23],[88,25],[83,25.3],[77,28.6],[72,31],[71,34]]}	-500	1500	["textiles","spices","gems","horses"]	["Pataliputra","Varanasi","Mathura","Taxila"]	["Maurya Empire","Gupta Empire"]	["san","pra"]	The great northern route of ancient India across the Gangetic plain toward the northwest, ancestor of the Grand Trunk Road.	Commercial and cultural artery of northern India; carrier of Buddhism northwestward	Q3321347	http://www.wikidata.org/entity/Q3321347	2026-07-08T00:00:00Z	0.8	["Wikidata","Wikipedia"]
tr-036	Dakshinapatha (Southern Road)	land	{"type":"LineString","coordinates":[[78,25],[77,21],[75,18],[74,16],[77,12]]}	-500	1500	["gems","gold","cotton","spices"]	["Ujjain","Pratishthana","Kanchipuram"]	["Satavahana dynasty","Chalukya"]	["san","tel","tam"]	The southern route of ancient India from the Gangetic north into the Deccan and the Tamil south.	Linked the Deccan and peninsular economies to northern India and the sea trade	Q5210091	http://www.wikidata.org/entity/Q5210091	2026-07-08T00:00:00Z	0.8	["Wikidata","Wikipedia"]
tr-037	Inca Road System (Qhapaq Ñan)	land	{"type":"LineString","coordinates":[[-78.5,-0.2],[-79,-8],[-77,-12],[-72,-13.5],[-68,-16.5],[-70.3,-18]]}	1200	1533	["textiles","maize","coca","metals"]	["Quito","Cajamarca","Cusco","Tiwanaku"]	["Inca Empire"]	["que","ay"]	The vast Andean road network of the Inca Empire, some 40,000 km linking Quito to central Chile via relay runners (chasquis).	Integrated the Andean empire; enabled redistribution of tribute and rapid state communication	Q948975	http://www.wikidata.org/entity/Q948975	2026-07-08T00:00:00Z	0.8	["Wikidata","Wikipedia"]
tr-038	Nakasendō	land	{"type":"LineString","coordinates":[[139.77,35.7],[138.6,36.3],[137.6,36],[136.9,35.4],[135.77,34.98]]}	1600	1868	["rice","silk","lacquerware","tea"]	["Edo","Karuizawa","Nakatsugawa","Kyoto"]	["Tokugawa Shogunate"]	["jpn"]	The inland 'central mountain route' of Edo-period Japan connecting Edo (Tokyo) and Kyoto through the mountains.	One of the Five Routes integrating Tokugawa Japan's post-town commercial economy	Q1154479	http://www.wikidata.org/entity/Q1154479	2026-07-08T00:00:00Z	0.8	["Wikidata","Wikipedia"]
tr-039	Tōkaidō	land	{"type":"LineString","coordinates":[[139.77,35.68],[139.2,35.2],[138.4,34.8],[137,34.75],[135.77,34.98]]}	1600	1868	["rice","textiles","seafood","tea"]	["Edo","Hakone","Nagoya","Kyoto"]	["Tokugawa Shogunate"]	["jpn"]	The coastal 'eastern sea route' between Edo and Kyoto, the busiest of the Five Routes of Tokugawa Japan.	Principal artery of Edo-period travel and commerce; subject of Hiroshige's famous prints	Q963514	http://www.wikidata.org/entity/Q963514	2026-07-08T00:00:00Z	0.8	["Wikidata","Wikipedia"]
