id	name	region	coordinates	boundary_geometry	time_period_start	time_period_end	time_period_label	subsistence_pattern	pottery_style	burial_practices	material_culture_traits	probable_language_family	probable_haplogroups	predecessor_culture_ids	successor_culture_ids	confidence	sources	description	wikidata_qid	source_url	retrieved_at
bell-beaker	Bell Beaker	Western and Central Europe	{"lat":48.0,"lng":2.0}	{"type":"Polygon","coordinates":[[[-10.0,35.0],[20.0,35.0],[20.0,55.0],[-10.0,55.0],[-10.0,35.0]]]}	-2800	-1800	2800-1800 BCE	mixed farming	distinctive bell-shaped beakers	individual burials with standardized grave goods	copper daggers, archery equipment, gold ornaments	Indo-European (Celtic/Italic ancestors)	["R1b"]	["yamnaya"]	[]	85	["Olalde et al. 2018","Vander Linden 2006"]	Pan-European phenomenon associated with the spread of metallurgy and possibly Celtic/Italic languages.			
clovis	Clovis	North America	{"lat":35.0,"lng":-105.0}	{"type":"Polygon","coordinates":[[[-120.0,25.0],[-70.0,25.0],[-70.0,50.0],[-120.0,50.0],[-120.0,25.0]]]}	-11500	-10800	11500-10800 BCE	big-game hunting	none	very few known burials	distinctive fluted projectile points, megafauna hunting	unknown (pre-Na-Dene/Amerind)	["Q1a"]	[]	["folsom"]	90	["Waters & Stafford 2007","Meltzer 2009"]	Earliest widespread culture in the Americas, known for distinctive fluted spear points.			
folsom	Folsom	North America	{"lat":36.5,"lng":-104.0}	{"type":"Polygon","coordinates":[[[-115.0,30.0],[-95.0,30.0],[-95.0,48.0],[-115.0,48.0],[-115.0,30.0]]]}	-10800	-9800	10800-9800 BCE	bison hunting	none	unknown	finely fluted points (smaller than Clovis), bison hunting specialization	unknown	["Q1a"]	["clovis"]	[]	85	["Meltzer 2006","Frison 1991"]	Successor to Clovis, specialized in bison hunting on the Great Plains.			
jomon	Jomon	Japan	{"lat":36.0,"lng":139.0}	{"type":"Polygon","coordinates":[[[129.0,30.0],[146.0,30.0],[146.0,45.0],[129.0,45.0],[129.0,30.0]]]}	-14000	-300	14000-300 BCE	hunting, fishing, gathering	world's oldest pottery (cord-marked)	pit burials, stone circles	cord-marked pottery, lacquerware, dogu figurines	Japonic (speculative) or pre-Japonic	["D1a2a","C1a1"]	[]	["yayoi"]	85	["Habu 2004","Keally 2009"]	One of the world's earliest pottery-making cultures with a sophisticated hunter-gatherer economy lasting over 13,000 years.			
lapita	Lapita	Oceania	{"lat":-6.0,"lng":155.0}	{"type":"Polygon","coordinates":[[[140.0,-25.0],[180.0,-25.0],[180.0,0.0],[140.0,0.0],[140.0,-25.0]]]}	-1600	-500	1600-500 BCE	horticulture and fishing	dentate-stamped pottery	unknown	distinctive pottery, obsidian tools, shell ornaments	Austronesian	["O1a","O2"]	[]	[]	85	["Kirch 1997","Spriggs 1997"]	Ancestral culture of Polynesian, Melanesian, and Micronesian peoples, known for long-distance oceanic voyaging.	Q1021436	https://www.wikidata.org/entity/Q1021436	2026-07-13
mehrgarh	Mehrgarh	Balochistan	{"lat":29.4,"lng":67.6}	{"type":"Polygon","coordinates":[[[66.0,28.0],[69.0,28.0],[69.0,31.0],[66.0,31.0],[66.0,28.0]]]}	-7000	-2500	7000-2500 BCE	agriculture (wheat, barley) and herding	early painted pottery	flexed burials with grave goods	mud-brick architecture, dental drilling, cotton cultivation	unknown (Pre-Dravidian?)	["J2","L"]	[]	["indus-valley"]	85	["Jarrige 1995","Possehl 1999"]	One of the earliest farming communities in South Asia, precursor to the Indus Valley Civilization.			
indus-valley	Indus Valley (Harappan)	South Asia	{"lat":27.0,"lng":68.0}	{"type":"Polygon","coordinates":[[[66.0,23.0],[76.0,23.0],[76.0,32.0],[66.0,32.0],[66.0,23.0]]]}	-3300	-1300	3300-1300 BCE	agriculture, trade	distinctive painted pottery	extended burials with few goods	urban planning, standardized weights, undeciphered script, sewage systems	unknown (possibly Dravidian)	["J2","L","R2"]	["mehrgarh"]	[]	90	["Kenoyer 1998","Possehl 2002"]	Major Bronze Age civilization with sophisticated urban planning, writing, and trade networks.			
nok	Nok	West Africa (Nigeria)	{"lat":9.5,"lng":8.0}	{"type":"Polygon","coordinates":[[[6.0,7.0],[10.0,7.0],[10.0,11.0],[6.0,11.0],[6.0,7.0]]]}	-1500	200	1500 BCE - 200 CE	agriculture	unknown	unknown	terracotta sculptures, early iron smelting	Niger-Congo (Benue-Congo)	["E1b1a"]	[]	[]	70	["Fagg 1990","Breunig 2014"]	Known for remarkable terracotta sculptures and early iron smelting in sub-Saharan Africa.			
olmec	Olmec	Mesoamerica	{"lat":17.8,"lng":-95.0}	{"type":"Polygon","coordinates":[[[-96.0,17.0],[-93.0,17.0],[-93.0,19.0],[-96.0,19.0],[-96.0,17.0]]]}	-1500	-400	1500-400 BCE	agriculture (maize)	distinctive pottery with jaguar motifs	unknown	colossal stone heads, jade working, early writing, ball game	Mixe-Zoquean	["Q1a"]	[]	[]	85	["Diehl 2004","Pool 2007"]	Mother culture of Mesoamerica, creators of the colossal basalt heads and early writing systems.			
linearbandk	Linear Pottery (LBK)	Central Europe	{"lat":50.0,"lng":12.0}	{"type":"Polygon","coordinates":[[[5.0,46.0],[22.0,46.0],[22.0,53.0],[5.0,53.0],[5.0,46.0]]]}	-5500	-4500	5500-4500 BCE	agriculture (wheat, barley, cattle)	linear-incised pottery	flexed burials, some mass graves	longhouses, polished stone tools, Spondylus shell ornaments	Pre-Indo-European	["G2a","I2a"]	[]	[]	85	["Bogucki 1988","Gronenborn 1999"]	First farming culture to colonize Central Europe from the Balkans, bringing Neolithic agriculture.			
funnel-beaker	Funnel Beaker (TRB)	Northern Europe	{"lat":55.0,"lng":12.0}	{"type":"Polygon","coordinates":[[[5.0,50.0],[20.0,50.0],[20.0,60.0],[5.0,60.0],[5.0,50.0]]]}	-4300	-2800	4300-2800 BCE	mixed farming	funnel-necked beakers	megalithic tombs (dolmens, passage graves)	megaliths, amber trade, cattle-based economy	Pre-Indo-European	["I2a","I1"]	["linearbandk"]	["corded-ware"]	80	["Midgley 1992","Müller 2011"]	Northern European Neolithic culture responsible for building many of the region's megalithic tombs.			
caral-supe	Caral-Supe	Peru	{"lat":-10.9,"lng":-77.5}	{"type":"Polygon","coordinates":[[[-78.0,-12.0],[-77.0,-12.0],[-77.0,-10.0],[-78.0,-10.0],[-78.0,-12.0]]]}	-3000	-1800	3000-1800 BCE	agriculture and fishing	no pottery	unknown	monumental pyramids, quipu (knotted strings), no ceramics	unknown	["Q1a"]	[]	[]	80	["Shady Solis 2006","Haas & Creamer 2006"]	One of the oldest urban centers in the Americas, contemporary with Egyptian pyramids but without pottery or writing.			
ubaid	Ubaid	Mesopotamia	{"lat":31.0,"lng":46.0}	{"type":"Polygon","coordinates":[[[42.0,29.0],[48.0,29.0],[48.0,34.0],[42.0,34.0],[42.0,29.0]]]}	-6500	-3800	6500-3800 BCE	irrigation agriculture	painted pottery with geometric designs	extended burials	irrigation canals, multi-room mud-brick houses, early temples	Sumerian (speculative) or Pre-Sumerian	["J1","J2"]	["ppnb"]	["uruk"]	80	["Stein & Özbal 2007","Carter & Philip 2010"]	Proto-urban culture of southern Mesopotamia that laid the foundations for Sumerian civilization.			
uruk	Uruk	Mesopotamia	{"lat":31.3,"lng":45.6}	{"type":"Polygon","coordinates":[[[42.0,29.0],[49.0,29.0],[49.0,35.0],[42.0,35.0],[42.0,29.0]]]}	-4000	-3100	4000-3100 BCE	intensive irrigation agriculture	mass-produced pottery (beveled-rim bowls)	elaborate elite burials	earliest writing (cuneiform), cylinder seals, monumental temples	Sumerian	["J1","J2"]	["ubaid"]	[]	90	["Algaze 2008","Nissen 2001"]	World's first urban civilization, birthplace of writing and complex bureaucracy.			
gobekli-tepe	Gobekli Tepe Builders	Upper Mesopotamia	{"lat":37.2,"lng":38.9}	{"type":"Polygon","coordinates":[[[37.0,36.0],[40.0,36.0],[40.0,38.0],[37.0,38.0],[37.0,36.0]]]}	-9500	-8000	9500-8000 BCE	hunting-gathering	none	unknown	monumental carved T-shaped pillars, animal reliefs	unknown	["J2","G2a"]	[]	["ppnb"]	85	["Schmidt 2006","Dietrich et al. 2012"]	Builders of the world's oldest known monumental architecture, predating agriculture.			
kerma	Kerma	Upper Nubia (Sudan)	{"lat":19.6,"lng":30.4}	{"type":"Polygon","coordinates":[[[29.0,17.0],[33.0,17.0],[33.0,22.0],[29.0,22.0],[29.0,17.0]]]}	-2500	-1500	2500-1500 BCE	agriculture and cattle herding	distinctive tulip-shaped beakers	massive tumulus burials with sacrificial retainers	monumental mud-brick architecture (deffufa), bronze working	Nilo-Saharan (speculative)	["E1b1b","A"]	[]	[]	80	["Bonnet 1990","Edwards 2004"]	Major Nubian kingdom contemporary with and rival to Egypt's Middle Kingdom.			
ban-chiang	Ban Chiang	Southeast Asia (Thailand)	{"lat":17.4,"lng":103.2}	{"type":"Polygon","coordinates":[[[101.0,15.0],[105.0,15.0],[105.0,19.0],[101.0,19.0],[101.0,15.0]]]}	-3600	-200	3600 BCE - 200 CE	rice agriculture	distinctive red-painted pottery	burials with pottery and bronze goods	early bronze working, painted pottery, rice cultivation	Austroasiatic (speculative)	["O1b","O2"]	[]	[]	75	["White 2008","Higham 2002"]	Important prehistoric site demonstrating early metallurgy and rice cultivation in Southeast Asia.			
a-group-culture	A-Group culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q277797	http://www.wikidata.org/entity/Q277797	2026-07-08T10:47:54.206Z
abashevo-culture	Abashevo culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q305628	http://www.wikidata.org/entity/Q305628	2026-07-08T10:47:54.206Z
abbevillian	Abbevillian															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q306350	http://www.wikidata.org/entity/Q306350	2026-07-08T10:47:54.206Z
acheulean	Acheulean													["oldowan"]	["mousterian"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q210774	http://www.wikidata.org/entity/Q210774	2026-07-08T10:47:54.206Z
adena-culture	Adena culture		{"lat":38.0725,"lng":-83.950833333}													80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q355841	http://www.wikidata.org/entity/Q355841	2026-07-08T10:47:54.206Z
aegean-civilization	Aegean civilization															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q192530	http://www.wikidata.org/entity/Q192530	2026-07-08T10:47:54.206Z
afanasevo-culture	Afanasevo culture														["andronovo-culture","okunev-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q80974	http://www.wikidata.org/entity/Q80974	2026-07-08T10:47:54.206Z
ahrensburg-culture	Ahrensburg culture													["creswellian-culture"]	["fosna-hensbacka-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q402743	http://www.wikidata.org/entity/Q402743	2026-07-08T10:47:54.206Z
amratian-culture	Amratian culture														["gerzeh-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q962354	http://www.wikidata.org/entity/Q962354	2026-07-08T10:47:54.206Z
anau-namazga-culture	Anau Namazga culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q12818208	http://www.wikidata.org/entity/Q12818208	2026-07-08T10:47:54.206Z
ancestral-puebloans-culture	Ancestral Puebloans															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q478805	http://www.wikidata.org/entity/Q478805	2026-07-08T10:47:54.206Z
andronovo-culture	Andronovo culture		{"lat":55.883333,"lng":55.7}											["afanasevo-culture","corded-ware-culture","seima-turbino-culture"]		80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q459376	http://www.wikidata.org/entity/Q459376	2026-07-08T10:47:54.206Z
apennine-culture	Apennine culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q2569017	http://www.wikidata.org/entity/Q2569017	2026-07-08T10:47:54.206Z
argaric-culture	Argaric culture		{"lat":37.2521,"lng":-1.9175}													80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q13409799	http://www.wikidata.org/entity/Q13409799	2026-07-08T10:47:54.206Z
aterian	Aterian															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q204134	http://www.wikidata.org/entity/Q204134	2026-07-08T10:47:54.206Z
atlantic-bronze-age	Atlantic Bronze Age															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q2629081	http://www.wikidata.org/entity/Q2629081	2026-07-08T10:47:54.206Z
aurignacian	Aurignacian														["solutrean"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q221901	http://www.wikidata.org/entity/Q221901	2026-07-08T10:47:54.206Z
azilian	Azilian															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q793777	http://www.wikidata.org/entity/Q793777	2026-07-08T10:47:54.206Z
bac-son-culture	Bắc Sơn culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q798596	http://www.wikidata.org/entity/Q798596	2026-07-08T10:47:54.206Z
badari-culture-culture	Badari culture		{"lat":27,"lng":31.41667}												["amratian-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q798844	http://www.wikidata.org/entity/Q798844	2026-07-08T10:47:54.206Z
baden-culture	Baden culture														["vucedol-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q687230	http://www.wikidata.org/entity/Q687230	2026-07-08T10:47:54.206Z
baodun-culture	Baodun culture		{"lat":30.4502,"lng":103.7508}													80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q807064	http://www.wikidata.org/entity/Q807064	2026-07-08T10:47:54.206Z
baradostian-culture	Baradostian culture													["mousterian"]	["zarzian-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q645489	http://www.wikidata.org/entity/Q645489	2026-07-08T10:47:54.206Z
beixin-culture	Beixin culture													["houli-culture"]	["dawenkou-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q596364	http://www.wikidata.org/entity/Q596364	2026-07-08T10:47:54.206Z
bell-beaker-culture	Bell beaker culture													["corded-ware-culture"]	["unetice-culture","atlantic-bronze-age"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q470867	http://www.wikidata.org/entity/Q470867	2026-07-08T10:47:54.206Z
black-and-red-ware-culture	Black and red ware culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q2525323	http://www.wikidata.org/entity/Q2525323	2026-07-08T10:47:54.206Z
boian-culture	Boian culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q2370603	http://www.wikidata.org/entity/Q2370603	2026-07-08T10:47:54.206Z
botai-culture	Botai culture		{"lat":53.303,"lng":67.645}													80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q279792	http://www.wikidata.org/entity/Q279792	2026-07-08T10:47:54.206Z
bromme-culture	Bromme culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q926790	http://www.wikidata.org/entity/Q926790	2026-07-08T10:47:54.206Z
bug-dniester-culture	Bug-Dniester culture														["dnieper-donets-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1002169	http://www.wikidata.org/entity/Q1002169	2026-07-08T10:47:54.206Z
butmir-culture	Butmir culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1017984	http://www.wikidata.org/entity/Q1017984	2026-07-08T10:47:54.206Z
capsian-culture	Capsian culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q766150	http://www.wikidata.org/entity/Q766150	2026-07-08T10:47:54.206Z
caral-supe-civilization	Caral–Supe civilization				-3500	-1800	3500 BCE–1800 BCE									80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q153836	http://www.wikidata.org/entity/Q153836	2026-07-08T10:47:54.206Z
cardium-pottery	Cardium pottery														["chasseen-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1035710	http://www.wikidata.org/entity/Q1035710	2026-07-08T10:47:54.206Z
castro-culture	Castro culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1049966	http://www.wikidata.org/entity/Q1049966	2026-07-08T10:47:54.206Z
catacomb-culture	Catacomb culture														["corded-ware-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1511519	http://www.wikidata.org/entity/Q1511519	2026-07-08T10:47:54.206Z
cemetery-h-culture	Cemetery H culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q2364797	http://www.wikidata.org/entity/Q2364797	2026-07-08T10:47:54.206Z
chachapoya-culture	Chachapoya culture					1570	until 1570 CE									80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q752688	http://www.wikidata.org/entity/Q752688	2026-07-08T10:47:54.206Z
chancay-culture	Chancay culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1061632	http://www.wikidata.org/entity/Q1061632	2026-07-08T10:47:54.206Z
chasseen-culture	Chasséen culture														["bell-beaker-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q688898	http://www.wikidata.org/entity/Q688898	2026-07-08T10:47:54.206Z
chatelperronian	Châtelperronian													["mousterian"]		80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1090851	http://www.wikidata.org/entity/Q1090851	2026-07-08T10:47:54.206Z
chavin-culture	Chavín culture		{"lat":-9.59380556,"lng":-77.17744444}													80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q13341477	http://www.wikidata.org/entity/Q13341477	2026-07-08T10:47:54.206Z
chernyakhov-culture	Chernyakhov culture													["wielbark-culture","zarubintsy-culture"]	["penkovka-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1474345	http://www.wikidata.org/entity/Q1474345	2026-07-08T10:47:54.206Z
chimu-culture	Chimú culture		{"lat":-8.108888888,"lng":-79.075}		1100	1470	1100 CE–1470 CE									80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q901198	http://www.wikidata.org/entity/Q901198	2026-07-08T10:47:54.206Z
chincha-people	Chincha people		{"lat":-13.451111111,"lng":-76.170833333}													80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q2460357	http://www.wikidata.org/entity/Q2460357	2026-07-08T10:47:54.206Z
chinchorro-culture	Chinchorro culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q775089	http://www.wikidata.org/entity/Q775089	2026-07-08T10:47:54.206Z
cishan-culture	Cishan culture		{"lat":36.7,"lng":114.2}													80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q978917	http://www.wikidata.org/entity/Q978917	2026-07-08T10:47:54.206Z
clactonian	Clactonian															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q675717	http://www.wikidata.org/entity/Q675717	2026-07-08T10:47:54.206Z
classic-veracruz-culture	Classic Veracruz culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q2379418	http://www.wikidata.org/entity/Q2379418	2026-07-08T10:47:54.206Z
classical-greece	Classical Greece		{"lat":38.5,"lng":23}													80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q843745	http://www.wikidata.org/entity/Q843745	2026-07-08T10:47:54.206Z
clovis-culture	Clovis culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q3485378	http://www.wikidata.org/entity/Q3485378	2026-07-08T10:47:54.206Z
colchian-culture	Colchian culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1302583	http://www.wikidata.org/entity/Q1302583	2026-07-08T10:47:54.206Z
comb-ceramic-culture	Comb Ceramic culture													["dnieper-donets-culture"]		80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q129385	http://www.wikidata.org/entity/Q129385	2026-07-08T10:47:54.206Z
corded-ware-culture	Corded Ware culture													["globular-amphora-culture","yamnaya-culture","baden-culture","funnelbeaker-culture"]	["andronovo-culture","bell-beaker-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q933996	http://www.wikidata.org/entity/Q933996	2026-07-08T10:47:54.206Z
cortaillod-culture	Cortaillod culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q671984	http://www.wikidata.org/entity/Q671984	2026-07-08T10:47:54.206Z
creswellian-culture	Creswellian culture														["ahrensburg-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1139760	http://www.wikidata.org/entity/Q1139760	2026-07-08T10:47:54.206Z
cucuteni-trypillia-culture	Cucuteni–Trypillia culture													["linear-pottery-culture"]	["yamnaya-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1162419	http://www.wikidata.org/entity/Q1162419	2026-07-08T10:47:54.206Z
culture	culture													["proto-villanovan-culture"]		80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q634818	http://www.wikidata.org/entity/Q634818	2026-07-08T10:47:54.206Z
cycladic-civilization	Cycladic civilization															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q318144	http://www.wikidata.org/entity/Q318144	2026-07-08T10:47:54.206Z
dadiwan-culture	Dadiwan culture		{"lat":35.010277777,"lng":105.913611111}													80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1344314	http://www.wikidata.org/entity/Q1344314	2026-07-08T10:47:54.206Z
danubian-cultures	Danubian cultures															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q911169	http://www.wikidata.org/entity/Q911169	2026-07-08T10:47:54.206Z
dawenkou-culture	Dawenkou culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1178509	http://www.wikidata.org/entity/Q1178509	2026-07-08T10:47:54.206Z
daxi-culture	Daxi culture													["hemudu-culture"]	["qujialing-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1178981	http://www.wikidata.org/entity/Q1178981	2026-07-08T10:47:54.206Z
dnieper-donets-culture	Dnieper–Donets culture														["serednii-stih-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q2710557	http://www.wikidata.org/entity/Q2710557	2026-07-08T10:47:54.206Z
dong-son-culture	Dong Son culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q996912	http://www.wikidata.org/entity/Q996912	2026-07-08T10:47:54.206Z
dorset-culture	Dorset culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q603749	http://www.wikidata.org/entity/Q603749	2026-07-08T10:47:54.206Z
