id	culture_profile_id	structure_type	name	description	key_roles	inheritance_pattern	decision_making	related_kinship_system_id	time_period_start	time_period_end	sources
ss-025	cp-egypt	legal_system	Egyptian Ma'at-Based Law	Law was based on the concept of ma'at (truth, order, justice). The vizier served as chief judge, and local councils (kenbet) resolved disputes.	Pharaoh|Vizier|Kenbet Judge|Scribe	primogeniture	autocratic		-3100	-30	Allam, Egyptian Law Courts in Pharaonic and Hellenistic Times
ss-026	cp-egypt	military_organization	Egyptian Military	The New Kingdom saw a professional standing army organized into divisions named after gods. Charioteers formed an elite corps, and foreign mercenaries were common.	Pharaoh|General|Commander of Chariots|Standard Bearer|Soldier|Medjay	primogeniture	autocratic		-1550	-30	Spalinger, War in Ancient Egypt
ss-027	cp-chinese-han	government	Han Dynasty Imperial Government	A centralized bureaucratic state with the emperor at the apex. Officials were selected through recommendation and later examination, organized in a nine-rank system.	Emperor|Chancellor|Imperial Secretary|Commandery Governor|Prefect	primogeniture	autocratic	kin-010	-206	220	Loewe, The Government of the Qin and Han Empires
ss-028	cp-chinese-han	class_hierarchy	Han Social Hierarchy	Society was organized into four occupational groups: scholars (shi), farmers (nong), artisans (gong), and merchants (shang), with the emperor and nobility above all.	Emperor|Noble|Scholar-Official|Farmer|Artisan|Merchant|Slave	patrilineal	autocratic	kin-010	-206	220	Hsu, Han Agriculture
ss-029	cp-chinese-han	family_structure	Han Confucian Family	The patriarchal extended family was the fundamental social unit. Filial piety (xiao) was the supreme virtue, and the eldest male held authority over the household.	Patriarch|Wife|Eldest Son|Daughter-in-law|Younger Son	patrilineal	autocratic	kin-010	-206	220	Ebrey, The Inner Quarters
ss-030	cp-chinese-han	education_system	Han Imperial Academy	The Taixue (Imperial Academy) was established in 124 BCE to train officials in the Confucian classics. Local schools expanded education beyond the aristocracy.	Boshi (Erudite)|Student|Prefectural Teacher	patrilineal	autocratic	kin-010	-206	220	Lee, Education in Traditional China
ss-031	cp-chinese-han	legal_system	Han Legal Code	A comprehensive legal code based on Legalist principles modified by Confucian values. Punishments ranged from fines to forced labor, mutilation, and execution.	Emperor|Commandery Judge|Prefect|Legal Clerk	primogeniture	autocratic	kin-010	-206	220	Hulswe, Remnants of Han Law
ss-032	cp-chinese-han	religious_hierarchy	Han State Religion and Popular Cults	State religion combined ancestor worship, Confucian rituals, and cosmological beliefs. The emperor performed the Feng and Shan sacrifices as intermediary between Heaven and Earth.	Emperor|Grand Astrologer|Ritual Master|Shaman (wu)	patrilineal	theocratic	kin-010	-206	220	Loewe, Faith, Myth and Reason in Han China
ss-033	cp-chinese-han	military_organization	Han Military System	A conscription-based military supplemented by professional soldiers and frontier garrisons. The Protector General managed relations with Central Asian peoples.	Emperor|General-in-Chief|Colonel|Commandant|Conscript Soldier	patrilineal	autocratic	kin-010	-206	220	de Crespigny, A Military History of Han China
ss-034	cp-chinese-song	government	Song Dynasty Civil Bureaucracy	A highly developed meritocratic bureaucracy selected through rigorous civil service examinations. The emperor governed through a council of ministers and a complex system of checks.	Emperor|Grand Councilor|Vice Minister|Prefect|Magistrate	primogeniture	autocratic	kin-010	960	1279	Chaffee, The Thorny Gates of Learning in Sung China
ss-035	cp-chinese-song	class_hierarchy	Song Scholar-Gentry Society	The examination system created a powerful scholar-gentry class that dominated government and culture. Merchants gained wealth but lacked political prestige.	Emperor|Scholar-Gentry|Merchant|Artisan|Farmer|Servant	patrilineal	oligarchic	kin-010	960	1279	Hymes, Statesmen and Gentlemen
ss-036	cp-chinese-song	education_system	Song Academy System	Private academies (shuyuan) supplemented state schools in preparing students for civil service exams. Neo-Confucian curriculum established by Zhu Xi became standard.	Academy Master|Student|Examination Candidate|Tutor	patrilineal	oligarchic	kin-010	960	1279	Walton, Academies and Society in Southern Sung China
ss-037	cp-chinese-song	guilds_associations	Song Merchant Guilds	Urban merchant guilds (hang) regulated trade, set prices, and maintained standards. They also served as mutual aid societies and represented members to the state.	Guild Master|Senior Merchant|Apprentice|Broker	patrilineal	oligarchic	kin-010	960	1279	Shiba, Commerce and Society in Sung China
ss-038	cp-chinese-song	legal_system	Song Legal Administration	A codified legal system building on Tang precedents, with the Xing Tong providing criminal law and the Song Hui Yao collecting administrative regulations.	Emperor|Judicial Commissioner|Magistrate|Clerk	primogeniture	autocratic	kin-010	960	1279	McKnight, Law and Order in Sung China
ss-039	cp-chinese-qing	government	Qing Imperial Government	A Manchu-led dynasty governing through a dual system of Manchu and Chinese institutions. The Grand Council became the supreme policy-making body after 1729.	Emperor|Grand Councilor|Board President|Governor-General|Magistrate	primogeniture	autocratic	kin-010	1644	1912	Elliott, The Manchu Way
ss-040	cp-chinese-qing	class_hierarchy	Qing Banner and Social System	The Eight Banners system organized Manchu, Mongol, and Chinese martial populations. Ethnic hierarchy placed Manchus above Mongols and Han Chinese.	Emperor|Banner Prince|Bannerman|Scholar-Gentry|Farmer|Merchant|Bondservant	patrilineal	autocratic	kin-010	1644	1912	Crossley, A Translucent Mirror
ss-041	cp-chinese-qing	military_organization	Qing Banner Armies	The Eight Banners were hereditary military units that also served as administrative divisions. The Green Standard Army of Han Chinese soldiers supplemented Banner forces.	Emperor|Banner Commander|Lieutenant General|Captain|Bannerman Soldier	patrilineal	autocratic	kin-010	1644	1912	Waley-Cohen, The Culture of War in China
ss-042	cp-chinese-qing	gender_roles	Qing Gender Norms	Neo-Confucian ideology strictly separated inner (female) and outer (male) spheres. Foot-binding was widespread among Han women; widow chastity was highly valorized.	Matriarch|Wife|Concubine|Daughter|Daughter-in-law	patrilineal	autocratic	kin-010	1644	1912	Mann, Precious Records: Women in China's Long Eighteenth Century
ss-043	cp-mongol	government	Mongol Khanate System	The Great Khan held supreme authority, with the empire divided into khanates governed by Chinggisid princes. The kuriltai (assembly) legitimized succession.	Great Khan|Khan|Noyan|Darughachi|Jarghuchi	patrilineal	autocratic		1206	1368	May, The Mongol Empire
ss-044	cp-mongol	military_organization	Mongol Decimal Army	The army was organized on a decimal system: arbans (10), zuuns (100), minghans (1000), and tumens (10000). Soldiers served from age 15 to 60 with strict discipline.	Khan|Tumen Commander|Minghan Commander|Zuun Commander|Arban Commander	patrilineal	autocratic		1206	1368	Atwood, Encyclopedia of Mongolia and the Mongol Empire
ss-045	cp-mongol	class_hierarchy	Mongol Social Hierarchy	Society was organized around kinship and military rank. The Chinggisid lineage (altan urugh) held supreme status, followed by other noble lineages and common warriors.	Khan|Chinggisid Prince|Noyan|Warrior|Herder|Captive	patrilineal	autocratic		1206	1368	Allsen, Culture and Conquest in Mongol Eurasia
ss-046	cp-mongol	legal_system	Yasa (Mongol Great Law)	The Yasa was a code of laws attributed to Chinggis Khan governing military discipline, commerce, religious tolerance, and social conduct across the empire.	Khan|Jarghuchi (Judge)|Darughachi (Governor)|Scribe	patrilineal	autocratic		1206	1368	Morgan, The Mongols
ss-047	cp-mongol	family_structure	Mongol Ger Household	The ger (yurt) household was the basic social unit of nomadic life. Wives managed the household and could wield significant political influence.	Patriarch|Senior Wife|Junior Wife|Son|Daughter	patrilineal	autocratic		1206	1368	Weatherford, The Secret History of the Mongol Queens
ss-048	cp-ottoman	government	Ottoman Sultanate	A highly centralized imperial system with the sultan as absolute ruler. The grand vizier led the imperial council (Divan), and provincial governors (beylerbeyi) administered vast territories.	Sultan|Grand Vizier|Vizier|Beylerbeyi|Sanjak Bey|Kadi	primogeniture	autocratic	kin-010	1299	1922	Imber, The Ottoman Empire 1300-1650
ss-049	cp-ottoman	class_hierarchy	Ottoman Millet System	Society was organized into religious communities (millets) with internal self-governance. The askeri (military-ruling) class was distinct from the reaya (tax-paying subjects).	Sultan|Askeri|Muslim Reaya|Greek Millet|Armenian Millet|Jewish Millet	patrilineal	autocratic	kin-010	1299	1922	Barkey, Empire of Difference
ss-050	cp-ottoman	military_organization	Janissary Corps	An elite infantry force originally composed of Christian boys taken through the devshirme system and converted to Islam. They became a powerful political force.	Sultan|Agha of Janissaries|Oda Bashi|Janissary|Devshirme Recruit	elective	autocratic	kin-010	1363	1826	Rhoads Murphey, Ottoman Warfare
ss-051	cp-ottoman	religious_hierarchy	Ottoman Islamic Hierarchy	The Sheikh ul-Islam was the supreme religious authority, issuing fatwas on the compatibility of laws with sharia. The ulema controlled education and justice.	Sheikh ul-Islam|Kadi|Mufti|Imam|Muezzin	patrilineal	theocratic	kin-011	1299	1922	Zilfi, The Politics of Piety
ss-052	cp-ottoman	legal_system	Ottoman Kanun and Sharia	A dual legal system combining sultanic law (kanun) with Islamic sharia. The kanun addressed criminal, land, and tax matters not covered by religious law.	Sultan|Sheikh ul-Islam|Kadi|Mufti|Court Scribe	patrilineal	autocratic	kin-011	1299	1922	Imber, Ebu's-su'ud: The Islamic Legal Tradition
ss-053	cp-ottoman	education_system	Ottoman Medrese System	Medreses (Islamic colleges) trained religious scholars and state officials. The curriculum progressed from grammar and logic to theology and law.	Muderris (Professor)|Danishmend (Student)|Muid (Tutor)|Sheikh ul-Islam	patrilineal	theocratic	kin-011	1299	1922	Zilfi, The Politics of Piety
ss-054	cp-ottoman	guilds_associations	Ottoman Guild System (Esnaf)	Urban guilds (esnaf) organized artisans and merchants by trade. They regulated quality, prices, and training, and participated in civic ceremonies.	Guild Master (Kethuda)|Master (Usta)|Journeyman (Kalfa)|Apprentice (Cirak)	patrilineal	oligarchic	kin-010	1299	1922	Faroqhi, Artisans of Empire
ss-055	cp-persian-achaemenid	government	Achaemenid Imperial Administration	A vast empire governed through satrapies (provinces) with royal inspectors ("Eyes of the King") ensuring loyalty. Royal roads and postal system enabled central control.	King of Kings|Satrap|Hazarapatis (Chiliarch)|Royal Inspector|Royal Secretary	primogeniture	autocratic		-550	-330	Briant, From Cyrus to Alexander
ss-056	cp-persian-achaemenid	class_hierarchy	Achaemenid Social Order	Persian society distinguished between the royal family, nobility (especially the Seven Great Families), free commoners, and dependent laborers (kurtash).	King of Kings|Noble (Bandaka)|Free Commoner|Kurtash (Worker)|Slave	patrilineal	autocratic		-550	-330	Briant, From Cyrus to Alexander
ss-057	cp-persian-achaemenid	military_organization	Achaemenid Imperial Army	A multi-ethnic army centered on the 10,000 Immortals as the elite guard. Provincial levies provided infantry, cavalry, and naval forces from across the empire.	King of Kings|Hazarapatis|Commander of Immortals|Satrap (Military)|Sparabara	patrilineal	autocratic		-550	-330	Sekunda, The Persian Army 560-330 BC
ss-058	cp-persian-achaemenid	religious_hierarchy	Achaemenid Zoroastrian Practice	The Magi served as priests and advisors, maintaining sacred fires and performing rituals. Zoroastrianism was the state religion though other faiths were tolerated.	King of Kings|Chief Magus|Magus|Fire Keeper	patrilineal	theocratic		-550	-330	Boyce, A History of Zoroastrianism
ss-059	cp-persian-achaemenid	legal_system	Achaemenid Royal Law	The king was the supreme lawgiver and judge. Local legal traditions were maintained within a framework of royal decrees (data), with royal judges appointed throughout the empire.	King of Kings|Royal Judge|Satrap|Data (Law)|Scribe	primogeniture	autocratic		-550	-330	Briant, From Cyrus to Alexander
ss-060	cp-inca	government	Inca Sapa Inca System	A centralized theocratic empire divided into four suyus (quarters). The Sapa Inca ruled as divine monarch, with provincial governors (tokrikoq) administering regions via a decimal hierarchy.	Sapa Inca|Apu (Quarter Governor)|Tokrikoq|Kuraka|Kamayuq	primogeniture	autocratic		1438	1533	D'Altroy, The Incas
ss-061	cp-inca	class_hierarchy	Inca Ayllu-Based Hierarchy	Society was organized around the ayllu (kin-based community). The royal panaqas (lineages) sat at the apex, followed by provincial nobles, then commoners bound by labor obligations (mit'a).	Sapa Inca|Royal Panaka|Provincial Kuraka|Hatunruna (Commoner)|Yanakuna (Servant)	patrilineal	autocratic		1438	1533	Murra, The Economic Organization of the Inka State
ss-062	cp-inca	religious_hierarchy	Inca State Religion	The Sapa Inca was considered the son of Inti (the sun). The Willaq Umu (high priest) led a hierarchy of priests managing temple estates, oracle shrines, and the calendar.	Sapa Inca|Willaq Umu (High Priest)|Acllas (Sun Virgins)|Temple Priest|Diviner	patrilineal	theocratic		1438	1533	MacCormack, Religion in the Andes
ss-063	cp-inca	education_system	Inca Yachayhuasi	The House of Learning (yachayhuasi) in Cusco trained noble youths in Quechua language, quipu accounting, history, religion, and military skills over four years.	Amauta (Teacher)|Noble Student|Quipucamayoc (Quipu Keeper)	patrilineal	autocratic		1438	1533	Julien, Reading Inca History
ss-064	cp-inca	military_organization	Inca Army	A massive army organized on a decimal system drawn from mit'a labor obligations. Ethnic units fought under their own leaders but were commanded by Inca generals.	Sapa Inca|General (Apukispay)|Captain|Ethnic Leader|Mit'a Soldier	patrilineal	autocratic		1438	1533	D'Altroy, The Incas
ss-065	cp-inca	family_structure	Inca Ayllu Kinship	The ayllu was a corporate kin group holding communal land. Marriage was typically monogamous for commoners; the Sapa Inca practiced polygyny with one primary wife (coya).	Sapa Inca|Coya (Primary Wife)|Kuraka|Ayllu Member	bilateral	autocratic		1438	1533	Silverblatt, Moon, Sun, and Witches
ss-066	cp-aztec	government	Aztec Triple Alliance	The Aztec empire was a triple alliance of Tenochtitlan, Texcoco, and Tlacopan. The tlatoani (speaker) of Tenochtitlan became paramount ruler, advised by a supreme council.	Huey Tlatoani|Cihuacoatl|Tlatoani|Tecuhtli|Calpulli Chief	elective	oligarchic		1428	1521	Hassig, Aztec Warfare
ss-067	cp-aztec	class_hierarchy	Aztec Social Classes	Society divided into nobles (pipiltin), commoners (macehualtin), serfs (mayeque), and slaves (tlacotin). Warriors could advance through capturing enemies.	Huey Tlatoani|Pipiltin (Noble)|Pochteca (Merchant)|Macehualtin (Commoner)|Mayeque (Serf)|Tlacotin (Slave)	patrilineal	oligarchic		1428	1521	Berdan, The Aztecs of Central Mexico
ss-068	cp-aztec	religious_hierarchy	Aztec Priesthood	A complex priestly hierarchy maintained temples and performed elaborate rituals including human sacrifice. The two high priests of Tlaloc and Huitzilopochtli held supreme religious authority.	Quetzalcoatl Totec Tlamacazqui|Quetzalcoatl Tlaloc Tlamacazqui|Tlamacazqui (Priest)|Priestess|Fire Priest	patrilineal	theocratic		1428	1521	Townsend, The Aztecs
ss-069	cp-aztec	military_organization	Aztec Warrior Orders	Male citizens were trained as warriors, with elite warrior orders (Eagle and Jaguar) for those who captured enemies. Military prowess determined social advancement.	Huey Tlatoani|Eagle Warrior|Jaguar Warrior|Otomitl (Elite)|Telpochcalli (Young Warrior)	patrilineal	oligarchic		1428	1521	Hassig, Aztec Warfare
ss-070	cp-aztec	education_system	Aztec Calmecac and Telpochcalli	Two parallel school systems: calmecac for nobles (teaching priestcraft, law, writing, astronomy) and telpochcalli for commoners (teaching military skills and civic duties).	Tlamacazqui (Calmecac Teacher)|Telpochcalli Master|Noble Student|Commoner Student	patrilineal	oligarchic		1428	1521	Berdan, The Aztecs of Central Mexico
ss-071	cp-aztec	legal_system	Aztec Judicial System	A hierarchical court system with judges appointed by the tlatoani. The cihuacoatl served as supreme judge. Laws were severe, with punishments including death for drunkenness and adultery.	Cihuacoatl|Tlatoani|Judge (Tecutli)|Court Official	patrilineal	autocratic		1428	1521	Offner, Law and Politics in Aztec Texcoco
ss-072	cp-maya	government	Maya City-State System	The Maya were organized into independent city-states (kuchkabal) ruled by divine kings (ajaw). Each polity had its own dynasty, territory, and patron deities.	K'uhul Ajaw (Divine Lord)|Kaloomte'|Sajal|Lakam|Aj K'uhun	primogeniture	autocratic		-2000	1697	Martin & Grube, Chronicle of the Maya Kings and Queens
ss-073	cp-maya	class_hierarchy	Maya Social Stratification	A rigid hierarchy with the divine royal family at the top, followed by nobles (almehenob), artisans and merchants, commoners (ah chembal uinicob), and slaves (pentacob).	K'uhul Ajaw|Almehenob (Noble)|Ah Chembal Uinicob (Commoner)|Pentacob (Slave)	patrilineal	autocratic		-2000	1697	Sharer & Traxler, The Ancient Maya
ss-074	cp-maya	religious_hierarchy	Maya Priestly Class	Priests (ah kin) maintained the calendar, performed divination, and conducted rituals. The high priest interpreted astronomical events and advised the king on auspicious dates.	K'uhul Ajaw|Ah Kin (High Priest)|Chilam (Prophet)|Nacom (Sacrificer)	patrilineal	theocratic		-2000	1697	Coe, The Maya
ss-075	cp-maya	education_system	Maya Elite Education	Noble children were educated in scribal arts, astronomy, mathematics (including the concept of zero), and ritual knowledge. Scribes (ah tz'ib) held high status.	Ah Tz'ib (Scribe)|Master Teacher|Noble Student	patrilineal	autocratic		-2000	1697	Coe & Van Stone, Reading the Maya Glyphs
ss-076	cp-maya	family_structure	Maya Lineage Groups	Elite families traced descent patrilineally through named lineages. Marriage alliances between city-states cemented political relationships, and queens could serve as regents.	Ajaw|Queen (Ix Kaloomte')|Prince|Princess|Lineage Head	patrilineal	autocratic		-2000	1697	Schele & Freidel, A Forest of Kings
ss-077	cp-india-maurya	government	Maurya Imperial Administration	Chandragupta Maurya created a centralized bureaucratic state described in Kautilya's Arthashastra. The empire was divided into provinces, districts, and villages with appointed officials.	Samrat (Emperor)|Mahamatra (Minister)|Provincial Governor|District Officer|Village Headman	primogeniture	autocratic	kin-028	-322	-185	Thapar, Asoka and the Decline of the Mauryas
ss-078	cp-india-maurya	class_hierarchy	Maurya Varna and Jati System	The four varnas (Brahmin, Kshatriya, Vaishya, Shudra) provided ideological framework, while jatis (birth groups) determined actual social position and occupation.	Brahmin (Priest)|Kshatriya (Warrior)|Vaishya (Merchant)|Shudra (Servant)|Chandala (Outcaste)	patrilineal	autocratic	kin-028	-322	-185	Thapar, Early India
ss-079	cp-india-maurya	religious_hierarchy	Maurya-Era Religious Pluralism	Brahmins, Buddhist monks, and Jain ascetics competed for royal patronage. Ashoka's edicts promoted dharma (moral law) and religious tolerance across the empire.	Samrat|Brahmin Priest|Buddhist Bhikkhu|Sangha Elder|Jain Muni	patrilineal	theocratic	kin-028	-322	-185	Thapar, Asoka and the Decline of the Mauryas
ss-080	cp-india-maurya	legal_system	Arthashastra Legal Framework	The Arthashastra outlined a comprehensive legal code covering criminal law, civil disputes, commercial regulations, and espionage. The king was the supreme judicial authority.	Samrat|Chief Justice (Pradvivaka)|Magistrate|Spy (Gudhapurusha)	primogeniture	autocratic	kin-028	-322	-185	Kautilya, Arthashastra (trans. Rangarajan)
ss-081	cp-india-maurya	military_organization	Maurya Imperial Army	One of the largest ancient armies, organized into infantry, cavalry, chariots, and elephant corps. A war office of thirty members oversaw military operations.	Samrat|Senapati (Commander)|Elephant Commander|Cavalry Commander|Infantry Commander	patrilineal	autocratic	kin-028	-322	-185	Thapar, Asoka and the Decline of the Mauryas
ss-082	cp-india-mughal	government	Mughal Imperial System	A centralized autocracy with the emperor holding absolute power. The mansabdari system assigned military and revenue ranks to officials, creating a merit-based but hierarchical bureaucracy.	Padshah (Emperor)|Wazir (Prime Minister)|Diwan|Subadar (Governor)|Faujdar	primogeniture	autocratic	kin-028	1526	1857	Richards, The Mughal Empire
ss-083	cp-india-mughal	class_hierarchy	Mughal Mansabdari System	Officials were ranked by mansab (numerical rank) determining their salary, military obligations, and status. The system allowed social mobility for talented administrators and warriors.	Padshah|High Mansabdar|Mansabdar|Zamindar|Peasant (Raiyat)	patrilineal	autocratic	kin-028	1526	1857	Athar Ali, The Mughal Nobility Under Aurangzeb
ss-084	cp-india-mughal	religious_hierarchy	Mughal Religious Administration	Islamic scholars and Sufi saints held great influence. Akbar created the Din-i-Ilahi syncretic faith, while Aurangzeb emphasized orthodox Sunni Islam.	Padshah|Sheikh ul-Islam|Qadi|Sufi Pir|Mufti|Hindu Pandit	patrilineal	theocratic	kin-028	1526	1857	Eaton, India in the Persianate Age
ss-085	cp-india-mughal	military_organization	Mughal Military	A large composite army combining Mughal cavalry, Rajput warriors, artillery corps, and war elephants. The mansabdari system linked military command to administrative rank.	Padshah|Mir Bakhshi|Mansabdar|Rajput Chief|Artillery Commander|Cavalry Trooper	patrilineal	autocratic	kin-028	1526	1857	Gommans, Mughal Warfare
ss-086	cp-india-mughal	education_system	Mughal Maktab and Madrasa	Education combined Islamic learning with Persian literary culture. The madrasa system taught theology, law, logic, and science, while maktabs provided basic literacy.	Ustad (Teacher)|Maulvi|Madrasa Student|Munshi (Persian Tutor)	patrilineal	autocratic	kin-028	1526	1857	Alam, The Languages of Political Islam in India
ss-087	cp-england-medieval	government	English Feudal Monarchy	The king ruled through a feudal hierarchy of lords, backed by the Curia Regis. Parliament gradually emerged as a legislative body with the House of Lords and Commons.	King|Baron|Earl|Sheriff|Member of Parliament|Chancellor	primogeniture	oligarchic	kin-001	1066	1485	Holt, Magna Carta
ss-088	cp-england-medieval	class_hierarchy	English Feudal Hierarchy	A pyramidal structure: king, tenants-in-chief, mesne lords, knights, free tenants, villeins (serfs), and cottars. Land tenure defined social relationships.	King|Baron|Knight|Freeman|Villein|Cottar|Serf	primogeniture	oligarchic	kin-001	1066	1485	Bloch, Feudal Society
