id	source_id	source_name	target_id	target_name	relationship_type	time_start	time_end	confidence	evidence_types	description	sources
cl-028	proto_oceanic	Proto-Oceanic	proto_polynesian	Proto-Polynesian	split-from	-1200	-800	80	["linguistic","archaeological"]	Polynesian branch, Lapita culture	["Kirch 2000"]
cl-029	lapita	Lapita Culture	proto_polynesian	Proto-Polynesian	associated-with	-1600	-500	75	["archaeological"]	Lapita pottery tradition linked to Polynesian ancestors	["Kirch 2000"]
cl-030	proto_sino_tibetan	Proto-Sino-Tibetan	proto_sinitic	Proto-Sinitic	split-from	-4000	-3000	70	["linguistic"]	Sinitic branch separation	["Sagart 2019"]
cl-031	proto_sino_tibetan	Proto-Sino-Tibetan	proto_tibeto_burman	Proto-Tibeto-Burman	split-from	-4000	-3000	70	["linguistic"]	Tibeto-Burman branch separation	["van Driem 2001"]
cl-032	proto_uralic	Proto-Uralic	proto_finno_ugric	Proto-Finno-Ugric	split-from	-4000	-3000	75	["linguistic"]	Finno-Ugric branch separation	["Janhunen 2009"]
cl-033	proto_finno_ugric	Proto-Finno-Ugric	proto_finnic	Proto-Finnic	split-from	-2000	-1000	80	["linguistic","archaeological"]	Finnic branch separation	["Kallio 2006"]
cl-034	proto_finno_ugric	Proto-Finno-Ugric	proto_ugric	Proto-Ugric	split-from	-2000	-1000	75	["linguistic"]	Ugric branch separation	["Janhunen 2009"]
cl-035	proto_uralic	Proto-Uralic	proto_samoyedic	Proto-Samoyedic	split-from	-3000	-2000	75	["linguistic"]	Samoyedic branch, earliest split	["Janhunen 2009"]
cl-036	proto_turkic	Proto-Turkic	old_turkic	Old Turkic	evolved-into	-500	500	80	["linguistic","archaeological"]	Gokturk inscriptions, earliest attested Turkic	["Johanson 1998"]
cl-037	olmec	Olmec Civilization	maya_classic	Classic Maya	influenced	-1500	-200	65	["archaeological"]	Olmec cultural influence on Maya development	["Coe 2005"]
cl-038	olmec	Olmec Civilization	zapotec	Zapotec Civilization	influenced	-1200	-500	60	["archaeological"]	Olmec influence on Zapotec cultural development	["Marcus & Flannery 1996"]
cl-039	maya_classic	Classic Maya	maya_postclassic	Postclassic Maya	evolved-into	800	1200	85	["archaeological"]	Maya civilization transformation after collapse	["Demarest 2004"]
cl-040	teotihuacan	Teotihuacan	toltec	Toltec	influenced	100	700	60	["archaeological"]	Teotihuacan cultural legacy to later Mesoamerican states	["Cowgill 2015"]
cl-041	toltec	Toltec	aztec	Aztec	influenced	900	1200	70	["archaeological","linguistic"]	Toltec cultural influence on Aztec civilization	["Smith 2012"]
cl-042	proto_dravidian	Proto-Dravidian	proto_south_dravidian	Proto-South Dravidian	split-from	-3000	-2000	75	["linguistic"]	South Dravidian branch separation	["Krishnamurti 2003"]
cl-043	proto_dravidian	Proto-Dravidian	proto_central_dravidian	Proto-Central Dravidian	split-from	-2500	-1500	70	["linguistic"]	Central Dravidian branch separation	["Krishnamurti 2003"]
cl-044	proto_dravidian	Proto-Dravidian	proto_north_dravidian	Proto-North Dravidian	split-from	-2500	-1500	65	["linguistic"]	North Dravidian branch separation, includes Brahui	["Krishnamurti 2003"]
cl-045	indus_valley	Indus Valley Civilization	proto_dravidian	Proto-Dravidian	possibly-associated	-3300	-1300	40	["archaeological","linguistic"]	Hypothesized Dravidian connection to IVC	["Parpola 1994"]
cl-046	proto_japonic	Proto-Japonic	old_japanese	Old Japanese	evolved-into	-300	700	80	["linguistic"]	Earliest attested Japanese	["Frellesvig 2010"]
cl-047	jomon	Jomon Culture	ainu	Ainu	associated-with	-14000	-300	50	["archaeological","genetic"]	Jomon culture possibly ancestral to Ainu	["Hudson 1999"]
cl-048	yayoi	Yayoi Culture	proto_japonic	Proto-Japonic	associated-with	-900	300	65	["archaeological","genetic","linguistic"]	Yayoi migrants linked to Japonic language introduction	["Hudson 1999"]
cl-049	proto_austroasiatic	Proto-Austroasiatic	proto_munda	Proto-Munda	split-from	-4000	-2000	70	["linguistic"]	Munda branch separation	["Diffloth 2005"]
cl-050	proto_austroasiatic	Proto-Austroasiatic	proto_mon_khmer	Proto-Mon-Khmer	split-from	-4000	-2000	70	["linguistic"]	Mon-Khmer branch separation	["Diffloth 2005"]
cl-051	proto_germanic	Proto-Germanic	proto_north_germanic	Proto-North Germanic	split-from	-500	200	80	["linguistic"]	North Germanic (Scandinavian) branch	["Ringe 2006"]
cl-052	proto_germanic	Proto-Germanic	proto_west_germanic	Proto-West Germanic	split-from	-500	200	80	["linguistic"]	West Germanic branch	["Ringe 2006"]
cl-053	proto_germanic	Proto-Germanic	proto_east_germanic	Proto-East Germanic	split-from	-500	200	75	["linguistic"]	East Germanic branch (Gothic)	["Ringe 2006"]
cl-054	proto_italic	Proto-Italic	latin	Latin	evolved-into	-1000	-500	90	["linguistic","archaeological"]	Latin emerges in Latium	["Baldi 2002"]
cl-055	latin	Latin	vulgar_latin	Vulgar Latin	evolved-into	-200	500	90	["linguistic"]	Spoken Latin diverges from literary form	["Herman 2000"]
cl-056	vulgar_latin	Vulgar Latin	proto_romance	Proto-Romance	evolved-into	400	800	85	["linguistic"]	Regional Latin varieties crystallize	["Posner 1996"]
cl-057	proto_celtic	Proto-Celtic	continental_celtic	Continental Celtic	split-from	-800	-500	75	["linguistic","archaeological"]	Continental Celtic languages (Gaulish, Celtiberian)	["Koch 2006"]
cl-058	proto_celtic	Proto-Celtic	insular_celtic	Insular Celtic	split-from	-800	-500	75	["linguistic"]	Insular Celtic branch (Goidelic, Brythonic)	["Koch 2006"]
cl-059	proto_slavic	Proto-Slavic	old_church_slavonic	Old Church Slavonic	evolved-into	500	900	90	["linguistic"]	Earliest attested Slavic, Cyril and Methodius	["Sussex & Cubberley 2006"]
cl-060	proto_greek	Proto-Greek	mycenaean_greek	Mycenaean Greek	evolved-into	-1600	-1200	90	["linguistic","archaeological"]	Linear B reveals earliest Greek	["Ventris & Chadwick 1956"]
cl-061	mycenaean_greek	Mycenaean Greek	ancient_greek	Ancient Greek	evolved-into	-1200	-800	90	["linguistic"]	Greek through the Dark Ages	["Horrocks 2010"]
cl-062	proto_tai_kadai	Proto-Tai-Kadai	proto_tai	Proto-Tai	split-from	-2000	-1000	70	["linguistic"]	Tai branch separation	["Pittayaporn 2009"]
cl-063	proto_tai	Proto-Tai	old_thai	Old Thai	evolved-into	-500	1200	75	["linguistic"]	Thai emerges as distinct language	["Pittayaporn 2009"]
cl-064	proto_mongolic	Proto-Mongolic	middle_mongolian	Middle Mongolian	evolved-into	-500	1200	80	["linguistic"]	Mongol Empire era language	["Janhunen 2003"]
cl-065	clovis	Clovis Culture	folsom	Folsom Culture	gave-rise-to	-13500	-12800	70	["archaeological"]	Clovis to Folsom transition in North America	["Meltzer 2009"]
cl-066	proto_algonquian	Proto-Algonquian	eastern_algonquian	Eastern Algonquian	split-from	-1000	0	70	["linguistic"]	Eastern branch separation	["Goddard 1994"]
cl-067	proto_algonquian	Proto-Algonquian	central_algonquian	Central Algonquian	split-from	-1000	0	65	["linguistic"]	Central branch (Ojibwe, Cree, etc.)	["Goddard 1994"]
cl-068	proto_na_dene	Proto-Na-Dene	proto_athabaskan	Proto-Athabaskan	split-from	-5000	-3000	70	["linguistic"]	Athabaskan branch separation	["Krauss & Golla 1981"]
cl-069	proto_athabaskan	Proto-Athabaskan	navajo	Navajo	evolved-into	-1000	1000	75	["linguistic","archaeological"]	Navajo migration to Southwest	["Young & Morgan 1987"]
cl-070	sumer	Sumerian Civilization	akkadian_empire	Akkadian Empire	influenced	-3500	-2334	80	["archaeological","linguistic"]	Sumerian cultural and linguistic influence on Akkad	["Van De Mieroop 2016"]
cl-071	akkadian_empire	Akkadian Empire	old_babylonian	Old Babylonian	evolved-into	-2334	-1894	85	["archaeological","linguistic"]	Akkadian evolves into Old Babylonian	["Van De Mieroop 2016"]
cl-072	sumer	Sumerian Civilization	elam	Elamite Civilization	influenced	-3500	-2000	55	["archaeological"]	Cross-cultural influence in Mesopotamia	["Potts 1999"]
cl-073	shang_dynasty	Shang Dynasty	zhou_dynasty	Zhou Dynasty	evolved-into	-1600	-1046	85	["archaeological","linguistic"]	Chinese civilization continuity	["Keightley 1999"]
cl-074	proto_kra_dai	Proto-Kra-Dai	proto_hlai	Proto-Hlai	split-from	-3000	-2000	65	["linguistic"]	Hlai branch separation in Hainan	["Norquest 2007"]
cl-075	proto_indo_aryan	Proto-Indo-Aryan	vedic_sanskrit	Vedic Sanskrit	evolved-into	-1500	-500	90	["linguistic"]	Rigvedic hymns preserve earliest Indo-Aryan	["Witzel 2001"]
cl-076	vedic_sanskrit	Vedic Sanskrit	classical_sanskrit	Classical Sanskrit	evolved-into	-500	300	90	["linguistic"]	Panini codifies Classical Sanskrit	["Cardona 1997"]
cl-077	proto_northwest_semitic	Proto-Northwest Semitic	phoenician	Phoenician	evolved-into	-1500	-800	80	["linguistic","archaeological"]	Phoenician emerges, invents alphabet	["Holst 2014"]
cl-078	phoenician	Phoenician	punic	Punic	evolved-into	-800	-146	85	["linguistic","archaeological"]	Phoenician colonial variant in Carthage	["Krahmalkov 2001"]
cl-079	proto_northwest_semitic	Proto-Northwest Semitic	proto_aramaic	Proto-Aramaic	evolved-into	-1200	-900	80	["linguistic"]	Aramaic branch emerges	["Gzella 2015"]
cl-080	proto_aramaic	Proto-Aramaic	imperial_aramaic	Imperial Aramaic	evolved-into	-700	-300	85	["linguistic"]	Aramaic becomes lingua franca of Near East	["Gzella 2015"]
cl-081	harappan	Harappan Culture	proto_indo_aryan	Proto-Indo-Aryan	preceded-by	-2600	-1900	45	["archaeological"]	IVC decline preceded Indo-Aryan arrival	["Kenoyer 1998"]
cl-082	proto_polynesian	Proto-Polynesian	eastern_polynesian	Eastern Polynesian	split-from	-300	800	80	["linguistic","archaeological"]	Eastern Polynesian colonization wave	["Kirch 2000"]
cl-083	eastern_polynesian	Eastern Polynesian	hawaiian	Hawaiian	evolved-into	800	1200	80	["linguistic","archaeological"]	Settlement of Hawaii	["Kirch 2012"]
cl-084	eastern_polynesian	Eastern Polynesian	maori	Maori	evolved-into	1200	1400	85	["linguistic","archaeological","genetic"]	Settlement of New Zealand	["Walter et al. 2017"]
cl-085	proto_romance	Proto-Romance	old_french	Old French	evolved-into	800	1100	85	["linguistic"]	French emerges from Gallo-Romance	["Posner 1996"]
cl-086	proto_romance	Proto-Romance	old_spanish	Old Spanish	evolved-into	900	1200	85	["linguistic"]	Spanish emerges from Ibero-Romance	["Penny 2002"]
cl-087	proto_romance	Proto-Romance	old_italian	Old Italian	evolved-into	900	1200	85	["linguistic"]	Italian emerges from Italo-Romance	["Maiden & Parry 1997"]
cl-088	proto_north_germanic	Proto-North Germanic	old_norse	Old Norse	evolved-into	200	800	85	["linguistic"]	Old Norse emerges in Scandinavia	["Gordon 1957"]
cl-089	old_norse	Old Norse	old_icelandic	Old Icelandic	evolved-into	800	1200	90	["linguistic"]	Icelandic preserves archaic Norse	["Gordon 1957"]
cl-090	proto_west_germanic	Proto-West Germanic	old_english	Old English	evolved-into	400	700	85	["linguistic","archaeological"]	Anglo-Saxon migration to Britain	["Hogg 1992"]
cl-091	old_english	Old English	middle_english	Middle English	evolved-into	1066	1500	90	["linguistic"]	Norman Conquest transforms English	["Blake 1996"]
cl-092	proto_west_germanic	Proto-West Germanic	old_high_german	Old High German	evolved-into	500	1050	85	["linguistic"]	High German consonant shift	["Wells 1985"]
cl-093	proto_slavic	Proto-Slavic	old_east_slavic	Old East Slavic	evolved-into	500	1100	80	["linguistic"]	East Slavic branch crystallizes	["Sussex & Cubberley 2006"]
cl-094	old_east_slavic	Old East Slavic	old_russian	Old Russian	evolved-into	1100	1400	85	["linguistic"]	Russian emerges from East Slavic	["Sussex & Cubberley 2006"]
cl-095	nok	Nok Culture	proto_bantu	Proto-Bantu	possibly-associated	-1000	200	35	["archaeological"]	Possible connection between Nok ironworking and Bantu expansion	["Phillipson 2005"]
