id	language_id	verb_concept	infinitive_form	conjugation_table	irregular	complexity_score	notes
vp011	ita	to go	andare	{"present":{"1sg":"vado","2sg":"vai","3sg":"va","1pl":"andiamo","2pl":"andate","3pl":"vanno"},"imperfetto":{"1sg":"andavo","2sg":"andavi","3sg":"andava","1pl":"andavamo","2pl":"andavate","3pl":"andavano"},"futuro":{"1sg":"andrò","2sg":"andrai","3sg":"andrà","1pl":"andremo","2pl":"andrete","3pl":"andranno"}}	true	21	Suppletive present: vad-/and-; irregular future stem andr-
vp012	ita	to give	dare	{"present":{"1sg":"do","2sg":"dai","3sg":"dà","1pl":"diamo","2pl":"date","3pl":"danno"},"imperfetto":{"1sg":"davo","2sg":"davi","3sg":"dava","1pl":"davamo","2pl":"davate","3pl":"davano"},"passato_remoto":{"1sg":"diedi","2sg":"desti","3sg":"diede","1pl":"demmo","2pl":"deste","3pl":"diedero"},"futuro":{"1sg":"darò","2sg":"darai","3sg":"darà","1pl":"daremo","2pl":"darete","3pl":"daranno"}}	true	28	Irregular monosyllabic verb; passato remoto has alternate forms
vp013	por	to be	ser	{"present":{"1sg":"sou","2sg":"és","3sg":"é","1pl":"somos","2pl":"sois","3pl":"são"},"pretérito":{"1sg":"fui","2sg":"foste","3sg":"foi","1pl":"fomos","2pl":"fostes","3pl":"foram"},"imperfeito":{"1sg":"era","2sg":"eras","3sg":"era","1pl":"éramos","2pl":"éreis","3pl":"eram"},"futuro":{"1sg":"serei","2sg":"serás","3sg":"será","1pl":"seremos","2pl":"sereis","3pl":"serão"}}	true	28	Like Spanish, Portuguese has ser/estar distinction
vp014	por	to go	ir	{"present":{"1sg":"vou","2sg":"vais","3sg":"vai","1pl":"vamos","2pl":"ides","3pl":"vão"},"pretérito":{"1sg":"fui","2sg":"foste","3sg":"foi","1pl":"fomos","2pl":"fostes","3pl":"foram"},"imperfeito":{"1sg":"ia","2sg":"ias","3sg":"ia","1pl":"íamos","2pl":"íeis","3pl":"iam"},"futuro":{"1sg":"irei","2sg":"irás","3sg":"irá","1pl":"iremos","2pl":"ireis","3pl":"irão"}}	true	24	Preterite identical to ser; three stems: v-/i-/fu-
vp015	deu	to be	sein	{"present":{"1sg":"bin","2sg":"bist","3sg":"ist","1pl":"sind","2pl":"seid","3pl":"sind"},"präteritum":{"1sg":"war","2sg":"warst","3sg":"war","1pl":"waren","2pl":"wart","3pl":"waren"},"konjunktiv_I":{"1sg":"sei","2sg":"seist","3sg":"sei","1pl":"seien","2pl":"seiet","3pl":"seien"},"konjunktiv_II":{"1sg":"wäre","2sg":"wärst","3sg":"wäre","1pl":"wären","2pl":"wärt","3pl":"wären"}}	true	14	Most irregular German verb; suppletive: bin/ist/war/sei
vp016	deu	to go	gehen	{"present":{"1sg":"gehe","2sg":"gehst","3sg":"geht","1pl":"gehen","2pl":"geht","3pl":"gehen"},"präteritum":{"1sg":"ging","2sg":"gingst","3sg":"ging","1pl":"gingen","2pl":"gingt","3pl":"gingen"},"konjunktiv_II":{"1sg":"ginge","2sg":"gingest","3sg":"ginge","1pl":"gingen","2pl":"ginget","3pl":"gingen"}}	true	10	Strong verb with ablaut: geh-/ging-/gegangen
vp017	deu	to give	geben	{"present":{"1sg":"gebe","2sg":"gibst","3sg":"gibt","1pl":"geben","2pl":"gebt","3pl":"geben"},"präteritum":{"1sg":"gab","2sg":"gabst","3sg":"gab","1pl":"gaben","2pl":"gabt","3pl":"gaben"},"konjunktiv_II":{"1sg":"gäbe","2sg":"gäbest","3sg":"gäbe","1pl":"gäben","2pl":"gäbet","3pl":"gäben"}}	true	10	Strong verb with e/i alternation in present and ablaut in past
vp018	rus	to be	быть	{"present":{"1sg":"есмь","2sg":"еси","3sg":"есть","1pl":"есмы","2pl":"есте","3pl":"суть"},"past":{"masculine":"был","feminine":"была","neuter":"было","plural":"были"},"future":{"1sg":"буду","2sg":"будешь","3sg":"будет","1pl":"будем","2pl":"будете","3pl":"будут"}}	true	10	Present tense rarely used (only есть in existential sense); past tense marks gender not person
vp019	rus	to go	идти	{"present":{"1sg":"иду","2sg":"идёшь","3sg":"идёт","1pl":"идём","2pl":"идёте","3pl":"идут"},"past":{"masculine":"шёл","feminine":"шла","neuter":"шло","plural":"шли"},"future_compound":{"1sg":"буду идти","2sg":"будешь идти","3sg":"будет идти","1pl":"будем идти","2pl":"будете идти","3pl":"будут идти"}}	true	10	Suppletive past шёл; imperfective of motion; ходить for habitual
vp020	rus	to give	дать	{"present_perfective":{"1sg":"дам","2sg":"дашь","3sg":"даст","1pl":"дадим","2pl":"дадите","3pl":"дадут"},"past":{"masculine":"дал","feminine":"дала","neuter":"дало","plural":"дали"},"imperative":{"2sg":"дай","2pl":"дайте"}}	true	8	Perfective; athematic conjugation (дам not даю); imperfective pair: давать
vp021	pol	to be	być	{"present":{"1sg":"jestem","2sg":"jesteś","3sg":"jest","1pl":"jesteśmy","2pl":"jesteście","3pl":"są"},"past":{"1sg_m":"byłem","1sg_f":"byłam","2sg_m":"byłeś","2sg_f":"byłaś","3sg_m":"był","3sg_f":"była","3sg_n":"było","1pl_m":"byliśmy","1pl_f":"byłyśmy","3pl_m":"byli","3pl_f":"były"},"future":{"1sg":"będę","2sg":"będziesz","3sg":"będzie","1pl":"będziemy","2pl":"będziecie","3pl":"będą"}}	true	17	Past tense encodes both gender and person; jestem/jest/są suppletive
vp022	lat	to be	esse	{"present":{"1sg":"sum","2sg":"es","3sg":"est","1pl":"sumus","2pl":"estis","3pl":"sunt"},"imperfect":{"1sg":"eram","2sg":"eras","3sg":"erat","1pl":"eramus","2pl":"eratis","3pl":"erant"},"future":{"1sg":"ero","2sg":"eris","3sg":"erit","1pl":"erimus","2pl":"eritis","3pl":"erunt"},"perfect":{"1sg":"fui","2sg":"fuisti","3sg":"fuit","1pl":"fuimus","2pl":"fuistis","3pl":"fuerunt"},"subjunctive_present":{"1sg":"sim","2sg":"sis","3sg":"sit","1pl":"simus","2pl":"sitis","3pl":"sint"}}	true	30	Source of Romance 'to be' forms; suppletive: sum/es/fu-/er-
vp023	lat	to go	ire	{"present":{"1sg":"eo","2sg":"is","3sg":"it","1pl":"imus","2pl":"itis","3pl":"eunt"},"imperfect":{"1sg":"ibam","2sg":"ibas","3sg":"ibat","1pl":"ibamus","2pl":"ibatis","3pl":"ibant"},"future":{"1sg":"ibo","2sg":"ibis","3sg":"ibit","1pl":"ibimus","2pl":"ibitis","3pl":"ibunt"},"perfect":{"1sg":"ii","2sg":"isti","3sg":"iit","1pl":"iimus","2pl":"istis","3pl":"ierunt"}}	true	24	Athematic verb; source of Spanish/Portuguese ir future forms
vp024	lat	to give	dare	{"present":{"1sg":"do","2sg":"das","3sg":"dat","1pl":"damus","2pl":"datis","3pl":"dant"},"imperfect":{"1sg":"dabam","2sg":"dabas","3sg":"dabat","1pl":"dabamus","2pl":"dabatis","3pl":"dabant"},"future":{"1sg":"dabo","2sg":"dabis","3sg":"dabit","1pl":"dabimus","2pl":"dabitis","3pl":"dabunt"},"perfect":{"1sg":"dedi","2sg":"dedisti","3sg":"dedit","1pl":"dedimus","2pl":"dedistis","3pl":"dederunt"}}	true	24	First conjugation but irregular short a; reduplicating perfect dedi
vp025	grc	to be	εἶναι	{"present":{"1sg":"εἰμί","2sg":"εἶ","3sg":"ἐστί","1pl":"ἐσμέν","2pl":"ἐστέ","3pl":"εἰσί"},"imperfect":{"1sg":"ἦν","2sg":"ἦσθα","3sg":"ἦν","1pl":"ἦμεν","2pl":"ἦτε","3pl":"ἦσαν"},"future":{"1sg":"ἔσομαι","2sg":"ἔσῃ","3sg":"ἔσται","1pl":"ἐσόμεθα","2pl":"ἔσεσθε","3pl":"ἔσονται"}}	true	18	Athematic verb; future is middle voice; cognate with Latin sum, Sanskrit asmi
vp026	grc	to give	διδόναι	{"present":{"1sg":"δίδωμι","2sg":"δίδως","3sg":"δίδωσι","1pl":"δίδομεν","2pl":"δίδοτε","3pl":"διδόασι"},"imperfect":{"1sg":"ἐδίδουν","2sg":"ἐδίδους","3sg":"ἐδίδου","1pl":"ἐδίδομεν","2pl":"ἐδίδοτε","3pl":"ἐδίδοσαν"},"aorist":{"1sg":"ἔδωκα","2sg":"ἔδωκας","3sg":"ἔδωκε","1pl":"ἔδομεν","2pl":"ἔδοτε","3pl":"ἔδοσαν"}}	true	18	Reduplicated present stem δι-δω-; athematic (-μι verb)
vp027	tur	to be	olmak	{"present":{"1sg":"-yım","2sg":"-sın","3sg":"-dır","1pl":"-yız","2pl":"-sınız","3pl":"-dırlar"},"past":{"1sg":"-ydım","2sg":"-ydın","3sg":"-ydı","1pl":"-ydık","2pl":"-ydınız","3pl":"-ydılar"},"evidential":{"1sg":"-ymışım","2sg":"-ymışsın","3sg":"-ymış","1pl":"-ymışız","2pl":"-ymışsınız","3pl":"-ymışlar"}}	true	9	Copula expressed as suffixes; distinct evidential past (-mış) for unwitnessed events
vp028	tur	to go	gitmek	{"present_continuous":{"1sg":"gidiyorum","2sg":"gidiyorsun","3sg":"gidiyor","1pl":"gidiyoruz","2pl":"gidiyorsunuz","3pl":"gidiyorlar"},"aorist":{"1sg":"giderim","2sg":"gidersin","3sg":"gider","1pl":"gideriz","2pl":"gidersiniz","3pl":"giderler"},"past_definite":{"1sg":"gittim","2sg":"gittin","3sg":"gitti","1pl":"gittik","2pl":"gittiniz","3pl":"gittiler"},"future":{"1sg":"gideceğim","2sg":"gideceksin","3sg":"gidecek","1pl":"gideceğiz","2pl":"gideceksiniz","3pl":"gidecekler"}}	false	24	Consonant mutation t/d; agglutinative: stem + tense + person suffixes
vp029	tur	to give	vermek	{"present_continuous":{"1sg":"veriyorum","2sg":"veriyorsun","3sg":"veriyor","1pl":"veriyoruz","2pl":"veriyorsunuz","3pl":"veriyorlar"},"aorist":{"1sg":"veririm","2sg":"verirsin","3sg":"verir","1pl":"veririz","2pl":"verirsiniz","3pl":"verirler"},"past_definite":{"1sg":"verdim","2sg":"verdin","3sg":"verdi","1pl":"verdik","2pl":"verdiniz","3pl":"verdiler"},"future":{"1sg":"vereceğim","2sg":"vereceksin","3sg":"verecek","1pl":"vereceğiz","2pl":"vereceksiniz","3pl":"verecekler"}}	false	24	Regular agglutinative paradigm; transparent suffix chain
vp030	fin	to be	olla	{"present":{"1sg":"olen","2sg":"olet","3sg":"on","1pl":"olemme","2pl":"olette","3pl":"ovat"},"past":{"1sg":"olin","2sg":"olit","3sg":"oli","1pl":"olimme","2pl":"olitte","3pl":"olivat"},"conditional":{"1sg":"olisin","2sg":"olisit","3sg":"olisi","1pl":"olisimme","2pl":"olisitte","3pl":"olisivat"},"potential":{"1sg":"lienen","2sg":"lienet","3sg":"lienee","1pl":"lienemme","2pl":"lienette","3pl":"lienevät"}}	true	16	Irregular 3sg 'on'; potential mood uses different stem; negative conjugation uses separate verb ei
vp031	fin	to go	mennä	{"present":{"1sg":"menen","2sg":"menet","3sg":"menee","1pl":"menemme","2pl":"menette","3pl":"menevät"},"past":{"1sg":"menin","2sg":"menit","3sg":"meni","1pl":"menimme","2pl":"menitte","3pl":"menivät"},"conditional":{"1sg":"menisin","2sg":"menisit","3sg":"menisi","1pl":"menisimme","2pl":"menisitte","3pl":"menisivät"}}	false	14	Consonant gradation: nn/n; regular agglutinative pattern
vp032	fin	to give	antaa	{"present":{"1sg":"annan","2sg":"annat","3sg":"antaa","1pl":"annamme","2pl":"annatte","3pl":"antavat"},"past":{"1sg":"annoin","2sg":"annoit","3sg":"antoi","1pl":"annoimme","2pl":"annoitte","3pl":"antoivat"},"conditional":{"1sg":"antaisin","2sg":"antaisit","3sg":"antaisi","1pl":"antaisimme","2pl":"antaisitte","3pl":"antaisivat"}}	false	14	Consonant gradation: nt/nn; regular paradigm
vp033	hun	to be	lenni	{"present_definite":{"1sg":"vagyok","2sg":"vagy","3sg":"van","1pl":"vagyunk","2pl":"vagytok","3pl":"vannak"},"past":{"1sg":"voltam","2sg":"voltál","3sg":"volt","1pl":"voltunk","2pl":"voltatok","3pl":"voltak"},"conditional":{"1sg":"lennék","2sg":"lennél","3sg":"lenne","1pl":"lennénk","2pl":"lennétek","3pl":"lennének"}}	true	12	Suppletive: vagy-/van/vol-/len-; omitted in 3rd person predicate adjectives
vp034	hun	to go	menni	{"present_indefinite":{"1sg":"megyek","2sg":"mész","3sg":"megy","1pl":"megyünk","2pl":"mentek","3pl":"mennek"},"past_indefinite":{"1sg":"mentem","2sg":"mentél","3sg":"ment","1pl":"mentünk","2pl":"mentetek","3pl":"mentek"},"conditional":{"1sg":"mennék","2sg":"mennél","3sg":"menne","1pl":"mennénk","2pl":"mennétek","3pl":"mennének"}}	true	12	Irregular stem changes: megy-/men-; Hungarian has definite/indefinite conjugation
vp035	hun	to give	adni	{"present_indefinite":{"1sg":"adok","2sg":"adsz","3sg":"ad","1pl":"adunk","2pl":"adtok","3pl":"adnak"},"present_definite":{"1sg":"adom","2sg":"adod","3sg":"adja","1pl":"adjuk","2pl":"adjátok","3pl":"adják"},"past_indefinite":{"1sg":"adtam","2sg":"adtál","3sg":"adott","1pl":"adtunk","2pl":"adtatok","3pl":"adtak"},"past_definite":{"1sg":"adtam","2sg":"adtad","3sg":"adta","1pl":"adtuk","2pl":"adtátok","3pl":"adták"}}	false	24	Shows definite/indefinite conjugation contrast; definite used with specific objects
vp036	jpn	to be	ある/いる	{"non_past_plain":{"affirmative":"ある/いる","negative":"ない/いない"},"past_plain":{"affirmative":"あった/いた","negative":"なかった/いなかった"},"non_past_polite":{"affirmative":"あります/います","negative":"ありません/いません"},"past_polite":{"affirmative":"ありました/いました","negative":"ありませんでした/いませんでした"}}	true	8	Two verbs: ある (aru) for inanimate, いる (iru) for animate; copula だ/です is separate
vp037	jpn	to go	行く	{"non_past_plain":{"affirmative":"行く","negative":"行かない"},"past_plain":{"affirmative":"行った","negative":"行かなかった"},"non_past_polite":{"affirmative":"行きます","negative":"行きません"},"te_form":"行って","conditional":"行けば","volitional":"行こう"}	true	7	Irregular te-form (行って not 行いて); godan verb with k-stem
vp038	jpn	to give	あげる/くれる	{"non_past_plain":{"affirmative_give_up":"あげる","affirmative_give_down":"くれる"},"past_plain":{"give_up":"あげた","give_down":"くれた"},"polite":{"give_up":"あげます","give_down":"くれます"},"te_form":{"give_up":"あげて","give_down":"くれて"}}	true	8	Two verbs based on social direction: あげる (give away/up), くれる (give to me/down); reflects honorific system
vp039	kor	to be	이다	{"declarative_present":{"formal":"입니다","informal":"이야/야","written":"이다"},"declarative_past":{"formal":"이었습니다","informal":"이었어/였어"},"interrogative":{"formal":"입니까","informal":"이야/야"},"negative":"아니다"}	true	6	Copula; separate from 있다 (existence); particles attach to preceding noun
vp040	kor	to go	가다	{"declarative_present":{"formal":"갑니다","informal":"가","polite":"가요"},"declarative_past":{"formal":"갔습니다","informal":"갔어","polite":"갔어요"},"future":{"formal":"가겠습니다","informal":"갈 거야","polite":"갈 거예요"},"imperative":{"formal":"가십시오","polite":"가세요","informal":"가"}}	false	12	Regular verb; speech levels create paradigm complexity rather than person marking
vp041	kor	to give	주다	{"declarative_present":{"formal":"줍니다","informal":"줘","polite":"줘요"},"declarative_past":{"formal":"주었습니다","informal":"줬어","polite":"줬어요"},"humble":"드리다","honorific":"주시다","imperative":{"formal":"주십시오","polite":"주세요","informal":"줘"}}	false	12	Honorific system: 주다 (neutral), 드리다 (humble/giving to superior), 주시다 (superior giving)
vp042	cmn	to be	是	{"present":{"statement":"是","negation":"不是","question":"是不是"},"past":{"statement":"是","negation":"不是"},"aspect":{"perfective":"是了"}}	false	3	Invariable; no conjugation for person/number/tense; same form in all contexts
vp043	cmn	to go	去	{"present":{"statement":"去","negation":"不去","question":"去不去"},"past":{"statement":"去了","negation":"没去","question":"去了没有"},"progressive":"在去","experiential":"去过"}	false	5	Invariable stem; aspect particles (了 perfective, 过 experiential, 在 progressive) create distinctions
vp044	cmn	to give	给	{"present":{"statement":"给","negation":"不给","question":"给不给"},"past":{"statement":"给了","negation":"没给"},"disposal":"把...给","passive":"被...给"}	false	4	Invariable; also functions as preposition and passive marker
vp045	vie	to be	là	{"present":{"statement":"là","negation":"không phải là"},"past":{"statement":"đã là","negation":"đã không phải là"},"future":{"statement":"sẽ là","negation":"sẽ không là"}}	false	3	Invariable copula; tense indicated by preverbal particles đã (past), sẽ (future)
vp046	vie	to go	đi	{"present":{"statement":"đi","negation":"không đi"},"past":{"statement":"đã đi","negation":"đã không đi"},"future":{"statement":"sẽ đi","negation":"sẽ không đi"},"imperative":"đi đi","progressive":"đang đi"}	false	5	Invariable; preverbal particles for tense/aspect: đã (past), đang (progressive), sẽ (future)
vp047	vie	to give	cho	{"present":{"statement":"cho","negation":"không cho"},"past":{"statement":"đã cho","negation":"đã không cho"},"future":{"statement":"sẽ cho","negation":"sẽ không cho"}}	false	3	Invariable; also functions as complementizer and purpose marker
vp048	arb	to be	كان	{"perfect":{"1sg":"كُنتُ","2sg_m":"كُنتَ","2sg_f":"كُنتِ","3sg_m":"كانَ","3sg_f":"كانَت","1pl":"كُنّا","2pl_m":"كُنتُم","3pl_m":"كانوا","3pl_f":"كُنَّ"},"imperfect":{"1sg":"أكونُ","2sg_m":"تكونُ","2sg_f":"تكونينَ","3sg_m":"يكونُ","3sg_f":"تكونُ","1pl":"نكونُ","2pl_m":"تكونونَ","3pl_m":"يكونونَ"}}	true	16	Hollow verb (weak middle radical); present copula usually omitted in Arabic
vp049	arb	to go	ذهب	{"perfect":{"1sg":"ذَهَبتُ","2sg_m":"ذَهَبتَ","2sg_f":"ذَهَبتِ","3sg_m":"ذَهَبَ","3sg_f":"ذَهَبَت","1pl":"ذَهَبنا","2pl_m":"ذَهَبتُم","3pl_m":"ذَهَبوا"},"imperfect":{"1sg":"أذهَبُ","2sg_m":"تَذهَبُ","2sg_f":"تَذهَبينَ","3sg_m":"يَذهَبُ","3sg_f":"تَذهَبُ","1pl":"نَذهَبُ","2pl_m":"تَذهَبونَ","3pl_m":"يَذهَبونَ"}}	false	16	Regular Form I triliteral verb; root ذ-ه-ب; person/gender/number marked by affixes
vp050	arb	to give	أعطى	{"perfect":{"1sg":"أعطَيتُ","2sg_m":"أعطَيتَ","2sg_f":"أعطَيتِ","3sg_m":"أعطى","3sg_f":"أعطَت","1pl":"أعطَينا","2pl_m":"أعطَيتُم","3pl_m":"أعطَوا"},"imperfect":{"1sg":"أُعطي","2sg_m":"تُعطي","2sg_f":"تُعطينَ","3sg_m":"يُعطي","3sg_f":"تُعطي","1pl":"نُعطي","2pl_m":"تُعطونَ","3pl_m":"يُعطونَ"}}	true	16	Form IV (causative); defective verb (weak final radical); root ع-ط-ي
vp051	heb	to be	להיות	{"past":{"1sg":"הייתי","2sg_m":"היית","2sg_f":"היית","3sg_m":"היה","3sg_f":"הייתה","1pl":"היינו","2pl":"הייתם","3pl":"היו"},"future":{"1sg":"אהיה","2sg_m":"תהיה","2sg_f":"תהיי","3sg_m":"יהיה","3sg_f":"תהיה","1pl":"נהיה","2pl":"תהיו","3pl":"יהיו"},"present":{"m_sg":"הווה","f_sg":"הווה","m_pl":"הווים","f_pl":"הוות"}}	true	14	No present tense copula in most contexts; present participle form used for progressive
vp052	heb	to give	לתת	{"past":{"1sg":"נתתי","2sg_m":"נתת","2sg_f":"נתת","3sg_m":"נתן","3sg_f":"נתנה","1pl":"נתנו","2pl":"נתתם","3pl":"נתנו"},"future":{"1sg":"אתן","2sg_m":"תיתן","2sg_f":"תיתני","3sg_m":"ייתן","3sg_f":"תיתן","1pl":"ניתן","2pl":"תיתנו","3pl":"ייתנו"},"imperative":{"2sg_m":"תן","2sg_f":"תני","2pl":"תנו"}}	true	14	Root נ-ת-נ with assimilation of first nun; irregular imperative
vp053	hin	to be	होना	{"present":{"1sg":"हूँ","2sg_intimate":"है","2sg_familiar":"हो","3sg":"है","1pl":"हैं","2pl":"हो","3pl":"हैं"},"past":{"m_sg":"था","f_sg":"थी","m_pl":"थे","f_pl":"थीं"},"subjunctive":{"1sg":"होऊँ","2sg":"हो","3sg":"हो","1pl":"हों","2pl":"हो","3pl":"हों"}}	true	10	Past tense marks gender not person; three levels of formality in 2nd person
vp054	hin	to go	जाना	{"present_habitual":{"m_sg":"जाता है","f_sg":"जाती है","m_pl":"जाते हैं","f_pl":"जाती हैं"},"past":{"m_sg":"गया","f_sg":"गई","m_pl":"गए","f_pl":"गईं"},"subjunctive":{"1sg":"जाऊँ","2sg":"जाओ","3sg":"जाए","1pl":"जाएँ","3pl":"जाएँ"},"imperative":{"intimate":"जा","familiar":"जाओ","formal":"जाइए"}}	true	12	Suppletive past: जा-/गय-; gender agreement in past tense; split-ergative with transitive verbs
vp055	hin	to give	देना	{"present_habitual":{"m_sg":"देता है","f_sg":"देती है","m_pl":"देते हैं"},"past":{"m_sg":"दिया","f_sg":"दी","m_pl":"दिए","f_pl":"दीं"},"subjunctive":{"1sg":"दूँ","2sg":"दो","3sg":"दे","1pl":"दें","3pl":"दें"},"imperative":{"intimate":"दे","familiar":"दो","formal":"दीजिए"}}	true	12	Irregular past; ergative alignment in past transitive: subject takes ने postposition
vp056	san	to be	अस्	{"present":{"1sg":"अस्मि","2sg":"असि","3sg":"अस्ति","1du":"स्वः","2du":"स्थः","3du":"स्तः","1pl":"स्मः","2pl":"स्थ","3pl":"सन्ति"},"imperfect":{"1sg":"आसम्","2sg":"आसीः","3sg":"आसीत्","1pl":"आस्म","2pl":"आस्त","3pl":"आसन्"}}	true	16	Athematic root verb; cognate with Latin sum, Greek εἰμί; dual number preserved
vp057	san	to give	दा	{"present":{"1sg":"ददामि","2sg":"ददासि","3sg":"ददाति","1du":"दद्वः","2du":"दत्थः","3du":"दत्तः","1pl":"दद्मः","2pl":"दत्थ","3pl":"ददति"},"imperfect":{"1sg":"अददाम्","2sg":"अददाः","3sg":"अददात्","1pl":"अदद्म","2pl":"अदत्त","3pl":"अददुः"}}	true	18	Reduplicated present दद-; athematic (-mi conjugation); cognate with Latin dare, Greek δίδωμι
