rule_id	layer	head	clause_prolog	clause_souffle	depends	source	source_url	retrieved_at	confidence	version	status
schema-absorbed_into-from-ok	canonical-schema	from_ok_absorbed_into		from_ok_absorbed_into(X, Y) :- absorbed_into(X, Y), instance_of(X, "Culture"). from_ok_absorbed_into(X, Y) :- absorbed_into(X, Y), instance_of(X, "ArchaeologicalCulture").	absorbed_into;instance_of	canonical-schema	shared/canonical-schema.json		1.0	1.3.0	active
schema-absorbed_into-from-type	canonical-schema	absorbed_into_from_type_violation		absorbed_into_from_type_violation(X, Y) :- absorbed_into(X, Y), !from_ok_absorbed_into(X, Y).	absorbed_into;from_ok_absorbed_into	canonical-schema	shared/canonical-schema.json		1.0	1.3.0	active
schema-absorbed_into-to-ok	canonical-schema	to_ok_absorbed_into		to_ok_absorbed_into(X, Y) :- absorbed_into(X, Y), instance_of(Y, "Culture"). to_ok_absorbed_into(X, Y) :- absorbed_into(X, Y), instance_of(Y, "ArchaeologicalCulture").	absorbed_into;instance_of	canonical-schema	shared/canonical-schema.json		1.0	1.3.0	active
schema-absorbed_into-to-type	canonical-schema	absorbed_into_to_type_violation		absorbed_into_to_type_violation(X, Y) :- absorbed_into(X, Y), !to_ok_absorbed_into(X, Y).	absorbed_into;to_ok_absorbed_into	canonical-schema	shared/canonical-schema.json		1.0	1.3.0	active
schema-borrowed_from-from-ok	canonical-schema	from_ok_borrowed_from		from_ok_borrowed_from(X, Y) :- borrowed_from(X, Y), instance_of(X, "Language").	borrowed_from;instance_of	canonical-schema	shared/canonical-schema.json		1.0	1.3.0	active
schema-borrowed_from-from-type	canonical-schema	borrowed_from_from_type_violation		borrowed_from_from_type_violation(X, Y) :- borrowed_from(X, Y), !from_ok_borrowed_from(X, Y).	borrowed_from;from_ok_borrowed_from	canonical-schema	shared/canonical-schema.json		1.0	1.3.0	active
schema-borrowed_from-to-ok	canonical-schema	to_ok_borrowed_from		to_ok_borrowed_from(X, Y) :- borrowed_from(X, Y), instance_of(Y, "Language").	borrowed_from;instance_of	canonical-schema	shared/canonical-schema.json		1.0	1.3.0	active
schema-borrowed_from-to-type	canonical-schema	borrowed_from_to_type_violation		borrowed_from_to_type_violation(X, Y) :- borrowed_from(X, Y), !to_ok_borrowed_from(X, Y).	borrowed_from;to_ok_borrowed_from	canonical-schema	shared/canonical-schema.json		1.0	1.3.0	active
schema-cognate_with-from-ok	canonical-schema	from_ok_cognate_with		from_ok_cognate_with(X, Y) :- cognate_with(X, Y), instance_of(X, "Language").	cognate_with;instance_of	canonical-schema	shared/canonical-schema.json		1.0	1.3.0	active
schema-cognate_with-from-type	canonical-schema	cognate_with_from_type_violation		cognate_with_from_type_violation(X, Y) :- cognate_with(X, Y), !from_ok_cognate_with(X, Y).	cognate_with;from_ok_cognate_with	canonical-schema	shared/canonical-schema.json		1.0	1.3.0	active
schema-cognate_with-to-ok	canonical-schema	to_ok_cognate_with		to_ok_cognate_with(X, Y) :- cognate_with(X, Y), instance_of(Y, "Language").	cognate_with;instance_of	canonical-schema	shared/canonical-schema.json		1.0	1.3.0	active
schema-cognate_with-to-type	canonical-schema	cognate_with_to_type_violation		cognate_with_to_type_violation(X, Y) :- cognate_with(X, Y), !to_ok_cognate_with(X, Y).	cognate_with;to_ok_cognate_with	canonical-schema	shared/canonical-schema.json		1.0	1.3.0	active
schema-conquered_by-from-ok	canonical-schema	from_ok_conquered_by		from_ok_conquered_by(X, Y) :- conquered_by(X, Y), instance_of(X, "Culture"). from_ok_conquered_by(X, Y) :- conquered_by(X, Y), instance_of(X, "Place").	conquered_by;instance_of	canonical-schema	shared/canonical-schema.json		1.0	1.3.0	active
schema-conquered_by-from-type	canonical-schema	conquered_by_from_type_violation		conquered_by_from_type_violation(X, Y) :- conquered_by(X, Y), !from_ok_conquered_by(X, Y).	conquered_by;from_ok_conquered_by	canonical-schema	shared/canonical-schema.json		1.0	1.3.0	active
schema-conquered_by-to-ok	canonical-schema	to_ok_conquered_by		to_ok_conquered_by(X, Y) :- conquered_by(X, Y), instance_of(Y, "Culture"). to_ok_conquered_by(X, Y) :- conquered_by(X, Y), instance_of(Y, "Battle").	conquered_by;instance_of	canonical-schema	shared/canonical-schema.json		1.0	1.3.0	active
schema-conquered_by-to-type	canonical-schema	conquered_by_to_type_violation		conquered_by_to_type_violation(X, Y) :- conquered_by(X, Y), !to_ok_conquered_by(X, Y).	conquered_by;to_ok_conquered_by	canonical-schema	shared/canonical-schema.json		1.0	1.3.0	active
schema-csid-uniqueness	canonical-schema	csid_uniqueness_violation		csid_uniqueness_violation(C, N) :- node(C, T1, N), node(C, T2, M), N != M.	node	canonical-schema	shared/canonical-schema.json		1.0	1.3.0	active
schema-depicts-from-ok	canonical-schema	from_ok_depicts		from_ok_depicts(X, Y) :- depicts(X, Y), instance_of(X, "Asset").	depicts;instance_of	canonical-schema	shared/canonical-schema.json		1.0	1.3.0	active
schema-depicts-from-type	canonical-schema	depicts_from_type_violation		depicts_from_type_violation(X, Y) :- depicts(X, Y), !from_ok_depicts(X, Y).	depicts;from_ok_depicts	canonical-schema	shared/canonical-schema.json		1.0	1.3.0	active
schema-descends_from-from-ok	canonical-schema	from_ok_descends_from		from_ok_descends_from(X, Y) :- descends_from(X, Y), instance_of(X, "Language"). from_ok_descends_from(X, Y) :- descends_from(X, Y), instance_of(X, "LanguageFamily"). from_ok_descends_from(X, Y) :- descends_from(X, Y), instance_of(X, "Culture"). from_ok_descends_from(X, Y) :- descends_from(X, Y), instance_of(X, "ArchaeologicalCulture").	descends_from;instance_of	canonical-schema	shared/canonical-schema.json		1.0	1.3.0	active
schema-descends_from-from-type	canonical-schema	descends_from_from_type_violation		descends_from_from_type_violation(X, Y) :- descends_from(X, Y), !from_ok_descends_from(X, Y).	descends_from;from_ok_descends_from	canonical-schema	shared/canonical-schema.json		1.0	1.3.0	active
schema-descends_from-to-ok	canonical-schema	to_ok_descends_from		to_ok_descends_from(X, Y) :- descends_from(X, Y), instance_of(Y, "Language"). to_ok_descends_from(X, Y) :- descends_from(X, Y), instance_of(Y, "LanguageFamily"). to_ok_descends_from(X, Y) :- descends_from(X, Y), instance_of(Y, "Culture"). to_ok_descends_from(X, Y) :- descends_from(X, Y), instance_of(Y, "ArchaeologicalCulture").	descends_from;instance_of	canonical-schema	shared/canonical-schema.json		1.0	1.3.0	active
schema-descends_from-to-type	canonical-schema	descends_from_to_type_violation		descends_from_to_type_violation(X, Y) :- descends_from(X, Y), !to_ok_descends_from(X, Y).	descends_from;to_ok_descends_from	canonical-schema	shared/canonical-schema.json		1.0	1.3.0	active
schema-employed_by-from-ok	canonical-schema	from_ok_employed_by		from_ok_employed_by(X, Y) :- employed_by(X, Y), instance_of(X, "Character").	employed_by;instance_of	canonical-schema	shared/canonical-schema.json		1.0	1.3.0	active
schema-employed_by-from-type	canonical-schema	employed_by_from_type_violation		employed_by_from_type_violation(X, Y) :- employed_by(X, Y), !from_ok_employed_by(X, Y).	employed_by;from_ok_employed_by	canonical-schema	shared/canonical-schema.json		1.0	1.3.0	active
schema-employed_by-to-ok	canonical-schema	to_ok_employed_by		to_ok_employed_by(X, Y) :- employed_by(X, Y), instance_of(Y, "Business").	employed_by;instance_of	canonical-schema	shared/canonical-schema.json		1.0	1.3.0	active
schema-employed_by-to-type	canonical-schema	employed_by_to_type_violation		employed_by_to_type_violation(X, Y) :- employed_by(X, Y), !to_ok_employed_by(X, Y).	employed_by;to_ok_employed_by	canonical-schema	shared/canonical-schema.json		1.0	1.3.0	active
schema-located_in-to-ok	canonical-schema	to_ok_located_in		to_ok_located_in(X, Y) :- located_in(X, Y), instance_of(Y, "Place").	located_in;instance_of	canonical-schema	shared/canonical-schema.json		1.0	1.3.0	active
schema-located_in-to-type	canonical-schema	located_in_to_type_violation		located_in_to_type_violation(X, Y) :- located_in(X, Y), !to_ok_located_in(X, Y).	located_in;to_ok_located_in	canonical-schema	shared/canonical-schema.json		1.0	1.3.0	active
schema-mentions-from-ok	canonical-schema	from_ok_mentions		from_ok_mentions(X, Y) :- mentions(X, Y), instance_of(X, "Asset").	mentions;instance_of	canonical-schema	shared/canonical-schema.json		1.0	1.3.0	active
schema-mentions-from-type	canonical-schema	mentions_from_type_violation		mentions_from_type_violation(X, Y) :- mentions(X, Y), !from_ok_mentions(X, Y).	mentions;from_ok_mentions	canonical-schema	shared/canonical-schema.json		1.0	1.3.0	active
schema-merged_with-from-ok	canonical-schema	from_ok_merged_with		from_ok_merged_with(X, Y) :- merged_with(X, Y), instance_of(X, "Culture"). from_ok_merged_with(X, Y) :- merged_with(X, Y), instance_of(X, "Language"). from_ok_merged_with(X, Y) :- merged_with(X, Y), instance_of(X, "LanguageFamily").	merged_with;instance_of	canonical-schema	shared/canonical-schema.json		1.0	1.3.0	active
schema-merged_with-from-type	canonical-schema	merged_with_from_type_violation		merged_with_from_type_violation(X, Y) :- merged_with(X, Y), !from_ok_merged_with(X, Y).	merged_with;from_ok_merged_with	canonical-schema	shared/canonical-schema.json		1.0	1.3.0	active
schema-merged_with-to-ok	canonical-schema	to_ok_merged_with		to_ok_merged_with(X, Y) :- merged_with(X, Y), instance_of(Y, "Culture"). to_ok_merged_with(X, Y) :- merged_with(X, Y), instance_of(Y, "Language"). to_ok_merged_with(X, Y) :- merged_with(X, Y), instance_of(Y, "LanguageFamily").	merged_with;instance_of	canonical-schema	shared/canonical-schema.json		1.0	1.3.0	active
schema-merged_with-to-type	canonical-schema	merged_with_to_type_violation		merged_with_to_type_violation(X, Y) :- merged_with(X, Y), !to_ok_merged_with(X, Y).	merged_with;to_ok_merged_with	canonical-schema	shared/canonical-schema.json		1.0	1.3.0	active
schema-parent_of-from-ok	canonical-schema	from_ok_parent_of		from_ok_parent_of(X, Y) :- parent_of(X, Y), instance_of(X, "Character").	parent_of;instance_of	canonical-schema	shared/canonical-schema.json		1.0	1.3.0	active
schema-parent_of-from-type	canonical-schema	parent_of_from_type_violation		parent_of_from_type_violation(X, Y) :- parent_of(X, Y), !from_ok_parent_of(X, Y).	parent_of;from_ok_parent_of	canonical-schema	shared/canonical-schema.json		1.0	1.3.0	active
schema-parent_of-to-ok	canonical-schema	to_ok_parent_of		to_ok_parent_of(X, Y) :- parent_of(X, Y), instance_of(Y, "Character").	parent_of;instance_of	canonical-schema	shared/canonical-schema.json		1.0	1.3.0	active
schema-parent_of-to-type	canonical-schema	parent_of_to_type_violation		parent_of_to_type_violation(X, Y) :- parent_of(X, Y), !to_ok_parent_of(X, Y).	parent_of;to_ok_parent_of	canonical-schema	shared/canonical-schema.json		1.0	1.3.0	active
schema-resides_in-from-ok	canonical-schema	from_ok_resides_in		from_ok_resides_in(X, Y) :- resides_in(X, Y), instance_of(X, "Character").	resides_in;instance_of	canonical-schema	shared/canonical-schema.json		1.0	1.3.0	active
schema-resides_in-from-type	canonical-schema	resides_in_from_type_violation		resides_in_from_type_violation(X, Y) :- resides_in(X, Y), !from_ok_resides_in(X, Y).	resides_in;from_ok_resides_in	canonical-schema	shared/canonical-schema.json		1.0	1.3.0	active
schema-resides_in-to-ok	canonical-schema	to_ok_resides_in		to_ok_resides_in(X, Y) :- resides_in(X, Y), instance_of(Y, "Building").	resides_in;instance_of	canonical-schema	shared/canonical-schema.json		1.0	1.3.0	active
schema-resides_in-to-type	canonical-schema	resides_in_to_type_violation		resides_in_to_type_violation(X, Y) :- resides_in(X, Y), !to_ok_resides_in(X, Y).	resides_in;to_ok_resides_in	canonical-schema	shared/canonical-schema.json		1.0	1.3.0	active
schema-split_from-from-ok	canonical-schema	from_ok_split_from		from_ok_split_from(X, Y) :- split_from(X, Y), instance_of(X, "Language"). from_ok_split_from(X, Y) :- split_from(X, Y), instance_of(X, "LanguageFamily"). from_ok_split_from(X, Y) :- split_from(X, Y), instance_of(X, "Culture").	split_from;instance_of	canonical-schema	shared/canonical-schema.json		1.0	1.3.0	active
schema-split_from-from-type	canonical-schema	split_from_from_type_violation		split_from_from_type_violation(X, Y) :- split_from(X, Y), !from_ok_split_from(X, Y).	split_from;from_ok_split_from	canonical-schema	shared/canonical-schema.json		1.0	1.3.0	active
schema-split_from-to-ok	canonical-schema	to_ok_split_from		to_ok_split_from(X, Y) :- split_from(X, Y), instance_of(Y, "Language"). to_ok_split_from(X, Y) :- split_from(X, Y), instance_of(Y, "LanguageFamily"). to_ok_split_from(X, Y) :- split_from(X, Y), instance_of(Y, "Culture").	split_from;instance_of	canonical-schema	shared/canonical-schema.json		1.0	1.3.0	active
schema-split_from-to-type	canonical-schema	split_from_to_type_violation		split_from_to_type_violation(X, Y) :- split_from(X, Y), !to_ok_split_from(X, Y).	split_from;to_ok_split_from	canonical-schema	shared/canonical-schema.json		1.0	1.3.0	active
schema-spoken_in-from-ok	canonical-schema	from_ok_spoken_in		from_ok_spoken_in(X, Y) :- spoken_in(X, Y), instance_of(X, "Language").	spoken_in;instance_of	canonical-schema	shared/canonical-schema.json		1.0	1.3.0	active
schema-spoken_in-from-type	canonical-schema	spoken_in_from_type_violation		spoken_in_from_type_violation(X, Y) :- spoken_in(X, Y), !from_ok_spoken_in(X, Y).	spoken_in;from_ok_spoken_in	canonical-schema	shared/canonical-schema.json		1.0	1.3.0	active
schema-spoken_in-to-ok	canonical-schema	to_ok_spoken_in		to_ok_spoken_in(X, Y) :- spoken_in(X, Y), instance_of(Y, "Place").	spoken_in;instance_of	canonical-schema	shared/canonical-schema.json		1.0	1.3.0	active
schema-spoken_in-to-type	canonical-schema	spoken_in_to_type_violation		spoken_in_to_type_violation(X, Y) :- spoken_in(X, Y), !to_ok_spoken_in(X, Y).	spoken_in;to_ok_spoken_in	canonical-schema	shared/canonical-schema.json		1.0	1.3.0	active
schema-spouse_of-from-ok	canonical-schema	from_ok_spouse_of		from_ok_spouse_of(X, Y) :- spouse_of(X, Y), instance_of(X, "Character").	spouse_of;instance_of	canonical-schema	shared/canonical-schema.json		1.0	1.3.0	active
schema-spouse_of-from-type	canonical-schema	spouse_of_from_type_violation		spouse_of_from_type_violation(X, Y) :- spouse_of(X, Y), !from_ok_spouse_of(X, Y).	spouse_of;from_ok_spouse_of	canonical-schema	shared/canonical-schema.json		1.0	1.3.0	active
schema-spouse_of-to-ok	canonical-schema	to_ok_spouse_of		to_ok_spouse_of(X, Y) :- spouse_of(X, Y), instance_of(Y, "Character").	spouse_of;instance_of	canonical-schema	shared/canonical-schema.json		1.0	1.3.0	active
schema-spouse_of-to-type	canonical-schema	spouse_of_to_type_violation		spouse_of_to_type_violation(X, Y) :- spouse_of(X, Y), !to_ok_spouse_of(X, Y).	spouse_of;to_ok_spouse_of	canonical-schema	shared/canonical-schema.json		1.0	1.3.0	active
schema-syncretized_with-from-ok	canonical-schema	from_ok_syncretized_with		from_ok_syncretized_with(X, Y) :- syncretized_with(X, Y), instance_of(X, "Religion"). from_ok_syncretized_with(X, Y) :- syncretized_with(X, Y), instance_of(X, "Deity").	syncretized_with;instance_of	canonical-schema	shared/canonical-schema.json		1.0	1.3.0	active
schema-syncretized_with-from-type	canonical-schema	syncretized_with_from_type_violation		syncretized_with_from_type_violation(X, Y) :- syncretized_with(X, Y), !from_ok_syncretized_with(X, Y).	syncretized_with;from_ok_syncretized_with	canonical-schema	shared/canonical-schema.json		1.0	1.3.0	active
schema-syncretized_with-to-ok	canonical-schema	to_ok_syncretized_with		to_ok_syncretized_with(X, Y) :- syncretized_with(X, Y), instance_of(Y, "Religion"). to_ok_syncretized_with(X, Y) :- syncretized_with(X, Y), instance_of(Y, "Deity").	syncretized_with;instance_of	canonical-schema	shared/canonical-schema.json		1.0	1.3.0	active
schema-syncretized_with-to-type	canonical-schema	syncretized_with_to_type_violation		syncretized_with_to_type_violation(X, Y) :- syncretized_with(X, Y), !to_ok_syncretized_with(X, Y).	syncretized_with;to_ok_syncretized_with	canonical-schema	shared/canonical-schema.json		1.0	1.3.0	active
wd-p47-subject-type-adjacent_to	wikidata-property	adjacent_to_subject_type_violation		adjacent_to_subject_type_violation(X, Y) :- adjacent_to(X, Y), !instance_of(X, "Place").	adjacent_to;instance_of	wikidata	https://www.wikidata.org/wiki/Property:P47	2026-07-13T00:00:00Z	0.9	2026-07-13T00:00:00Z	active
wd-p47-symmetric-adjacent_to	wikidata-property	adjacent_to	adjacent_to(X, Y) :- adjacent_to(Y, X).	adjacent_to(X, Y) :- adjacent_to(Y, X).	adjacent_to	wikidata	https://www.wikidata.org/wiki/Property:P47	2026-07-13T00:00:00Z	0.9	2026-07-13T00:00:00Z	active
wd-p47-value-type-adjacent_to	wikidata-property	adjacent_to_value_type_violation		adjacent_to_value_type_violation(X, Y) :- adjacent_to(X, Y), !instance_of(Y, "Place").	adjacent_to;instance_of	wikidata	https://www.wikidata.org/wiki/Property:P47	2026-07-13T00:00:00Z	0.9	2026-07-13T00:00:00Z	active
