id	name	cuisine_id	category	coordinates	time_origin	time_end	description	wikidata_qid	source_url	retrieved_at	confidence	sources
no-knead-bread	no-knead bread						bread prepared with dough that is not kneaded	Q7042787	http://www.wikidata.org/entity/Q7042787	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
nukazuke	nukazuke						Japanese tsukemono, or pickled food	Q1135539	http://www.wikidata.org/entity/Q1135539	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
pickling	pickling						process of preserving, by either anaerobic fermentation in brine or immersion in vinegar	Q1503967	http://www.wikidata.org/entity/Q1503967	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
poaching	poaching						cooking technique	Q263588	http://www.wikidata.org/entity/Q263588	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
red-cooking	red cooking						slow braising Chinese cooking technique that imparts a red colour to the prepared food	Q2915733	http://www.wikidata.org/entity/Q2915733	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
reduction	reduction						process of thickening and intensifying the flavor of a liquid mixture such as a soup, sauce, wine, or juice by simmering or boiling	Q1971485	http://www.wikidata.org/entity/Q1971485	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
roasting	roasting						cooking method that uses dry heat where hot air envelops the food, cooking it evenly on all sides	Q4865573	http://www.wikidata.org/entity/Q4865573	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
rotisserie	rotisserie						metal spit used for holding meat to be cooked over an open flame	Q22847	http://www.wikidata.org/entity/Q22847	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
salmis	salmis						French dish, game meat stew	Q1393428	http://www.wikidata.org/entity/Q1393428	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
salt-crust	salt crust						method of covering of an ingredient, e.g. fish, in a sandlike mix of egg whites and salt; the salt insulates and helps cook the food evenly and gently; after baking, the golden-brown shell is cracked, resulting in moist and evenly cooked food	Q28691571	http://www.wikidata.org/entity/Q28691571	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
searing	searing						cooking technique	Q1483514	http://www.wikidata.org/entity/Q1483514	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
simmering	simmering						food preparation technique	Q240164	http://www.wikidata.org/entity/Q240164	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
smoking	smoking						exposing food to the smoke to flavour or preserve it	Q193713	http://www.wikidata.org/entity/Q193713	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
smothering	smothering						cooking technique	Q7546501	http://www.wikidata.org/entity/Q7546501	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
steeping	steeping						act of putting an object under warm water for a relatively long period of time	Q3309953	http://www.wikidata.org/entity/Q3309953	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
stir-frying	stir frying						cooking technique	Q8980672	http://www.wikidata.org/entity/Q8980672	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
sweet-and-sour	sweet and sour						cooking method	Q104383007	http://www.wikidata.org/entity/Q104383007	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
teriyaki	teriyaki						Japanese marinade	Q647175	http://www.wikidata.org/entity/Q647175	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
torrefacto	torrefacto						particular process of roasting coffee beans by adding a great amount of sugar to glaze the beans	Q48782623	http://www.wikidata.org/entity/Q48782623	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
water-roux	Water roux						Technique of making yeast dough	Q11563774	http://www.wikidata.org/entity/Q11563774	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
