id	name	style_period	origin_date	end_date	origin_coordinates	region	description	associated_civilizations	associated_languages	key_features	notable_examples	building_types	wikidata_qid	source_url	retrieved_at	confidence	sources
expressionist	expressionist						architectural style						Q1148060	http://www.wikidata.org/entity/Q1148060	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
flamboyant	Flamboyant						florid style of late Gothic architecture						Q1351624	http://www.wikidata.org/entity/Q1351624	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
functionalism	functionalism						20th-Century architectural style						Q47942	http://www.wikidata.org/entity/Q47942	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
georgian-style	Georgian						set of architectural styles current between 1720 and 1840						Q1125300	http://www.wikidata.org/entity/Q1125300	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
gothic-revival	Gothic Revival						architectural movement						Q186363	http://www.wikidata.org/entity/Q186363	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
greco-buddhist-art	Greco-Buddhist art						artistic manifestation of Greco-Buddhism, a cultural syncretism between Ancient Greek art and Buddhism, which had mainly evolved in the ancient region of Gandhara, located in the northwestern fringe of the Indian subcontinent						Q1008014	http://www.wikidata.org/entity/Q1008014	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
hall-church	hall church						type of church building						Q728266	http://www.wikidata.org/entity/Q728266	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
high-renaissance	High Renaissance						short period of the most exceptional artistic production during the Italian Renaissance						Q1474884	http://www.wikidata.org/entity/Q1474884	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
high-tech	high-tech						architectural style that emerged in the 1970s						Q845318	http://www.wikidata.org/entity/Q845318	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
hip-roof	hip roof						type of roof where all sides slope downwards to the walls						Q162034	http://www.wikidata.org/entity/Q162034	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
historicism	historicism						philosophy						Q460501	http://www.wikidata.org/entity/Q460501	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
international-gothic	International Gothic				{"lat":47.321944444,"lng":5.041111111}	Duchy of Burgundy	art style						Q867769	http://www.wikidata.org/entity/Q867769	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
international-style	International Style						type of modernist architecture						Q162324	http://www.wikidata.org/entity/Q162324	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
ionic-order	Ionic order						one of the 3 orders of classical architecture (along with Doric and Corinthian), characterized by the use of volutes; columns stand on a base which separates the shaft of the column from the stylobate; the cap is usually enriched with egg-and-dart						Q189548	http://www.wikidata.org/entity/Q189548	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
japanese-style	Japanese						Japanese process of planning, designing and constructing buildings and other structures						Q1422874	http://www.wikidata.org/entity/Q1422874	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
mannerism	Mannerism						style of European art						Q131808	http://www.wikidata.org/entity/Q131808	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
manueline	Manueline						architectural style						Q751878	http://www.wikidata.org/entity/Q751878	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
minimalism	Minimalism						movements in various forms of art and design						Q173436	http://www.wikidata.org/entity/Q173436	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
modern	modern						type of architecture						Q245188	http://www.wikidata.org/entity/Q245188	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
moorish	Moorish						architectural style historically developed in the western Islamic world						Q247492	http://www.wikidata.org/entity/Q247492	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
nazi	Nazi						architecture style promoted by the Nazis						Q287025	http://www.wikidata.org/entity/Q287025	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
neoclassical	Neoclassical						18th–19th-century European classical revivalist architectural style						Q54111	http://www.wikidata.org/entity/Q54111	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
new-urbanism	New Urbanism		1980		{"lat":39.828175,"lng":-98.5795}	United States	urban design movement promoting walkable neighborhoods with a wide range of housing and job types						Q735901	http://www.wikidata.org/entity/Q735901	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
norman	Norman						sub-type of Romanesque architecture						Q136693	http://www.wikidata.org/entity/Q136693	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
northern-renaissance	Northern Renaissance						Renaissance that occurred in the European countries north of the Alps						Q610877	http://www.wikidata.org/entity/Q610877	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
organic	organic						philosophy of architectural design						Q36118	http://www.wikidata.org/entity/Q36118	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
ottoman	Ottoman						architecture of the Ottoman Empire						Q527449	http://www.wikidata.org/entity/Q527449	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
palladian	Palladian						architectural style derived from the work of Andrea Palladio						Q264649	http://www.wikidata.org/entity/Q264649	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
panopticon	Panopticon						type of prison architecture imagined by the Bentham brothers						Q828310	http://www.wikidata.org/entity/Q828310	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
peripteral	peripteral						of a Greek temple, with columns along all four sides						Q60138	http://www.wikidata.org/entity/Q60138	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
pop-art	pop art		1950				art movement						Q134147	http://www.wikidata.org/entity/Q134147	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
postmodern	postmodern						architectural style that emerged in the 1960s						Q595448	http://www.wikidata.org/entity/Q595448	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
purism	purism		1918				French art movement						Q478774	http://www.wikidata.org/entity/Q478774	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
realism	realism						artistic style of representing subjects realistically						Q10857409	http://www.wikidata.org/entity/Q10857409	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
renaissance-revival	Renaissance Revival						branch of 19th-century architectural revival style						Q502163	http://www.wikidata.org/entity/Q502163	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
romanesque-revival	Romanesque Revival						style of building employed beginning in the mid-19th century						Q744373	http://www.wikidata.org/entity/Q744373	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
romanticism	Romanticism						artistic, literary, musical, and intellectual movement						Q37068	http://www.wikidata.org/entity/Q37068	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
sacred	sacred						architectural practices used in places of worship						Q47848	http://www.wikidata.org/entity/Q47848	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
stalinist	Stalinist						architectural style						Q1134824	http://www.wikidata.org/entity/Q1134824	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
star-fort	star fort						type of fortification based on bastions with a star shape						Q12797	http://www.wikidata.org/entity/Q12797	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
stilt-house	stilt house						houses raised on piles over the surface of the soil or a body of water						Q33565	http://www.wikidata.org/entity/Q33565	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
timber-framing	timber framing						building technique, construction method using heavy squared-off and carefully fitted and joined timbers						Q629000	http://www.wikidata.org/entity/Q629000	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
tudor	Tudor						architectural style						Q509364	http://www.wikidata.org/entity/Q509364	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
tuscan-order	Tuscan order						Architectural order						Q654057	http://www.wikidata.org/entity/Q654057	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
vernacular	vernacular						category of architecture based on local needs, construction materials and reflecting local traditions						Q930314	http://www.wikidata.org/entity/Q930314	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
victorian	Victorian						series of architectural revival styles						Q565165	http://www.wikidata.org/entity/Q565165	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
vienna-secession	Vienna Secession		1897				group of Austrian artists and architects						Q208208	http://www.wikidata.org/entity/Q208208	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
