id	name	native_name	pantheon	domain	gender	syncretism_links	associated_religion_ids	associated_language_ids	time_origin	time_end	coordinates	description	wikidata_qid	source_url	retrieved_at	confidence	sources
god-the-holy-spirit	God the Holy Spirit					["paraclete"]						in trinitarian Christianity, the third person of the Trinity, that proceeds from the Father (and the Son, depending on the branch of Christianity); often depicted as a dove in iconography	Q58646537	http://www.wikidata.org/entity/Q58646537	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
guan-emperor	Guan emperor				male							deification of Chinese warrior Guan Yu as the god of war and wealth	Q3118736	http://www.wikidata.org/entity/Q3118736	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
han-xiang	Han Xiang				male							one of the Eight Taoist Immortals	Q971072	http://www.wikidata.org/entity/Q971072	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
haoma	Haoma											Zoroastrian sacred plant and drink	Q1340569	http://www.wikidata.org/entity/Q1340569	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
hepat	Ḫepat				female							mother goddess of the Hurrians	Q425430	http://www.wikidata.org/entity/Q425430	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
hiisi	Hiisi											term in Finnic mythologies	Q1618029	http://www.wikidata.org/entity/Q1618029	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
himavat	Himavat				male							Father of Parvati in Hinduism	Q1937920	http://www.wikidata.org/entity/Q1937920	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
horned-god	Horned God				male							Wiccan and Neopagan deity	Q1498669	http://www.wikidata.org/entity/Q1498669	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
hou-yi	Hou Yi				male							Chinese mythological archer	Q1065105	http://www.wikidata.org/entity/Q1065105	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
houtu	Houtu				intersex							the deity of deep earth and soil in Chinese religion and mythology	Q3235126	http://www.wikidata.org/entity/Q3235126	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
hubal	Hubal				male							pre-Islamic Arabian god	Q289933	http://www.wikidata.org/entity/Q289933	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
ila	Ila				male							androgyne in Hindu mythology	Q1656495	http://www.wikidata.org/entity/Q1656495	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
ilmarinen	Ilmarinen				male							god in Finnish mythology	Q781257	http://www.wikidata.org/entity/Q781257	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
immortal-woman-he	Immortal Woman He				female							one of the Eight Taoist Immortals	Q970809	http://www.wikidata.org/entity/Q970809	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
imperial-uncle-cao	Imperial Uncle Cao				male							Song dynasty person (CBDB = 16846)	Q1034103	http://www.wikidata.org/entity/Q1034103	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
inshushinak	Inshushinak											one of the major gods of the Elamites and the protector deity of Susa	Q2339416	http://www.wikidata.org/entity/Q2339416	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
iron-crutch-li	Iron-Crutch Li				male							Taoist mythological figure	Q1473554	http://www.wikidata.org/entity/Q1473554	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
jarovit	Jarovit				male							Slavic war deity	Q1683693	http://www.wikidata.org/entity/Q1683693	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
jatayu	Jaṭāyu				male							bird deity in Hinduism who appears in the Ramayana epic	Q1323463	http://www.wikidata.org/entity/Q1323463	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
jayanti	Jayanti				female							Spouse of Shukra	Q18126249	http://www.wikidata.org/entity/Q18126249	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
jehovah	Jehovah					["god-in-judaism","yahweh","god"]						Latinate transliteration of יהוה (YHWH) with the vowel points of Adonai	Q3678579	http://www.wikidata.org/entity/Q3678579	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
jyotirlinga	Jyotirlinga											devotional object representing the god Shiva	Q1344358	http://www.wikidata.org/entity/Q1344358	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
kadru	Kadru				female							mother of the Nagas in Hindu legends	Q1695219	http://www.wikidata.org/entity/Q1695219	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
kitchen-god	kitchen god				male							the most important of a plethora of Chinese domestic gods that protect the hearth and family	Q249178	http://www.wikidata.org/entity/Q249178	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
kua-fu	Kua Fu											Chinese mythology character	Q2626304	http://www.wikidata.org/entity/Q2626304	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
kubaba	Kubaba				female							Queen of Sumer	Q948742	http://www.wikidata.org/entity/Q948742	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
kumari	Kumari				female							manifestations of the divine female energy or devi in Hindu religious traditions	Q1064555	http://www.wikidata.org/entity/Q1064555	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
kushmanda	Kushmanda				female							Hindu goddess	Q15045453	http://www.wikidata.org/entity/Q15045453	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
lan-caihe	Lan Caihe											Chinese mythological figure	Q599475	http://www.wikidata.org/entity/Q599475	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
legend-of-jigong	Legend of Jigong				male							Chan Buddhist monk who lived in the Southern Song	Q713924	http://www.wikidata.org/entity/Q713924	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
lono	Lono											Hawaiian deity, associated with fertility, agriculture, rainfall, music and peace	Q650821	http://www.wikidata.org/entity/Q650821	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
mahamrityunjaya-mantra	Mahamrityunjaya Mantra											verse of the Rigveda	Q1671077	http://www.wikidata.org/entity/Q1671077	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
malakbel	Malakbel				male							Sun god of the pantheon of the city of Palmyra	Q1302646	http://www.wikidata.org/entity/Q1302646	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
manaf	Manaf											pre-Islamic Arabian deity	Q3476320	http://www.wikidata.org/entity/Q3476320	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
manawydan-fab-llyr	Manawydan fab Llŷr				male							Celtic / Welsh water deity	Q1615649	http://www.wikidata.org/entity/Q1615649	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
maui	Māui				male							Polynesian mythological hero and trickster	Q1791456	http://www.wikidata.org/entity/Q1791456	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
maya-death-gods	Maya death gods				male							god of Death (Maya cult)	Q399744	http://www.wikidata.org/entity/Q399744	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
medeina	Medeina				female							deity in Lithuanian mythology	Q2509105	http://www.wikidata.org/entity/Q2509105	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
melqart	Melqart				male							a Canaanite deity, the lord of Tyre	Q843408	http://www.wikidata.org/entity/Q843408	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
mher	Mher				male							ancient Armenian deity	Q2033484	http://www.wikidata.org/entity/Q2033484	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
mummu	Mummu				male							mesopotamian deity	Q1276629	http://www.wikidata.org/entity/Q1276629	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
nana-buluku	Nana Buluku											female supreme being in some West African Traditional Religions such as Vodun	Q1746686	http://www.wikidata.org/entity/Q1746686	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
nanahuatzin	Nanahuatzin				male							aztec deity	Q2231341	http://www.wikidata.org/entity/Q2231341	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
naranarayana	Naranārāyaṇa											Hindu twin brother deity pair	Q2472959	http://www.wikidata.org/entity/Q2472959	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
nasr	Nasr											Pre-Islamic Arabian deity	Q3316164	http://www.wikidata.org/entity/Q3316164	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
nezha	Nezha				male							protection deity in Chinese folk religion	Q547105	http://www.wikidata.org/entity/Q547105	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
ngai	Ngai				male							African deity	Q1758221	http://www.wikidata.org/entity/Q1758221	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
ninkasi	Ninkasi											Sumerian goddess of beer	Q1088421	http://www.wikidata.org/entity/Q1088421	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
obatala	Obatala				male							Head of the orishas	Q2008736	http://www.wikidata.org/entity/Q2008736	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
oduduwa-deity	Oduduwa				male							Yoruba deity.(Oduduwa was a Yoruba divine king,legendary leader of the Ife Empire and a creator deity and orisha in the Yoruba religion.According to tradition, he was the holder of the title of the Olofin of Ile-Ife, the Yoruba holy city).Orishà	Q1750413	http://www.wikidata.org/entity/Q1750413	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
ogma	Ogma											character from Irish mythology and Scottish mythology	Q279872	http://www.wikidata.org/entity/Q279872	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
ophion	Ophion				male							Primordial Greek creator deity	Q1053307	http://www.wikidata.org/entity/Q1053307	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
paraclete	Paraclete					["god-the-holy-spirit"]						Greek for advocate or helper, mentioned in John 14:16–17; traditionally identified with the Holy Spirit or with other Messianic figures	Q864658	http://www.wikidata.org/entity/Q864658	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
phanes	Phanes				male							ancient Greek deity of procreation	Q1349003	http://www.wikidata.org/entity/Q1349003	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
portunes	Portunes				male							Roman god	Q1570477	http://www.wikidata.org/entity/Q1570477	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
prajapati	Prajāpati				male							Lord of creatures in Hinduism, god of the Kumhar society and its caste name	Q2017194	http://www.wikidata.org/entity/Q2017194	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
rohini	Rohini				female							lunar mansion in Hindu astrology and Indian astronomy. Aldebaran in western astronomy	Q3238710	http://www.wikidata.org/entity/Q3238710	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
salvator-mundi	Salvator Mundi											title of Jesus and subject in Christian iconography	Q51625	http://www.wikidata.org/entity/Q51625	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
samjna	Saṃjñā				female							Hindu goddess of clouds and dusk	Q1892398	http://www.wikidata.org/entity/Q1892398	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
sarabha	Śarabha											part-lion and part-bird beast in Hindu mythology	Q3521202	http://www.wikidata.org/entity/Q3521202	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
sauska	Šauška				female							Hurrian/Hittite feminine deity	Q391333	http://www.wikidata.org/entity/Q391333	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
selardi	Selardi				female							lunar deity of Urartu	Q2591110	http://www.wikidata.org/entity/Q2591110	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
seven-lucky-gods	Seven Lucky Gods											Group of seven Japanese deities believed to grant good fortune	Q846858	http://www.wikidata.org/entity/Q846858	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
shahmaran	Shahmaran											mythical creature often depicted as a woman in the upper half of her body and a serpent in the lower half of her body	Q388126	http://www.wikidata.org/entity/Q388126	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
shalim	Shalim				male							Canaanite God of the sunset	Q1819356	http://www.wikidata.org/entity/Q1819356	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
shezmu	Shezmu											ancient Egyptian deity	Q2962832	http://www.wikidata.org/entity/Q2962832	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
siddhidatri	Siddhidātrī											Hindu goddess of spiritual attainments	Q12457049	http://www.wikidata.org/entity/Q12457049	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
sobek	Sobek				male							Egyptian crocodile deity	Q146313	http://www.wikidata.org/entity/Q146313	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
souls-of-pe-and-nekhen	Souls of Pe and Nekhen											supernatural beings in ancient Egyptian religion	Q752162	http://www.wikidata.org/entity/Q752162	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
suwa	Suwa'											deity mentioned in the Quran	Q3316160	http://www.wikidata.org/entity/Q3316160	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
tai-sui	Tai Sui											Chinese zodiac term for stars directly opposite to Jupiter	Q2994191	http://www.wikidata.org/entity/Q2994191	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
taraka	Taraka				female							Hindu goddess	Q2625996	http://www.wikidata.org/entity/Q2625996	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
theispas	Theispas				male							Urartian god	Q966902	http://www.wikidata.org/entity/Q966902	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
tjenenyet	Tjenenyet				female							Egyptian deity	Q1986464	http://www.wikidata.org/entity/Q1986464	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
unknown-god	Unknown God											theory regarding ancient Greek religion	Q2743922	http://www.wikidata.org/entity/Q2743922	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
unkulunkulu	Unkulunkulu				hermaphroditism							Zulu mythological figure	Q1516552	http://www.wikidata.org/entity/Q1516552	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
uttu	Uttu				female							Sumerian goddess of weaving	Q844469	http://www.wikidata.org/entity/Q844469	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
vahagn	Vahagn				male							character of ancient Armenian mythology	Q2996497	http://www.wikidata.org/entity/Q2996497	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
vasoorimala	Vasoorimala				female							Hindu goddess	Q31700303	http://www.wikidata.org/entity/Q31700303	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
wadjet	Wadjet				female							ancient Egyptian snake-headed goddess, symbolizing Lower Egypt	Q146007	http://www.wikidata.org/entity/Q146007	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
ya-uq	Ya'uq											Arabian diety	Q5666548	http://www.wikidata.org/entity/Q5666548	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
yahweh	Yahweh					["jehovah","god-in-judaism","god-in-islam","baal"]						national god of ancient Israel and Judah kingdoms, god of monotheistic Judaism and Abrahamic religions	Q766677	http://www.wikidata.org/entity/Q766677	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
yakshini	yakshini											mythical beings of Hindu, Buddhist, and Jain mythology; female counterpart of the yaksha	Q3523909	http://www.wikidata.org/entity/Q3523909	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
yam	Yam				male							Canaanite sea, rivers and water god	Q2340435	http://www.wikidata.org/entity/Q2340435	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
yazata	Yazata											Zoroastrian Divinities	Q1193804	http://www.wikidata.org/entity/Q1193804	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
yngvi	Yngvi				male							Germanic deity	Q965980	http://www.wikidata.org/entity/Q965980	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
yum-kaax	Yum Kaax											Mayan deity of the harvest	Q143188	http://www.wikidata.org/entity/Q143188	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
zhong-kui	Zhong Kui				male							deity in Chinese mythology	Q1092708	http://www.wikidata.org/entity/Q1092708	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
zhurong	Zhurong				male							legendary ruler in prehistoric China associated with Chu (central Yangtze), later venerated as a fire diety and culture hero responsible for cooking and music	Q198249	http://www.wikidata.org/entity/Q198249	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
