id	name	route_type	waypoints	start_date	end_date	peoples	associated_languages	description	consequences	confidence	sources	wikidata_qid	source_url	retrieved_at
cuman-kipchak-migration	Cuman-Kipchak Migration	migration	{"type":"LineString","coordinates":[[70,48],[55,48],[40,48],[25,47]]}	1000	1240	["Cumans","Kipchaks"]	[]	Migration of the Turkic Cuman-Kipchak confederation across the Eurasian steppe into the Pontic region and, after the Mongol conquest, into Hungary.	Dominance of the Cuman steppe (Desht-i Qipchaq); settlement in the Kingdom of Hungary	0.8	["Wikidata","Wikipedia"]	Q1035516	http://www.wikidata.org/entity/Q1035516	2026-07-08T00:00:00Z
dorian-invasion	Dorian Invasion	invasion	{"type":"LineString","coordinates":[[21,40],[22,39],[22.5,37.5]]}	-1100	-1000	["Dorians"]	["grc"]	Traditional account of the southward movement of Dorian Greeks into the Peloponnese after the Mycenaean collapse.	Redistribution of Greek dialects; Dorian settlement of Sparta and Crete	0.8	["Wikidata","Wikipedia"]	Q987129	http://www.wikidata.org/entity/Q987129	2026-07-08T00:00:00Z
dust-bowl-migration	Dust Bowl Migration	migration	{"type":"LineString","coordinates":[[-100,36],[-108,35],[-115,35],[-119,36]]}	1930	1940	["Okies"]	["eng"]	Displacement of farming families from the drought-stricken southern Great Plains toward California during the 1930s.	Roughly 2.5 million left the Plains; reshaped Californian agriculture and politics	0.8	["Wikidata","Wikipedia"]	Q726501	http://www.wikidata.org/entity/Q726501	2026-07-08T00:00:00Z
european-migrant-crisis	European Migrant Crisis	refugee	{"type":"LineString","coordinates":[[36,34],[28,37],[22,40],[16,46],[13,52]]}	2015	2016	["Syrians","Afghans","Iraqis"]	["ara","prs"]	Surge of refugees and migrants, chiefly from Syria, crossing the Mediterranean and the Balkans into the European Union.	Political crisis over EU asylum policy; strain on the Schengen system	0.8	["Wikidata","Wikipedia"]	Q20857240	http://www.wikidata.org/entity/Q20857240	2026-07-08T00:00:00Z
fulani-expansion	Fulani Expansion	migration	{"type":"LineString","coordinates":[[-15,15],[-5,14],[5,13],[14,12]]}	1200	1800	["Fula"]	["ful"]	Eastward pastoral expansion of the Fula (Fulani) people across the Sahel from Senegambia toward Lake Chad.	Spread of Islam and pastoralism; Fulani jihad states of the 18th–19th centuries	0.8	["Wikidata","Wikipedia"]	Q202575	http://www.wikidata.org/entity/Q202575	2026-07-08T00:00:00Z
great-trek	Great Trek	colonization	{"type":"LineString","coordinates":[[18.4,-33.9],[24,-30],[26,-29],[28,-26],[31,-24]]}	1836	1852	["Boers"]	["afr"]	Eastward and northward migration of Dutch-descended Boer Voortrekkers from the British Cape Colony into the South African interior.	Foundation of the Boer republics; conflict with Zulu and Ndebele	0.8	["Wikidata","Wikipedia"]	Q338949	http://www.wikidata.org/entity/Q338949	2026-07-08T00:00:00Z
guanche-settlement	Guanche Settlement of the Canary Islands	maritime	{"type":"LineString","coordinates":[[-9,30],[-14,28.5],[-16,28.3]]}	-1000	100	["Guanches"]	["ber"]	Settlement of the Canary Islands by Berber Guanche peoples from northwest Africa.	Isolated Neolithic-level society encountered by Europeans in the 14th–15th centuries	0.8	["Wikidata","Wikipedia"]	Q219995	http://www.wikidata.org/entity/Q219995	2026-07-08T00:00:00Z
huguenot-diaspora	Huguenot Diaspora	diaspora	{"type":"LineString","coordinates":[[2,48],[4,51],[0,52],[13,52]]}	1685	1710	["Huguenots"]	["fra"]	Flight of French Calvinist Huguenots after the Revocation of the Edict of Nantes, into the Dutch Republic, England, Prussia, and the Cape.	Transfer of skills and capital out of France; Huguenot communities across Protestant Europe	0.8	["Wikidata","Wikipedia"]	Q101935	http://www.wikidata.org/entity/Q101935	2026-07-08T00:00:00Z
hunnic-migration	Hunnic Migration	invasion	{"type":"LineString","coordinates":[[70,45],[55,47],[40,47],[30,47],[20,47]]}	370	469	["Huns"]	[]	Westward movement of the nomadic Huns from the Central Asian steppe into the Pontic region and Pannonia, displacing Gothic and other Germanic peoples.	Triggered the Migration Period; pressured the Western Roman Empire	0.8	["Wikidata","Wikipedia"]	Q45813	http://www.wikidata.org/entity/Q45813	2026-07-08T00:00:00Z
hyksos-migration	Hyksos Migration	invasion	{"type":"LineString","coordinates":[[35,33],[34,32],[32,31],[31,31]]}	-1800	-1650	["Hyksos"]	[]	Infiltration and settlement of West Semitic Hyksos peoples into the eastern Nile Delta, culminating in their rule as Egypt's Fifteenth Dynasty.	Introduced the composite bow and horse-drawn chariot to Egypt	0.8	["Wikidata","Wikipedia"]	Q192319	http://www.wikidata.org/entity/Q192319	2026-07-08T00:00:00Z
italian-diaspora	Italian Diaspora	diaspora	{"type":"LineString","coordinates":[[12,42],[0,40],[-30,10],[-58,-34]]}	1870	1970	["Italians"]	["ita"]	Large-scale emigration of Italians, especially to the Americas, from the late 19th to mid-20th centuries.	Major Italian communities in Argentina, Brazil, and the United States	0.8	["Wikidata","Wikipedia"]	Q1675084	http://www.wikidata.org/entity/Q1675084	2026-07-08T00:00:00Z
khazar-migration	Khazar Migration	migration	{"type":"LineString","coordinates":[[60,45],[50,46],[47,45],[45,43]]}	600	650	["Khazars"]	[]	Westward movement of the Turkic Khazars into the North Caucasus and lower Volga, where they built the Khazar Khaganate.	A powerful steppe state buffering Byzantium and the Caliphate; elite conversion to Judaism	0.8	["Wikidata","Wikipedia"]	Q173282	http://www.wikidata.org/entity/Q173282	2026-07-08T00:00:00Z
lombard-migration	Lombard Migration	invasion	{"type":"LineString","coordinates":[[18,47],[14,46],[11,45],[10,45]]}	568	572	["Lombards"]	[]	Movement of the Lombards from Pannonia into the Italian peninsula, establishing the Lombard Kingdom in the Po Valley.	Fragmentation of Byzantine Italy; foundation of the Kingdom of the Lombards	0.8	["Wikidata","Wikipedia"]	Q130900	http://www.wikidata.org/entity/Q130900	2026-07-08T00:00:00Z
malagasy-settlement	Austronesian Settlement of Madagascar	maritime	{"type":"LineString","coordinates":[[114,-2],[95,-5],[73,-5],[50,-15],[47,-19]]}	400	900	["Malagasy"]	["mlg"]	Trans-Indian Ocean voyage of Austronesian seafarers from Borneo to Madagascar, the westernmost Austronesian settlement.	Austronesian language and crops (rice, banana) established off the African coast	0.8	["Wikidata","Wikipedia"]	Q310983	http://www.wikidata.org/entity/Q310983	2026-07-08T00:00:00Z
mariel-boatlift	Mariel Boatlift	refugee	{"type":"LineString","coordinates":[[-82.4,23],[-81,24],[-80.2,25.8]]}	1980	1980	["Cubans"]	["spa"]	Mass emigration of roughly 125,000 Cubans by boat from Mariel harbour to Florida in 1980.	Reshaped the Cuban-American community of South Florida	0.8	["Wikidata","Wikipedia"]	Q1776480	http://www.wikidata.org/entity/Q1776480	2026-07-08T00:00:00Z
mfecane-migration	Mfecane	migration	{"type":"LineString","coordinates":[[31,-29],[29,-27],[28,-30],[26,-26]]}	1815	1840	["Zulu","Nguni","Sotho"]	["zul","xho"]	Period of widespread upheaval and forced migration among southern African peoples associated with the rise of the Zulu kingdom.	Depopulation and reorganisation of the interior; formation of new states (Sotho, Ndebele, Swazi)	0.8	["Wikidata","Wikipedia"]	Q865081	http://www.wikidata.org/entity/Q865081	2026-07-08T00:00:00Z
nabataean-migration	Nabataean Migration	migration	{"type":"LineString","coordinates":[[45,25],[40,28],[36,30],[35.4,30.3]]}	-600	-300	["Nabataeans"]	["arc"]	Movement of the nomadic Nabataean Arabs into the Transjordan and northern Arabia, settling around Petra.	Control of the incense trade; foundation of the Nabataean Kingdom	0.8	["Wikidata","Wikipedia"]	Q220594	http://www.wikidata.org/entity/Q220594	2026-07-08T00:00:00Z
nilotic-expansion	Nilotic Expansion	migration	{"type":"LineString","coordinates":[[31,7],[33,4],[34,1],[35,-1]]}	1000	1600	["Nilotes"]	["luo","mas"]	Southward migration of Nilotic pastoralist peoples from the southern Sudan into the East African Great Lakes region.	Spread of cattle pastoralism and Nilotic languages across East Africa	0.8	["Wikidata","Wikipedia"]	Q664262	http://www.wikidata.org/entity/Q664262	2026-07-08T00:00:00Z
oregon-trail-migration	Oregon Trail Migration	colonization	{"type":"LineString","coordinates":[[-94.6,39.1],[-100,41],[-106,42],[-111,42],[-116,44],[-122.7,45.5]]}	1841	1869	["American settlers"]	["eng"]	Overland wagon migration of settlers from the Missouri River across the Great Plains and Rockies to the Oregon Country.	American settlement of the Pacific Northwest; displacement of Indigenous nations	0.8	["Wikidata","Wikipedia"]	Q862312	http://www.wikidata.org/entity/Q862312	2026-07-08T00:00:00Z
ostrogoth-migration	Ostrogothic Migration	invasion	{"type":"LineString","coordinates":[[19,47],[15,46],[12,45],[12.5,41.9]]}	488	493	["Ostrogoths"]	["got"]	Movement of the Ostrogoths under Theodoric from Pannonia into Italy, where they overthrew Odoacer.	Foundation of the Ostrogothic Kingdom of Italy	0.8	["Wikidata","Wikipedia"]	Q103122	http://www.wikidata.org/entity/Q103122	2026-07-08T00:00:00Z
palestinian-exodus-1948	1948 Palestinian Exodus	refugee	{"type":"LineString","coordinates":[[35,32],[35.9,31.9],[36,33],[35.5,33.9]]}	1948	1949	["Palestinians"]	["ara"]	Flight and expulsion of Palestinian Arabs during the 1948 Arab-Israeli War into neighbouring states and the West Bank and Gaza.	Creation of a long-term Palestinian refugee population; enduring regional conflict	0.8	["Wikidata","Wikipedia"]	Q13220089	http://www.wikidata.org/entity/Q13220089	2026-07-08T00:00:00Z
pecheneg-migration	Pecheneg Migration	migration	{"type":"LineString","coordinates":[[60,47],[45,47],[32,46],[28,45]]}	860	1091	["Pechenegs"]	[]	Westward movement of the Turkic Pechenegs from Central Asia across the Pontic steppe to the frontiers of Kievan Rus and Byzantium.	Long conflict with Rus and Byzantium until defeat at Levounion	0.8	["Wikidata","Wikipedia"]	Q181752	http://www.wikidata.org/entity/Q181752	2026-07-08T00:00:00Z
phrygian-migration	Phrygian Migration	migration	{"type":"LineString","coordinates":[[24,41],[27,40],[30,39],[32,39]]}	-1200	-900	["Phrygians"]	[]	Migration of the Phrygians from the southern Balkans across the straits into west-central Anatolia.	Foundation of the Kingdom of Phrygia centred on Gordion	0.8	["Wikidata","Wikipedia"]	Q32579	http://www.wikidata.org/entity/Q32579	2026-07-08T00:00:00Z
scythian-migration	Scythian Migration	migration	{"type":"LineString","coordinates":[[70,48],[55,48],[40,47],[32,47]]}	-800	-600	["Scythians"]	[]	Westward migration of the Iranian-speaking Scythians across the Eurasian steppe into the Pontic-Caspian region.	Formation of Scythian dominance over the Pontic steppe; contact with Greek colonies	0.8	["Wikidata","Wikipedia"]	Q131802	http://www.wikidata.org/entity/Q131802	2026-07-08T00:00:00Z
sea-peoples-migration	Sea Peoples Migration	invasion	{"type":"LineString","coordinates":[[23,38],[28,36],[32,35],[34,33],[31,31]]}	-1200	-1150	["Sea Peoples"]	[]	Movements of the seafaring Sea Peoples across the eastern Mediterranean, raiding Anatolia, the Levant, and Egypt at the close of the Bronze Age.	Contributed to the Late Bronze Age collapse; destruction of Hittite and Levantine cities	0.8	["Wikidata","Wikipedia"]	Q193850	http://www.wikidata.org/entity/Q193850	2026-07-08T00:00:00Z
sephardic-expulsion	Sephardic Jewish Expulsion	diaspora	{"type":"LineString","coordinates":[[-4,40],[3,41],[12,37],[28,41]]}	1492	1497	["Sephardi Jews"]	["lad"]	Expulsion of Jews from Spain (1492) and Portugal (1497) and their dispersal across the Mediterranean and the Ottoman Empire.	Sephardic communities in the Ottoman lands, North Africa, and the Netherlands; spread of Ladino	0.8	["Wikidata","Wikipedia"]	Q1061030	http://www.wikidata.org/entity/Q1061030	2026-07-08T00:00:00Z
suebi-migration	Suebic Migration	invasion	{"type":"LineString","coordinates":[[12,50],[2,46],[-4,42],[-8,42]]}	406	409	["Suebi"]	[]	Migration of the Suebi across the Rhine and through Gaul into northwestern Iberia, where they founded a kingdom in Galicia.	Kingdom of the Suebi (Gallaecia), among the first post-Roman Germanic states	0.8	["Wikidata","Wikipedia"]	Q155085	http://www.wikidata.org/entity/Q155085	2026-07-08T00:00:00Z
vandal-migration	Vandal Migration	invasion	{"type":"LineString","coordinates":[[15,50],[5,47],[-3,40],[0,36],[10,37]]}	400	435	["Vandals"]	["got"]	Migration of the Vandals from Central Europe through Gaul and Iberia into Roman North Africa, where they founded a kingdom centred on Carthage.	Sack of Rome (455 CE); disruption of Roman grain supply	0.8	["Wikidata","Wikipedia"]	Q42211	http://www.wikidata.org/entity/Q42211	2026-07-08T00:00:00Z
vietnamese-boat-people	Vietnamese Boat People	refugee	{"type":"LineString","coordinates":[[106,10],[104,9],[101,3],[104,1]]}	1975	1995	["Vietnamese"]	["vie"]	Maritime flight of refugees from Vietnam after the fall of Saigon, across the South China Sea to Southeast Asian camps and resettlement abroad.	Large Vietnamese diaspora in the US, Australia, France, and Canada	0.8	["Wikidata","Wikipedia"]	Q6449297	http://www.wikidata.org/entity/Q6449297	2026-07-08T00:00:00Z
visigoth-migration	Visigothic Migration	invasion	{"type":"LineString","coordinates":[[25,43],[15,44],[5,44],[-1,43],[-4,40]]}	376	507	["Visigoths"]	["got"]	Migration of the Visigoths from the lower Danube through Italy and Gaul into Iberia, founding a kingdom centred on Toledo.	Sack of Rome (410 CE); the Visigothic Kingdom of Hispania	0.8	["Wikidata","Wikipedia"]	Q23693	http://www.wikidata.org/entity/Q23693	2026-07-08T00:00:00Z
volga-german-migration	Volga German Migration	colonization	{"type":"LineString","coordinates":[[9,50],[20,52],[35,52],[46,51]]}	1763	1767	["Germans"]	["deu"]	Migration of German colonists to the lower Volga region at the invitation of Catherine the Great.	Established the Volga German community, later deported under Stalin	0.8	["Wikidata","Wikipedia"]	Q312574	http://www.wikidata.org/entity/Q312574	2026-07-08T00:00:00Z
yamnaya-migration	Yamnaya Steppe Migration	migration	{"type":"LineString","coordinates":[[45,48],[35,49],[25,50],[15,51],[9,52]]}	-3300	-2600	["Yamnaya"]	[]	Expansion of Yamnaya steppe herders from the Pontic-Caspian steppe into Central and Northern Europe, carrying steppe ancestry.	Major genetic turnover in Europe; associated with the spread of Indo-European languages	0.8	["Wikidata","Wikipedia"]	Q426737	http://www.wikidata.org/entity/Q426737	2026-07-08T00:00:00Z
