id	name	motif_type	atu_index	description	examples	associated_religion_ids	associated_deity_ids	geographic_distribution	time_depth	sources	confidence	wikidata_qid	source_url	retrieved_at
green-man	The Green Man	nature		A face formed of or surrounded by foliage, symbolising vegetative rebirth and the cycle of the seasons in art and folklore.				["Europe","Near East"]	100	["Wikidata","Stith Thompson Motif-Index"]	0.8	Q1460159	http://www.wikidata.org/entity/Q1460159	2026-07-08T00:00:00Z
griffin	The Griffin	creature		A composite guardian beast with a lion's body and an eagle's head and wings, protector of treasure across Near Eastern and classical art.				["Near East","Mediterranean"]	-3000	["Wikidata","Stith Thompson Motif-Index"]	0.8	Q130223	http://www.wikidata.org/entity/Q130223	2026-07-08T00:00:00Z
holy-grail	The Holy Grail	quest		A sacred vessel with miraculous powers whose pursuit structures the Arthurian quest, blending Christian relic and older cauldron-of-plenty motifs.				["Western Europe"]	1100	["Wikidata","Stith Thompson Motif-Index"]	0.8	Q162808	http://www.wikidata.org/entity/Q162808	2026-07-08T00:00:00Z
jinn	The Jinn	spirit		Supernatural spirits of smokeless fire inhabiting a parallel world, capable of aiding or harming humans, central to Arabian and Islamic lore.				["Near East","North Africa"]	-500	["Wikidata","Stith Thompson Motif-Index"]	0.8	Q3465	http://www.wikidata.org/entity/Q3465	2026-07-08T00:00:00Z
kraken	The Kraken	creature		A colossal sea monster of the northern seas capable of dragging ships beneath the waves, a maritime terror of Scandinavian folklore.				["Northern Europe"]	1200	["Wikidata","Stith Thompson Motif-Index"]	0.8	Q193165	http://www.wikidata.org/entity/Q193165	2026-07-08T00:00:00Z
land-of-cockaigne	Land of Cockaigne	place		A mythical land of ease and plenty where food is abundant and labour needless, an inverted-world motif of medieval and later folklore.				["Europe"]	1100	["Wikidata","Stith Thompson Motif-Index"]	0.8	Q6645	http://www.wikidata.org/entity/Q6645	2026-07-08T00:00:00Z
leviathan	Leviathan	creature		A vast primordial sea monster embodying chaos, subdued or slain by a deity — a Near Eastern chaoskampf motif echoed across cultures.				["Near East"]	-1200	["Wikidata","Stith Thompson Motif-Index"]	0.8	Q192677	http://www.wikidata.org/entity/Q192677	2026-07-08T00:00:00Z
magic-carpet	The Magic Carpet	object		An enchanted carpet that flies its rider to distant places instantly, a magical-transport motif prominent in Near Eastern tales.				["Near East"]	800	["Wikidata","Stith Thompson Motif-Index"]	0.8	Q740881	http://www.wikidata.org/entity/Q740881	2026-07-08T00:00:00Z
magic-cauldron	The Magic Cauldron	object		A vessel of endless plenty, rebirth, or wisdom — reviving the dead or never emptying — a Celtic and wider Indo-European motif.				["Western Europe"]	-500	["Wikidata","Stith Thompson Motif-Index"]	0.8	Q115833959	http://www.wikidata.org/entity/Q115833959	2026-07-08T00:00:00Z
mermaid-motif	The Mermaid	creature		A being with a woman's upper body and a fish's tail, luring or aiding sailors, found in coastal mythologies around the world.				["Global"]	-1000	["Wikidata","Stith Thompson Motif-Index"]	0.8	Q182559	http://www.wikidata.org/entity/Q182559	2026-07-08T00:00:00Z
ouroboros	Ouroboros	symbol		A serpent or dragon devouring its own tail, symbolising cyclic eternity, renewal, and the unity of beginning and end.				["Egypt","Eurasia"]	-1300	["Wikidata","Stith Thompson Motif-Index"]	0.8	Q237970	http://www.wikidata.org/entity/Q237970	2026-07-08T00:00:00Z
philosophers-stone	The Philosopher's Stone	alchemy		A legendary alchemical substance able to transmute base metals into gold and confer immortality, the central goal of alchemical mythology.				["Eurasia","North Africa"]	300	["Wikidata","Stith Thompson Motif-Index"]	0.8	Q182053	http://www.wikidata.org/entity/Q182053	2026-07-08T00:00:00Z
seven-league-boots	Seven-League Boots	object		Enchanted boots that allow the wearer to stride seven leagues at a step, a common magical-transport object in European fairy tales.				["Europe"]	1600	["Wikidata","Stith Thompson Motif-Index"]	0.8	Q2282444	http://www.wikidata.org/entity/Q2282444	2026-07-08T00:00:00Z
swan-maiden	The Swan Maiden	transformation		A shapeshifting woman who can take the form of a swan (or other bird) and is bound to a mortal husband when he hides her feather garment.				["Eurasia"]	-1000	["Wikidata","Stith Thompson Motif-Index"]	0.8	Q1326754	http://www.wikidata.org/entity/Q1326754	2026-07-08T00:00:00Z
therianthropy	Therianthropy	transformation		The mythological ability of humans to metamorphose into animals, encompassing werewolves and other were-creatures across world folklore.				["Global"]	-3000	["Wikidata","Stith Thompson Motif-Index"]	0.8	Q1149649	http://www.wikidata.org/entity/Q1149649	2026-07-08T00:00:00Z
tower-of-babel	Tower of Babel	origin		A unified humanity building a tower to heaven is scattered when a deity confounds their single language into many, explaining linguistic diversity and punishing hubris.				["Near East","Mediterranean"]	-600	["Wikidata","Stith Thompson Motif-Index"]	0.8	Q41213	http://www.wikidata.org/entity/Q41213	2026-07-08T00:00:00Z
unicorn	The Unicorn	creature		A horse-like beast with a single spiralling horn, emblem of purity whose horn was believed to neutralise poison.				["Eurasia"]	-400	["Wikidata","Stith Thompson Motif-Index"]	0.8	Q7246	http://www.wikidata.org/entity/Q7246	2026-07-08T00:00:00Z
vagina-dentata	Vagina Dentata	taboo		A motif of a toothed vagina posing danger to men, expressing anxieties about sexuality and requiring a hero to render it harmless.				["Global"]	-1000	["Wikidata","Stith Thompson Motif-Index"]	0.8	Q1123830	http://www.wikidata.org/entity/Q1123830	2026-07-08T00:00:00Z
wild-hunt	The Wild Hunt	spectral		A ghostly procession of huntsmen, hounds, and spirits sweeping across the night sky, an omen of catastrophe or death in northern European folklore.				["Northern Europe"]	500	["Wikidata","Stith Thompson Motif-Index"]	0.8	Q841437	http://www.wikidata.org/entity/Q841437	2026-07-08T00:00:00Z
