id	language_id	family_id	geometry	range_type	time_period_start	time_period_end	time_period_label	confidence	sources	notes
ron-modern-range	ron	indo_european__italic	{"type":"Polygon","coordinates":[[[20,43],[20,48],[30,48],[30,43],[20,43]]]}	current	1500	null	Modern Romanian (1500 CE - Present)	92	["Census data"]	Romanian-speaking Romania and Moldova
cat-modern-range	cat	indo_european__italic	{"type":"Polygon","coordinates":[[[0,38],[0,43],[4,43],[4,38],[0,38]]]}	current	1000	null	Catalan (1000 CE - Present)	90	["Census data","Historical records"]	Catalan-speaking regions of Spain and southern France
dlm-dalmatian-range	dlm	indo_european__italic	{"type":"Polygon","coordinates":[[[13,42],[13,46],[20,46],[20,42],[13,42]]]}	historical	700	1898	Dalmatian Romance (700-1898 CE)	60	["Historical linguistics","Last speaker records"]	Dalmatian Romance along Adriatic coast
lat-republic-range	lat	indo_european__italic	{"type":"Polygon","coordinates":[[[7,37],[7,45],[18,45],[18,37],[7,37]]]}	historical	-509	-27	Latin - Roman Republic (509-27 BCE)	85	["Historical records","Inscriptions"]	Latin during the Roman Republic period
lat-empire-peak	lat	indo_european__italic	{"type":"Polygon","coordinates":[[[-10,30],[-10,55],[5,55],[15,50],[25,48],[35,42],[40,35],[35,30],[10,28],[-10,30]]]}	historical	-27	476	Latin - Roman Empire (27 BCE - 476 CE)	90	["Historical records","Archaeological evidence"]	Latin at peak Roman Empire extent
grc-classical-range	grc	indo_european__graeco_phrygian	{"type":"Polygon","coordinates":[[[19,34],[19,42],[30,42],[30,34],[19,34]]]}	historical	-800	-146	Classical Greek (800-146 BCE)	85	["Ancient texts","Archaeological sites"]	Classical Greek city-states
grc-hellenistic-range	grc	indo_european__graeco_phrygian	{"type":"Polygon","coordinates":[[[19,30],[19,42],[35,42],[35,30],[19,30]]]}	historical	-323	-30	Hellenistic Greek (323-30 BCE)	82	["Historical records"]	Greek as lingua franca of Hellenistic world
ell-modern-range	ell	indo_european__graeco_phrygian	{"type":"Polygon","coordinates":[[[19,35],[19,42],[29,42],[29,35],[19,35]]]}	current	1500	null	Modern Greek (1500 CE - Present)	93	["Census data"]	Greek-speaking Greece and Cyprus
rus-modern-range	rus	indo_european__balto_slavic	{"type":"Polygon","coordinates":[[[27,45],[27,70],[180,70],[180,45],[27,45]]]}	current	1500	null	Modern Russian (1500 CE - Present)	92	["Census data"]	Russian-speaking Russia
rus-medieval-range	rus	indo_european__balto_slavic	{"type":"Polygon","coordinates":[[[28,48],[28,62],[45,62],[45,48],[28,48]]]}	historical	900	1500	Medieval Russian / Old East Slavic (900-1500 CE)	75	["Chronicles","Manuscript evidence"]	Old East Slavic core territory
pol-modern-range	pol	indo_european__balto_slavic	{"type":"Polygon","coordinates":[[[14,49],[14,55],[24,55],[24,49],[14,49]]]}	current	1500	null	Modern Polish (1500 CE - Present)	93	["Census data"]	Polish-speaking Poland
ukr-modern-range	ukr	indo_european__balto_slavic	{"type":"Polygon","coordinates":[[[22,45],[22,52],[40,52],[40,45],[22,45]]]}	current	1500	null	Modern Ukrainian (1500 CE - Present)	90	["Census data"]	Ukrainian-speaking Ukraine
ces-modern-range	ces	indo_european__balto_slavic	{"type":"Polygon","coordinates":[[[12,48.5],[12,51.1],[18.9,51.1],[18.9,48.5],[12,48.5]]]}	current	1500	null	Modern Czech (1500 CE - Present)	93	["Census data"]	Czech-speaking Czech Republic
slk-modern-range	slk	indo_european__balto_slavic	{"type":"Polygon","coordinates":[[[16.8,47.7],[16.8,49.6],[22.6,49.6],[22.6,47.7],[16.8,47.7]]]}	current	1500	null	Modern Slovak (1500 CE - Present)	92	["Census data"]	Slovak-speaking Slovakia
hrv-modern-range	hrv	indo_european__balto_slavic	{"type":"Polygon","coordinates":[[[13.5,42.4],[13.5,46.6],[19.5,46.6],[19.5,42.4],[13.5,42.4]]]}	current	1500	null	Modern Croatian (1500 CE - Present)	91	["Census data"]	Croatian-speaking Croatia
bul-modern-range	bul	indo_european__balto_slavic	{"type":"Polygon","coordinates":[[[22,41],[22,44.2],[29,44.2],[29,41],[22,41]]]}	current	1500	null	Modern Bulgarian (1500 CE - Present)	92	["Census data"]	Bulgarian-speaking Bulgaria
chu-old-church-slavonic	chu	indo_european__balto_slavic	{"type":"Polygon","coordinates":[[[15,40],[15,50],[30,50],[30,40],[15,40]]]}	historical	850	1100	Old Church Slavonic (850-1100 CE)	70	["Manuscripts","Liturgical texts"]	Old Church Slavonic literary language range
lit-modern-range	lit	indo_european__balto_slavic	{"type":"Polygon","coordinates":[[[21,53.9],[21,56.5],[26.8,56.5],[26.8,53.9],[21,53.9]]]}	current	1500	null	Modern Lithuanian (1500 CE - Present)	93	["Census data"]	Lithuanian-speaking Lithuania
lav-modern-range	lav	indo_european__balto_slavic	{"type":"Polygon","coordinates":[[[21,55.7],[21,58.1],[28.2,58.1],[28.2,55.7],[21,55.7]]]}	current	1500	null	Modern Latvian (1500 CE - Present)	93	["Census data"]	Latvian-speaking Latvia
prg-old-prussian-range	prg	indo_european__balto_slavic	{"type":"Polygon","coordinates":[[[19,54],[19,56],[22,56],[22,54],[19,54]]]}	historical	1000	1700	Old Prussian (1000-1700 CE)	60	["Historical records","Catechism texts"]	Old Prussian territory before extinction
hin-modern-range	hin	indo_european__indo_aryan	{"type":"Polygon","coordinates":[[[73,22],[73,32],[88,32],[88,22],[73,22]]]}	current	1500	null	Modern Hindi-Urdu Belt (1500 CE - Present)	90	["Census data"]	Hindi-speaking northern India
ben-modern-range	ben	indo_european__indo_aryan	{"type":"Polygon","coordinates":[[[85,20],[85,27],[93,27],[93,20],[85,20]]]}	current	1500	null	Modern Bengali (1500 CE - Present)	92	["Census data"]	Bengali-speaking Bangladesh and West Bengal
pes-modern-range	pes	indo_european__iranian	{"type":"Polygon","coordinates":[[[44,25],[44,40],[63,40],[63,25],[44,25]]]}	current	1500	null	Modern Persian (1500 CE - Present)	90	["Census data"]	Persian-speaking Iran, Afghanistan, Tajikistan
pes-classical-range	pes	indo_european__iranian	{"type":"Polygon","coordinates":[[[40,28],[40,42],[75,42],[75,28],[40,28]]]}	historical	900	1500	Classical Persian (900-1500 CE)	82	["Literary sources","Historical records"]	Classical Persian literary and court language range
kmr-kurdish-range	kmr	indo_european__iranian	{"type":"Polygon","coordinates":[[[38,34],[38,40],[48,40],[48,34],[38,34]]]}	current	1000	null	Kurdish (1000 CE - Present)	80	["Ethnologue","Census data"]	Kurdish-speaking regions across Turkey, Iraq, Iran, Syria
oss-ossetic-range	oss	indo_european__iranian	{"type":"Polygon","coordinates":[[[43,42],[43,44],[45,44],[45,42],[43,42]]]}	current	1000	null	Ossetic (1000 CE - Present)	85	["Census data"]	Ossetic-speaking North and South Ossetia
hye-modern-range	hye	indo_european__armenic	{"type":"Polygon","coordinates":[[[43,38.8],[43,41.5],[46.5,41.5],[46.5,38.8],[43,38.8]]]}	current	1500	null	Modern Armenian (1500 CE - Present)	90	["Census data"]	Armenian-speaking Armenia
xcl-classical-armenian	xcl	indo_european__armenic	{"type":"Polygon","coordinates":[[[38,37],[38,42],[48,42],[48,37],[38,37]]]}	historical	-190	600	Classical Armenian (190 BCE - 600 CE)	75	["Historical records","Manuscript evidence"]	Classical Armenian range in historical Greater Armenia
sqi-modern-range	sqi	indo_european__albanian	{"type":"Polygon","coordinates":[[[19,39],[19,43],[21.5,43],[21.5,39],[19,39]]]}	current	1500	null	Modern Albanian (1500 CE - Present)	91	["Census data"]	Albanian-speaking Albania and Kosovo
hit-hittite-range	hit	indo_european__anatolian	{"type":"Polygon","coordinates":[[[30,37],[30,42],[40,42],[40,37],[30,37]]]}	historical	-1650	-1178	Hittite Empire (1650-1178 BCE)	70	["Cuneiform tablets","Archaeological evidence"]	Hittite-speaking Anatolia
gle-irish-range	gle	indo_european__celtic	{"type":"Polygon","coordinates":[[[-10.5,51.4],[-10.5,55.4],[-6,55.4],[-6,51.4],[-10.5,51.4]]]}	current	500	null	Irish Gaelic (500 CE - Present)	80	["Census data","Historical records"]	Irish-speaking Ireland (Gaeltacht regions historically wider)
cym-welsh-range	cym	indo_european__celtic	{"type":"Polygon","coordinates":[[[-5.3,51.4],[-5.3,53.4],[-3,53.4],[-3,51.4],[-5.3,51.4]]]}	current	500	null	Welsh (500 CE - Present)	82	["Census data"]	Welsh-speaking Wales
cmn-modern-range	cmn	sino_tibetan__sinitic	{"type":"Polygon","coordinates":[[[100,25],[100,42],[124,42],[124,25],[100,25]]]}	current	1400	null	Modern Mandarin (1400 CE - Present)	93	["Census data"]	Mandarin Chinese-speaking regions of China
cmn-historical-range	cmn	sino_tibetan__sinitic	{"type":"Polygon","coordinates":[[[105,30],[105,42],[120,42],[120,30],[105,30]]]}	historical	-1046	1400	Historical Chinese / Middle Chinese Core (1046 BCE - 1400 CE)	80	["Historical records","Literary sources"]	Core Chinese-speaking Yellow River and Yangtze regions
yue-modern-range	yue	sino_tibetan__sinitic	{"type":"Polygon","coordinates":[[[109,21],[109,24],[117,24],[117,21],[109,21]]]}	current	1000	null	Modern Cantonese (1000 CE - Present)	90	["Census data"]	Cantonese-speaking Guangdong and Hong Kong
wuu-modern-range	wuu	sino_tibetan__sinitic	{"type":"Polygon","coordinates":[[[118,27],[118,32],[123,32],[123,27],[118,27]]]}	current	1000	null	Modern Wu Chinese (1000 CE - Present)	88	["Census data"]	Wu Chinese-speaking Zhejiang and Shanghai
nan-modern-range	nan	sino_tibetan__sinitic	{"type":"Polygon","coordinates":[[[116,23],[116,27],[120,27],[120,23],[116,23]]]}	current	1000	null	Modern Min Nan (1000 CE - Present)	87	["Census data"]	Min Nan-speaking Fujian and Taiwan
mya-modern-range	mya	sino_tibetan__lolo_burmese	{"type":"Polygon","coordinates":[[[92,15],[92,28],[101,28],[101,15],[92,15]]]}	current	1000	null	Modern Burmese (1000 CE - Present)	90	["Census data"]	Burmese-speaking Myanmar
bod-modern-range	bod	sino_tibetan__bodish	{"type":"Polygon","coordinates":[[[78,27],[78,36],[100,36],[100,27],[78,27]]]}	current	600	null	Tibetan (600 CE - Present)	82	["Census data","Historical records"]	Tibetan-speaking Tibet and surrounding regions
sem-modern-arabic-range	sem	afro_asiatic__semitic	{"type":"Polygon","coordinates":[[[-17,14],[-17,37],[60,37],[60,14],[-17,14]]]}	current	700	null	Modern Arabic (700 CE - Present)	88	["Census data","Ethnologue"]	Arabic-speaking Middle East and North Africa
sem-classical-arabic	sem	afro_asiatic__semitic	{"type":"Polygon","coordinates":[[[35,12],[35,37],[60,37],[60,12],[35,12]]]}	historical	600	1258	Classical Arabic - Islamic Golden Age (600-1258 CE)	85	["Historical records","Islamic sources"]	Classical Arabic during Abbasid Caliphate
sem-pre-islamic-arabic	sem	afro_asiatic__semitic	{"type":"Polygon","coordinates":[[[35,14],[35,32],[55,32],[55,14],[35,14]]]}	historical	300	622	Pre-Islamic Arabic (300-622 CE)	70	["Inscriptions","Pre-Islamic poetry"]	Arabic in Arabian Peninsula before Islamic expansion
heb-modern-range	heb	afro_asiatic__semitic	{"type":"Polygon","coordinates":[[[34,29],[34,33.5],[36,33.5],[36,29],[34,29]]]}	current	1880	null	Modern Hebrew (1880 CE - Present)	95	["Census data"]	Hebrew-speaking Israel
heb-ancient-range	heb	afro_asiatic__semitic	{"type":"Polygon","coordinates":[[[34,30],[34,33],[36,33],[36,30],[34,30]]]}	historical	-1200	-586	Ancient Hebrew (1200-586 BCE)	75	["Biblical texts","Archaeological evidence"]	Ancient Hebrew in Kingdom of Israel and Judah
amh-modern-range	amh	afro_asiatic__semitic	{"type":"Polygon","coordinates":[[[35,6],[35,14],[43,14],[43,6],[35,6]]]}	current	1000	null	Modern Amharic (1000 CE - Present)	88	["Census data"]	Amharic-speaking Ethiopia
tir-tigrinya-range	tir	afro_asiatic__semitic	{"type":"Polygon","coordinates":[[[36,13],[36,16],[43,16],[43,13],[36,13]]]}	current	1000	null	Tigrinya (1000 CE - Present)	85	["Census data"]	Tigrinya-speaking Eritrea and northern Ethiopia
som-modern-range	som	afro_asiatic__cushitic	{"type":"Polygon","coordinates":[[[41,0],[41,12],[51,12],[51,0],[41,0]]]}	current	1000	null	Modern Somali (1000 CE - Present)	85	["Census data"]	Somali-speaking Horn of Africa
orm-modern-range	orm	afro_asiatic__cushitic	{"type":"Polygon","coordinates":[[[34,3],[34,10],[43,10],[43,3],[34,3]]]}	current	1000	null	Modern Oromo (1000 CE - Present)	82	["Census data"]	Oromo-speaking Ethiopia and Kenya
hau-modern-range	hau	afro_asiatic__chadic	{"type":"Polygon","coordinates":[[[3,8],[3,14],[15,14],[15,8],[3,8]]]}	current	1000	null	Modern Hausa (1000 CE - Present)	85	["Census data"]	Hausa-speaking Nigeria and Niger
tzm-berber-range	tzm	afro_asiatic__berber	{"type":"Polygon","coordinates":[[[-10,28],[-10,36],[10,36],[10,28],[-10,28]]]}	current	-1000	null	Berber / Tamazight (1000 BCE - Present)	75	["Census data","Historical records"]	Berber-speaking North Africa
egy-ancient-range	egy	afro_asiatic__egyptian	{"type":"Polygon","coordinates":[[[29,22],[29,32],[35,32],[35,22],[29,22]]]}	historical	-3100	-30	Ancient Egyptian (3100-30 BCE)	80	["Hieroglyphic texts","Archaeological evidence"]	Ancient Egyptian along the Nile
akk-akkadian-range	akk	afro_asiatic__semitic	{"type":"Polygon","coordinates":[[[38,30],[38,37],[48,37],[48,30],[38,30]]]}	historical	-2500	-500	Akkadian (2500-500 BCE)	75	["Cuneiform tablets","Archaeological evidence"]	Akkadian-speaking Mesopotamia
swa-modern-range	swa	niger_congo__bantu	{"type":"Polygon","coordinates":[[[29,-12],[29,5],[42,5],[42,-12],[29,-12]]]}	current	1000	null	Modern Swahili (1000 CE - Present)	88	["Census data"]	Swahili-speaking East Africa
yor-modern-range	yor	niger_congo__volta_niger	{"type":"Polygon","coordinates":[[[2,6],[2,9],[6,9],[6,6],[2,6]]]}	current	1000	null	Modern Yoruba (1000 CE - Present)	85	["Census data"]	Yoruba-speaking southwestern Nigeria
ibo-modern-range	ibo	niger_congo__volta_niger	{"type":"Polygon","coordinates":[[[5,5],[5,8],[9,8],[9,5],[5,5]]]}	current	1000	null	Modern Igbo (1000 CE - Present)	85	["Census data"]	Igbo-speaking southeastern Nigeria
zul-modern-range	zul	niger_congo__bantu	{"type":"Polygon","coordinates":[[[28,-32],[28,-27],[33,-27],[33,-32],[28,-32]]]}	current	1500	null	Modern Zulu (1500 CE - Present)	88	["Census data"]	Zulu-speaking KwaZulu-Natal, South Africa
xho-modern-range	xho	niger_congo__bantu	{"type":"Polygon","coordinates":[[[25,-34],[25,-30],[30,-30],[30,-34],[25,-34]]]}	current	1500	null	Modern Xhosa (1500 CE - Present)	87	["Census data"]	Xhosa-speaking Eastern Cape, South Africa
kin-modern-range	kin	niger_congo__bantu	{"type":"Polygon","coordinates":[[[28.8,-2.8],[28.8,-1],[30.9,-1],[30.9,-2.8],[28.8,-2.8]]]}	current	1000	null	Modern Kinyarwanda (1000 CE - Present)	90	["Census data"]	Kinyarwanda-speaking Rwanda
lin-modern-range	lin	niger_congo__bantu	{"type":"Polygon","coordinates":[[[15,-5],[15,4],[30,4],[30,-5],[15,-5]]]}	current	1800	null	Modern Lingala (1800 CE - Present)	80	["Census data"]	Lingala-speaking DR Congo and Republic of Congo
ful-modern-range	ful	niger_congo__atlantic	{"type":"Polygon","coordinates":[[[-17,8],[-17,16],[15,16],[15,8],[-17,8]]]}	current	1000	null	Modern Fulani / Fula (1000 CE - Present)	78	["Census data","Ethnologue"]	Fulani-speaking West and Central Africa
wol-modern-range	wol	niger_congo__atlantic	{"type":"Polygon","coordinates":[[[-17.5,12.3],[-17.5,16.7],[-11.4,16.7],[-11.4,12.3],[-17.5,12.3]]]}	current	1000	null	Modern Wolof (1000 CE - Present)	85	["Census data"]	Wolof-speaking Senegal and Gambia
bam-modern-range	bam	niger_congo__mande	{"type":"Polygon","coordinates":[[[-12,10],[-12,16],[0,16],[0,10],[-12,10]]]}	current	1200	null	Modern Bambara (1200 CE - Present)	80	["Census data"]	Bambara-speaking Mali
tur-modern-range	tur	turkic__oghuz	{"type":"Polygon","coordinates":[[[26,36],[26,42],[45,42],[45,36],[26,36]]]}	current	1300	null	Modern Turkish (1300 CE - Present)	93	["Census data"]	Turkish-speaking Turkey
tur-ottoman-range	tur	turkic__oghuz	{"type":"Polygon","coordinates":[[[20,30],[20,48],[45,48],[45,30],[20,30]]]}	historical	1300	1922	Ottoman Turkish (1300-1922 CE)	80	["Historical records"]	Ottoman Turkish administrative range
aze-modern-range	aze	turkic__oghuz	{"type":"Polygon","coordinates":[[[44,38],[44,42],[51,42],[51,38],[44,38]]]}	current	1500	null	Modern Azerbaijani (1500 CE - Present)	90	["Census data"]	Azerbaijani-speaking Azerbaijan and northwestern Iran
uzb-modern-range	uzb	turkic__karluk	{"type":"Polygon","coordinates":[[[56,37],[56,46],[73,46],[73,37],[56,37]]]}	current	1500	null	Modern Uzbek (1500 CE - Present)	88	["Census data"]	Uzbek-speaking Uzbekistan
kaz-modern-range	kaz	turkic__kipchak	{"type":"Polygon","coordinates":[[[46,40],[46,56],[87,56],[87,40],[46,40]]]}	current	1500	null	Modern Kazakh (1500 CE - Present)	88	["Census data"]	Kazakh-speaking Kazakhstan
kir-modern-range	kir	turkic__kipchak	{"type":"Polygon","coordinates":[[[69,39],[69,43],[80,43],[80,39],[69,39]]]}	current	1500	null	Modern Kyrgyz (1500 CE - Present)	88	["Census data"]	Kyrgyz-speaking Kyrgyzstan
tuk-modern-range	tuk	turkic__oghuz	{"type":"Polygon","coordinates":[[[52,35],[52,43],[66,43],[66,35],[52,35]]]}	current	1500	null	Modern Turkmen (1500 CE - Present)	85	["Census data"]	Turkmen-speaking Turkmenistan
tat-modern-range	tat	turkic__kipchak	{"type":"Polygon","coordinates":[[[47,54],[47,57],[57,57],[57,54],[47,54]]]}	current	1500	null	Modern Tatar (1500 CE - Present)	85	["Census data"]	Tatar-speaking Tatarstan, Russia
ind-modern-range	ind	austronesian__malayic	{"type":"Polygon","coordinates":[[[95,-11],[95,7],[141,7],[141,-11],[95,-11]]]}	current	1928	null	Modern Indonesian (1928 CE - Present)	90	["Census data"]	Indonesian-speaking Indonesia
msa-modern-range	msa	austronesian__malayic	{"type":"Polygon","coordinates":[[[99,1],[99,7],[119,7],[119,1],[99,1]]]}	current	1400	null	Modern Malay (1400 CE - Present)	88	["Census data"]	Malay-speaking Malaysia, Brunei, Singapore
tgl-modern-range	tgl	austronesian__philippine	{"type":"Polygon","coordinates":[[[117,5],[117,20],[127,20],[127,5],[117,5]]]}	current	1500	null	Modern Filipino/Tagalog (1500 CE - Present)	88	["Census data"]	Tagalog-speaking Philippines
jav-modern-range	jav	austronesian__javanese	{"type":"Polygon","coordinates":[[[106,-8.8],[106,-5.9],[114,-5.9],[114,-8.8],[106,-8.8]]]}	current	1000	null	Modern Javanese (1000 CE - Present)	90	["Census data"]	Javanese-speaking Java
mri-modern-range	mri	austronesian__polynesian	{"type":"Polygon","coordinates":[[[166,-47],[166,-34],[179,-34],[179,-47],[166,-47]]]}	current	1200	null	Modern Maori (1200 CE - Present)	85	["Census data","Historical records"]	Maori-speaking New Zealand
haw-modern-range	haw	austronesian__polynesian	{"type":"Polygon","coordinates":[[[-161,18.5],[-161,22.5],[-154,22.5],[-154,18.5],[-161,18.5]]]}	current	400	null	Hawaiian (400 CE - Present)	80	["Census data","Historical records"]	Hawaiian-speaking Hawaii
smo-modern-range	smo	austronesian__polynesian	{"type":"Polygon","coordinates":[[[-173,-15],[-173,-13],[-168,-13],[-168,-15],[-173,-15]]]}	current	1000	null	Modern Samoan (1000 CE - Present)	85	["Census data"]	Samoan-speaking Samoa
mlg-modern-range	mlg	austronesian__greater_barito	{"type":"Polygon","coordinates":[[[43,-26],[43,-12],[51,-12],[51,-26],[43,-26]]]}	current	500	null	Modern Malagasy (500 CE - Present)	85	["Census data","Historical records"]	Malagasy-speaking Madagascar
fin-modern-range	fin	uralic__finnic	{"type":"Polygon","coordinates":[[[20,59],[20,70],[30,70],[30,59],[20,59]]]}	current	1500	null	Modern Finnish (1500 CE - Present)	94	["Census data"]	Finnish-speaking Finland
hun-modern-range	hun	uralic__hungarian	{"type":"Polygon","coordinates":[[[16,45.7],[16,48.6],[23,48.6],[23,45.7],[16,45.7]]]}	current	900	null	Modern Hungarian (900 CE - Present)	93	["Census data"]	Hungarian-speaking Hungary
ekk-modern-range	ekk	uralic__finnic	{"type":"Polygon","coordinates":[[[21.8,57.5],[21.8,59.7],[28.2,59.7],[28.2,57.5],[21.8,57.5]]]}	current	1500	null	Modern Estonian (1500 CE - Present)	93	["Census data"]	Estonian-speaking Estonia
sme-sami-range	sme	uralic__saami	{"type":"Polygon","coordinates":[[[15,66],[15,71],[30,71],[30,66],[15,66]]]}	current	-500	null	Northern Sami (500 BCE - Present)	75	["Census data","Historical records"]	Northern Sami-speaking northern Scandinavia
tam-modern-range	tam	dravidian__south_dravidian	{"type":"Polygon","coordinates":[[[76,8],[76,14],[80.5,14],[80.5,8],[76,8]]]}	current	-300	null	Tamil (300 BCE - Present)	90	["Census data","Inscriptions"]	Tamil-speaking Tamil Nadu and northern Sri Lanka
tel-modern-range	tel	dravidian__south_dravidian	{"type":"Polygon","coordinates":[[[76,13],[76,20],[84,20],[84,13],[76,13]]]}	current	500	null	Modern Telugu (500 CE - Present)	90	["Census data"]	Telugu-speaking Andhra Pradesh and Telangana
kan-modern-range	kan	dravidian__south_dravidian	{"type":"Polygon","coordinates":[[[74,11],[74,18],[78.5,18],[78.5,11],[74,11]]]}	current	500	null	Modern Kannada (500 CE - Present)	90	["Census data"]	Kannada-speaking Karnataka
mal-modern-range	mal	dravidian__south_dravidian	{"type":"Polygon","coordinates":[[[74.8,8.2],[74.8,12.8],[77.3,12.8],[77.3,8.2],[74.8,8.2]]]}	current	800	null	Modern Malayalam (800 CE - Present)	90	["Census data"]	Malayalam-speaking Kerala
jpn-modern-range	jpn	japonic__japanesic	{"type":"Polygon","coordinates":[[[129,30],[129,46],[146,46],[146,30],[129,30]]]}	current	700	null	Modern Japanese (700 CE - Present)	95	["Census data"]	Japanese-speaking Japan
