id	source_language_id	target_language_id	contact_type	time_period	region	features_transferred	example_features	intensity
lc-013	cmn	vie	superstrate	111BCE-939CE	Southeast Asia	{"lexical": ["administrative vocabulary", "scholarly terms"], "phonological": ["tonal system development"], "grammatical": ["classifier system"]}	Chinese rule shaped Vietnamese tonal system; massive Sino-Vietnamese vocabulary layer	heavy
lc-014	lat	ron	superstrate	100-300CE	Balkans/Dacia	{"lexical": ["core vocabulary"], "phonological": ["vowel system"], "grammatical": ["case system remnants"]}	Romanian preserves Latin core: apă (aqua), frate (frater); surrounded by Slavic but kept Latin base	heavy
lc-015	rus	ron	adstrate	1800-1989	Eastern Europe	{"lexical": ["political terminology"], "phonological": [], "grammatical": []}	Slavic influence ~20% Romanian vocabulary; Russian political terms during Soviet era	moderate
lc-016	deu	hun	adstrate	1000-present	Central Europe	{"lexical": ["technical terms", "urban vocabulary"], "phonological": [], "grammatical": []}	German loanwords in Hungarian: herceg (Herzog), polgár (Bürger), cél (Ziel)	moderate
lc-017	tur	hun	superstrate	1541-1699	Central Europe	{"lexical": ["military terms", "food"], "phonological": [], "grammatical": []}	Turkish loanwords during Ottoman rule: findzsa (cup), papucs (slipper), dzsámi (mosque)	light
lc-018	swe	fin	superstrate	1200-1809	Fennoscandia	{"lexical": ["administrative terms", "legal vocabulary"], "phonological": [], "grammatical": []}	Swedish administrative loanwords in Finnish: laki (lag/law), tuoli (stol/chair), porvari (borgare)	moderate
lc-019	arb	tur	superstrate	700-present	Anatolia/Middle East	{"lexical": ["religious terms", "intellectual vocabulary"], "phonological": [], "grammatical": []}	Arabic religious and intellectual vocabulary in Turkish; Ottoman Turkish was heavily Arabo-Persian	heavy
lc-020	lat	eus	adstrate	200BCE-500CE	Iberian Peninsula	{"lexical": ["technological terms"], "phonological": [], "grammatical": []}	Latin loanwords in Basque: errege (regem/king), bake (pacem/peace), dorre (turris/tower)	moderate
lc-021	spa	nah	superstrate	1519-present	Mesoamerica	{"lexical": ["colonial vocabulary", "religious terms"], "phonological": ["Spanish sounds adopted"], "grammatical": []}	Spanish colonial vocabulary in Nahuatl; reverse: chocolate, tomato, avocado entered Spanish	heavy
lc-022	nah	spa	substrate	1519-present	Americas	{"lexical": ["food terms", "place names"], "phonological": [], "grammatical": []}	Nahuatl words in Mexican Spanish: chocolate, tomate, aguacate, chile, coyote, cacahuate	moderate
lc-023	spa	grn	adstrate	1537-present	South America	{"lexical": ["modern vocabulary"], "phonological": [], "grammatical": []}	Paraguayan bilingualism; Guaraní borrowed Spanish terms for modern concepts; jopara mixing	heavy
lc-024	arb	heb	adstrate	700-present	Middle East	{"lexical": ["shared Semitic roots revived"], "phonological": ["pharyngeal consonants"], "grammatical": []}	Modern Hebrew phonology influenced by Arabic (and Yiddish); Arabic loanwords: walla, yalla, sababa	moderate
lc-025	grc	lat	adstrate	200BCE-500CE	Mediterranean	{"lexical": ["philosophy", "science", "medicine"], "phonological": [], "grammatical": ["participial constructions"]}	Greek vocabulary in Latin: philosophia, theologia, grammatica, musica; bilingual Roman elite	heavy
lc-026	lat	ell	superstrate	100BCE-400CE	Eastern Mediterranean	{"lexical": ["legal terms", "military terms"], "phonological": [], "grammatical": []}	Latin legal and military terms in Greek: κάστρο (castrum), σπίτι (hospitium), φούρνος (furnus)	moderate
lc-027	arb	amh	adstrate	700-present	Horn of Africa	{"lexical": ["religious terms", "trade vocabulary"], "phonological": [], "grammatical": []}	Arabic loanwords in Amharic: salaam, kitab, dunya; Islamic trade and religious contact	moderate
lc-028	eng	jpn	superstrate	1853-present	East Asia	{"lexical": ["modern technology", "pop culture"], "phonological": [], "grammatical": []}	English loanwords (gairaigo) in Japanese: コンピュータ, テレビ, インターネット; massive post-WWII adoption	heavy
lc-029	por	jpn	adstrate	1543-1639	East Asia	{"lexical": ["food terms", "religious terms"], "phonological": [], "grammatical": []}	Portuguese loanwords in Japanese: パン (pão/bread), てんぷら (tempero), カルタ (carta)	light
lc-030	san	jav	superstrate	100-1500	Southeast Asia	{"lexical": ["court vocabulary", "religious terms", "literary register"], "phonological": [], "grammatical": []}	Heavy Sanskrit in Javanese: raja, dharma, pustaka; Old Javanese kawi literature heavily Sanskritic	heavy
lc-031	arb	jav	superstrate	1200-present	Southeast Asia	{"lexical": ["religious terminology", "trade terms"], "phonological": [], "grammatical": []}	Arabic Islamic vocabulary in Javanese: kitab, masjid, dunia, akhirat; replaced Sanskrit in religion	moderate
lc-032	non	gle	adstrate	800-1100	British Isles	{"lexical": ["maritime terms", "trade vocabulary", "place names"], "phonological": [], "grammatical": []}	Norse loanwords in Irish: margadh (market), bád (boat), ancaire (anchor); Dublin = Dubh Linn	moderate
lc-033	eng	hin	superstrate	1757-1947	South Asia	{"lexical": ["administrative terms", "technology", "education"], "phonological": [], "grammatical": []}	English administrative and technical vocabulary in Hindi: station, ticket, school, doctor, hospital	heavy
lc-034	arb	hin	superstrate	1200-1800	South Asia	{"lexical": ["administrative terms", "literary vocabulary"], "phonological": [], "grammatical": []}	Persian-Arabic vocabulary in Hindi/Urdu: kitab, adalat, duniya, waqt, zindagi	heavy
lc-035	zul	xho	adstrate	1500-present	Southern Africa	{"lexical": ["shared vocabulary"], "phonological": ["click consonants shared"], "grammatical": ["similar noun class system"]}	Mutual intelligibility; shared Nguni features; both adopted Khoisan click consonants	heavy
lc-036	swa	zul	adstrate	1800-present	Southern/East Africa	{"lexical": ["trade vocabulary"], "phonological": [], "grammatical": []}	Swahili trade language influence on Zulu through East African trade networks	light
lc-037	fra	ita	adstrate	1400-1800	Western Europe	{"lexical": ["culinary terms", "arts vocabulary"], "phonological": [], "grammatical": []}	Italian Renaissance influence on French: banque, ballet (re-borrowed); French counter-influence	moderate
lc-038	fra	deu	adstrate	1650-1800	Western Europe	{"lexical": ["court vocabulary", "culture", "cuisine"], "phonological": [], "grammatical": []}	French prestige vocabulary in German: Friseur, Balkon, Garage, Restaurant, Chance	moderate
lc-039	lat	spa	superstrate	200BCE-500CE	Iberian Peninsula	{"lexical": ["core vocabulary replacement"], "phonological": ["vowel system"], "grammatical": ["case loss"]}	Spanish descended from Vulgar Latin; Iberian/Basque substrate in northern dialects	heavy
lc-040	lat	por	superstrate	200BCE-500CE	Iberian Peninsula	{"lexical": ["core vocabulary replacement"], "phonological": ["vowel system"], "grammatical": ["case loss"]}	Portuguese from Vulgar Latin with Lusitanian-Celtic substrate; nasal vowels possibly from Celtic	heavy
lc-041	lat	ita	superstrate	300BCE-500CE	Italian Peninsula	{"lexical": ["core vocabulary"], "phonological": ["vowel system"], "grammatical": ["case loss"]}	Italian most conservative Romance; Etruscan substrate in Tuscan; Oscan-Umbrian in south	heavy
lc-042	ett	lat	substrate	700BCE-100CE	Italian Peninsula	{"lexical": ["personal names", "religious terms"], "phonological": ["aspiration patterns"], "grammatical": []}	Etruscan substrate in Latin: persona, antenna, populus (debated); Etruscan onomastics	moderate
lc-043	deu	pol	adstrate	1200-present	Central Europe	{"lexical": ["urban vocabulary", "craft terms"], "phonological": [], "grammatical": []}	German loanwords in Polish: ratusz (Rathaus), burmistrz (Bürgermeister), rynek (Ring)	moderate
lc-044	rus	pol	adstrate	1795-1918	Eastern Europe	{"lexical": ["political terms"], "phonological": [], "grammatical": []}	Russian influence during partitions; Polish resistance maintained linguistic identity	light
lc-045	deu	ces	adstrate	1000-present	Central Europe	{"lexical": ["urban terms", "technology"], "phonological": [], "grammatical": []}	German loanwords in Czech: knedlík (Knödel), šunka (Schinken), štrúdl (Strudel)	heavy
lc-046	tur	ell	superstrate	1453-1821	Eastern Mediterranean	{"lexical": ["food terms", "administrative vocabulary"], "phonological": [], "grammatical": []}	Turkish loanwords in Greek: μπακλαβάς, ντολμάς, τζατζίκι; Ottoman administrative terms	moderate
lc-047	cmn	yue	superstrate	1900-present	East Asia	{"lexical": ["modern vocabulary"], "phonological": ["Mandarin prestige influence"], "grammatical": []}	Standard Mandarin prestige influence on Cantonese; Cantonese preserves Middle Chinese features	moderate
lc-048	eng	tgl	superstrate	1898-present	Southeast Asia	{"lexical": ["modern vocabulary", "education"], "phonological": [], "grammatical": ["code-switching patterns"]}	Heavy English in Filipino: computer, internet, school; Taglish code-switching common	heavy
lc-049	spa	tgl	superstrate	1565-1898	Southeast Asia	{"lexical": ["~33% vocabulary"], "phonological": [], "grammatical": ["plural marker mga debated"]}	Spanish ~33% Tagalog vocabulary: silya (silla), mesa, bintana (ventana), kusina (cocina)	heavy
lc-050	swa	mlg	adstrate	800-1500	Indian Ocean	{"lexical": ["trade terms"], "phonological": [], "grammatical": []}	Swahili-Malagasy trade contact; Arabic loanwords entered both; Bantu substrate debate in Malagasy	moderate
lc-051	fra	mlg	superstrate	1896-1960	Indian Ocean	{"lexical": ["administrative terms", "modern vocabulary"], "phonological": [], "grammatical": []}	French colonial vocabulary in Malagasy: école, bureau, gouvernement; French education system	moderate
lc-052	eng	swa	superstrate	1890-present	East Africa	{"lexical": ["modern technology", "education"], "phonological": [], "grammatical": []}	English loanwords in Swahili: kompyuta, televisheni, intaneti; British colonial influence	moderate
lc-053	lat	sqi	superstrate	200BCE-500CE	Balkans	{"lexical": ["core vocabulary layer"], "phonological": ["vowel system influence"], "grammatical": []}	Heavy Latin layer in Albanian: qytet (civitatem), mbret (imperator), mik (amicus)	heavy
lc-054	tur	sqi	superstrate	1385-1912	Balkans	{"lexical": ["administrative terms", "food vocabulary"], "phonological": [], "grammatical": []}	Turkish loanwords in Albanian: çaj (tea), dollap (cabinet), xhami (mosque)	moderate
lc-055	got	spa	substrate	400-700	Iberian Peninsula	{"lexical": ["personal names", "military terms"], "phonological": [], "grammatical": []}	Visigothic names in Spanish: Rodrigo, Alfonso, Fernando; military terms: guerra (werra)	light
lc-056	got	ita	substrate	400-800	Italian Peninsula	{"lexical": ["personal names", "military terms"], "phonological": [], "grammatical": []}	Lombardic/Gothic words in Italian: guerra, guardia, albergo, bianco, ricco	moderate
lc-057	ang	eng	substrate	450-1100	British Isles	{"lexical": ["core Germanic vocabulary"], "phonological": ["Germanic consonants"], "grammatical": ["Germanic word order base"]}	Old English is the direct ancestor of English; core vocabulary: house, water, earth, mother	heavy
lc-058	khk	rus	adstrate	1900-1990	Central Asia	{"lexical": ["political terms", "technology"], "phonological": ["Cyrillic script adopted"], "grammatical": []}	Russian loanwords in Mongolian: машин, ном (modified), завод; Cyrillic script adopted 1941	heavy
lc-059	arb	hau	superstrate	1000-present	West Africa	{"lexical": ["religious terms", "trade vocabulary"], "phonological": [], "grammatical": []}	Arabic Islamic vocabulary in Hausa: littafi (kitab), sallah, alhamis; trade language influence	moderate
lc-060	eng	yor	superstrate	1850-present	West Africa	{"lexical": ["education", "technology", "governance"], "phonological": [], "grammatical": []}	English colonial vocabulary in Yoruba: kọmputa, tẹlifọnu; Nigerian English emerged	moderate
lc-061	arb	yor	adstrate	1400-present	West Africa	{"lexical": ["religious terms"], "phonological": [], "grammatical": []}	Arabic Islamic terms in Yoruba: alufa (imam), were (recitation); Islamic Yoruba communities	light
lc-062	fra	vie	superstrate	1862-1954	Southeast Asia	{"lexical": ["administrative vocabulary", "food terms"], "phonological": [], "grammatical": []}	French loanwords in Vietnamese: cà phê (café), ga (gare), xà phòng (savon), bia (bière)	moderate
lc-063	lit	lav	adstrate	2000BCE-present	Baltic	{"lexical": ["shared Baltic vocabulary"], "phonological": ["shared tonal/pitch accent"], "grammatical": ["shared case systems"]}	Baltic linguistic unity; Lithuanian more conservative; Latvian innovated with Finnic contact	moderate
lc-064	deu	lav	superstrate	1200-1900	Baltic	{"lexical": ["urban vocabulary", "trade terms"], "phonological": [], "grammatical": []}	German Hanseatic loanwords in Latvian: amats (Amt), būvēt (bauen), krogs (Krug)	heavy
lc-065	rus	lav	superstrate	1721-1991	Baltic	{"lexical": ["political vocabulary"], "phonological": [], "grammatical": []}	Russian administrative terms during imperial and Soviet periods; bilingualism	moderate
lc-066	deu	swe	superstrate	1200-1500	Scandinavia	{"lexical": ["trade vocabulary", "urban terms"], "phonological": [], "grammatical": []}	Low German Hanseatic influence on Swedish: betala (bezahlen), fönster (Fenster), handel	heavy
lc-067	dan	nor	superstrate	1380-1814	Scandinavia	{"lexical": ["written standard"], "phonological": ["Danish pronunciation influence"], "grammatical": []}	Danish union period created Bokmål written standard; Norwegian dialects diverged from written form	heavy
lc-068	aze	tur	adstrate	1000-present	Anatolia/Caucasus	{"lexical": ["shared Turkic vocabulary"], "phonological": ["mutual intelligibility"], "grammatical": ["shared agglutinative patterns"]}	Very close Turkic languages; high mutual intelligibility; shared Oghuz branch features	heavy
lc-069	uzb	tur	adstrate	1000-present	Central Asia	{"lexical": ["shared Turkic core"], "phonological": ["vowel harmony differences"], "grammatical": ["shared agglutinative morphology"]}	Shared Turkic vocabulary base; Uzbek heavily influenced by Persian/Tajik; less intelligibility	moderate
lc-070	cmn	tha	adstrate	1200-present	Southeast Asia	{"lexical": ["trade vocabulary", "food terms"], "phonological": [], "grammatical": []}	Chinese trade vocabulary in Thai; Thai-Chinese bilingual communities; Teochew Chinese influence	moderate
lc-071	sux	lat	substrate	3000BCE-500BCE	Mesopotamia	{"lexical": ["scholarly terms via Akkadian via Greek"], "phonological": [], "grammatical": []}	Sumerian → Akkadian → Greek → Latin transmission: some astronomical and mathematical terms	light
lc-072	grc	arb	adstrate	300BCE-700CE	Middle East	{"lexical": ["philosophy", "science", "medicine"], "phonological": [], "grammatical": []}	Greek philosophical and scientific vocabulary translated into Arabic during Abbasid period	heavy
lc-073	san	ben	superstrate	500BCE-present	South Asia	{"lexical": ["literary vocabulary", "religious terms"], "phonological": [], "grammatical": []}	Sanskrit tatsama words in Bengali; literary register heavily Sanskritic; Sadhu vs Chalit styles	heavy
lc-074	san	hin	superstrate	500BCE-present	South Asia	{"lexical": ["literary vocabulary", "religious terms"], "phonological": [], "grammatical": []}	Sanskrit tatsama in Hindi: dharma, karma, yoga, guru; Hindi literary register = Sanskritized	heavy
lc-075	grc	hye	adstrate	300BCE-400CE	Anatolia/Caucasus	{"lexical": ["cultural vocabulary"], "phonological": [], "grammatical": []}	Greek loanwords in Armenian: կին (gynē), ատաղձ; significant early contact layer	moderate
lc-076	oss	ell	substrate	700BCE-300CE	Pontic Steppe	{"lexical": ["Scythian/Sarmatian traces"], "phonological": [], "grammatical": []}	Iranian (Scythian/Sarmatian) influence on Greek colonies in Black Sea region	light
lc-077	fra	eng	adstrate	1600-present	Global	{"lexical": ["cuisine", "fashion", "diplomacy"], "phonological": [], "grammatical": []}	Continued French prestige borrowings: restaurant, entrepreneur, renaissance, avant-garde	moderate
lc-078	eng	fra	adstrate	1900-present	Global	{"lexical": ["technology", "business", "sports"], "phonological": [], "grammatical": []}	English loanwords in modern French: le weekend, le parking, le marketing, le football	moderate
lc-079	eng	deu	adstrate	1945-present	Western Europe	{"lexical": ["technology", "business", "pop culture"], "phonological": [], "grammatical": []}	English loanwords in German: Computer, Handy (mobile), Smartphone, Marketing, Livestream	moderate
lc-080	spa	eus	adstrate	1000-present	Iberian Peninsula	{"lexical": ["modern vocabulary"], "phonological": [], "grammatical": []}	Spanish vocabulary in Basque for modern concepts; Basque counter-influence on Spanish phonology in north	moderate
lc-081	eus	spa	substrate	100BCE-present	Iberian Peninsula	{"lexical": ["place names"], "phonological": ["five-vowel system", "no initial f-"], "grammatical": []}	Basque substrate in Castilian Spanish: five-vowel system, f- > h- sound change (filius > hijo)	moderate
lc-082	eng	cmn	adstrate	1840-present	East Asia	{"lexical": ["technology", "science", "business"], "phonological": [], "grammatical": []}	English loanwords in Mandarin: 沙发 shāfā (sofa), 咖啡 kāfēi (coffee), 巧克力 qiǎokèlì (chocolate)	moderate
lc-083	por	swa	adstrate	1498-1700	East African coast	{"lexical": ["maritime terms", "trade goods"], "phonological": [], "grammatical": []}	Portuguese maritime and trade vocabulary in Swahili: meza (mesa/table), bendera (bandeira/flag)	light
lc-084	non	fra	substrate	900-1100	Northern France	{"lexical": ["maritime terms", "place names"], "phonological": [], "grammatical": []}	Norse loanwords in Norman French: hauberc (hauberk), flotte (fleet); Normandy place names	moderate
lc-085	heb	arb	adstrate	600BCE-present	Middle East	{"lexical": ["shared Semitic cognates"], "phonological": ["shared pharyngeals"], "grammatical": ["shared Semitic morphology"]}	Shared Semitic root system; mutual influence through religious and commercial contact	moderate
lc-086	swa	amh	adstrate	1000-present	East Africa	{"lexical": ["trade vocabulary"], "phonological": [], "grammatical": []}	Swahili trade language contact with Amharic through East African trade routes	light
lc-087	lat	cym	superstrate	43-410CE	British Isles	{"lexical": ["infrastructure terms", "religious vocabulary"], "phonological": [], "grammatical": []}	Latin loanwords in Welsh: pont (pons/bridge), ffenestr (fenestra/window), eglwys (ecclesia/church)	moderate
lc-088	eng	haw	superstrate	1778-present	Pacific	{"lexical": ["modern vocabulary replacement"], "phonological": [], "grammatical": []}	English near-total replacement of Hawaiian in daily life; Hawaiian pidgin/creole emerged	heavy
lc-089	eng	mri	superstrate	1769-present	Pacific	{"lexical": ["modern vocabulary"], "phonological": [], "grammatical": []}	English dominance led to Maori language decline; revitalization since 1980s; English loanwords adapted	heavy
lc-090	spa	aym	superstrate	1533-present	South America	{"lexical": ["colonial vocabulary", "religious terms"], "phonological": [], "grammatical": []}	Spanish colonial and religious vocabulary in Aymara; Andean Spanish influenced by Aymara substrate	moderate
lc-091	spa	arn	superstrate	1541-present	South America	{"lexical": ["colonial vocabulary"], "phonological": [], "grammatical": []}	Spanish influence on Mapudungun; Mapuche resistance preserved core language longer than many	moderate
lc-092	ang	non	adstrate	800-1050	British Isles	{"lexical": ["mutual borrowing"], "phonological": ["simplification at contact"], "grammatical": ["inflection loss at contact zone"]}	Old English-Norse contact in Danelaw led to mutual simplification; contributed to English case loss	heavy
lc-093	grc	sqi	substrate	500BCE-present	Balkans	{"lexical": ["ancient shared vocabulary"], "phonological": [], "grammatical": []}	Greek-Albanian ancient Balkan contact; shared pre-IE substrate vocabulary; Balkan Sprachbund	moderate
lc-094	tur	arb	adstrate	1050-present	Middle East	{"lexical": ["military terms", "administrative vocabulary"], "phonological": [], "grammatical": []}	Turkish military and administrative terms entered Arabic during Ottoman period	moderate
lc-095	rus	tur	adstrate	1700-present	Eurasia	{"lexical": ["mutual borrowing"], "phonological": [], "grammatical": []}	Russian-Turkish contact through wars and trade; mutual borrowings in military and trade vocabulary	light
