id	name	category	origin_region	origin_coordinates	trade_routes	time_period	economic_significance	associated_languages
tg-016	Coffee	grain	Ethiopia (Kaffa)	{"lat":7.07,"lng":36.24}	["arab-indian-ocean","european-atlantic"]	1400 to present	Transformed social culture globally; second most traded commodity after oil	["amh","arb","tur","nld","por"]
tg-017	Sugar	grain	India/New Guinea	{"lat":26.85,"lng":80.91}	["arab-expansion","european-atlantic","atlantic-slave-trade"]	-500 to present	"White gold" that drove plantation slavery and reshaped demographics of Americas	["hin","arb","por","spa","eng","fra"]
tg-018	Cotton	textile	India (Indus Valley)	{"lat":27.17,"lng":68.85}	["silk-road","arab-indian-ocean","atlantic-slave-trade"]	-5000 to present	Revolutionized textile industry; cotton trade linked to slavery and industrialization	["hin","arb","eng","cmn"]
tg-019	Wool	textile	Mesopotamia	{"lat":33.31,"lng":44.37}	["silk-road","viking-expansion","amber-road"]	-4000 to present	Staple textile of temperate civilizations; English wool trade built medieval economy	["arb","fas","eng","spa","lat"]
tg-020	Horses	animal	Central Asian Steppe	{"lat":48.02,"lng":66.92}	["silk-road","mongol-conquests","turkic-migrations"]	-4000 to present	Revolutionized warfare and transport; Mongol Empire built on horse mastery	["mon","fas","arb","tur","cmn"]
tg-021	Porcelain	luxury	China (Jingdezhen)	{"lat":29.30,"lng":117.20}	["silk-road","malay-archipelago-trade","portuguese-maritime"]	200 to present	"White gold" of trade; Chinese monopoly for centuries shaped global commerce	["cmn","jpn","arb","por","nld"]
tg-022	Obsidian	metal	Anatolia/Mesoamerica	{"lat":38.63,"lng":34.83}	["phoenician-trade"]	-7000 to -1000	Earliest long-distance traded commodity; volcanic glass prized for tools and weapons	["grc","lat","tur","nah"]
tg-023	Lapis Lazuli	luxury	Afghanistan (Badakhshan)	{"lat":36.72,"lng":70.81}	["silk-road","incense-route"]	-7000 to present	Prized blue stone traded across ancient world; source of ultramarine pigment	["fas","arb","san","lat","egy"]
tg-024	Jade	luxury	Myanmar/China/Mesoamerica	{"lat":25.37,"lng":96.48}	["silk-road","malay-archipelago-trade"]	-6000 to present	Sacred stone in Chinese and Mesoamerican cultures; "stone of heaven"	["cmn","mya","nah","myn"]
tg-025	Incense	spice	Arabia/India	{"lat":17.02,"lng":54.09}	["incense-route","arab-indian-ocean","silk-road"]	-3000 to present	Sacred aromatic resins essential to religious practices across civilizations	["arb","san","hin","grc","lat"]
tg-026	Spice Mix (Garam Masala)	spice	India	{"lat":28.61,"lng":77.21}	["spice-trade","arab-indian-ocean","silk-road"]	-1000 to present	Complex spice blends that defined Indian cuisine and drove spice trade	["hin","urd","tam","arb","eng"]
tg-027	Indigo	luxury	India	{"lat":22.57,"lng":88.36}	["spice-trade","arab-indian-ocean","atlantic-slave-trade"]	-4000 to present	Most important natural dye; Indian indigo monopoly drove colonial plantation systems	["hin","ben","arb","por","eng"]
tg-028	Sandalwood	spice	India/Southeast Asia	{"lat":12.97,"lng":77.59}	["spice-trade","arab-indian-ocean","malay-archipelago-trade"]	-2000 to present	Fragrant wood prized for incense, medicine, and carving across Asia	["san","hin","tam","arb","msa"]
tg-029	Camphor	spice	Borneo/Japan	{"lat":1.49,"lng":110.35}	["malay-archipelago-trade","arab-indian-ocean"]	500 to present	Aromatic compound highly valued in Chinese and Islamic medicine	["msa","cmn","jpn","arb"]
tg-030	Slaves	luxury	Multiple origins	{"lat":6.52,"lng":3.38}	["atlantic-slave-trade","trans-saharan-trade","viking-east","arab-indian-ocean"]	-3000 to 1900	Forced human labor trade that shaped demographics, economies, and cultures globally	["yor","ibo","swa","arb","por","eng","fra","spa"]
tg-031	Furs	animal	Northern Eurasia/North America	{"lat":55.75,"lng":37.62}	["viking-expansion","viking-east","silk-road"]	-2000 to 1800	Luxury pelts that drove Russian expansion into Siberia and French/British colonization of North America	["rus","fin","fra","eng","oji"]
tg-032	Gems (Rubies)	luxury	Myanmar/Sri Lanka	{"lat":22.90,"lng":96.43}	["silk-road","spice-trade","malay-archipelago-trade"]	-2500 to present	Precious gemstones traded across Asia; Myanmar rubies the most prized	["mya","sin","tam","arb","fas"]
tg-033	Iron	metal	Anatolia/Sub-Saharan Africa	{"lat":39.93,"lng":32.86}	["trans-saharan-trade","phoenician-trade","silk-road"]	-1200 to present	Revolutionary metal that transformed warfare and agriculture; defined an age	["hit","grc","lat","arb","swa"]
tg-034	Rice	grain	China (Yangtze Valley)	{"lat":30.25,"lng":120.17}	["silk-road","malay-archipelago-trade","austronesian-expansion"]	-8000 to present	Staple food for half of humanity; rice paddy culture shaped Asian civilizations	["cmn","jpn","kor","tha","msa","hin"]
tg-035	Papyrus	luxury	Egypt (Nile Delta)	{"lat":30.05,"lng":31.23}	["phoenician-trade","incense-route"]	-3000 to 800	Writing material that enabled record-keeping; Egyptian monopoly for millennia	["egy","cop","grc","lat","arb"]
tg-036	Wine	grain	Caucasus/Mediterranean	{"lat":41.72,"lng":44.79}	["phoenician-trade","silk-road","viking-expansion"]	-6000 to present	Cultural beverage central to Mediterranean civilizations; Phoenicians spread viticulture	["kat","grc","lat","fra","spa","ita"]
tg-037	Cowrie Shells	luxury	Maldives/Indian Ocean	{"lat":4.17,"lng":73.51}	["arab-indian-ocean","trans-saharan-trade","malay-archipelago-trade"]	-1000 to 1900	Universal currency across Africa and Asia; most widely used shell money in history	["div","arb","swa","hau","cmn"]
tg-038	Opium	spice	Mesopotamia/India	{"lat":33.31,"lng":44.37}	["silk-road","arab-indian-ocean","european-asia-colonization"]	-3400 to present	Medicinal and recreational drug; opium trade triggered wars and shaped colonial politics	["arb","fas","hin","cmn","eng"]
tg-039	Rubber	luxury	Amazon Basin	{"lat":-3.12,"lng":-60.02}	["european-atlantic"]	1736 to present	Essential industrial material; rubber boom reshaped Amazon region and Congo	["por","spa","eng","fra","lin"]
tg-040	Tobacco	grain	Americas	{"lat":19.43,"lng":-99.13}	["european-atlantic","atlantic-slave-trade"]	1500 to present	New World crop that became globally addictive; tobacco trade drove colonial economies	["nah","eng","spa","por","fra"]
tg-041	Cocoa	grain	Mesoamerica	{"lat":17.98,"lng":-92.93}	["european-atlantic","atlantic-slave-trade"]	-1900 to present	Sacred Mesoamerican crop; chocolate became luxury European commodity	["nah","myn","spa","por","eng","fra"]
tg-042	Diamonds	luxury	India/Southern Africa	{"lat":24.58,"lng":80.83}	["spice-trade","arab-indian-ocean","european-atlantic"]	-400 to present	Hardest natural substance; Indian diamond trade ancient, South African diamonds transformed global market	["hin","arb","por","nld","eng","afr"]
tg-043	Turmeric	spice	India	{"lat":13.08,"lng":80.27}	["spice-trade","arab-indian-ocean","malay-archipelago-trade"]	-3000 to present	Golden spice with culinary, medicinal, and ceremonial uses; staple of Indian trade	["tam","hin","arb","msa"]
tg-044	Saffron	spice	Iran/Kashmir	{"lat":34.08,"lng":74.79}	["silk-road","arab-expansion"]	-3000 to present	Most expensive spice by weight; labor-intensive harvest from crocus flowers	["fas","arb","kas","spa","grc"]
tg-045	Pearls	luxury	Persian Gulf/Japan	{"lat":26.07,"lng":50.55}	["arab-indian-ocean","silk-road","spice-trade"]	-2500 to present	Prized oceanic gems; Persian Gulf pearl diving sustained Arabian Gulf economies for millennia	["arb","fas","jpn","tam","eng"]
tg-046	Textiles	textile	Multiple regions	{"lat":33.27,"lng":35.2}	["silk-road","trans-saharan-trade","european-atlantic"]	-3000 to present	Aggregate category for woven cloth traded as a commodity where the sources name no single fibre — Levantine and Anatolian weaves on the Persian Royal Road, Andean camelid cloth on the Inca road system, European broadcloth on the Camino Real	["arc","peo","spa","que","jpn"]
tg-047	Grain	grain	Fertile Crescent and the Nile Valley	{"lat":30.8,"lng":31}	["phoenician-trade","arab-expansion","silk-road"]	-8000 to present	Wheat and barley, the staple bulk cargo of Mediterranean and Near Eastern trade; Egyptian and Black Sea grain fed Rome and Constantinople	["egy","grc","lat","arb","arc"]
tg-048	Spices	spice	Multiple regions	{"lat":10.85,"lng":76.27}	["spice-trade","arab-indian-ocean","silk-road"]	-2000 to present	Aggregate category for mixed spice cargoes where the sources name no single spice; anchored on the Malabar Coast, the dominant entrepot for the assorted-spice trade	["mal","tam","arb","fas","por"]
tg-049	Metal Ores	metal	Multiple regions	{"lat":35.13,"lng":33.43}	["phoenician-trade","amber-road","silk-road"]	-3500 to present	Aggregate category for unworked copper, tin, lead and iron ore moved in bulk; anchored on Cyprus, whose copper named the metal	["grc","lat","egy","arc"]
tg-050	Metalwork	metal	Multiple regions	{"lat":33.51,"lng":36.29}	["silk-road","viking-east","mongol-conquests"]	-2000 to present	Aggregate category for finished metal goods — weapons, tools, vessels and ornament — distinct from raw ore; anchored on Damascus, long synonymous with high-value worked steel	["arb","fas","deu","rus"]
tg-051	Cedar	luxury	Mount Lebanon	{"lat":34.25,"lng":36.05}	["phoenician-trade","incense-route"]	-3000 to 600	Rot-resistant timber from the Lebanese highlands, exported through Byblos for Egyptian and Mesopotamian temple, palace and ship construction; one of the earliest documented long-distance bulk trades	["phn","egy","akk","heb"]
tg-052	Marble	luxury	Attica and the Apuan Alps	{"lat":38.1,"lng":23.87}	["phoenician-trade","european-atlantic"]	-600 to present	Monumental building and sculptural stone; Pentelic marble built classical Athens and Carrara marble supplied Rome, moved by sea and along the Appian Way	["grc","lat","ita"]
tg-053	Olive Oil	grain	Mediterranean basin	{"lat":37.98,"lng":23.73}	["phoenician-trade","arab-expansion"]	-3000 to present	Cooking fat, lamp fuel, cosmetic and ritual unguent shipped in amphorae throughout the classical Mediterranean; one of the highest-volume Roman cargoes	["grc","lat","arb","spa","ita"]
tg-054	Livestock	animal	Multiple regions	{"lat":28.63,"lng":-106.08}	["european-asia-colonization","trans-saharan-trade"]	-8000 to present	Cattle, sheep, mules and horses driven along overland routes as self-transporting cargo; the Camino Real de Tierra Adentro stocked the New Mexican frontier this way	["spa","arb","por"]
tg-055	Hides	animal	Multiple regions	{"lat":22.77,"lng":-102.58}	["european-atlantic","viking-east","trans-saharan-trade"]	-3000 to present	Untanned skins and worked leather, a durable high-value-per-weight by-product of the livestock trade; a staple return cargo on the Camino Real and the Rus river routes	["spa","rus","arb"]
tg-056	Maize	grain	Balsas River Valley, Mesoamerica	{"lat":18,"lng":-100}	["european-atlantic","european-asia-colonization"]	-7000 to present	Domesticated in southern Mexico and the staple grain of Mesoamerica and the Andes; carried on the Inca road system as state-stored tribute and later spread worldwide by the Columbian exchange	["nah","que","aym","spa"]
tg-057	Coca	grain	Andean eastern slopes (Yungas)	{"lat":-16.2,"lng":-67.7}	["european-atlantic"]	-3000 to present	Stimulant leaf chewed against altitude, hunger and fatigue; a ritual and labour good distributed along the Qhapaq Nan under Inca state control	["que","aym","spa"]
tg-058	Lacquerware	luxury	China and Japan	{"lat":35.01,"lng":135.77}	["silk-road","malay-archipelago-trade","european-asia-colonization"]	-1000 to present	Sap-lacquered wood vessels and boxes, light, waterproof and highly durable; a premium East Asian export carried on the Nakasendo and later prized in Europe	["jpn","cmn","kor","nld"]
tg-059	Seafood	grain	Coastal Japan and the North Atlantic	{"lat":34.9,"lng":138.5}	["austronesian-expansion","viking-expansion"]	-5000 to present	Dried, salted and pickled fish and shellfish — a preserved protein cargo that could travel inland; fresh and dried seafood moved from Suruga Bay along the Tokaido to Edo	["jpn","non","isl"]
