id	culture_profile_id	year	lane	event_type	title	description	magnitude	sources
ce-032	cp-roman	212	political	reform	Constitutio Antoniniana	Caracalla grants Roman citizenship to all free inhabitants of the empire.	major	["Garnsey, Aspects of the Decline of the Ancient World"]
ce-033	cp-roman	313	religion	reform	Edict of Milan	Constantine legalizes Christianity, ending official persecution.	major	["MacMullen, Christianizing the Roman Empire"]
ce-034	cp-roman	330	urbanism	transition	Capital Moves to Constantinople	Constantine founds new eastern capital at Byzantium.	major	["Mango, Byzantium"]
ce-035	cp-roman	380	religion	reform	Christianity Becomes State Religion	Theodosius I makes Nicene Christianity the official state religion.	major	["MacMullen, Christianizing the Roman Empire"]
ce-036	cp-roman	395	political	split	Empire Permanently Divided	Death of Theodosius splits Rome into Western and Eastern halves.	major	["Heather, The Fall of the Roman Empire"]
ce-037	cp-roman	476	political	collapse	Fall of the Western Empire	Odoacer deposes Romulus Augustulus, ending the Western Roman Empire.	major	["Heather, The Fall of the Roman Empire"]
ce-038	cp-shang	-1600	political	founding	Shang Dynasty Founded	Tang overthrows Xia; Shang becomes first archaeologically confirmed Chinese dynasty.	major	["Keightley, The Ancestral Landscape"]
ce-039	cp-shang	-1250	technology	innovation	Oracle Bone Writing	Earliest Chinese script emerges on divination bones under King Wu Ding.	major	["Keightley, Sources of Shang History"]
ce-040	cp-shang	-1200	technology	innovation	Bronze Ritual Vessels	Shang bronze casting reaches zenith with elaborate ritual vessels.	moderate	["Chang, Shang Civilization"]
ce-041	cp-shang	-1046	political	collapse	Zhou Conquest at Muye	Battle of Muye ends Shang rule; King Wu of Zhou establishes new dynasty.	major	["Li, Early China"]
ce-042	cp-zhou	-1046	political	founding	Western Zhou Dynasty Founded	Zhou rulers establish Mandate of Heaven doctrine legitimizing rule.	major	["Li, Early China"]
ce-043	cp-zhou	-771	political	crisis	Capital Sacked; Eastern Zhou Begins	Western Zhou falls to Quanrong; capital moves east to Luoyang.	major	["Li, Early China"]
ce-044	cp-zhou	-551	religion	innovation	Confucius Born	Master Kong's teachings reshape Chinese ethics and social order.	major	["Ivanhoe, Confucian Moral Self Cultivation"]
ce-045	cp-zhou	-475	political	war	Warring States Period Begins	Era of intense inter-state warfare and philosophical innovation.	major	["Lewis, Sanctioned Violence in Early China"]
ce-046	cp-zhou	-221	political	conquest	Qin Unifies China	Qin Shi Huang unifies Chinese states, ending Zhou era.	major	["Lewis, The Early Chinese Empires"]
ce-047	cp-maurya	-322	political	founding	Chandragupta Founds Maurya Empire	Chandragupta overthrows Nanda Dynasty, establishes first Indian empire.	major	["Thapar, Early India"]
ce-048	cp-maurya	-268	religion	reform	Ashoka's Conversion to Buddhism	Emperor Ashoka embraces Buddhism after Kalinga War; promotes ahimsa.	major	["Thapar, Asoka and the Decline of the Mauryas"]
ce-049	cp-maurya	-232	political	decline	Death of Ashoka	Empire begins to fragment after Ashoka's death.	moderate	["Thapar, Early India"]
ce-050	cp-maurya	-185	political	collapse	Shunga Coup Ends Maurya Rule	Pushyamitra Shunga assassinates last Maurya emperor.	major	["Thapar, Early India"]
ce-051	cp-gupta	320	political	founding	Gupta Dynasty Founded	Chandragupta I establishes Gupta Empire in northern India.	major	["Thapar, Early India"]
ce-052	cp-gupta	380	technology	innovation	Golden Age Arts & Sciences	Decimal system, zero, astronomy, and classical Sanskrit literature flourish.	major	["Thapar, Early India"]
ce-053	cp-gupta	550	political	collapse	Hunnic Invasions Collapse Empire	Alchon Huns and regional fragmentation end Gupta rule.	major	["Thapar, Early India"]
ce-054	cp-persian-achaemenid	-550	political	founding	Cyrus Founds Persian Empire	Cyrus the Great overthrows the Medes and founds Achaemenid Empire.	major	["Briant, From Cyrus to Alexander"]
ce-055	cp-persian-achaemenid	-539	territory	conquest	Conquest of Babylon	Cyrus conquers Babylon; frees Jewish exiles; declares religious tolerance.	major	["Briant, From Cyrus to Alexander"]
ce-056	cp-persian-achaemenid	-522	political	reform	Darius Reorganizes Empire	Darius I establishes satrapy system, royal road, and standardized coinage.	major	["Briant, From Cyrus to Alexander"]
ce-057	cp-persian-achaemenid	-490	political	defeat	Defeat at Marathon	Persian invasion of Greece fails at Battle of Marathon.	moderate	["Herodotus, Histories"]
ce-058	cp-persian-achaemenid	-330	political	collapse	Alexander Conquers Persia	Alexander the Great defeats Darius III, ending Achaemenid Empire.	major	["Briant, From Cyrus to Alexander"]
ce-059	cp-byzantine	330	political	founding	Constantinople Founded	Constantine establishes new Christian capital at Byzantium.	major	["Mango, Byzantium"]
ce-060	cp-byzantine	527	political	reform	Justinian's Reign Begins	Justinian codifies Roman law and reconquers Mediterranean territories.	major	["Maas, Age of Justinian"]
ce-061	cp-byzantine	636	territory	contraction	Arab Conquests Begin	Byzantines lose Syria, Egypt, and North Africa to the Rashidun Caliphate.	major	["Kaegi, Byzantium and the Early Islamic Conquests"]
ce-062	cp-byzantine	1054	religion	schism	Great Schism	Christianity splits into Orthodox and Catholic churches.	major	["Runciman, The Eastern Schism"]
ce-063	cp-byzantine	1204	political	crisis	Fourth Crusade Sacks Constantinople	Crusaders sack Constantinople; empire fractures into exile states.	major	["Phillips, The Fourth Crusade"]
ce-064	cp-byzantine	1453	political	collapse	Fall of Constantinople	Ottomans conquer Constantinople, ending the Byzantine Empire.	major	["Runciman, The Fall of Constantinople"]
ce-065	cp-minoan	-2000	urbanism	expansion	Palace Civilization Emerges	Great palaces at Knossos, Phaistos, and Malia form cultural centers.	major	["Cullen, Aegean Prehistory"]
ce-066	cp-minoan	-1700	technology	innovation	Linear A Script	Undeciphered Minoan script emerges for administrative use.	moderate	["Cullen, Aegean Prehistory"]
ce-067	cp-minoan	-1627	political	crisis	Thera Volcanic Eruption	Catastrophic eruption of Thera devastates Minoan settlements.	major	["Driessen, The Troubled Island"]
ce-068	cp-minoan	-1450	political	collapse	Mycenaean Takeover	Mycenaeans occupy Crete; Linear B replaces Linear A administratively.	major	["Driessen, The Troubled Island"]
ce-069	cp-mycenaean	-1600	political	founding	Shaft Grave Culture Rises	Wealthy warrior elites emerge at Mycenae with gold-rich burials.	moderate	["Shelmerdine, Cambridge Companion to the Aegean Bronze Age"]
ce-070	cp-mycenaean	-1450	territory	expansion	Mycenaeans Expand to Crete	Mycenaean Greeks take control of Crete and Aegean trade.	moderate	["Shelmerdine, Cambridge Companion to the Aegean Bronze Age"]
ce-071	cp-mycenaean	-1200	political	collapse	Bronze Age Collapse	Palace civilization collapses amid widespread Mediterranean upheaval.	major	["Cline, 1177 B.C."]
ce-072	cp-indus-valley	-2600	urbanism	expansion	Mature Harappan Phase	Planned cities with grid layouts, drainage, and bath complexes flourish.	major	["Kenoyer, Ancient Cities of the Indus Valley"]
ce-073	cp-indus-valley	-1900	political	decline	Climate Shift and Urban Abandonment	Climate change and river shifts cause abandonment of major cities.	major	["Kenoyer, Ancient Cities of the Indus Valley"]
ce-074	cp-indus-valley	-1700	political	collapse	End of Urban Indus Civilization	Regional decline complete; populations shift to smaller settlements.	major	["Kenoyer, Ancient Cities of the Indus Valley"]
ce-075	cp-hittite	-1650	political	founding	Old Kingdom Founded	Hattusili I establishes Hittite Old Kingdom with capital at Hattusa.	major	["Bryce, The Kingdom of the Hittites"]
ce-076	cp-hittite	-1595	territory	expansion	Sack of Babylon	Mursili I sacks Babylon, ending First Babylonian Dynasty.	major	["Bryce, The Kingdom of the Hittites"]
ce-077	cp-hittite	-1274	political	war	Battle of Kadesh	Hittites fight Egypt to stalemate; first known peace treaty follows.	major	["Bryce, The Kingdom of the Hittites"]
ce-078	cp-hittite	-1180	political	collapse	Bronze Age Collapse	Hittite Empire destroyed during broader Sea Peoples upheaval.	major	["Cline, 1177 B.C."]
