id	name	parent_id	description	taxonomic_level	region	total_speakers	language_count
turkic__turkic	Turkic	turkic	A major language family spoken by Turkic peoples across a vast area from Eastern Europe and the Mediterranean to Siberia and Western China.	Family	Eurasia		
turkic__oghuz	Oghuz	turkic	The Southwestern branch of Common Turkic, including the most widely spoken Turkic languages.	Subfamily	West Asia, Balkans		
turkic__kipchak	Kipchak	turkic	The Northwestern branch of Common Turkic, historically associated with the Golden Horde.	Subfamily	Central Asia, Eastern Europe		
turkic__karluk	Karluk	turkic	The Southeastern branch of Common Turkic, originating from the Karluk confederation.	Subfamily	Central Asia		
turkic__siberian_turkic	Siberian Turkic	turkic	The Northeastern branch of Common Turkic, spoken primarily in Siberia.	Subfamily	Siberia		
turkic__oghur	Oghur	turkic	A distinct primary branch of Turkic, separate from Common Turkic, characterized by r-hotacism.	Subfamily	Volga Region		
turkic__arghu	Arghu	turkic	A distinct branch represented by a single isolated language.	Subfamily	Iran		
kra_dai__kra_dai	Kra-Dai	kra_dai	A language family of tonal languages found in southern China and Southeast Asia.	Family	Southeast Asia and Southern China		
kra_dai__tai	Tai	kra_dai	The largest branch of the Kra-Dai family, containing Thai, Lao, and Zhuang.	Subfamily	Southeast Asia and Southern China		
kra_dai__kam_sui	Kam-Sui	kra_dai	A branch spoken primarily in Guizhou and Guangxi provinces of China.	Subfamily	Southern China		
kra_dai__hlai	Hlai	kra_dai	Spoken by the Li people on Hainan Island, China.	Subfamily	Hainan Island		
kra_dai__kra	Kra	kra_dai	Also known as Kadai or Geyang, a branch of languages with complex clusters.	Subfamily	Southern China and Northern Vietnam		
kra_dai__ong_be	Ong-Be	kra_dai	A small branch consisting primarily of the Be language.	Subfamily	Hainan Island		
austroasiatic__austroasiatic	Austroasiatic	austroasiatic	A large language family of mainland Southeast Asia and South Asia, also known as Mon-Khmer.	Family	Southeast Asia and South Asia		
austroasiatic__vietic	Vietic	austroasiatic	The branch containing Vietnamese and Muong.	Subfamily	Vietnam, Laos		
austroasiatic__khmer	Khmer	austroasiatic	The branch containing the Khmer language.	Subfamily	Cambodia, Vietnam, Thailand		
austroasiatic__munda	Munda	austroasiatic	A primary branch of Austroasiatic spoken in central and eastern India.	Subfamily	India, Bangladesh		
austroasiatic__monic	Monic	austroasiatic	The branch containing Mon and Nyah Kur.	Subfamily	Myanmar, Thailand		
austroasiatic__khasian	Khasian	austroasiatic	The branch containing Khasi and Pnar.	Subfamily	Northeast India		
austroasiatic__palaungic	Palaungic	austroasiatic	The branch containing Wa and Palaung languages.	Subfamily	Myanmar, China, Thailand		
austroasiatic__khmuic	Khmuic	austroasiatic	The branch containing Khmu and related languages.	Subfamily	Laos, Vietnam, Thailand, China		
austroasiatic__bahnaric	Bahnaric	austroasiatic	A diverse branch spoken in the Central Highlands of Vietnam and surrounding areas.	Subfamily	Vietnam, Cambodia, Laos		
austroasiatic__katuic	Katuic	austroasiatic	The branch containing Kuy and Bru.	Subfamily	Laos, Vietnam, Thailand		
austroasiatic__aslian	Aslian	austroasiatic	The branch spoken by the Orang Asli in the Malay Peninsula.	Subfamily	Peninsular Malaysia, Thailand		
austroasiatic__nicobarese	Nicobarese	austroasiatic	Languages spoken on the Nicobar Islands.	Subfamily	Nicobar Islands (India)		
nilo_saharan__nilo_saharan	Nilo-Saharan	nilo_saharan	A proposed family of African languages spoken by some 50–60 million people, mainly in the upper parts of the Chari and Nile rivers, including historic Nubia.	Family	Africa		
nilo_saharan__eastern_sudanic	Eastern Sudanic	nilo_saharan	The largest branch of the Nilo-Saharan family, containing the Nilotic and Nubian languages.	Subfamily	East Africa		
nilo_saharan__central_sudanic	Central Sudanic	nilo_saharan	A branch spoken in the Central African Republic, Chad, South Sudan, Uganda, and DR Congo.	Subfamily	Central Africa		
nilo_saharan__saharan	Saharan	nilo_saharan	Languages spoken across the Sahara desert, primarily in Chad, Niger, and Nigeria.	Subfamily	Sahel		
nilo_saharan__songhay	Songhay	nilo_saharan	Centered on the middle course of the Niger River in Mali, Niger, and Benin.	Subfamily	West Africa		
nilo_saharan__fur	Fur	nilo_saharan	Small family spoken in the Darfur region of Sudan.	Subfamily	Sudan		
nilo_saharan__maban	Maban	nilo_saharan	Spoken in eastern Chad and western Sudan.	Subfamily	Chad/Sudan border		
nilo_saharan__komuz	Komuz	nilo_saharan	Includes the Koman languages and Gumuz.	Subfamily	Ethiopia/Sudan border		
nilo_saharan__berta	Berta	nilo_saharan	An independent branch of Nilo-Saharan diverging within the Chari-Nile core group.	Subfamily	Sudan, Ethiopia		
nilo_saharan__kunama	Kunama	nilo_saharan	An independent early-diverging branch of Nilo-Saharan.	Subfamily	Eritrea, Ethiopia		
pama_nyungan__pama_nyungan	Pama-Nyungan	pama_nyungan	The most widespread Australian Aboriginal language family, covering about 90% of the continent.	family	Australia		
pama_nyungan__wati	Wati	pama_nyungan	Also known as the Western Desert language group.	subfamily	Central Australia		
pama_nyungan__arandic	Arandic	pama_nyungan	A group of languages spoken in the Northern Territory, primarily around Alice Springs.	subfamily	Central Australia		
pama_nyungan__ngumpin_yapa	Ngumpin-Yapa	pama_nyungan	Includes the widely spoken Warlpiri language.	subfamily	Northern Territory and Western Australia		
pama_nyungan__yol_u	Yolŋu	pama_nyungan	Spoken by the Yolŋu people in northeastern Arnhem Land.	subfamily	Arnhem Land		
pama_nyungan__paman	Paman	pama_nyungan	A large subgroup containing languages of the Cape York Peninsula in Queensland.	subfamily	Cape York Peninsula		
pama_nyungan__wiradhuric	Wiradhuric	pama_nyungan	Central New South Wales languages.	subfamily	New South Wales		
pama_nyungan__thura_yura	Thura-Yura	pama_nyungan	Languages spoken in the Adelaide region and surrounding areas.	subfamily	South Australia		
pama_nyungan__nyungar	Nyungar	pama_nyungan	Languages spoken in the southwest corner of Western Australia.	subfamily	Southwest Western Australia		
pama_nyungan__yuin_kuric	Yuin-Kuric	pama_nyungan	Languages spoken along the east coast.	subfamily	New South Wales and Queensland		
pama_nyungan__dyirbalic	Dyirbalic	pama_nyungan	Known for the Dyirbal language and its unique grammatical features.	subfamily	North Queensland		
quechuan__quechuan	Quechuan	quechuan	Primary language family indigenous to the Andes region of South America.	family	South America		
quechuan__quechua_i_waywash	Quechua I (Waywash)	quechuan	The central branch of the Quechua family, primarily spoken in the central Peruvian highlands.	subfamily	Central Peru		
quechuan__quechua_ii_wampuy	Quechua II (Wampuy)	quechuan	The peripheral branch of the Quechua family, widely expanded under the Inca Empire.	subfamily	Andes and Amazon		
quechuan__quechua_ii_a_yunkay	Quechua II-A (Yunkay)	quechuan	Transitional branch found in localized areas of Peru.	subfamily	Northern and Central Peru		
quechuan__quechua_ii_b_northern	Quechua II-B (Northern)	quechuan	Northern variety, often referred to as Kichwa or Inga.	subfamily	Ecuador, Colombia, Northern Peru		
quechuan__quechua_ii_c_southern	Quechua II-C (Southern)	quechuan	The most widely spoken branch, including Cusco, Ayacucho, and Bolivian varieties.	subfamily	Southern Peru, Bolivia, Argentina, Chile		
hmong_mien__hmong_mien	Hmong-Mien	hmong_mien	A primary language family of southern China and Southeast Asia, historically known as Miao-Yao. It consists of two major branches: Hmongic and Mienic.	Family	East Asia and Southeast Asia		
hmong_mien__hmongic	Hmongic	hmong_mien	The larger and more diverse branch of the family, comprising the various Miao/Hmong languages and the Bunu languages.	Subfamily	Southern China, Northern Vietnam, Laos, Thailand		
hmong_mien__mienic	Mienic	hmong_mien	The smaller branch of the family, primarily consisting of the Yao languages.	Subfamily	Southern China, Northern Vietnam, Laos, Thailand		
tupian__tupian	Tupian	tupian	One of the most widespread language families in South America, consisting of about 70 languages.	Family	South America		
tupian__tupi_guarani	Tupi-Guarani	tupian	The largest subfamily of the Tupian languages, covering a vast area from the Amazon to the Rio de la Plata.	Subfamily	South America		
tupian__munduruku	Mundurukú	tupian	A small subfamily of the Tupian family, primarily located in the Amazon Basin.	Subfamily	Brazil		
tupian__mawe	Mawé	tupian	A single-language branch of the Tupian family.	Subfamily	Brazil		
tupian__monde	Mondé	tupian	A subfamily spoken in Rondônia and Mato Grosso states of Brazil.	Subfamily	Brazil		
tupian__tupari	Tuparí	tupian	A subfamily spoken primarily in the state of Rondônia.	Subfamily	Brazil		
tupian__juruna	Jurúna	tupian	A small subfamily located near the Xingu Indigenous Park.	Subfamily	Brazil		
tupian__arikem	Arikém	tupian	A subfamily located in Rondônia.	Subfamily	Brazil		
tupian__ramarama	Ramarama	tupian	A subfamily with currently only one living language, spoken in Rondônia.	Subfamily	Brazil		
tupian__aweti	Aweti	tupian	A branch consisting of a single language spoken in the Upper Xingu region.	Subfamily	Brazil		
mayan__mayan	Mayan	mayan	One of the most continuous and documented language families in the Americas, originating in present-day southern Mexico, Guatemala, Belize, and western Honduras.	Family	Mesoamerica		
mayan__huastecan	Huastecan	mayan	The most divergent branch of the Mayan family, separated geographically from the main block of Mayan languages.	Branch	Mexico (San Luis Potosí, Veracruz)		
mayan__yucatecan	Yucatecan	mayan	A major branch spoken primarily across the Yucatán Peninsula.	Branch	Yucatán Peninsula (Mexico, Belize, Guatemala)		
mayan__cholan_tzeltalan	Cholan-Tzeltalan	mayan	Includes languages historically associated with the Classic Maya civilization's hieroglyphic inscriptions.	Branch	Chiapas (Mexico), Guatemala, Honduras		
mayan__q_anjob_alan_chujean	Q'anjob'alan-Chujean	mayan	A branch primarily located in the Cuchumatanes mountains.	Branch	Guatemala (Huehuetenango), Mexico (Chiapas)		
mayan__mamean	Mamean	mayan	Includes Mam and Ixil, spoken in the western highlands of Guatemala.	Branch	Guatemala (Western Highlands), Mexico (Chiapas)		
mayan__k_ichean	K'ichean	mayan	The largest and most diverse branch in terms of speaker numbers, including K'iche' and Q'eqchi'.	Branch	Guatemala (Central Highlands)		
uto_aztecan__uto_aztecan	Uto-Aztecan	uto_aztecan	One of the largest and most widespread language families of the Americas, ranging from the Great Basin in the U.S. to El Salvador.	Family	Western United States and Mexico		
uto_aztecan__northern_uto_aztecan	Northern Uto-Aztecan	uto_aztecan	The northern division of the family, located entirely within the United States.	Subfamily	Western United States		
uto_aztecan__numic	Numic	uto_aztecan	A widespread branch of Northern Uto-Aztecan found across the Great Basin and Colorado Plateau.	Branch	Great Basin (USA)		
uto_aztecan__central_numic	Central Numic	uto_aztecan	A subgroup of Numic including Shoshone, Panamint (Timbisha), and Comanche.	Sub-branch	Great Basin and Great Plains (USA)		
uto_aztecan__takic	Takic	uto_aztecan	A branch of Northern Uto-Aztecan located in Southern California.	Branch	Southern California (USA)		
uto_aztecan__hopi	Hopi	uto_aztecan	An isolate branch within Uto-Aztecan, sometimes grouped with Northern Uto-Aztecan.	Branch	Arizona (USA)		
uto_aztecan__southern_uto_aztecan	Southern Uto-Aztecan	uto_aztecan	The southern division, containing the majority of the family's speakers.	Subfamily	Mexico and Southwestern USA		
uto_aztecan__tepiman	Tepiman	uto_aztecan	Also known as Pimic, straddling the US-Mexico border.	Branch	Arizona (USA) and Northern Mexico		
uto_aztecan__taracahitic	Taracahitic	uto_aztecan	Includes the Tarahumaran and Cahitan languages.	Branch	Northwestern Mexico		
uto_aztecan__corachol	Corachol	uto_aztecan	Includes Cora and Huichol languages.	Branch	Central Mexico		
uto_aztecan__nahuan	Nahuan	uto_aztecan	Includes the Aztecan languages, most notably Nahuatl.	Branch	Central Mexico to El Salvador		
na_dene__na_dene	Na-Dene	na_dene	A major language family of North America, encompassing Tlingit, Eyak, and the Athabaskan languages. It is one of the primary language families of the Americas.	Family	North America		
na_dene__tlingit	Tlingit	na_dene	A primary branch of the Na-Dene family consisting of the Tlingit language.	Branch	Pacific Northwest		
na_dene__eyak_athabaskan	Eyak-Athabaskan	na_dene	The major division of Na-Dene comprising Eyak and the widespread Athabaskan languages.	Subfamily	North America		
na_dene__athabaskan	Athabaskan	na_dene	A large group of indigenous languages spanning from Alaska and Western Canada to the American Southwest.	Subfamily	North America		
na_dene__northern_athabaskan	Northern Athabaskan	na_dene	The largest geographic subgroup of Athabaskan languages.	Branch	Alaska and Western Canada		
na_dene__pacific_coast_athabaskan	Pacific Coast Athabaskan	na_dene	A group of Athabaskan languages formerly spoken along the Pacific Coast.	Branch	Pacific Northwest and California		
na_dene__southern_athabaskan	Southern Athabaskan	na_dene	Also known as Apachean, this group includes Navajo and the Apache languages.	Branch	American Southwest		
algic__algic	Algic	algic	A major language family of North America including the Algonquian languages and the Ritwan languages.	family	North America		
algic__algonquian	Algonquian	algic	The largest subfamily of Algic, spanning from the Rocky Mountains to the Atlantic coast.	subfamily	North America		
algic__plains_algonquian	Plains Algonquian	algic	A subgroup of Algonquian languages spoken in the Great Plains.	subfamily	Great Plains		
algic__central_algonquian	Central Algonquian	algic	A subgroup of Algonquian languages spoken roughly around the Great Lakes.	subfamily	Great Lakes		
algic__eastern_algonquian	Eastern Algonquian	algic	A subgroup of Algonquian languages spoken along the Atlantic coast.	subfamily	Atlantic Coast		
otomanguean__otomanguean	Otomanguean	otomanguean	A large language family comprising several subfamilies of indigenous languages of Mexico and Central America, known for their tonal systems and complex verb morphology.	Family	Mesoamerica		
otomanguean__oto_pamean	Oto-Pamean	otomanguean	A major branch of Otomanguean spoken primarily in central Mexico, including Otomi and Mazahua.	Subfamily	Central Mexico		
otomanguean__chinantecan	Chinantecan	otomanguean	A branch consisting of Chinantec languages spoken in the Chinantla region of Oaxaca.	Subfamily	Oaxaca, Mexico		
otomanguean__tlapanecan	Tlapanecan	otomanguean	Includes the Tlapanec (Me'phaa) language varieties.	Subfamily	Guerrero, Mexico		
otomanguean__popolocan	Popolocan	otomanguean	Includes Mazatec, Popoloca, Ixcatec, and Chocho.	Subfamily	Oaxaca and Puebla, Mexico		
otomanguean__zapotecan	Zapotecan	otomanguean	A large branch containing Zapotec and Chatino languages.	Subfamily	Oaxaca, Mexico		
otomanguean__mixtecan	Mixtecan	otomanguean	Includes Mixtec, Triqui, and Cuicatec languages.	Subfamily	Oaxaca, Puebla, and Guerrero (La Mixteca)		
otomanguean__amuzgoan	Amuzgoan	otomanguean	Consists of the Amuzgo language varieties.	Subfamily	Guerrero and Oaxaca, Mexico		
otomanguean__manguean	Manguean	otomanguean	An extinct branch that extended furthest south into Central America.	Subfamily	Chiapas (Mexico), Nicaragua, Costa Rica		
arawakan__arawakan	Arawakan	arawakan	Also known as Maipurean, this is one of the most widespread language families in South America.	family	South America, Central America, Caribbean		
arawakan__northern_maipurean	Northern Maipurean	arawakan	A major division encompassing the Caribbean Arawak and Inland Northern branches.	subfamily	Northern South America, Caribbean, Central America		
arawakan__southern_maipurean	Southern Maipurean	arawakan	A major division encompassing the Campa, Purus, and Bolivia-Parana branches.	subfamily	Bolivia, Brazil, Peru		
arawakan__campa	Campa	arawakan	A subgroup of Pre-Andean Arawakan languages.	subfamily	Peru		
arawakan__xingu	Xingu	arawakan	A subgroup located in the Xingu Indigenous Park.	subfamily	Brazil		
chibchan__chibchan	Chibchan	chibchan	A language family spoken in the Isthmo-Colombian Area, extending from eastern Honduras to northern Colombia and Venezuela.	Family	Central America and Northern South America		
chibchan__isthmic	Isthmic	chibchan	A major division of Chibchan languages spoken primarily in Costa Rica and Panama.	Subfamily	Costa Rica and Panama		
chibchan__magdalenic	Magdalenic	chibchan	A division of Chibchan languages spoken in the Magdalena territories of Colombia, including the Sierra Nevada de Santa Marta.	Subfamily	Colombia		
chibchan__votic	Votic	chibchan	A small branch of Chibchan languages located near the San Juan River.	Subfamily	Nicaragua and Costa Rica		
chibchan__wotic	Wotic	chibchan	The northernmost branch of the Chibchan family.	Subfamily	Honduras		
panoan__panoan	Panoan	panoan	A family of languages spoken in the Amazon basin of Peru, western Brazil, and northern Bolivia.	family	South America		
panoan__mayoruna	Mayoruna	panoan	Northern branch of the Panoan family, primarily located in the border regions of Brazil and Peru.	subfamily	Peru, Brazil		
panoan__mainline_pano	Mainline Pano	panoan	The central core of the family, including the Chama and Cashibo groups.	subfamily	Peru, Brazil		
panoan__nawa	Nawa	panoan	Also known as the South-Central or Purus branch, containing Yaminahua and related languages.	subfamily	Peru, Brazil, Bolivia		
panoan__bolivian_pano	Bolivian Pano	panoan	Southern group of Panoan languages spoken primarily in the Beni Department of Bolivia.	subfamily	Bolivia		
macro_je__macro_je	Macro-Jê	macro_je	A major language stock of South America, primarily spoken in Brazil, centered on the Brazilian Plateau.	Phylum	South America		
macro_je__je	Jê	macro_je	The largest and most widely distributed family within the Macro-Jê stock.	Family	Brazil		
macro_je__northern_je	Northern Jê	macro_je	The northern branch of the Jê family, including the Timbira complex and Kayapó.	Subfamily	Amazon Basin/Cerrado		
macro_je__central_je	Central Jê	macro_je	The central branch of the Jê family, primarily in Tocantins and Mato Grosso.	Subfamily	Central Brazil		
macro_je__southern_je	Southern Jê	macro_je	The southern branch of the Jê family, located in the Atlantic Forest biome.	Subfamily	Southern Brazil		
macro_je__bororoan	Bororoan	macro_je	A small family within the Macro-Jê stock, historically associated with the Bororo people.	Family	Mato Grosso		
macro_je__jabutian	Jabutian	macro_je	A small family located in the Guaporé territory.	Family	Rondônia		
macro_je__maxakalian	Maxakalian	macro_je	A family located in eastern Brazil.	Family	Minas Gerais/Bahia		
macro_je__krenak	Krenak	macro_je	Also known as Botocudo, historically spoken by the Aimoré people.	Family	Minas Gerais		
macro_je__karaja	Karajá	macro_je	A family consisting of a dialect cluster along the Araguaia River.	Family	Araguaia River Valley		
macro_je__guato	Guató	macro_je	An isolated language family of disputed classification within Macro-Jê.	Family	Mato Grosso do Sul		
macro_je__ofaye	Ofayé	macro_je	A small family confirmed as part of Nuclear Macro-Jê through lexical and phonological evidence.	Family	Mato Grosso do Sul		
macro_je__rikbaktsa	Rikbaktsa	macro_je	A family confirmed as part of Nuclear Macro-Jê through robust phonological and lexical matches.	Family	Rondônia		
cariban__cariban	Cariban	cariban	One of the largest indigenous language families in South America, widely distributed across the Guiana Shield, the Amazon Basin, and northern Colombia.	Family	Northern South America		
cariban__venezuelan_carib	Venezuelan Carib	cariban	A major branch located primarily in the coastal ranges and western areas of Venezuela and Colombia.	Subfamily	Venezuela, Colombia		
cariban__guianan_carib	Guianan Carib	cariban	Includes the languages of the Guiana Highlands and surrounding areas.	Subfamily	Guianas, Brazil, Venezuela		
cariban__southern_carib	Southern Carib	cariban	Languages spoken primarily in the Xingu Park and southern Amazon basin.	Subfamily	Brazil		
cariban__parukotoan	Parukotoan	cariban	A branch including Waiwai and Hixkaryana.	Subfamily	Brazil, Guyana		
aymaran__aymaran	Aymaran	aymaran	Also known as Jaqi or Aru, this is one of the two dominant indigenous language families of the Central Andes, alongside Quechuan.	Family	Andes		
aymaran__central_aymaran	Central Aymaran	aymaran	The northern branch of the family, historically spoken in the Yauyos province of the Lima region.	Subfamily	Peru		
aymaran__southern_aymaran	Southern Aymaran	aymaran	The southern branch comprising the widely spoken varieties of the Aymara language across Bolivia, Peru, and Chile.	Subfamily	Altiplano		
araucanian__araucanian	Araucanian	araucanian	A small language family indigenous to central Chile and adjacent areas of Argentina, comprising the Mapudungun and Huilliche languages.	Family	Southern South America		
siouan_catawban__siouan_catawban	Siouan-Catawban	siouan_catawban	A primary language family of North America, historically located primarily in the Great Plains, Ohio Valley, and parts of the Southeast.	Family	North America		
siouan_catawban__catawban	Catawban	siouan_catawban	The eastern branch of the family, historically spoken in the Carolinas.	Subfamily	Southeastern United States		
siouan_catawban__siouan_proper_western_siouan	Siouan Proper (Western Siouan)	siouan_catawban	The primary branch containing the majority of Siouan languages.	Subfamily	Great Plains and Midwest		
siouan_catawban__missouri_river_siouan	Missouri River Siouan	siouan_catawban	A branch of Siouan Proper primarily located in Montana and North Dakota.	Branch	Northern Great Plains		
siouan_catawban__mandan	Mandan	siouan_catawban	A distinct branch consisting of a single language, Mandan.	Branch	North Dakota		
siouan_catawban__mississippi_valley_siouan	Mississippi Valley Siouan	siouan_catawban	The largest branch of Siouan Proper, containing the Dakota, Dhegihan, and Chiwere-Winnebago groups.	Branch	Central Great Plains		
siouan_catawban__dakotan	Dakotan	siouan_catawban	A subgroup of Mississippi Valley Siouan containing the Sioux dialects and Assiniboine-Stoney.	Group	Northern Plains		
siouan_catawban__chiwere_winnebago	Chiwere-Winnebago	siouan_catawban	A subgroup of Mississippi Valley Siouan historically located in Wisconsin, Iowa, and Missouri.	Group	Midwest		
siouan_catawban__dhegihan	Dhegihan	siouan_catawban	A subgroup of Mississippi Valley Siouan historically located in the lower Mississippi and Arkansas river valleys.	Group	Southern Plains		
siouan_catawban__ohio_valley_siouan	Ohio Valley Siouan	siouan_catawban	A branch of Siouan Proper that migrated back towards the southeast, now entirely extinct.	Branch	Southeastern United States		
iroquoian__iroquoian	Iroquoian	iroquoian	A First Nations and Native American language family of eastern North America.	Family	North America		
iroquoian__southern_iroquoian	Southern Iroquoian	iroquoian	The southern branch of the Iroquoian family, consisting solely of Cherokee.	Subfamily	Southeastern United States		
iroquoian__northern_iroquoian	Northern Iroquoian	iroquoian	The northern branch including the Five Nations, Tuscarora, and Huron-Wendat.	Subfamily	Northeastern United States and Eastern Canada		
salishan__salishan	Salishan	salishan	A family of languages of the Pacific Northwest Coast of North America, known for their consonant clusters and agglutinative nature.	Family	Pacific Northwest		
salishan__bella_coola	Bella Coola	salishan	A single-language branch of the Salishan family, geographically isolated from other Salish languages by Athabaskan and Wakashan speakers.	Branch	Central British Columbia Coast		
salishan__coast_salish	Coast Salish	salishan	The maritime branch of the family, covering the area around the Salish Sea and parts of the coast.	Branch	Pacific Northwest Coast		
salishan__central_salish	Central Salish	salishan	The largest subdivision of Coast Salish, including Halkomelem, Squamish, and Lushootseed.	Sub-branch	Georgia Strait, Puget Sound		
salishan__tsamosan	Tsamosan	salishan	Also known as Olympic, this branch includes languages spoken in the Olympic Peninsula of Washington.	Sub-branch	Olympic Peninsula		
salishan__tillamook	Tillamook	salishan	The southernmost branch of the Salishan family, now extinct.	Sub-branch	Oregon Coast		
salishan__interior_salish	Interior Salish	salishan	The inland branch of the family, separated from the coast by the Cascade Mountains.	Branch	Columbia Plateau		
