id	language_family_id	hypothesis_name	proposed_region	proposed_coordinates	proposed_boundary	time_range_start	time_range_end	supporting_evidence	competing_hypotheses	scholarly_consensus_level	key_proponents	sources
uralic-west-siberia	uralic	West Siberian Hypothesis	West Siberia	{"lat":60.0,"lng":60.0}	{"type":"Polygon","coordinates":[[[55,56],[68,56],[68,64],[55,64],[55,56]]]}	-4000	-2000	{"linguistic":["Proto-Uralic vocabulary for boreal environment","Samoyed branch divergence","Loanwords from Proto-Indo-Iranian"],"archaeological":["Comb Ceramic culture connections","Netted Ware culture","Trans-Ural cultural exchanges"],"genetic":["N1c haplogroup dispersal","Siberian ancestry in Uralic speakers","Ancient DNA from Bolshoy Oleni Ostrov"]}	["uralic-volga"]	0.5	["Ante Aikio","Jaakko Hakkinen"]	["Aikio 2012 An essay on Saami ethnolinguistic prehistory","Hakkinen 2009 Kantauralin ajoitus ja paikannus"]
uralic-volga	uralic	Volga-Kama Hypothesis	Volga-Kama Region	{"lat":56.0,"lng":50.0}	{"type":"Polygon","coordinates":[[[45,53],[56,53],[56,59],[45,59],[45,53]]]}	-4000	-2000	{"linguistic":["Finno-Ugric core vocabulary","Contact phenomena with PIE","Substrate in Baltic Finnic"],"archaeological":["Lyalovo culture","Volosovo culture connections","Pit-Comb Ware tradition"],"genetic":["West Eurasian admixture in Uralic speakers","Ancient DNA from Karelian hunter-gatherers","EHG ancestry component"]}	["uralic-west-siberia"]	0.45	["Vladimir Napolskikh","Petri Kallio"]	["Napolskikh 1997 Proto-Uralic homeland","Kallio 2006 On the earliest Slavic loanwords in Finnic"]
st-yellow-river	sino-tibetan	Yellow River Hypothesis	Yellow River Basin	{"lat":35.0,"lng":108.0}	{"type":"Polygon","coordinates":[[[104,32],[113,32],[113,38],[104,38],[104,32]]]}	-5000	-3500	{"linguistic":["Shared agricultural vocabulary in proto-ST","Sinitic-Tibetan sound correspondences","Numeral system reconstruction"],"archaeological":["Yangshao culture millet agriculture","Majiayao culture expansion","Oracle bone script antecedents"],"genetic":["O3 haplogroup in ST speakers","Ancient DNA from Yellow River Neolithic","Han Chinese genetic structure"]}	["st-sichuan"]	0.7	["Laurent Sagart","George van Driem"]	["Sagart 2019 A model of the origin of Sino-Tibetan","Sagart et al 2019 Dated language phylogenies"]
st-sichuan	sino-tibetan	Sichuan-Yunnan Hypothesis	Sichuan-Yunnan Corridor	{"lat":28.0,"lng":102.0}	{"type":"Polygon","coordinates":[[[98,25],[105,25],[105,33],[98,33],[98,25]]]}	-6000	-4000	{"linguistic":["Tibeto-Burman diversity in eastern Himalayas","Alternative root structure in proto-ST","Substratum evidence"],"archaeological":["Sanxingdui culture","Early rice and millet in Sichuan Basin","Karuo culture in Tibet"],"genetic":["D haplogroup in Tibetans","High-altitude adaptation genetics","Ancient DNA from Tibetan Plateau"]}	["st-yellow-river"]	0.25	["George van Driem","Randy LaPolla"]	["van Driem 2005 Tibeto-Burman vs Indo-Chinese","LaPolla 2001 The Role of Migration in the History"]
dravidian-indus	dravidian	Indus Valley Hypothesis	Indus Valley	{"lat":27.0,"lng":68.0}	{"type":"Polygon","coordinates":[[[66,24],[72,24],[72,30],[66,30],[66,24]]]}	-4000	-2000	{"linguistic":["Dravidian substrate in Rigvedic Sanskrit","Brahui isolate in Balochistan","Proto-Dravidian agricultural vocabulary"],"archaeological":["Indus Valley Civilization urban centers","Continuity with South Indian megalithic","Harappan script possibly Dravidian"],"genetic":["ASI ancestry component","Ancient DNA from Indus periphery sites","Genetic continuity in South India"]}	["dravidian-south-india"]	0.55	["Asko Parpola","Bhadriraju Krishnamurti"]	["Parpola 1994 Deciphering the Indus Script","Krishnamurti 2003 The Dravidian Languages"]
dravidian-south-india	dravidian	South Indian Hypothesis	Peninsular India	{"lat":13.0,"lng":77.0}	{"type":"Polygon","coordinates":[[[74,8],[82,8],[82,18],[74,18],[74,8]]]}	-5000	-3000	{"linguistic":["Greatest diversity of Dravidian branches in South India","South Dravidian as conservative branch","Gondi-Kui diversity in Central India"],"archaeological":["South Indian Neolithic cultures","Ash mound tradition","Early pastoralism in Deccan"],"genetic":["High ASI ancestry in South India","Genetic diversity in tribal populations","Deep coalescence times for South Indian lineages"]}	["dravidian-indus"]	0.35	["Franklin Southworth","Mikhail Andronov"]	["Southworth 2005 Linguistic Archaeology of South Asia","Andronov 2003 A Comparative Grammar of the Dravidian Languages"]
tai-south-china	tai-kadai	South China Hypothesis	South China	{"lat":24.0,"lng":108.0}	{"type":"Polygon","coordinates":[[[104,21],[112,21],[112,27],[104,27],[104,21]]]}	-3000	-1500	{"linguistic":["Greatest Tai-Kadai diversity in Guangxi-Guizhou","Kra branch as deepest split","Shared vocabulary with Austronesian"],"archaeological":["Dian culture connections","Rice cultivation origins in Yangtze","Bronze Drum tradition"],"genetic":["O2a haplogroup in Tai speakers","Ancient DNA from Guangxi caves","Genetic affinity with Austronesian speakers"]}	[]	0.8	["James Chamberlain","Weera Ostapirat"]	["Chamberlain 2016 Kra-Dai and the Proto-History","Ostapirat 2005 Kra-Dai and Austronesian"]
turkic-central-asia	turkic	Central Asian Steppe Hypothesis	Central Asian Steppe	{"lat":47.0,"lng":90.0}	{"type":"Polygon","coordinates":[[[82,42],[100,42],[100,52],[82,52],[82,42]]]}	-500	500	{"linguistic":["Proto-Turkic pastoral and steppe vocabulary","Mongolic contact layer dating","Shared innovations in Common Turkic"],"archaeological":["Xiongnu confederacy connections","Turkic runic inscriptions","Orkhon Valley monuments"],"genetic":["Turkic expansion genetic signatures","Ancient DNA from Xiongnu burials","Q and C haplogroups in early Turkic"]}	["turkic-manchuria"]	0.6	["Gerard Clauson","Marcel Erdal"]	["Clauson 1972 An Etymological Dictionary of Pre-13th Century Turkish","Erdal 2004 A Grammar of Old Turkic"]
turkic-manchuria	turkic	Manchuria-Liaoning Hypothesis	Manchuria	{"lat":43.0,"lng":123.0}	{"type":"Polygon","coordinates":[[[118,39],[128,39],[128,47],[118,47],[118,39]]]}	-1000	0	{"linguistic":["Turkic-Mongolic-Tungusic areal features","Altaic lexical parallels","Agricultural vocabulary layer"],"archaeological":["Donghu and Xianbei connections","Nomadic state formation","Bronze and Iron Age sites"],"genetic":["East Asian genetic component in Turkic peoples","Ancient DNA from Northeast Asia","C2 haplogroup distribution"]}	["turkic-central-asia"]	0.2	["Alexander Vovin","Juha Janhunen"]	["Vovin 2005 The End of the Altaic Controversy","Janhunen 1996 Manchuria: An Ethnic History"]
na-dene-beringia	na-dene	Beringia Hypothesis	Beringia	{"lat":65.0,"lng":-168.0}	{"type":"Polygon","coordinates":[[[-175,60],[-160,60],[-160,70],[-175,70],[-175,60]]]}	-12000	-8000	{"linguistic":["Na-Dene-Yeniseian connection (Dene-Yeniseian)","Tonal system parallels","Verb prefix morphology similarities"],"archaeological":["Paleoarctic tradition sites","Denali complex tools","Ground Hog Bay site"],"genetic":["Founding lineage A2 and D4h3a","Ancient Beringian population","Upward Sun River child DNA"]}	[]	0.7	["Edward Vajda","Johanna Nichols"]	["Vajda 2010 A Siberian Link with Na-Dene Languages","Campbell and Mithun 1979 The Languages of Native America"]
algonquian-great-lakes	algonquian	Great Lakes Hypothesis	Great Lakes Region	{"lat":45.0,"lng":-85.0}	{"type":"Polygon","coordinates":[[[-92,42],[-78,42],[-78,48],[-92,48],[-92,42]]]}	-3000	-1000	{"linguistic":["Proto-Algonquian vocabulary for Great Lakes ecology","Dialect geography centering on Great Lakes","Loanword evidence from neighboring families"],"archaeological":["Shield Archaic tradition","Old Copper Complex","Laurentian Archaic connections"],"genetic":["Q1a haplogroup in Algonquian peoples","Genetic distinctiveness from neighboring groups","Ancient DNA from Great Lakes Archaic burials"]}	[]	0.65	["Ives Goddard","David Pentland"]	["Goddard 1994 The West-to-East Cline in Algonquian","Pentland 1979 Algonquian Historical Phonology"]
kartvelian-south-caucasus	kartvelian	South Caucasus Hypothesis	South Caucasus	{"lat":42.0,"lng":43.5}	{"type":"Polygon","coordinates":[[[40,40],[47,40],[47,44],[40,44],[40,40]]]}	-5000	-3000	{"linguistic":["Proto-Kartvelian agricultural vocabulary","Svan as archaic divergence","Substrate in neighboring IE languages"],"archaeological":["Shulaveri-Shomu culture","Kura-Araxes culture","Early viticulture evidence"],"genetic":["Caucasus Hunter-Gatherer ancestry","J2 haplogroup frequency","Ancient DNA from Caucasus Neolithic"]}	[]	0.85	["Tamaz Gamkrelidze","Georgi Klimov"]	["Gamkrelidze 1966 The Problem of Kartvelian-IE Contacts","Klimov 1998 Etymological Dictionary of the Kartvelian Languages"]
japonic-korean-peninsula	japonic	Korean Peninsula Hypothesis	Korean Peninsula	{"lat":36.0,"lng":128.0}	{"type":"Polygon","coordinates":[[[125,33],[130,33],[130,39],[125,39],[125,33]]]}	-3000	-300	{"linguistic":["Japonic substrate in Korean placenames","Peninsular Japonic evidence","Ryukyuan as deep branch from migration"],"archaeological":["Mumun pottery parallels with Yayoi","Wet rice agriculture transmission","Bronze mirror and sword complexes"],"genetic":["O1b2 haplogroup shared Japan-Korea","Yayoi migrant DNA from Korea","Ancient DNA from Kofun period"]}	["japonic-yangtze"]	0.6	["Alexander Vovin","John Whitman"]	["Vovin 2013 From Koguryo to Tamna","Whitman 2012 The relationship between Japanese and Korean"]
japonic-yangtze	japonic	Yangtze Delta Hypothesis	Yangtze Delta	{"lat":30.0,"lng":120.0}	{"type":"Polygon","coordinates":[[[117,28],[123,28],[123,33],[117,33],[117,28]]]}	-5000	-3000	{"linguistic":["Rice-related vocabulary in proto-Japonic","Possible Austronesian connections","Substrate words in early Japanese"],"archaeological":["Hemudu and Liangzhu cultures","Rice domestication in Yangtze","Jade working traditions"],"genetic":["Southern Chinese genetic component in Japanese","O1b haplogroup origin","Ancient DNA from Yangtze Neolithic"]}	["japonic-korean-peninsula"]	0.3	["Ann Kumar","Juha Janhunen"]	["Janhunen 2010 Reconstructing the Language Map of Prehistorical Northeast Asia","Kumar 2009 Globalizing the Prehistory of Japan"]
