id	name	region	origin_date	end_date	origin_coordinates	associated_language_ids	genre_focus	key_themes	description	notable_authors	influences	sources	wikidata_qid	source_url	retrieved_at	confidence
lit-trad-011	Russian Literary Tradition	Eastern Europe	1800	1917	{"lat":55.75,"lng":37.62}	["rus"]	["novel","poetry","drama","short story"]	["suffering","redemption","social justice","Russian soul","nature"]	The golden and silver ages of Russian literature, producing psychologically profound novels and poetry	["Pushkin","Tolstoy","Dostoevsky","Chekhov","Gogol"]	["French literature","German Romanticism","Orthodox Christianity"]	["A History of Russian Literature, Mirsky"]				
lit-trad-012	West African Oral Literature	West Africa	-500	null	{"lat":12.00,"lng":-1.52}	["bam","hau","yor","ful"]	["epic","folktale","praise poetry","proverb"]	["ancestry","community","trickster","origin","justice"]	Rich oral literary traditions including griot-transmitted epics, folktales, and praise poetry	["Griots (collective tradition)"]	["Indigenous oral traditions"]	["Oral Literature in Africa, Finnegan"]				
age-of-enlightenment	Age of Enlightenment								period of European history and cultural movement of the 17th and 18th centuries			["Wikidata"]	Q12539	http://www.wikidata.org/entity/Q12539	2026-07-08T11:19:39.028Z	0.8
agitprop	agitprop	Russian Socialist Federative Soviet Republic							political art from Soviet Russia			["Wikidata"]	Q374278	http://www.wikidata.org/entity/Q374278	2026-07-08T11:19:39.028Z	0.8
arabic-literature	Arabic literature								written literature in Arabic language			["Wikidata"]	Q194380	http://www.wikidata.org/entity/Q194380	2026-07-08T11:19:39.028Z	0.8
ars-nova	ars nova		1310						musical style of the late Middle Ages			["Wikidata"]	Q210854	http://www.wikidata.org/entity/Q210854	2026-07-08T11:19:39.028Z	0.8
baroque	Baroque								cultural movement, starting around 1600			["Wikidata"]	Q37853	http://www.wikidata.org/entity/Q37853	2026-07-08T11:19:39.028Z	0.8
chinoiserie	chinoiserie								European interpretation and imitation of Chinese and East Asian artistic traditions, especially in the decorative arts, garden design, architecture, literature, theatre, and music			["Wikidata"]	Q863679	http://www.wikidata.org/entity/Q863679	2026-07-08T11:19:39.028Z	0.8
croatian-spring	Croatian Spring								cultural and political movement in the late 1960s; opposed unitarization in Yugoslavia; called for economic, cultural, political reforms and more rights for Croatia within Yugoslavia; in 1971, forcefully suppressed by the Yugoslav government			["Wikidata"]	Q616146	http://www.wikidata.org/entity/Q616146	2026-07-08T11:19:39.028Z	0.8
dada	Dada		1910						avant-garde art movement in the early 20th century			["Wikidata"]	Q6034	http://www.wikidata.org/entity/Q6034	2026-07-08T11:19:39.028Z	0.8
deism	deism								belief in God without revelation			["Wikidata"]	Q620629	http://www.wikidata.org/entity/Q620629	2026-07-08T11:19:39.028Z	0.8
dogme-95	Dogme 95		1995						1995 Manifesto by Lars von Trier, Thomas Vinterberg, Kristian Levring and Søren Kragh-Jacobsen			["Wikidata"]	Q211481	http://www.wikidata.org/entity/Q211481	2026-07-08T11:19:39.028Z	0.8
encyclopedistes	encyclopédistes								contributors to the development of the Encyclopédie from June 1751 to December 1765			["Wikidata"]	Q744738	http://www.wikidata.org/entity/Q744738	2026-07-08T11:19:39.028Z	0.8
existentialism	existentialism								philosophical and literary current			["Wikidata"]	Q38066	http://www.wikidata.org/entity/Q38066	2026-07-08T11:19:39.028Z	0.8
fin-de-siecle	fin de siècle								late 19th-century cultural phenomenon in Europe			["Wikidata"]	Q265581	http://www.wikidata.org/entity/Q265581	2026-07-08T11:19:39.028Z	0.8
french-renaissance	French Renaissance								cultural movement from the 15th to 17th century			["Wikidata"]	Q2349908	http://www.wikidata.org/entity/Q2349908	2026-07-08T11:19:39.028Z	0.8
gilded-age	Gilded Age								era in the history of the USA between the late 1860's and the 1890's			["Wikidata"]	Q1753636	http://www.wikidata.org/entity/Q1753636	2026-07-08T11:19:39.028Z	0.8
guardianship-of-the-islamic-jurists	Guardianship of the Islamic Jurists								theory in Shia Islam which holds that Islam gives a faqīh (Islamic jurist) custodianship over people			["Wikidata"]	Q1780396	http://www.wikidata.org/entity/Q1780396	2026-07-08T11:19:39.028Z	0.8
haskalah	Haskalah								period of Jewish enlightenment (1770-1890)			["Wikidata"]	Q472670	http://www.wikidata.org/entity/Q472670	2026-07-08T11:19:39.028Z	0.8
islamic-philosophy	Islamic philosophy								Academic study of philosophy derived from the tradition and teachings of Islam			["Wikidata"]	Q193104	http://www.wikidata.org/entity/Q193104	2026-07-08T11:19:39.028Z	0.8
italian-renaissance	Italian Renaissance								cultural movement from the 14th to 17th century			["Wikidata"]	Q1404472	http://www.wikidata.org/entity/Q1404472	2026-07-08T11:19:39.028Z	0.8
japonisme	Japonisme								European imitation of Japanese art during the 19th and 20th centuries			["Wikidata"]	Q751880	http://www.wikidata.org/entity/Q751880	2026-07-08T11:19:39.028Z	0.8
kinetic-art	kinetic art								art genre of artworks that contains movement			["Wikidata"]	Q466521	http://www.wikidata.org/entity/Q466521	2026-07-08T11:19:39.028Z	0.8
lost-generation	Lost Generation								generation that came of age during World War I, born from 1883 to 1900			["Wikidata"]	Q234105	http://www.wikidata.org/entity/Q234105	2026-07-08T11:19:39.028Z	0.8
macedonian-renaissance	Macedonian Renaissance								Byzantine empire cultural movement during the reign of the Macedonian dynasty			["Wikidata"]	Q1400430	http://www.wikidata.org/entity/Q1400430	2026-07-08T11:19:39.028Z	0.8
mannerism-movement	Mannerism								style of European art			["Wikidata"]	Q131808	http://www.wikidata.org/entity/Q131808	2026-07-08T11:19:39.028Z	0.8
manosphere	manosphere								umbrella term for masculist, male autonomy and misogynistic online platforms such as MGTOW, PUA, passport bro's, NoFap etc.			["Wikidata"]	Q17068342	http://www.wikidata.org/entity/Q17068342	2026-07-08T11:19:39.028Z	0.8
modernism	modernism								movement of art, culture, philosophy and architecture			["Wikidata"]	Q878985	http://www.wikidata.org/entity/Q878985	2026-07-08T11:19:39.028Z	0.8
nahda	Nahda								cultural movement in the Arabic-speaking world, especially Egypt and the Ottoman-ruled Levant			["Wikidata"]	Q1520921	http://www.wikidata.org/entity/Q1520921	2026-07-08T11:19:39.028Z	0.8
northern-renaissance-movement	Northern Renaissance								Renaissance that occurred in the European countries north of the Alps			["Wikidata"]	Q610877	http://www.wikidata.org/entity/Q610877	2026-07-08T11:19:39.028Z	0.8
objectivism	objectivism	United States							philosophy created by Ayn Rand			["Wikidata"]	Q74950	http://www.wikidata.org/entity/Q74950	2026-07-08T11:19:39.028Z	0.8
orientalism	Orientalism								imitation or depiction of aspects of Middle Eastern and East Asian cultures			["Wikidata"]	Q42865	http://www.wikidata.org/entity/Q42865	2026-07-08T11:19:39.028Z	0.8
philhellenism	Philhellenism								19th century intellectual movement supporting Greek national development			["Wikidata"]	Q695274	http://www.wikidata.org/entity/Q695274	2026-07-08T11:19:39.028Z	0.8
postfeminism	postfeminism								reactions against contradictions and absences in feminism			["Wikidata"]	Q143823	http://www.wikidata.org/entity/Q143823	2026-07-08T11:19:39.028Z	0.8
postmodernism	Postmodernism								philosophical and artistic movement			["Wikidata"]	Q47783	http://www.wikidata.org/entity/Q47783	2026-07-08T11:19:39.028Z	0.8
praxeology	praxeology								deductive study of human action			["Wikidata"]	Q1162708	http://www.wikidata.org/entity/Q1162708	2026-07-08T11:19:39.028Z	0.8
punk-subculture	punk subculture								anti-establishment culture			["Wikidata"]	Q153946	http://www.wikidata.org/entity/Q153946	2026-07-08T11:19:39.028Z	0.8
rangaku	rangaku								Japanese study of Dutch tech (1639–1867)			["Wikidata"]	Q877637	http://www.wikidata.org/entity/Q877637	2026-07-08T11:19:39.028Z	0.8
renaissance	Renaissance								cultural movement that spanned the period roughly from the 14th to the 17th century			["Wikidata"]	Q4692	http://www.wikidata.org/entity/Q4692	2026-07-08T11:19:39.028Z	0.8
renaissance-humanism	renaissance humanism								revival in the study of classical antiquity			["Wikidata"]	Q846933	http://www.wikidata.org/entity/Q846933	2026-07-08T11:19:39.028Z	0.8
romanticism-movement	Romanticism								artistic, literary, musical, and intellectual movement			["Wikidata"]	Q37068	http://www.wikidata.org/entity/Q37068	2026-07-08T11:19:39.028Z	0.8
surrealism	surrealism		1920						international cultural movement that began in the early 1920s			["Wikidata"]	Q39427	http://www.wikidata.org/entity/Q39427	2026-07-08T11:19:39.028Z	0.8
swinging-london	Swinging London								youth-driven cultural revolution centered in London in the 1960s			["Wikidata"]	Q2037910	http://www.wikidata.org/entity/Q2037910	2026-07-08T11:19:39.028Z	0.8
symbolism	Symbolism		1857						late nineteenth-century art movement of French, Russian and Belgian origin seeking to represent absolute truths symbolically through language and metaphorical images			["Wikidata"]	Q164800	http://www.wikidata.org/entity/Q164800	2026-07-08T11:19:39.028Z	0.8
transhumanism	transhumanism		1980						ideology that advocates for the transformation of the human condition by developing and making widely available technologies to enhance human intellect and physiology			["Wikidata"]	Q194100	http://www.wikidata.org/entity/Q194100	2026-07-08T11:19:39.028Z	0.8
trecento	Trecento								14th century in Italian cultural history			["Wikidata"]	Q856643	http://www.wikidata.org/entity/Q856643	2026-07-08T11:19:39.028Z	0.8
tropicalia	tropicália	Brazil	1967						Brazilian music genre and cultural movement			["Wikidata"]	Q1413061	http://www.wikidata.org/entity/Q1413061	2026-07-08T11:19:39.028Z	0.8
voluntary-human-extinction-movement	Voluntary Human Extinction Movement		1991						environmental movement that calls for people to abstain from reproduction to cause the gradual voluntary extinction of humankind			["Wikidata"]	Q559127	http://www.wikidata.org/entity/Q559127	2026-07-08T11:19:39.028Z	0.8
vormarz	Vormärz								Period of German history before the 1848 revolution			["Wikidata"]	Q700923	http://www.wikidata.org/entity/Q700923	2026-07-08T11:19:39.028Z	0.8
weimar-classicism	Weimar Classicism								German literary and cultural movement, whose practitioners established a new humanism			["Wikidata"]	Q694408	http://www.wikidata.org/entity/Q694408	2026-07-08T11:19:39.028Z	0.8
young-germany	Young Germany								disestablishmentarian think tank consiting of young German artists from 1830-1850			["Wikidata"]	Q1713406	http://www.wikidata.org/entity/Q1713406	2026-07-08T11:19:39.028Z	0.8
young-poland	Young Poland		1890	1918					1890–1918 modernist arts movement in Poland			["Wikidata"]	Q1133329	http://www.wikidata.org/entity/Q1133329	2026-07-08T11:19:39.028Z	0.8
