id	name	food_item	origin_region	origin_coordinates	destination_region	destination_coordinates	date	mechanism	associated_route_id	description	cultural_impact
ce-fig-spread	Fig Cultivation Spread	fig	Western Asia	[35.51,33.89]	Mediterranean	[23.73,37.97]	-5000	trade		One of earliest cultivated fruits; spread from Levant across the Mediterranean world	Foundation fruit of early agriculture; Biblical and Quranic significance; Mediterranean staple
ce-chickpea-spread	Chickpea to India	chickpea	Turkey	[32.86,39.93]	Indian Subcontinent	[77.21,28.61]	-3000	trade	silk-road	Chickpeas spread from Anatolia eastward along ancient trade routes to become staple in Indian cuisine	Became primary protein source in Indian vegetarian diet; dal, chana masala; hummus in Middle East
ce-eggplant-spread	Eggplant from India	eggplant	India	[78.96,20.59]	Middle East and Mediterranean	[29.01,41.01]	700	trade	arab-expansion	Arab traders brought eggplant from India to the Middle East and Mediterranean	Baba ganoush, moussaka, parmigiana; essential vegetable in Mediterranean and Asian cuisines
ce-watermelon-spread	Watermelon from Africa	watermelon	Southern Africa	[25.75,-28.75]	Mediterranean	[31.24,30.04]	-2000	trade		Watermelon spread from the Kalahari Desert to ancient Egypt and then across the Mediterranean	Summer fruit worldwide; seeds found in Pharaoh Tutankhamun's tomb; cultural significance in many societies
ce-apricot-silk-road	Apricot along the Silk Road	apricot	China	[75.00,39.00]	Mediterranean	[29.01,41.01]	-100	trade	silk-road	Apricots spread from Central Asia westward along the Silk Road to Persia, Armenia, and the Mediterranean	Became signature fruit of Armenia; dried apricots as travel food; important in Central Asian cuisine
ce-sesame-spread	Sesame from India	sesame	India	[78.96,20.59]	Middle East and Africa	[31.24,30.04]	-3000	trade		One of oldest oilseed crops; spread from the Indus Valley to Mesopotamia, Egypt, and Africa	Tahini, halva, sesame oil in Asian cooking; "open sesame" in Arabian Nights; ritual significance
ce-soybean-spread	Soybean from China	soybean	Northern China	[116.40,39.90]	East and Southeast Asia	[126.98,37.57]	-1000	trade		Soybeans domesticated in China spread to Korea, Japan, and Southeast Asia	Tofu, soy sauce, miso, tempeh; foundation of East Asian protein sources; modern biofuel crop
ce-rubber-spread	Rubber to Southeast Asia	rubber	Amazon Basin	[-60.02,-3.12]	Southeast Asia	[101.69,3.14]	1876	colonization		British smuggled rubber tree seeds from Brazil to establish plantations in Malaya and Ceylon	Transformed Southeast Asian economies; tire industry; colonial plantation labor systems
ce-pineapple-spread	Pineapple to Asia	pineapple	South America	[-47.93,-15.78]	Philippines and Southeast Asia	[121.77,12.88]	1565	colonization	european-asia-colonization	Spanish brought pineapples from South America to the Philippines via the Manila Galleon trade	Became major crop in Philippines, Thailand, Hawaii; symbol of hospitality; canning industry
ce-tobacco-spread	Tobacco to the World	tobacco	Americas	[-66.10,18.47]	Europe and Asia	[-0.12,51.51]	1559	colonization	european-atlantic	Spanish and Portuguese spread tobacco from the Americas to Europe, then to Asia and Africa	Massive global health impact; colonial cash crop; cultural practices worldwide; economic driver
ce-corn-africa	Maize to Africa	maize	Americas	[-99.13,19.43]	Sub-Saharan Africa	[36.82,-1.29]	1550	colonization	portuguese-maritime	Portuguese brought maize from the Americas to Africa where it became a major food crop	Became dietary staple across Africa (ugali, sadza, nsima); displaced some indigenous crops; food security debates
ce-quinoa-global	Quinoa Goes Global	quinoa	Andes	[-68.15,-16.50]	Global	[-0.12,51.51]	1980	trade		Quinoa gained international attention as a "superfood" and spread from traditional Andean use to global markets	Quinoa boom raised prices for Andean farmers; health food trend; debate over food sovereignty
