Language Name,Direct Parent,Substrata,Superstrata,Adstrata
Primitive Irish,Goidelic (Q-Celtic),,,
Old Irish,Primitive Irish,,,
Middle Irish,Old Irish,,,
Irish,Middle Irish,Unknown pre-Celtic,Old Norse; Norman French; English,Scottish Gaelic; English
Early Modern Irish,Irish,,,
Modern Irish,Early Modern Irish,,,
Ulster Irish,Modern Irish,,,
Connacht Irish,Modern Irish,,,
Munster Irish,Modern Irish,,,
Scottish Gaelic,Middle Irish,Pictish,Norse; English,Irish; English
Old Scottish Gaelic,Scottish Gaelic,,,
Middle Scottish Gaelic,Old Scottish Gaelic,,,
Modern Scottish Gaelic,Middle Scottish Gaelic,,,
Manx,Middle Irish,,,
Old Manx,Manx,,,
Middle Manx,Old Manx,,,
Modern Manx,Middle Manx,,,
Brythonic (P-Celtic),Proto-Insular Celtic,,,
Common Brittonic,Brythonic (P-Celtic),,,
Old Welsh,Common Brittonic,,,
Middle Welsh,Old Welsh,,,
Welsh,Middle Welsh,Unknown pre-Celtic,Latin; English,English; Cornish; Breton
Early Modern Welsh,Welsh,,,
Modern Welsh,Early Modern Welsh,,,
North Welsh,Modern Welsh,,,
South Welsh,Modern Welsh,,,
Cumbric,Common Brittonic,,,
Breton,Common Brittonic,Unknown pre-Celtic; Gaulish,French,Welsh; Cornish; French
Old Breton,Breton,,,
Middle Breton,Old Breton,,,
Modern Breton,Middle Breton,,,
Cornish,Common Brittonic,,,
Old Cornish,Cornish,,,
Middle Cornish,Old Cornish,,,
Late Cornish,Middle Cornish,,,
Revived Cornish,Late Cornish,,,
Pictish,Common Brittonic,,,
Germanic,Late Proto-Indo-European,,,
Proto-Germanic,Germanic,,,
Pre-Proto-Germanic,Proto-Germanic,,,
Northwest Germanic,Proto-Germanic,,,
North Germanic,Northwest Germanic,,,
Proto-Norse,North Germanic,,,
Old Norse,Proto-Norse,,,
Old West Norse,Old Norse,,,
Old Icelandic,Old West Norse,,,
Icelandic,Old Icelandic,Irish (minimal),Danish (union period; minimal)  ,Faroese
Modern Icelandic,Icelandic,,,
Old Norwegian,Old West Norse,,,
Norwegian,Old Norwegian,Sami; Finnic (minor),Danish (union period),Swedish; Danish
Bokmål,Norwegian,,,
Nynorsk,Norwegian,,,
Faroese,Old West Norse,,,
Old Faroese,Faroese,,,
Modern Faroese,Old Faroese,,,
Norn,Old West Norse,,,
Old East Norse,Old Norse,,,
Old Swedish,Old East Norse,,,
Swedish,Old Swedish,Finnic; Sami,Low German (Hanseatic),Danish; Norwegian
Modern Swedish,Swedish,,,
Finland Swedish,Modern Swedish,,,
Old Danish,Old East Norse,,,
Danish,Old Danish,Unknown pre-Germanic,Low German (Hanseatic),Swedish; Norwegian; German
Modern Danish,Danish,,,
Old Gutnish,Old East Norse,,,
Gutnish,Old Gutnish,,,
Modern Gutnish,Gutnish,,,
West Germanic,Northwest Germanic,,,
Proto-West Germanic,West Germanic,,,
Anglo-Frisian,Proto-West Germanic,,,
Old Frisian,Anglo-Frisian,,,
Middle Frisian,Old Frisian,,,
West Frisian,Middle Frisian,,,
Modern West Frisian,West Frisian,,,
Clay Frisian,Modern West Frisian,,,
Wood Frisian,Modern West Frisian,,,
North Frisian,Middle Frisian,,,
Söl'ring,North Frisian,,,
Fering-Öömrang,North Frisian,,,
Hallig Frisian,North Frisian,,,
Mooring,North Frisian,,,
Goesharde Frisian,North Frisian,,,
East Frisian,Middle Frisian,,,
Saterland Frisian,East Frisian,,,
Anglic,Anglo-Frisian,,,
Old English,Anglic,,,
West Saxon,Old English,,,
Mercian,Old English,,,
Northumbrian,Old English,,,
Kentish,Old English,,,
Middle English,Old English,,,
Early Middle English,Middle English,,,
Late Middle English,Early Middle English,,,
English,Late Middle English,Celtic (Brittonic); Pre-Germanic European,Norman French; Latin (ecclesiastical),Norse; French; Dutch
Early Modern English,English,,,
Modern English,Early Modern English,,,
British English,Modern English,,,
Received Pronunciation,British English,,,
Cockney,British English,,,
Scouse,British English,,,
Geordie,British English,,,
Yorkshire,British English,,,
West Country,British English,,,
Scottish English,British English,,,
Welsh English,British English,,,
Irish English,British English,,,
American English,Modern English,,,
General American,American English,,,
Southern American English,American English,,,
African American Vernacular English,American English,,,
New York English,American English,,,
Boston English,American English,,,
Midwestern American English,American English,,,
Canadian English,Modern English,,,
Australian English,Modern English,,,
New Zealand English,Modern English,,,
South African English,Modern English,,,
Indian English,Modern English,,,
Philippine English,Modern English,,,
Nigerian English,Modern English,,,
Scots,Middle English,,,
Old Scots,Scots,,,
Middle Scots,Old Scots,,,
Modern Scots,Middle Scots,,,
Ulster Scots,Modern Scots,,,
Yola,Middle English,,,
Fingallian,Middle English,,,
Weser-Rhine Germanic,Proto-West Germanic,,,
Old Low Franconian,Weser-Rhine Germanic,,,
Middle Dutch,Old Low Franconian,,,
Dutch,Middle Dutch,Pre-Germanic; Frisian,French; Spanish (Flanders),German; English; Flemish
Modern Dutch,Dutch,,,
Netherlandic Dutch,Modern Dutch,,,
Belgian Dutch (Flemish),Modern Dutch,,,
Brabantian,Belgian Dutch (Flemish),,,
West Flemish,Belgian Dutch (Flemish),,,
East Flemish,Belgian Dutch (Flemish),,,
Limburgish,Belgian Dutch (Flemish),,,
Surinamese Dutch,Modern Dutch,,,
Afrikaans,Dutch,Khoekhoe; Malay; Bantu,Dutch,English; Xhosa; Zulu
Cape Dutch,Afrikaans,,,
Modern Afrikaans,Cape Dutch,,,
Old Saxon,Weser-Rhine Germanic,,,
Middle Low German,Old Saxon,,,
Low German,Middle Low German,,,
Northern Low German,Low German,,,
Westphalian,Low German,,,
Eastphalian,Low German,,,
Brandenburgish,Low German,,,
Pomeranian,Low German,,,
Low Prussian,Low German,,,
Plautdietsch,Low German,,,
Elbe Germanic,Proto-West Germanic,,,
High German,Elbe Germanic,,,
Old High German,High German,,,
Middle High German,Old High German,,,
Early New High German,Middle High German,,,
New High German,Early New High German,,,
German,New High German,Celtic (southern); Slavic (eastern),French (17th-18th c. prestige),Dutch; Czech; Polish; Yiddish
Standard German,German,,,
Northern German,Standard German,,,
Central German,Standard German,,,
Upper German,Standard German,,,
Bavarian,Upper German,,,
Alemannic,Upper German,,,
Swiss German,Alemannic,,,
Alsatian,Alemannic,,,
Swabian,Alemannic,,,
Austrian German,German,,,
Swiss Standard German,German,,,
Yiddish,High German,Hebrew; Aramaic; Slavic,German (Standard),Polish; Russian; Hebrew
Western Yiddish,Yiddish,,,
Eastern Yiddish,Yiddish,,,
North Germanic East Germanic,Proto-Germanic,,,
Gothic,North Germanic East Germanic,,,
Crimean Gothic,Gothic,,,
Vandalic,North Germanic East Germanic,,,
Burgundian,North Germanic East Germanic,,,
Balto-Slavic,Late Proto-Indo-European,,,
Proto-Balto-Slavic,Balto-Slavic,,,
Baltic,Proto-Balto-Slavic,,,
Proto-Baltic,Baltic,,,
East Baltic,Proto-Baltic,,,
Lithuanian,East Baltic,Unknown pre-Baltic; Finnic,Polish; German; Russian,Latvian; Polish; Slavic
Old Lithuanian,Lithuanian,,,
Modern Lithuanian,Old Lithuanian,,,
Standard Lithuanian,Modern Lithuanian,,,
Samogitian,Modern Lithuanian,,,
Aukštaitian,Modern Lithuanian,,,
Latvian,East Baltic,Finnic (Livonian),German; Russian,Lithuanian; Russian; Swedish
Old Latvian,Latvian,,,
Modern Latvian,Old Latvian,,,
Standard Latvian,Modern Latvian,,,
Latgalian,Modern Latvian,,,
West Baltic,Proto-Baltic,,,
Old Prussian,West Baltic,,,
Sudovian (Yotvingian),West Baltic,,,
Curonian,West Baltic,,,
Semigallian,West Baltic,,,
Selonian,West Baltic,,,
Galindian,West Baltic,,,
Slavic,Proto-Balto-Slavic,,,
Proto-Slavic,Slavic,,,
Common Slavic,Proto-Slavic,,,
East Slavic,Common Slavic,,,
Old East Slavic,East Slavic,,,
Russian,Old East Slavic,Finno-Ugric; Baltic; Iranian,Mongolic; Turkic (Tatar),Ukrainian; Belarusian; Church Slavonic
Old Russian,Russian,,,
Middle Russian,Old Russian,,,
Modern Russian,Middle Russian,,,
Standard Russian,Modern Russian,,,
Northern Russian dialects,Modern Russian,,,
Southern Russian dialects,Modern Russian,,,
Central Russian dialects,Modern Russian,,,
Ukrainian,Old East Slavic,Iranian (Scythian); Turkic,Polish; Russian,Russian; Belarusian; Polish; Romanian
Old Ukrainian,Ukrainian,,,
Middle Ukrainian,Old Ukrainian,,,
Modern Ukrainian,Middle Ukrainian,,,
Standard Ukrainian,Modern Ukrainian,,,
Belarusian,Old East Slavic,,,
Old Belarusian,Belarusian,,,
Modern Belarusian,Old Belarusian,,,
Standard Belarusian,Modern Belarusian,,,
Rusyn,Old East Slavic,,,
Carpathian Rusyn,Rusyn,,,
Pannonian Rusyn,Rusyn,,,
West Slavic,Common Slavic,,,
Lechitic,West Slavic,,,
Old Polish,Lechitic,,,
Middle Polish,Old Polish,,,
Polish,Middle Polish,Baltic; Germanic,German; Latin; French,Czech; Ukrainian; German
Modern Polish,Polish,,,
Standard Polish,Modern Polish,,,
Silesian,Modern Polish,,,
Kashubian,Lechitic,,,
Slovincian,Lechitic,,,
Polabian,Lechitic,,,
Czech-Slovak,West Slavic,,,
Old Czech,Czech-Slovak,,,
Middle Czech,Old Czech,,,
Czech,Middle Czech,Celtic; Germanic,German; Latin,Slovak; Polish; German
Modern Czech,Czech,,,
Standard Czech,Modern Czech,,,
Bohemian Czech,Modern Czech,,,
Moravian Czech,Modern Czech,,,
Slovak,Czech-Slovak,,,
Old Slovak,Slovak,,,
Modern Slovak,Old Slovak,,,
Standard Slovak,Modern Slovak,,,
Central Slovak,Modern Slovak,,,
Western Slovak,Modern Slovak,,,
Eastern Slovak,Modern Slovak,,,
Sorbian,West Slavic,,,
Upper Sorbian,Sorbian,,,
Lower Sorbian,Sorbian,,,
South Slavic,Common Slavic,,,
Old Church Slavonic,South Slavic,,,
Church Slavonic,Old Church Slavonic,,,
Western South Slavic,South Slavic,,,
Slovene,Western South Slavic,Pre-Slavic Alpine,German; Italian,Italian; German; Croatian
Old Slovene,Slovene,,,
Modern Slovene,Old Slovene,,,
Standard Slovene,Modern Slovene,,,
Serbo-Croatian,Western South Slavic,,,
Old Serbo-Croatian,Serbo-Croatian,,,
Serbian,Old Serbo-Croatian,,,
Standard Serbian,Serbian,,,
Ekavian Serbian,Standard Serbian,,,
Ijekavian Serbian,Standard Serbian,,,
Croatian,Old Serbo-Croatian,,,
Standard Croatian,Croatian,,,
Kajkavian,Croatian,,,
Chakavian,Croatian,,,
Shtokavian,Croatian,,,
Bosnian,Old Serbo-Croatian,,,
Montenegrin,Old Serbo-Croatian,,,
Eastern South Slavic,South Slavic,,,
Old Bulgarian,Eastern South Slavic,,,
Bulgarian,Old Bulgarian,Thracian,Turkic (Bulgar); Greek,Macedonian; Serbian; Romanian; Turkish
Modern Bulgarian,Bulgarian,,,
Standard Bulgarian,Modern Bulgarian,,,
Macedonian,Old Bulgarian,Paleo-Balkan,Greek; Turkish,Bulgarian; Serbian; Albanian
Standard Macedonian,Macedonian,,,
Indo-Iranian,Late Proto-Indo-European,,,
Proto-Indo-Iranian,Indo-Iranian,,,
Iranian,Proto-Indo-Iranian,,,
Proto-Iranian,Iranian,,,
Western Iranian,Proto-Iranian,,,
Northwestern Iranian,Western Iranian,,,
Old Median,Northwestern Iranian,,,
Median,Old Median,,,
Parthian,Northwestern Iranian,,,
Old Parthian,Parthian,,,
Middle Parthian,Old Parthian,,,
Kurdish,Northwestern Iranian,Hurrian; unknown,Arabic; Turkish; Persian,Turkish; Armenian; Arabic
Kurmanji (Northern Kurdish),Kurdish,,,
Sorani (Central Kurdish),Kurdish,,,
Southern Kurdish,Kurdish,,,
Zazaki,Northwestern Iranian,,,
Gorani,Northwestern Iranian,,,
Balochi,Northwestern Iranian,,,
Western Balochi,Balochi,,,
Eastern Balochi,Balochi,,,
Southern Balochi,Balochi,,,
Talysh,Northwestern Iranian,,,
Central Iranian,Western Iranian,,,
Old Persian,Central Iranian,,,
Middle Persian (Pahlavi),Old Persian,,,
Persian (Farsi),Middle Persian (Pahlavi),Elamite; unknown pre-Iranian,Arabic,Turkish; Armenian; Kurdish
Classical Persian,Persian (Farsi),,,
Modern Persian,Classical Persian,,,
Iranian Persian,Modern Persian,,,
Dari (Afghan Persian),Modern Persian,,,
Tajik,Modern Persian,Sogdian; Bactrian,Arabic; Uzbek (Turkic),Uzbek; Russian; Persian
Tat,Central Iranian,,,
Luri,Central Iranian,,,
Bakhtiari,Central Iranian,,,
Kumzari,Central Iranian,,,
Southwestern Iranian,Western Iranian,,,
Old Persian (also in Central),Southwestern Iranian,,,
Achamenid Persian,Old Persian (also in Central),,,
Fars dialects,Southwestern Iranian,,,
Larestani,Fars dialects,,,
Bashkardi,Fars dialects,,,
Eastern Iranian,Proto-Iranian,,,
Northeastern Iranian,Eastern Iranian,,,
Avestan,Northeastern Iranian,,,
Old Avestan,Avestan,,,
Younger Avestan,Old Avestan,,,
Scythian,Northeastern Iranian,,,
Sarmatian,Scythian,,,
Alanic,Sarmatian,,,
Ossetian,Alanic,Caucasian (Circassian; Vainakh),Russian,Georgian; Circassian; Russian
Iron Ossetian,Ossetian,,,
Digor Ossetian,Ossetian,,,
Sogdian,Northeastern Iranian,,,
Old Sogdian,Sogdian,,,
Classical Sogdian,Old Sogdian,,,
Yaghnobi,Sogdian,,,
Bactrian,Northeastern Iranian,,,
Khorezmian,Northeastern Iranian,,,
Saka,Northeastern Iranian,,,
Khotanese Saka,Saka,,,
Tumshuqese Saka,Saka,,,
Southeastern Iranian,Eastern Iranian,,,
Pashto,Southeastern Iranian,Unknown pre-Iranian; Dardic,Arabic; Persian,Persian; Urdu
Old Pashto,Pashto,,,
Modern Pashto,Old Pashto,,,
Northern Pashto,Modern Pashto,,,
Southern Pashto,Modern Pashto,,,
Waziri,Modern Pashto,,,
Pamir languages,Southeastern Iranian,,,
Shughni,Pamir languages,,,
Rushani,Pamir languages,,,
Bartangi,Pamir languages,,,
Yazgulyam,Pamir languages,,,
Ishkashimi,Pamir languages,,,
Sanglechi,Pamir languages,,,
Wakhi,Pamir languages,,,
Munji,Southeastern Iranian,,,
Yidgha,Southeastern Iranian,,,
Ormuri,Southeastern Iranian,,,
Parachi,Southeastern Iranian,,,
Indo-Aryan,Proto-Indo-Iranian,,,
Proto-Indo-Aryan,Indo-Aryan,,,
Sanskrit,Proto-Indo-Aryan,,,
Vedic Sanskrit,Sanskrit,,,
Classical Sanskrit,Vedic Sanskrit,,,
Epic Sanskrit,Classical Sanskrit,,,
Buddhist Hybrid Sanskrit,Classical Sanskrit,,,
Prakrits,Sanskrit,,,
Pali,Prakrits,,,
Maharashtri Prakrit,Prakrits,,,
Shauraseni Prakrit,Prakrits,,,
Magadhi Prakrit,Prakrits,,,
Ardhamagadhi,Prakrits,,,
Gandhari,Prakrits,,,
Apabhramsha,Prakrits,,,
Central Indo-Aryan,Prakrits,,,
Hindi-Urdu,Central Indo-Aryan,Dravidian; Munda; IVC language,Persian; Arabic; Turkic (Urdu),Each other; Punjabi; Bengali
Old Hindi,Hindi-Urdu,,,
Middle Hindi,Old Hindi,,,
Hindustani,Middle Hindi,,,
Hindi,Hindustani,,,
Standard Hindi,Hindi,,,
Khariboli,Standard Hindi,,,
Urdu,Hindustani,,,
Standard Urdu,Urdu,,,
Dakhini,Urdu,,,
Rekhta,Urdu,,,
Braj Bhasha,Central Indo-Aryan,,,
Awadhi,Central Indo-Aryan,,,
Bagheli,Central Indo-Aryan,,,
Chhattisgarhi,Central Indo-Aryan,,,
Bundeli,Central Indo-Aryan,,,
Kannauji,Central Indo-Aryan,,,
Eastern Indo-Aryan,Prakrits,,,
Bengali-Assamese,Eastern Indo-Aryan,,,
Old Bengali,Bengali-Assamese,,,
Bengali,Old Bengali,Austroasiatic (Munda); Dravidian,Persian; Arabic,Assamese; Odia; Hindi
Standard Bengali,Bengali,,,
West Bengali,Standard Bengali,,,
East Bengali (Bangladeshi),Standard Bengali,,,
Chittagonian,Bengali,,,
Sylheti,Bengali,,,
Assamese,Bengali-Assamese,,,
Standard Assamese,Assamese,,,
Kamrupi,Assamese,,,
Bihari,Eastern Indo-Aryan,,,
Bhojpuri,Bihari,,,
Maithili,Bihari,,,
Magahi,Bihari,,,
Odia (Oriya),Eastern Indo-Aryan,,,
Old Odia,Odia (Oriya),,,
Middle Odia,Old Odia,,,
Modern Odia,Middle Odia,,,
Western Indo-Aryan,Prakrits,,,
Gujarati,Western Indo-Aryan,Dravidian,Persian; Arabic; Portuguese,Marathi; Hindi
Old Gujarati,Gujarati,,,
Modern Gujarati,Old Gujarati,,,
Marathi,Western Indo-Aryan,Dravidian; Munda,Persian; Arabic,Gujarati; Kannada; Telugu
Old Marathi,Marathi,,,
Middle Marathi,Old Marathi,,,
Modern Marathi,Middle Marathi,,,
Konkani,Western Indo-Aryan,,,
Rajasthani,Western Indo-Aryan,,,
Marwari,Rajasthani,,,
Mewari,Rajasthani,,,
Malvi,Rajasthani,,,
Dhundhari,Rajasthani,,,
Harauti,Rajasthani,,,
Northwestern Indo-Aryan,Prakrits,,,
Sindhi,Northwestern Indo-Aryan,,,
Punjabi,Northwestern Indo-Aryan,Dravidian,Persian; Arabic,Hindi; Sindhi
Western Punjabi (Lahnda),Punjabi,,,
Eastern Punjabi,Punjabi,,,
Saraiki,Western Punjabi (Lahnda),,,
Hindko,Western Punjabi (Lahnda),,,
Kashmiri,Northwestern Indo-Aryan,,,
Southern Indo-Aryan,Prakrits,,,
Sinhala-Maldivian,Southern Indo-Aryan,,,
Sinhala (Sinhalese),Sinhala-Maldivian,,,
Old Sinhala,Sinhala (Sinhalese),,,
Medieval Sinhala,Old Sinhala,,,
Modern Sinhala,Medieval Sinhala,,,
Dhivehi (Maldivian),Sinhala-Maldivian,,,
Insular Indo-Aryan,Southern Indo-Aryan,,,
Romani,Insular Indo-Aryan,Greek; Armenian; various European,Various European superstrates,Various European adstrates
Vlax Romani,Romani,,,
Balkan Romani,Romani,,,
Sinte Romani,Romani,,,
Finnish Romani,Romani,,,
Welsh Romani,Romani,,,
Domari,Insular Indo-Aryan,,,
Lomavren,Insular Indo-Aryan,,,
Greek,Late Proto-Indo-European,Pre-Greek (Minoan; Pelasgian; Anatolian),Latin; Turkish; Venetian,Albanian; Slavic; Romance
Proto-Greek,Greek,,,
Mycenaean Greek,Proto-Greek,,,
Ancient Greek,Mycenaean Greek,,,
Aeolic Greek,Ancient Greek,,,
Lesbian Aeolic,Aeolic Greek,,,
Thessalian,Aeolic Greek,,,
Boeotian,Aeolic Greek,,,
Doric Greek,Ancient Greek,,,
Laconian,Doric Greek,,,
Messenian,Doric Greek,,,
Corinthian,Doric Greek,,,
Megarian,Doric Greek,,,
Cretan,Doric Greek,,,
Rhodian,Doric Greek,,,
Ionic Greek,Ancient Greek,,,
Asiatic Ionic,Ionic Greek,,,
Cycladic Ionic,Ionic Greek,,,
Attic Greek,Ionic Greek,,,
Classical Attic,Attic Greek,,,
Koine Greek,Classical Attic,,,
Biblical Koine,Koine Greek,,,
Medieval Greek,Koine Greek,,,
Byzantine Greek,Medieval Greek,,,
Modern Greek,Byzantine Greek,,,
Standard Modern Greek,Modern Greek,,,
Demotic Greek,Standard Modern Greek,,,
Katharevousa,Standard Modern Greek,,,
Cypriot Greek,Modern Greek,,,
Pontic Greek,Modern Greek,,,
Cappadocian Greek,Medieval Greek,,,
Griko (Italiot Greek),Medieval Greek,,,
Tsakonian,Ancient Greek,,,
Armenian,Late Proto-Indo-European,Hurro-Urartian; unknown Caucasian,Iranian; Greek; Arabic; Turkish,Georgian; Kurdish; Persian
Proto-Armenian,Armenian,,,
Old Armenian (Grabar),Proto-Armenian,,,
Classical Armenian,Old Armenian (Grabar),,,
Middle Armenian,Classical Armenian,,,
Modern Armenian,Middle Armenian,,,
Eastern Armenian,Modern Armenian,,,
Standard Eastern Armenian,Eastern Armenian,,,
Western Armenian,Modern Armenian,,,
Standard Western Armenian,Western Armenian,,,
Albanian,Late Proto-Indo-European,Illyrian; Thracian; Dacian,Latin; Slavic; Turkish; Italian,Greek; Romance; Slavic
Proto-Albanian,Albanian,,,
Old Albanian,Proto-Albanian,,,
Gheg Albanian,Old Albanian,,,
Standard Gheg,Gheg Albanian,,,
Tosk Albanian,Old Albanian,,,
Standard Tosk,Tosk Albanian,,,
Modern Standard Albanian,Tosk Albanian,,,
Arbëresh,Tosk Albanian,,,
Arvanitika,Tosk Albanian,,,
Uralic,Nostratic (hypothetical),,,
Proto-Uralic,Uralic,,,
Finno-Ugric,Proto-Uralic,,,
Proto-Finno-Ugric,Finno-Ugric,,,
Finno-Permic,Proto-Finno-Ugric,,,
Finno-Volgaic,Finno-Permic,,,
Finnic,Finno-Volgaic,,,
