Language Name,Language Family,Substrata,Superstrata,Adstrata,Notes
Welsh,Celtic,Unknown pre-Celtic,Latin; English,English; Cornish; Breton,"Latin loanwords; heavy English influence; Brythonic adstrate"
Breton,Celtic,Unknown pre-Celtic; Gaulish,French,Welsh; Cornish; French,"Brought from Britain; French superstrate heavy"
Scottish Gaelic,Celtic,Pictish,Norse; English,Irish; English,"Pictish substrate debated; Norse in Hebrides; English dominance"
Russian,Slavic,Finno-Ugric; Baltic; Iranian,Mongolic; Turkic (Tatar),Ukrainian; Belarusian; Church Slavonic,"Finnic substrate in north; Tatar yoke; Church Slavonic prestige"
Ukrainian,Slavic,Iranian (Scythian); Turkic,Polish; Russian,Russian; Belarusian; Polish; Romanian,"Iranian substrate debated; Polish cultural influence; Russian dominance"
Polish,Slavic,Baltic; Germanic,German; Latin; French,Czech; Ukrainian; German,"Baltic substrate east; German loanwords; Czech cultural ties"
Czech,Slavic,Celtic; Germanic,German; Latin,Slovak; Polish; German,"Celtic substrate possible; heavy German influence"
Bulgarian,Slavic,Thracian,Turkic (Bulgar); Greek,Macedonian; Serbian; Romanian; Turkish,"Bulgar superstrate gave name; Balkan Sprachbund"
Macedonian,Slavic,Paleo-Balkan,Greek; Turkish,Bulgarian; Serbian; Albanian,"Balkan Sprachbund; Greek and Turkish influence"
Serbian/Croatian,Slavic,Illyrian; Thracian,Turkish; Hungarian; Italian (Dalmatia),Each other; Romanian (east); Italian (coast),"Balkan Sprachbund; Turkish influence south; Austro-Hungarian north"
Slovene,Slavic,Pre-Slavic Alpine,German; Italian,Italian; German; Croatian,"Strong German/Italian influence; Alpine position"
Lithuanian,Baltic,Unknown pre-Baltic; Finnic,Polish; German; Russian,Latvian; Polish; Slavic,"Conservative; Slavic influence; Polish cultural influence"
Latvian,Baltic,Finnic (Livonian),German; Russian,Lithuanian; Russian; Swedish,"Strong Finnic substrate; German Hanseatic; Russian dominance"
Hindi-Urdu,Indo-Aryan,Dravidian; Munda; IVC language,Persian; Arabic; Turkic (Urdu),Each other; Punjabi; Bengali,"Dravidian substrate in grammar; Persian/Arabic in Urdu; diglossia"
Bengali,Indo-Aryan,Austroasiatic (Munda); Dravidian,Persian; Arabic,Assamese; Odia; Hindi,"Austroasiatic substrate; Persian cultural influence"
Punjabi,Indo-Aryan,Dravidian,Persian; Arabic,Hindi; Sindhi,"Dravidian substrate; Persian superstrate"
Gujarati,Indo-Aryan,Dravidian,Persian; Arabic; Portuguese,Marathi; Hindi,"Dravidian substrate; Portuguese in coastal areas"
Marathi,Indo-Aryan,Dravidian; Munda,Persian; Arabic,Gujarati; Kannada; Telugu,"Strong Dravidian substrate; Deccan position"
Nepali,Indo-Aryan,Tibeto-Burman,Sanskrit; Persian,Hindi; Tibetan languages,"Tibeto-Burman substrate; Himalayan position"
Sinhala,Indo-Aryan,Dravidian (Tamil); Vedda,Portuguese; Dutch; English,Tamil,"Tamil substrate; colonial superstrates; diglossic with Tamil"
Romani,Indo-Aryan,Greek; Armenian; various European,Various European superstrates,Various European adstrates,"Preserved Middle Indo-Aryan; each dialect has local substrates"
Persian (Farsi),Iranian,Elamite; unknown pre-Iranian,Arabic,Turkish; Armenian; Kurdish,"Arabic massive lexical influence; Turkic rule; remained Iranian"
Pashto,Iranian,Unknown pre-Iranian; Dardic,Arabic; Persian,Persian; Urdu,"Preserved archaic Iranian; Arabic/Persian cultural"
Kurdish,Iranian,Hurrian; unknown,Arabic; Turkish; Persian,Turkish; Armenian; Arabic,"Hurrian substrate proposed; Turkish and Arabic influence"
Ossetian,Iranian,Caucasian (Circassian; Vainakh),Russian,Georgian; Circassian; Russian,"Descended from Alans; Caucasian substrate; Russian dominance"
Tajik,Iranian,Sogdian; Bactrian,Arabic; Uzbek (Turkic),Uzbek; Russian; Persian,"Sogdian substrate; similar to Persian but Central Asian context"
Turkish,Turkic,Greek; Armenian; Kurdish; Iranian; Arabic,Persian; Arabic; French,Kurdish; Arabic; Persian; Greek,"Anatolian substrates; Persian cultural influence; Arabic religious"
Azerbaijani,Turkic,Iranian; Caucasian,Persian; Arabic,Turkish; Persian; Russian,"Iranian substrate; very close to Turkish"
Uzbek,Turkic,Sogdian; Bactrian; Tajik,Persian; Arabic,Tajik; Russian; Kazakh,"Iranian substrate; bilingualism with Tajik"
Kazakh,Turkic,Iranian (Saka),Russian,Russian; Uzbek; Kyrgyz,"Steppe Iranian substrate; Russian dominance"
Uyghur,Turkic,Tocharian; Sogdian; Iranian,Chinese; Russian,Chinese; Kazakh; Uzbek,"Tocharian/Sogdian substrate; Chinese rule"
Kyrgyz,Turkic,Iranian,Russian,Kazakh; Uzbek; Russian,"Steppe position; Russian influence"
Turkmen,Turkic,Iranian (Parthian),Persian; Russian,Persian; Uzbek,"Iranian substrate; Persian cultural influence"
Tatar,Turkic,Finno-Ugric; Bulgar,Russian,Russian; Bashkir,"Finnic/Bulgar substrate; Russian dominance"
Bashkir,Turkic,Finno-Ugric; Iranian,Russian,Tatar; Russian,"Similar to Tatar; Finnic substrate"
Chuvash,Turkic,Bulgar; Finno-Ugric,Russian,Russian; Tatar,"Only Oghur Turkic; Bulgar continuity"
Sakha (Yakut),Turkic,Paleo-Siberian; Tungusic,Russian,Russian; Tungusic; Paleo-Siberian,"Tungusic substrate; isolated Turkic"
Hungarian,Uralic,Pannonian (Avar?); Iranian (Alanic),Slavic; Germanic; Turkic,Slavic; Romanian; German,"Iranian substrate debated; massive Slavic influence"
Finnish,Uralic,Paleo-European; Sami,Swedish; Russian,Swedish; Russian; Estonian,"Ancient substrate; Swedish cultural influence"
Estonian,Uralic,Paleo-European; Baltic,German; Russian,Finnish; Latvian; Russian,"Baltic/Germanic substrate; German Hanseatic; Russian rule"
Sami languages,Uralic,Paleo-European,Norwegian; Swedish; Finnish; Russian,Each other; Scandinavian languages,"Ancient European substrate; Scandinavian superstrates"
Mongolian,Mongolic,Turkic; Tungusic,Chinese; Tibetan; Russian,Chinese; Turkic; Russian,"Turkic substrate in vocabulary; Chinese cultural; Russian influence"
Manchu,Tungusic,Unknown Northeast Asian,Chinese,Chinese; Mongolian,"Chinese cultural dominance; Manchu rulers adopted Chinese"
Korean,Koreanic (isolate),Paleo-Korean; Tungusic; Japonic?,Chinese; Mongolian,Chinese; Japanese; Mongolian,"Unknown substrate; massive Chinese vocabulary; Japanese colonial"
Japanese,Japonic,Jomon; Austronesian?,Chinese; Portuguese; Dutch; English,Ainu; Korean; Chinese,"Jomon substrate; massive Chinese loanwords; Western influences"
Vietnamese,Austroasiatic,Tai-Kadai; Austronesian?,Chinese,French; Chinese; Khmer,"Tai substrate debated; massive Chinese influence; French colonial"
Khmer,Austroasiatic,Austronesian?,Sanskrit; Pali,Thai; Vietnamese; Lao,"Austronesian substrate?; Indic superstrate; Thai influence"
Thai,Tai-Kadai,Austroasiatic (Mon-Khmer),Sanskrit; Pali; Khmer,Lao; Khmer; Chinese,"Mon-Khmer substrate; Indic cultural; Sinosphere"
Lao,Tai-Kadai,Austroasiatic,Sanskrit; Pali,Thai; Khmer,"Similar to Thai; Khmer influence"
Burmese,Tibeto-Burman,Mon; Pyu,Pali; Sanskrit,Mon; Shan; Chinese,"Mon substrate; Pali/Sanskrit cultural; Chinese influence"
Tibetan,Tibeto-Burman,Zhang-Zhung; Qiang?,Sanskrit; Chinese,Chinese; Mongolian; Nepali,"Zhang-Zhung substrate; Buddhist Sanskrit; Chinese influence"
Mandarin,Sinitic,Altaic; Tibeto-Burman; Tai,Manchu; Mongolian,Dialects; Min; Wu; Yue,"Northern substrates; Manchu/Mongol rule minimal linguistic impact"
Cantonese,Sinitic,Tai-Kadai; Austroasiatic,Mandarin,Hakka; Vietnamese; Mandarin,"Southern substrates; Mandarin prestige"
Hakka,Sinitic,Tai-Kadai; Austroasiatic; Hmong-Mien,Mandarin,Cantonese; Min; Gan,"Preserved northern features; southern substrates"
Min (Hokkien/Taiwanese),Sinitic,Austronesian; Tai,Mandarin,Hakka; Japanese (Taiwan); Cantonese,"Austronesian substrate; most conservative; Japanese Taiwan"
Wu (Shanghainese),Sinitic,Austroasiatic; Tai,Mandarin,Hui; Min; Mandarin,"Lower Yangtze substrates"
Indonesian/Malay,Austronesian,Austroasiatic?,Sanskrit; Arabic; Dutch; Portuguese; English,Each other; Javanese; Chinese,"Sanskrit/Arabic early; Dutch colonial; English modern"
Javanese,Austronesian,Austroasiatic?,Sanskrit; Arabic; Dutch,Indonesian; Sundanese; Madurese,"Heavy Sanskrit; Arabic influence; Dutch minimal"
Tagalog/Filipino,Austronesian,Unknown Negrito?,Sanskrit; Spanish; English; Chinese,Other Philippine languages; Spanish; English,"Spanish 33% vocabulary; American English dominance"
Malagasy,Austronesian,Unknown African (Bantu?),Swahili; French; Arabic,French; Swahili,"African substrate debated; French colonial; Swahili trade"
Hawaiian,Austronesian,Unknown pre-Polynesian?,English,English,"English dominance; endangered"
Maori,Austronesian,Unknown pre-Polynesian?,English,English,"English dominance; revitalization"
Swahili,Bantu,Cushitic,Arabic; Persian; Portuguese,Arabic; Somali; Other Bantu,"Arabic 35% vocabulary; Persian loanwords; trade language"
Zulu,Bantu,Khoesan (clicks!),Afrikaans; English,Xhosa; English; Afrikaans,"Khoesan clicks; apartheid influences"
Xhosa,Bantu,Khoesan (clicks!),Afrikaans; English,Zulu; English; Afrikaans,"Khoesan clicks; apartheid influences"
Amharic,Semitic,Cushitic (Agaw); Omotic,Italian; Arabic,Oromo; Tigrinya; Arabic,"Cushitic substrate in grammar; Italian brief; Ethio-Semitic Sprachbund"
Arabic (MSA),Semitic,Aramaic; Coptic; Berber; various,Persian; Turkish; French; English,Hebrew; Persian; Turkish; Berber,"Replaced many languages; Persian cultural; Turkish Ottoman; Western modern"
Egyptian Arabic,Semitic,Coptic,Turkish; French; English,MSA; Levantine; Sudanese,"Coptic substrate; Turkish Ottoman; French/English colonial"
Levantine Arabic,Semitic,Aramaic; Phoenician,Turkish; French; English,MSA; Iraqi; Egyptian,"Aramaic substrate; Turkish Ottoman; French mandate"
Maghrebi Arabic,Semitic,Berber; Punic; Latin,Turkish; French; Italian,Berber; French; MSA,"Heavy Berber substrate; French colonial massive"
Maltese,Semitic,Siculo-Arabic,Italian; Sicilian; English,Italian; English,"Siculo-Arabic base; Romance superstrate ~50% vocabulary; unique"
Hebrew (Modern),Semitic,Yiddish; Aramaic; various Jewish languages,Arabic; English,Arabic; English,"Revived from Classical; Yiddish/Arabic phonology; European grammar influences"
Amharic,Semitic,Cushitic; Omotic,Italian (brief),Oromo; Tigrinya,"Cushitic grammar substrate; SOV word order"
Hausa,Chadic,Nilo-Saharan?,Arabic,Fulani; Yoruba; Arabic,"Arabic religious influence; major trade language"
Yoruba,Niger-Congo,Unknown,Arabic; English,Igbo; Hausa; English,"Arabic religious; English colonial"
Igbo,Niger-Congo,Unknown,English,Yoruba; English,"English colonial dominance"
Fulani,Niger-Congo,Unknown West African,Arabic,Hausa; Wolof; various West African,"Nomadic; Arabic influence"
Somali,Cushitic,Unknown,Arabic,Arabic; Swahili; Oromo,"Arabic religious; Swahili trade"
Oromo,Cushitic,Unknown,Amharic; Arabic,Amharic; Somali,"Amharic Ethiopian dominance"
Berber languages,Berber,Paleo-Berber,Arabic; French,Arabic; French,"Arabic/French massive influence"
Nahuatl,Uto-Aztecan,Oto-Manguean; Mayan,Spanish,Spanish; Otomi,"Spanish dominance; Mesoamerican Sprachbund"
Quechua,Quechuan,Aymara; Puquina; Amazonian,Spanish,Spanish; Aymara; Portuguese,"Aymaran substrate; Spanish dominance; Andean Sprachbund"
Guarani,Tupi-Guarani,Unknown Amazonian,Spanish; Portuguese,Spanish; Portuguese,"Paraguayan bilingualism; resisted Spanish"
Aymara,Aymaran,Puquina,Spanish; Quechua,Quechua; Spanish,"Puquina substrate; Andean Sprachbund"
Mapudungun,Isolate,Unknown,Spanish,Spanish; Quechua,"Spanish Chilean influence"
Basque,Isolate,Aquitanian; Iberian?,Latin; Spanish; French; Gascon,Spanish; French; Gascon,"Ancient substrate; Latin influence; Spanish/French dominance"
Burushaski,Isolate,Unknown,Persian; Urdu,Persian; Urdu; Shina,"Persian cultural; Urdu Pakistani"
Ainu,Isolate,Unknown Jomon,Japanese,Japanese,"Japanese dominance; nearly extinct"
Nivkh,Isolate,Unknown Paleo-Siberian,Russian; Tungusic,Russian; Nanai,"Russian dominance; Amur region"
Yeniseian (Ket),Isolate,Unknown Paleo-Siberian,Russian,Russian; Tungusic; Samoyedic,"Last Yeniseian; Russian dominance"
Kusunda,Isolate,Unknown,Nepali,Nepali; Tibeto-Burman,"Nepali dominance; nearly extinct"
Sumerian,Isolate,Unknown,Akkadian (later),Akkadian; Semitic,"Akkadian replaced it; bilingualism"
Elamite,Isolate,Unknown,Akkadian; Persian,Akkadian; Sumerian; Iranian,"Mesopotamian influence; Persian replaced it"
Hurrian,Isolate,Unknown pre-Hurrian,Akkadian; Hittite,Semitic; Hittite; Luwian,"Mesopotamian influence; Anatolian contact"
Urartian,Isolate,Unknown,Assyrian,Armenian (later); Iranian,"Related to Hurrian; Assyrian influence"
Hattic,Isolate,Unknown Anatolian,Hittite,Hittite; Luwian,"Pre-IE Anatolia; Hittite replaced it"
Etruscan,Tyrsenian,Unknown pre-Etruscan,Latin,Greek; Latin; Italic,"Unknown origins; Latin replaced it; influenced Latin"
